ORF	hap a | tRNA processed form 1/2 (tRNA(Ile)(UAU)) | standard [standard] | Wu J~Hopper AK, 2015	hap a | tRNA processed form 1/2 + extra band below I (tRNA(Ile)(UAU)) | standard [standard] | Wu J~Hopper AK, 2015	hap a | tRNA processed form 2* (tRNA(Ile)(UAU)) | standard [standard] | Wu J~Hopper AK, 2015	hap a | tRNA processed form 4/5/6 (tRNA(Ile)(UAU)) | standard [standard] | Wu J~Hopper AK, 2015	hap a | tRNA processed form 7 (tRNA(Ile)(UAU)) | standard [standard] | Wu J~Hopper AK, 2015	hap a | tRNA processed form 9 (tRNA(Ile)(UAU)) | standard [standard] | Wu J~Hopper AK, 2015
YBR198C	0.000	0.000	0.000	0.000	0.000	0.000
YBR202W	0.000	0.000	0.000	0.000	0.000	0.000
YBR211C	0.000	0.000	0.000	0.000	0.000	0.000
YBR234C	0.000	0.000	0.000	0.000	0.000	0.000
YBR236C	0.000	0.000	0.000	0.000	0.000	0.000
YBR237W	0.000	0.000	0.000	0.000	0.000	0.000
YBR247C	0.000	0.000	0.000	0.000	0.000	0.000
YBR253W	0.000	0.000	0.000	0.000	0.000	0.000
YBR254C	0.000	0.000	0.000	0.000	0.000	0.000
YBR256C	0.000	0.000	0.000	0.000	0.000	0.000
YBR257W	0.000	0.000	0.000	0.000	0.000	0.000
YBR265W	0.000	0.000	0.000	0.000	0.000	0.000
YCL004W	0.000	0.000	0.000	0.000	0.000	0.000
YCL052C	0.000	0.000	0.000	0.000	0.000	0.000
YCL059C	0.000	0.000	0.000	0.000	0.000	0.000
YCR002C	0.000	0.000	0.000	0.000	0.000	0.000
YCR035C	0.000	0.000	0.000	0.000	0.000	0.000
YCR042C	0.000	0.000	0.000	0.000	0.000	0.000
YCR052W	1.000	0.000	0.000	0.000	0.000	0.000
YCR054C	0.000	0.000	0.000	0.000	0.000	0.000
YCR057C	0.000	0.000	0.000	0.000	0.000	0.000
YCR072C	0.000	0.000	0.000	0.000	0.000	0.000
YCR093W	0.000	0.000	0.000	0.000	0.000	0.000
YDL007W	0.000	0.000	0.000	0.000	0.000	0.000
YDL008W	0.000	0.000	0.000	0.000	0.000	0.000
YDL014W	0.000	0.000	0.000	0.000	0.000	0.000
YDL015C	0.000	0.000	0.000	0.000	0.000	0.000
YDL017W	0.000	0.000	0.000	0.000	0.000	0.000
YDL028C	0.000	0.000	0.000	0.000	0.000	0.000
YDL029W	0.000	0.000	0.000	0.000	0.000	0.000
YDL030W	0.000	0.000	0.000	0.000	0.000	0.000
YDL043C	0.000	0.000	0.000	0.000	0.000	0.000
YDL045C	0.000	0.000	0.000	0.000	0.000	0.000
YDL055C	0.000	0.000	0.000	0.000	0.000	0.000
YDL058W	0.000	0.000	0.000	0.000	0.000	0.000
YDL064W	0.000	0.000	0.000	0.000	0.000	0.000
YDL084W	0.000	0.000	0.000	0.000	0.000	0.000
YDL087C	0.000	0.000	0.000	0.000	0.000	0.000
YDL090C	0.000	0.000	0.000	0.000	0.000	0.000
YDL098C	0.000	0.000	0.000	0.000	0.000	0.000
YDL102W	0.000	0.000	0.000	0.000	0.000	0.000
YDL108W	0.000	0.000	0.000	0.000	0.000	0.000
YDL111C	0.000	0.000	0.000	0.000	0.000	0.000
YDL126C	0.000	0.000	0.000	0.000	0.000	0.000
YDL140C	0.000	0.000	0.000	0.000	0.000	0.000
YDL141W	0.000	0.000	0.000	0.000	0.000	0.000
YDL143W	0.000	0.000	0.000	0.000	0.000	0.000
YDL145C	0.000	0.000	0.000	0.000	0.000	0.000
YDL148C	0.000	0.000	0.000	0.000	0.000	0.000
YDL164C	0.000	0.000	0.000	0.000	0.000	0.000
YDL165W	0.000	0.000	0.000	0.000	0.000	0.000
YDL166C	0.000	0.000	0.000	0.000	0.000	0.000
YDL193W	0.000	0.000	0.000	0.000	0.000	0.000
YDL195W	0.000	0.000	0.000	0.000	0.000	0.000
YDL208W	0.000	0.000	0.000	0.000	0.000	0.000
YDL209C	0.000	0.000	0.000	0.000	0.000	0.000
YDL217C	0.000	0.000	0.000	0.000	0.000	0.000
YDL220C	0.000	0.000	0.000	0.000	0.000	0.000
YDR002W	0.000	0.000	0.000	1.000	0.000	0.000
YDR013W	0.000	0.000	0.000	0.000	0.000	0.000
YDR016C	0.000	0.000	0.000	0.000	0.000	0.000
YDR021W	0.000	0.000	0.000	0.000	0.000	0.000
YDR044W	0.000	0.000	0.000	0.000	0.000	0.000
YDR045C	1.000	0.000	0.000	0.000	0.000	0.000
YDR050C	0.000	0.000	0.000	0.000	0.000	0.000
YDR052C	0.000	0.000	0.000	1.000	0.000	0.000
YDR054C	0.000	0.000	0.000	1.000	0.000	0.000
YDR060W	0.000	0.000	0.000	0.000	0.000	0.000
YDR062W	0.000	0.000	0.000	1.000	0.000	0.000
YDR064W	0.000	0.000	0.000	0.000	0.000	0.000
YDR081C	0.000	0.000	0.000	0.000	0.000	0.000
YDR082W	0.000	0.000	0.000	0.000	0.000	0.000
YDR086C	0.000	0.000	0.000	0.000	0.000	0.000
YDR087C	0.000	0.000	0.000	0.000	0.000	0.000
YDR088C	0.000	0.000	0.000	0.000	0.000	0.000
YDR091C	0.000	0.000	0.000	0.000	0.000	0.000
YDR113C	0.000	0.000	0.000	0.000	0.000	0.000
YDR118W	0.000	0.000	0.000	0.000	0.000	0.000
YDR145W	0.000	0.000	0.000	0.000	0.000	0.000
YDR164C	0.000	0.000	0.000	0.000	0.000	0.000
YDR166C	0.000	0.000	0.000	1.000	0.000	0.000
YDR167W	0.000	0.000	0.000	0.000	0.000	0.000
YDR168W	0.000	0.000	0.000	0.000	0.000	0.000
YDR170C	0.000	0.000	0.000	0.000	0.000	0.000
YDR172W	0.000	0.000	0.000	1.000	0.000	0.000
YDR180W	0.000	0.000	0.000	0.000	0.000	0.000
YDR182W	0.000	0.000	0.000	0.000	0.000	0.000
YDR188W	0.000	0.000	0.000	0.000	0.000	0.000
YDR189W	0.000	0.000	0.000	0.000	0.000	0.000
YDR201W	0.000	0.000	0.000	0.000	0.000	0.000
YDR208W	0.000	0.000	0.000	0.000	0.000	0.000
YDR212W	0.000	0.000	0.000	0.000	0.000	0.000
YDR228C	0.000	0.000	0.000	0.000	0.000	0.000
YDR232W	0.000	0.000	0.000	0.000	0.000	0.000
YDR235W	0.000	0.000	0.000	0.000	0.000	0.000
YDR236C	0.000	0.000	0.000	0.000	0.000	0.000
YDR238C	0.000	0.000	0.000	0.000	0.000	0.000
YDR240C	0.000	0.000	0.000	0.000	0.000	0.000
YDR243C	0.000	0.000	0.000	0.000	0.000	0.000
YDR246W	0.000	0.000	0.000	0.000	0.000	0.000
YDR267C	0.000	0.000	0.000	0.000	0.000	0.000
YDR280W	0.000	0.000	0.000	0.000	0.000	0.000
YDR288W	0.000	0.000	0.000	0.000	0.000	0.000
YDR292C	0.000	0.000	0.000	0.000	0.000	0.000
YDR299W	0.000	0.000	0.000	0.000	0.000	0.000
YDR302W	0.000	0.000	0.000	0.000	0.000	0.000
YDR303C	0.000	0.000	0.000	0.000	0.000	0.000
YDR311W	0.000	0.000	0.000	0.000	0.000	0.000
YDR325W	0.000	0.000	0.000	0.000	0.000	0.000
YDR328C	0.000	0.000	0.000	0.000	0.000	0.000
YDR339C	0.000	0.000	0.000	0.000	0.000	0.000
YDR341C	0.000	0.000	0.000	0.000	0.000	0.000
YDR356W	0.000	0.000	0.000	0.000	0.000	0.000
YDR361C	0.000	0.000	0.000	0.000	0.000	0.000
YDR362C	0.000	0.000	0.000	0.000	0.000	0.000
YDR364C	0.000	0.000	0.000	0.000	0.000	0.000
YDR367W	0.000	0.000	0.000	0.000	0.000	0.000
YDR373W	0.000	0.000	0.000	0.000	0.000	0.000
YDR394W	0.000	0.000	0.000	0.000	0.000	0.000
YDR398W	0.000	0.000	0.000	0.000	0.000	0.000
YDR404C	0.000	0.000	0.000	0.000	0.000	0.000
YDR416W	0.000	0.000	0.000	0.000	0.000	0.000
YDR429C	0.000	0.000	0.000	0.000	0.000	0.000
YDR434W	0.000	0.000	0.000	0.000	0.000	0.000
YDR449C	0.000	0.000	0.000	0.000	0.000	0.000
YDR454C	1.000	0.000	0.000	0.000	0.000	0.000
YDR460W	0.000	0.000	0.000	0.000	0.000	0.000
YDR472W	0.000	0.000	0.000	0.000	0.000	0.000
YDR473C	0.000	0.000	0.000	0.000	0.000	0.000
YDR487C	0.000	0.000	0.000	0.000	0.000	0.000
YDR489W	0.000	0.000	0.000	0.000	0.000	0.000
YDR498C	0.000	0.000	0.000	1.000	0.000	0.000
YDR510W	0.000	0.000	0.000	0.000	0.000	0.000
YDR527W	0.000	0.000	0.000	0.000	0.000	0.000
YDR531W	0.000	0.000	0.000	0.000	0.000	0.000
YEL019C	0.000	0.000	0.000	0.000	0.000	0.000
YEL032W	0.000	0.000	0.000	0.000	0.000	0.000
YEL034W	0.000	0.000	0.000	1.000	0.000	0.000
YEL055C	0.000	0.000	0.000	0.000	0.000	0.000
YER003C	0.000	0.000	0.000	0.000	0.000	0.000
YER006W	0.000	0.000	0.000	0.000	0.000	0.000
YER008C	0.000	0.000	0.000	0.000	0.000	0.000
YER009W	0.000	0.000	0.000	0.000	0.000	0.000
YER013W	0.000	0.000	0.000	0.000	0.000	0.000
YER018C	0.000	0.000	0.000	0.000	0.000	0.000
YER022W	0.000	0.000	0.000	0.000	0.000	0.000
YER023W	0.000	0.000	0.000	0.000	0.000	0.000
YER093C	0.000	0.000	0.000	0.000	0.000	0.000
YER094C	0.000	0.000	0.000	0.000	0.000	0.000
YER125W	0.000	0.000	0.000	1.000	0.000	0.000
YER133W	0.000	0.000	0.000	0.000	0.000	0.000
YER136W	0.000	0.000	0.000	0.000	0.000	0.000
YER148W	0.000	0.000	0.000	0.000	0.000	0.000
YER157W	0.000	0.000	0.000	0.000	0.000	0.000
YER165W	0.000	0.000	0.000	0.000	0.000	0.000
YER171W	0.000	0.000	0.000	0.000	0.000	0.000
YFL002C	0.000	0.000	0.000	0.000	0.000	0.000
YFL005W	0.000	0.000	0.000	0.000	0.000	0.000
YFL008W	0.000	0.000	0.000	0.000	0.000	0.000
YFL022C	0.000	0.000	0.000	1.000	0.000	0.000
YFL029C	0.000	0.000	0.000	0.000	0.000	0.000
YFL037W	0.000	0.000	0.000	0.000	0.000	0.000
YFL038C	0.000	0.000	0.000	0.000	0.000	0.000
YFL039C	0.000	0.000	0.000	1.000	0.000	0.000
YFL045C	0.000	0.000	0.000	0.000	0.000	0.000
YFR004W	0.000	0.000	0.000	0.000	0.000	0.000
YFR005C	0.000	0.000	0.000	0.000	0.000	0.000
YFR027W	0.000	0.000	0.000	0.000	0.000	0.000
YFR028C	0.000	0.000	0.000	0.000	0.000	0.000
YFR031C	0.000	0.000	0.000	0.000	0.000	0.000
YFR036W	0.000	0.000	0.000	0.000	0.000	0.000
YFR037C	0.000	0.000	0.000	0.000	0.000	0.000
YFR042W	0.000	0.000	0.000	0.000	0.000	0.000
YFR050C	0.000	0.000	0.000	0.000	0.000	0.000
YFR051C	0.000	0.000	0.000	0.000	0.000	0.000
YFR052W	0.000	0.000	0.000	0.000	0.000	0.000
YGL001C	0.000	0.000	0.000	0.000	0.000	0.000
YGL008C	0.000	0.000	0.000	0.000	0.000	0.000
YGL011C	0.000	0.000	0.000	0.000	0.000	0.000
YGL022W	0.000	0.000	0.000	0.000	0.000	0.000
YGL030W	0.000	0.000	0.000	0.000	0.000	0.000
YGL040C	0.000	0.000	0.000	0.000	0.000	0.000
YGL044C	0.000	0.000	0.000	0.000	0.000	0.000
YGL047W	0.000	0.000	0.000	0.000	0.000	0.000
YGL048C	0.000	0.000	0.000	0.000	0.000	0.000
YGL055W	0.000	0.000	0.000	0.000	0.000	0.000
YGL061C	0.000	0.000	0.000	0.000	0.000	0.000
YGL065C	0.000	0.000	0.000	0.000	0.000	0.000
YGL073W	0.000	0.000	0.000	0.000	0.000	0.000
YGL075C	0.000	0.000	0.000	0.000	0.000	0.000
YGL091C	0.000	0.000	0.000	0.000	0.000	0.000
YGL093W	0.000	0.000	0.000	0.000	0.000	0.000
YGL097W	0.000	0.000	0.000	1.000	0.000	0.000
YGL098W	0.000	0.000	0.000	0.000	0.000	0.000
YGL111W	0.000	0.000	0.000	0.000	0.000	0.000
YGL112C	0.000	0.000	0.000	0.000	0.000	0.000
YGL113W	0.000	0.000	0.000	0.000	0.000	0.000
YGL116W	0.000	0.000	0.000	0.000	0.000	0.000
YGL120C	1.000	0.000	0.000	0.000	0.000	0.000
YGL130W	0.000	0.000	0.000	0.000	0.000	0.000
YGL137W	0.000	0.000	0.000	0.000	0.000	0.000
YGL142C	0.000	0.000	0.000	0.000	0.000	0.000
YGL145W	0.000	0.000	0.000	0.000	0.000	0.000
YGL155W	0.000	0.000	0.000	0.000	0.000	0.000
YGL201C	0.000	0.000	0.000	0.000	0.000	0.000
YGL207W	0.000	0.000	0.000	0.000	0.000	0.000
YGL233W	0.000	0.000	0.000	0.000	0.000	0.000
YGL238W	1.000	0.000	0.000	0.000	0.000	0.000
YGL245W	0.000	0.000	0.000	0.000	0.000	0.000
YGL247W	0.000	0.000	0.000	0.000	0.000	0.000
YGR002C	0.000	0.000	0.000	0.000	0.000	0.000
YGR005C	0.000	0.000	0.000	0.000	0.000	0.000
YGR006W	0.000	0.000	0.000	0.000	0.000	0.000
YGR009C	0.000	0.000	0.000	0.000	0.000	0.000
YGR013W	0.000	0.000	0.000	0.000	0.000	0.000
YGR024C	0.000	0.000	0.000	0.000	0.000	0.000
YGR029W	0.000	0.000	0.000	0.000	0.000	0.000
YGR046W	0.000	0.000	0.000	0.000	0.000	0.000
YGR047C	0.000	0.000	0.000	0.000	0.000	0.000
YGR048W	0.000	0.000	0.000	0.000	0.000	0.000
YGR074W	0.000	0.000	0.000	0.000	0.000	0.000
YGR075C	0.000	0.000	0.000	0.000	0.000	0.000
YGR091W	0.000	0.000	0.000	0.000	0.000	0.000
YGR092W	0.000	0.000	0.000	0.000	0.000	0.000
YGR094W	0.000	0.000	0.000	0.000	0.000	0.000
YGR098C	0.000	0.000	0.000	0.000	0.000	0.000
YGR099W	0.000	0.000	0.000	0.000	0.000	0.000
YGR103W	0.000	0.000	0.000	0.000	0.000	0.000
YGR113W	0.000	0.000	0.000	0.000	0.000	0.000
YGR116W	0.000	0.000	0.000	0.000	0.000	0.000
YGR119C	0.000	0.000	0.000	1.000	0.000	0.000
YGR120C	0.000	0.000	0.000	0.000	0.000	0.000
YGR128C	0.000	0.000	0.000	0.000	0.000	0.000
YGR140W	0.000	0.000	0.000	0.000	0.000	0.000
YGR145W	0.000	0.000	0.000	0.000	0.000	0.000
YGR156W	0.000	0.000	0.000	0.000	0.000	0.000
YGR158C	0.000	0.000	0.000	0.000	0.000	0.000
YGR179C	0.000	0.000	0.000	0.000	0.000	0.000
YGR185C	0.000	0.000	0.000	0.000	0.000	0.000
YGR195W	0.000	0.000	0.000	0.000	0.000	0.000
YGR211W	0.000	0.000	0.000	0.000	0.000	0.000
YGR216C	0.000	0.000	0.000	0.000	0.000	0.000
YGR218W	0.000	0.000	0.000	1.000	0.000	0.000
YGR245C	0.000	0.000	0.000	0.000	0.000	0.000
YGR246C	0.000	0.000	0.000	0.000	0.000	0.000
YGR253C	0.000	0.000	0.000	0.000	0.000	0.000
YGR264C	0.000	0.000	0.000	0.000	0.000	0.000
YGR274C	0.000	0.000	0.000	0.000	0.000	0.000
YGR277C	0.000	0.000	0.000	0.000	0.000	0.000
YGR278W	0.000	0.000	0.000	0.000	0.000	0.000
YHR005C	0.000	0.000	0.000	0.000	0.000	0.000
YHR007C	0.000	0.000	0.000	0.000	0.000	0.000
YHR019C	0.000	0.000	0.000	0.000	0.000	0.000
YHR020W	0.000	0.000	0.000	0.000	0.000	0.000
YHR024C	0.000	0.000	0.000	0.000	0.000	0.000
YHR027C	0.000	0.000	0.000	1.000	0.000	0.000
YHR040W	0.000	0.000	0.000	0.000	0.000	0.000
YHR052W	0.000	0.000	0.000	0.000	0.000	0.000
YHR065C	0.000	0.000	0.000	0.000	0.000	0.000
YHR069C	0.000	0.000	0.000	0.000	0.000	0.000
YHR070W	0.000	0.000	0.000	0.000	0.000	0.000
YHR085W	0.000	0.000	0.000	0.000	0.000	0.000
YHR101C	0.000	0.000	0.000	0.000	0.000	0.000
YHR107C	0.000	0.000	0.000	0.000	0.000	0.000
YHR118C	0.000	0.000	0.000	0.000	0.000	0.000
YHR122W	0.000	0.000	0.000	0.000	0.000	0.000
YHR164C	1.000	0.000	0.000	0.000	0.000	0.000
YHR166C	0.000	0.000	0.000	0.000	0.000	0.000
YHR170W	0.000	0.000	0.000	0.000	0.000	0.000
YHR172W	0.000	0.000	0.000	0.000	0.000	0.000
YHR186C	0.000	0.000	0.000	0.000	0.000	0.000
YHR188C	0.000	0.000	0.000	0.000	0.000	0.000
YHR190W	0.000	0.000	0.000	0.000	0.000	0.000
YHR191C	0.000	0.000	0.000	0.000	0.000	0.000
YHR196W	0.000	0.000	0.000	0.000	0.000	0.000
YHR197W	0.000	0.000	0.000	0.000	0.000	0.000
YIL004C	0.000	0.000	0.000	0.000	0.000	0.000
YIL021W	0.000	0.000	0.000	0.000	0.000	0.000
YIL022W	0.000	0.000	0.000	0.000	0.000	0.000
YIL026C	0.000	0.000	0.000	0.000	0.000	0.000
YIL046W	0.000	0.000	0.000	0.000	0.000	0.000
YIL048W	0.000	0.000	0.000	0.000	0.000	0.000
YIL061C	1.000	0.000	0.000	0.000	0.000	0.000
YIL062C	0.000	0.000	0.000	0.000	0.000	0.000
YIL068C	0.000	0.000	0.000	0.000	0.000	0.000
YIL078W	0.000	0.000	0.000	1.000	0.000	0.000
YIL083C	0.000	0.000	0.000	0.000	0.000	0.000
YIL104C	0.000	0.000	0.000	0.000	0.000	0.000
YIL106W	0.000	0.000	0.000	0.000	0.000	0.000
YIL109C	0.000	0.000	0.000	0.000	0.000	0.000
YIL115C	0.000	0.000	0.000	1.000	0.000	0.000
YIL118W	0.000	0.000	0.000	0.000	0.000	0.000
YIL126W	1.000	0.000	0.000	0.000	0.000	0.000
YIL143C	0.000	0.000	0.000	0.000	0.000	0.000
YIL144W	0.000	0.000	0.000	0.000	0.000	0.000
YIL147C	0.000	0.000	0.000	0.000	0.000	0.000
YIL150C	0.000	0.000	0.000	0.000	0.000	0.000
YIR006C	0.000	0.000	0.000	0.000	0.000	0.000
YIR008C	0.000	0.000	0.000	0.000	0.000	0.000
YIR010W	0.000	0.000	0.000	0.000	0.000	0.000
YIR011C	0.000	0.000	0.000	0.000	0.000	0.000
YIR012W	0.000	0.000	0.000	0.000	0.000	0.000
YIR022W	0.000	0.000	0.000	0.000	0.000	0.000
YJL001W	0.000	0.000	0.000	0.000	0.000	0.000
YJL002C	0.000	0.000	0.000	0.000	0.000	0.000
YJL005W	0.000	0.000	0.000	0.000	0.000	0.000
YJL010C	0.000	0.000	0.000	0.000	0.000	0.000
YJL011C	0.000	0.000	0.000	0.000	0.000	0.000
YJL019W	0.000	0.000	0.000	0.000	0.000	0.000
YJL025W	0.000	0.000	0.000	0.000	0.000	0.000
YJL031C	0.000	0.000	0.000	0.000	0.000	0.000
YJL034W	0.000	0.000	0.000	0.000	0.000	0.000
YJL035C	0.000	0.000	0.000	0.000	0.000	0.000
YJL039C	0.000	0.000	0.000	1.000	0.000	0.000
YJL050W	0.000	0.000	0.000	0.000	0.000	0.000
YJL069C	0.000	0.000	0.000	0.000	0.000	0.000
YJL072C	0.000	0.000	0.000	0.000	0.000	0.000
YJL074C	0.000	0.000	0.000	0.000	0.000	0.000
YJL081C	1.000	0.000	0.000	0.000	0.000	0.000
YJL085W	0.000	0.000	0.000	0.000	0.000	0.000
YJL087C	0.000	0.000	0.000	0.000	0.000	0.000
YJL090C	0.000	0.000	0.000	0.000	0.000	0.000
YJL125C	0.000	0.000	0.000	0.000	0.000	0.000
YJL167W	0.000	0.000	0.000	0.000	0.000	0.000
YJL173C	0.000	0.000	0.000	0.000	0.000	0.000
YJL174W	0.000	0.000	0.000	0.000	0.000	0.000
YJL194W	0.000	0.000	0.000	0.000	0.000	0.000
YJL203W	0.000	0.000	0.000	0.000	0.000	0.000
YJR002W	0.000	0.000	0.000	0.000	0.000	0.000
YJR007W	0.000	0.000	0.000	0.000	0.000	0.000
YJR017C	0.000	0.000	0.000	0.000	0.000	0.000
YJR042W	0.000	0.000	0.000	0.000	0.000	0.000
YJR045C	0.000	0.000	0.000	0.000	0.000	0.000
YJR046W	0.000	0.000	0.000	0.000	0.000	0.000
YJR057W	0.000	0.000	0.000	0.000	0.000	0.000
YJR064W	0.000	0.000	0.000	0.000	0.000	0.000
YJR065C	0.000	0.000	0.000	0.000	0.000	0.000
YJR068W	0.000	0.000	0.000	0.000	0.000	0.000
YJR072C	0.000	0.000	0.000	0.000	0.000	0.000
YJR076C	0.000	0.000	0.000	0.000	0.000	0.000
YJR112W	0.000	0.000	0.000	0.000	0.000	0.000
YJR141W	0.000	0.000	0.000	0.000	0.000	0.000
YKL004W	0.000	0.000	0.000	0.000	0.000	0.000
YKL006C-A	0.000	0.000	0.000	0.000	0.000	0.000
YKL012W	0.000	0.000	0.000	0.000	0.000	0.000
YKL013C	0.000	0.000	0.000	0.000	0.000	0.000
YKL018W	0.000	0.000	0.000	0.000	0.000	0.000
YKL019W	0.000	0.000	0.000	0.000	0.000	0.000
YKL022C	0.000	0.000	0.000	0.000	0.000	0.000
YKL024C	1.000	0.000	0.000	0.000	0.000	0.000
YKL028W	0.000	0.000	0.000	0.000	0.000	0.000
YKL033W	0.000	0.000	0.000	0.000	0.000	0.000
YKL035W	0.000	0.000	0.000	0.000	0.000	0.000
YKL042W	0.000	0.000	0.000	0.000	0.000	0.000
YKL045W	0.000	0.000	0.000	0.000	0.000	0.000
YKL049C	0.000	0.000	0.000	0.000	0.000	0.000
YKL052C	0.000	0.000	0.000	0.000	0.000	0.000
YKL059C	0.000	0.000	0.000	0.000	0.000	0.000
YKL060C	0.000	0.000	0.000	0.000	0.000	0.000
YKL078W	0.000	0.000	0.000	0.000	0.000	0.000
YKL088W	0.000	0.000	0.000	0.000	0.000	0.000
YKL089W	0.000	0.000	0.000	0.000	0.000	0.000
YKL095W	0.000	0.000	0.000	0.000	0.000	0.000
YKL104C	0.000	0.000	0.000	0.000	0.000	0.000
YKL112W	1.000	0.000	0.000	0.000	0.000	0.000
YKL125W	0.000	0.000	0.000	0.000	0.000	0.000
YKL144C	1.000	0.000	0.000	0.000	0.000	0.000
YKL145W	0.000	0.000	0.000	0.000	0.000	0.000
YKL154W	0.000	0.000	0.000	0.000	0.000	0.000
YKL165C	0.000	0.000	0.000	0.000	0.000	0.000
YKL172W	0.000	0.000	0.000	0.000	0.000	0.000
YKL173W	1.000	0.000	0.000	0.000	0.000	0.000
YKL186C	0.000	0.000	0.000	1.000	0.000	0.000
YKL189W	0.000	0.000	0.000	0.000	0.000	0.000
YKL193C	0.000	0.000	0.000	0.000	0.000	0.000
YKL195W	0.000	0.000	0.000	0.000	0.000	0.000
YKL196C	0.000	0.000	0.000	0.000	0.000	0.000
YKL203C	0.000	0.000	0.000	0.000	0.000	0.000
YKL210W	0.000	0.000	0.000	0.000	0.000	0.000
YKR002W	0.000	0.000	0.000	0.000	0.000	0.000
YKR008W	0.000	0.000	0.000	0.000	0.000	0.000
YKR022C	0.000	0.000	0.000	0.000	0.000	0.000
YKR025W	0.000	0.000	0.000	0.000	0.000	0.000
YKR037C	0.000	0.000	0.000	0.000	0.000	0.000
YKR062W	0.000	0.000	0.000	0.000	0.000	0.000
YKR063C	0.000	0.000	0.000	0.000	0.000	0.000
YKR068C	0.000	0.000	0.000	0.000	0.000	0.000
YKR071C	0.000	0.000	0.000	0.000	0.000	0.000
YKR081C	0.000	0.000	0.000	0.000	0.000	0.000
YKR083C	0.000	0.000	0.000	0.000	0.000	0.000
YKR086W	0.000	0.000	0.000	0.000	0.000	0.000
YLL003W	0.000	0.000	0.000	0.000	0.000	0.000
YLL004W	0.000	0.000	0.000	0.000	0.000	0.000
YLL008W	0.000	0.000	0.000	0.000	0.000	0.000
YLL011W	0.000	0.000	0.000	0.000	0.000	0.000
