ORF	hom | growth (relative abundance in pooled culture) | cisplatin [1 mM] | Wu HI~Brown JM, 2004	hom | growth (relative abundance in pooled culture) | cisplatin [0.23 mM] | Wu HI~Brown JM, 2004	hom | growth (relative abundance in pooled culture) | mitomycin C [0.5 mM] | Wu HI~Brown JM, 2004	hom | growth (relative abundance in pooled culture) | oxaliplatin [10 mM] | Wu HI~Brown JM, 2004
YEL004W	0.059	-0.082	-0.067	0.088
YIL145C	0.031	-0.082	-0.088	0.004
YIL162W	-0.040	-0.082	0.061	0.041
YJL013C	-0.002	-0.082	-0.044	0.032
YJL043W	-0.014	-0.082	-0.003	-0.068
YJR153W	0.031	-0.082	0.013	-0.007
YLL061W	0.003	-0.082	0.008	0.014
YLR039C	-0.078	-0.082	0.028	-0.435
YMR126C	-0.048	-0.082	0.071	-0.013
YOL163W	-0.016	-0.082	0.032	0.047
YOR299W	-0.062	-0.082	0.042	-0.011
YPL154C	-0.016	-0.082	-0.037	-0.002
YHR001W-A	0.007	-0.081	0.002	0.018
YJL079C	-0.026	-0.081	-0.020	-0.004
YNL127W	0.113	-0.081	0.017	0.049
YOL089C	-0.370	-0.081	-0.073	-1.692
YOR087W	-0.085	-0.081	-0.032	0.002
YBR185C	0.006	-0.080	0.040	-0.254
YDR252W	-0.003	-0.080	0.035	0.273
YGR122W	0.098	-0.080	0.016	0.370
YHL014C	0.056	-0.080	-0.019	-0.034
YIL025C	0.003	-0.080	-0.014	-0.074
YJR116W	-0.019	-0.080	0.001	0.001
YKR078W	-0.103	-0.080	0.026	0.013
YLL001W	0.021	-0.080	0.038	-0.151
YMR304W	-0.146	-0.080	0.018	0.058
YOL159C	-0.027	-0.080	-0.050	-0.108
YPL123C	-0.030	-0.080	0.001	-0.051
YAL064C-A	0.026	-0.079	0.041	0.035
YDR337W	0.018	-0.079	NaN	NaN
YJL190C	0.046	-0.079	0.173	-0.004
YLR123C	-0.051	-0.079	-0.031	-0.036
YOR099W	-0.085	-0.079	-0.003	-0.274
YOR354C	0.037	-0.079	0.047	0.064
YPL258C	0.047	-0.079	0.021	0.067
YPR076W	-0.172	-0.079	0.109	-0.208
YBL080C	-0.015	-0.078	0.197	0.150
YDL100C	-0.047	-0.078	0.100	-0.218
YHL039W	-0.030	-0.078	-0.003	-0.010
YIL014W	-0.117	-0.078	0.020	-0.134
YJR129C	-0.059	-0.078	-0.075	-0.218
YJR139C	-0.171	-0.078	-0.147	-0.563
YLL056C	-0.019	-0.078	-0.031	0.014
YLR057W	0.026	-0.078	0.013	-0.058
YMR114C	-0.023	-0.078	-0.080	-0.037
YMR261C	0.010	-0.078	0.019	0.056
YOR019W	-0.031	-0.078	-0.057	0.040
YPL247C	0.009	-0.078	-0.027	-0.035
YAL007C	-0.072	-0.077	-0.040	-0.049
YAR043C	-0.051	-0.077	NaN	0.321
YBR037C	-0.142	-0.077	NaN	0.118
YBR116C	-0.057	-0.077	0.005	-0.019
YDR137W	-0.134	-0.077	0.148	-0.302
YDR392W	-0.008	-0.077	NaN	0.140
YHR207C	-0.163	-0.077	-0.074	0.107
YJL197W	-0.138	-0.077	0.066	-0.143
YKL148C	-0.109	-0.077	0.145	-0.112
YKL183W	-0.059	-0.077	0.009	-0.065
YLR065C	0.132	-0.077	-0.092	0.015
YML027W	0.064	-0.077	-0.028	0.144
YMR319C	-0.063	-0.077	-0.075	-0.092
YOR081C	0.026	-0.077	-0.102	-0.189
YOR385W	-0.001	-0.077	-0.058	0.001
YPL121C	-0.048	-0.077	0.007	-0.160
YPL250C	0.033	-0.077	-0.074	-0.095
YBR043C	-0.106	-0.076	0.027	-0.078
YBR174C	-0.105	-0.076	0.086	-0.110
YDR223W	-0.134	-0.076	0.016	-0.014
YDR377W	0.118	-0.076	NaN	0.333
YER017C	0.566	-0.076	0.186	1.198
YER067W	0.001	-0.076	-0.063	-0.038
YER106W	-0.014	-0.076	-0.182	-0.390
YFL001W	-0.041	-0.076	NaN	-0.044
YNL101W	-0.014	-0.076	-0.041	-0.003
YNL160W	0.012	-0.076	0.048	-0.038
YNL254C	-0.020	-0.076	-0.040	-0.003
YPL196W	-0.032	-0.076	-0.034	-0.003
YDL182W	-0.046	-0.075	0.073	-0.091
YIL072W	-0.005	-0.075	0.067	-0.133
YLR004C	-0.011	-0.075	0.022	-0.047
YLR128W	0.006	-0.075	0.058	-0.094
YMR100W	-0.114	-0.075	0.032	0.335
YNL099C	-0.099	-0.075	-0.027	0.344
YNL214W	-0.135	-0.075	0.018	-0.015
YOL024W	0.001	-0.075	-0.031	-0.007
YAL067C	0.029	-0.074	-0.001	-0.149
YBR040W	-0.058	-0.074	0.084	-0.015
YCR076C	0.001	-0.074	0.032	-0.073
YDL052C	-0.159	-0.074	0.014	-0.433
YDR105C	0.044	-0.074	0.095	-0.076
YER034W	0.086	-0.074	-0.016	0.100
YHR195W	-0.027	-0.074	0.028	-0.056
YJL021C	-0.099	-0.074	0.027	-0.011
YLL052C	0.007	-0.074	0.034	-0.007
YMR169C	-0.046	-0.009	-0.012	-0.048
YOL015W	-0.051	-0.074	-0.039	-0.075
YOR184W	0.008	-0.074	0.004	-0.062
YPL150W	-0.022	-0.074	0.015	-0.081
YBR050C	-0.003	-0.073	0.038	0.050
YDR183W	-0.020	-0.073	0.005	-0.059
YGL255W	0.014	-0.073	0.079	0.128
YHR142W	-0.070	-0.073	0.123	0.001
YHR204W	-0.130	-0.073	-0.047	0.075
YIL165C	0.028	-0.073	-0.191	0.125
YLL047W	-0.003	-0.073	-0.017	-0.030
YLR063W	0.014	-0.073	-0.076	-0.007
YLR114C	-0.058	-0.073	0.005	-0.072
YLR124W	-0.058	-0.073	-0.037	-0.088
YLR171W	-0.079	-0.073	-0.027	-0.105
YOR139C	0.031	-0.073	NaN	0.310
YOR307C	-0.076	-0.073	-0.014	-0.065
YPL074W	-0.015	-0.073	-0.033	-0.672
YBR205W	-0.007	-0.072	-0.031	-0.035
YDL099W	-0.011	-0.072	-0.059	0.052
YDR165W	0.059	-0.072	-0.066	0.166
YGL249W	-0.061	-0.072	0.037	0.082
YIL102C	-0.023	-0.072	0.027	-0.013
YJR128W	-0.102	-0.072	0.009	-0.117
YML121W	-0.066	-0.072	-0.083	-0.487
YNL093W	-0.067	-0.072	0.069	0.004
YNL173C	-0.021	-0.072	0.013	-0.056
YNL235C	0.065	-0.072	0.001	0.117
YNL269W	-0.024	-0.072	-0.049	-0.073
YOL147C	0.009	-0.072	-0.056	0.032
YOR323C	0.161	-0.072	0.164	-0.420
YPL141C	-0.029	-0.072	0.042	-0.126
YPL240C	0.025	-0.072	-0.015	0.000
YDR158W	-0.011	-0.071	0.043	0.025
YIL158W	-0.127	-0.071	0.022	-0.018
YJL133W	-0.061	-0.071	0.019	-0.120
YLR169W	-0.159	-0.071	-0.009	-0.046
YMR111C	-0.092	-0.071	-0.066	-0.094
YMR206W	0.007	-0.071	-0.055	0.048
YMR259C	0.148	-0.071	-0.123	0.065
YNL200C	-0.036	-0.071	-0.018	-0.072
YOL014W	0.037	-0.071	0.012	0.051
YOL019W	-0.031	-0.071	-0.026	0.027
YOL055C	-0.015	-0.071	-0.033	0.019
YPL055C	-0.201	-0.071	-0.115	-0.777
YDR290W	-0.034	-0.070	0.001	0.247
YDR314C	-0.109	-0.070	0.034	-0.175
YER084W	-0.065	-0.070	0.111	-0.187
YHL013C	0.088	-0.070	0.018	0.249
YHR137W	-0.009	-0.070	0.149	0.015
YIL043C	0.065	-0.070	-0.035	0.139
YJL037W	0.003	-0.070	0.036	0.079
YJL130C	0.008	-0.070	-0.106	0.054
YLL055W	0.041	-0.070	0.034	0.121
YLR070C	-0.020	-0.070	-0.041	-0.059
YML080W	-0.032	-0.070	0.100	-0.315
YML102W	-0.137	-0.070	NaN	-0.146
YMR103C	-0.066	-0.070	0.024	0.070
YOL057W	0.005	-0.070	-0.029	0.004
YOL059W	0.012	-0.070	-0.014	0.004
YOR067C	-0.062	-0.070	0.002	-0.375
YOR079C	-0.013	-0.070	-0.041	-0.256
YPR018W	-0.350	-0.070	0.247	-0.192
YDR419W	-0.130	-0.069	-0.004	-0.392
YGR079W	-0.034	-0.069	0.007	-0.097
YIL136W	0.016	-0.069	-0.059	0.077
YIR014W	-0.009	-0.069	0.061	0.008
YJL036W	-0.011	-0.069	-0.013	-0.014
YJL048C	0.016	-0.069	-0.014	-0.020
YLL051C	-0.014	-0.069	-0.059	-0.014
YLR104W	-0.034	-0.069	0.058	-0.121
YLR346C	-0.013	-0.069	-0.082	-0.119
YNL104C	-0.020	-0.069	0.015	0.001
YOR044W	-0.036	-0.069	0.015	-0.090
YDR204W	0.120	-0.068	NaN	NaN
YER079W	0.051	-0.068	0.038	0.077
YER141W	-0.015	-0.068	0.052	-0.042
YJL066C	0.043	-0.068	0.011	-0.004
YJR149W	-0.023	-0.068	-0.031	-0.004
YMR316C-B	-0.005	-0.068	-0.027	0.044
YMR317W	0.016	-0.068	-0.036	0.054
YOR154W	-0.167	-0.068	0.055	-0.292
YPL021W	-0.050	-0.068	0.020	-0.054
YPL119C	-0.005	-0.068	-0.050	-0.032
YAL005C	-0.054	-0.067	-0.010	-0.043
YCL008C	0.130	-0.067	-0.064	0.238
YDL095W	-0.179	-0.067	0.066	-0.226
YDR114C	0.234	-0.067	NaN	NaN
YDR467C	-0.055	-0.067	0.072	0.017
YIL087C	-0.179	-0.067	0.031	0.005
YML053C	-0.038	-0.067	-0.064	-0.138
YNL094W	0.045	-0.067	0.003	0.033
YNL334C	0.005	-0.067	0.011	0.179
YPL182C	0.140	-0.067	-0.007	0.243
YPL199C	0.008	-0.067	-0.005	0.049
YBR008C	0.009	-0.066	0.079	0.053
YCR053W	-0.133	-0.066	-0.047	-0.082
YDR071C	-0.026	-0.066	0.006	-0.179
YER028C	0.254	-0.066	0.026	0.165
YER096W	0.016	-0.066	-0.033	0.046
YER175C	-0.034	-0.066	-0.003	-0.024
YIL105C	-0.078	-0.066	-0.068	0.130
YIL120W	0.002	-0.066	0.013	-0.050
YMR141C	-0.048	-0.066	0.033	0.069
YOL053C-A	0.014	-0.066	0.028	0.020
YOR185C	0.013	-0.066	-0.003	-0.012
YOR311C	0.011	-0.066	0.001	-0.039
YPL018W	-0.262	-0.066	0.133	-0.376
YPL096W	-0.012	-0.066	-0.051	-0.048
YPR157W	-0.055	-0.066	0.152	0.023
YGL237C	-0.065	-0.065	0.080	0.204
YGL261C	0.039	-0.065	-0.090	0.175
YKL121W	-0.120	-0.065	0.021	-0.331
YML051W	-0.029	-0.065	0.073	-0.194
YMR273C	0.003	-0.065	0.073	-0.132
YNL176C	-0.037	-0.065	-0.043	-0.008
YNL338W	-0.031	-0.065	0.017	-0.017
YOR229W	0.024	-0.065	0.022	0.007
YCR034W	-0.129	-0.064	0.132	0.618
YDR257C	-0.124	-0.064	-0.050	0.085
YGL054C	0.044	-0.064	0.257	0.659
YHR133C	-0.028	-0.064	0.040	-0.018
YIL011W	0.000	-0.064	-0.044	0.113
YJR088C	0.015	-0.064	0.106	-0.088
YKL098W	-0.061	-0.064	0.113	-0.185
YLR451W	-0.034	-0.064	-0.053	-0.043
YNL191W	0.013	-0.064	-0.010	-0.010
YAL051W	0.020	-0.063	-0.038	-0.056
YBL107C	-0.037	-0.063	-0.048	-0.069
YBR020W	-0.168	-0.024	-0.105	-0.253
YBR033W	-0.105	-0.063	0.027	-0.110
YBR045C	-0.085	-0.063	0.115	-0.090
YCR069W	-0.047	-0.063	-0.017	0.009
YDR080W	-0.038	-0.063	0.069	-0.197
YDR258C	0.029	-0.063	0.137	0.297
YHR082C	-0.112	-0.063	0.001	-0.061
YJL055W	-0.034	-0.063	-0.097	-0.055
YLR072W	0.025	-0.063	0.002	-0.500
YML119W	-0.138	-0.063	-0.166	-0.281
YNL027W	-0.269	-0.063	-0.024	-0.183
YNL105W	-0.148	-0.063	0.019	-0.217
YOL046C	0.002	-0.063	-0.085	0.129
YOL065C	-0.050	-0.063	0.059	-0.086
YOR023C	-0.054	-0.063	0.013	-0.344
YOR141C	0.207	-0.063	-0.114	0.341
YPL249C	0.029	-0.063	-0.024	0.041
YBL085W	-0.018	-0.062	0.006	0.022
YEL065W	0.040	-0.062	-0.020	-0.017
YHR109W	-0.040	-0.062	-0.021	0.010
YJR011C	-0.069	-0.062	-0.029	-0.230
YKL136W	-0.125	-0.062	0.034	-0.017
YKR031C	-0.118	-0.062	-0.007	-0.437
YMR171C	-0.043	-0.062	-0.048	-0.046
YMR316C-A	0.000	-0.062	-0.052	0.034
YOL045W	0.005	-0.062	-0.021	-0.067
YOR209C	-0.054	-0.062	NaN	0.268
YOR269W	-0.124	-0.062	-0.117	-0.094
YOR286W	-0.063	-0.062	-0.049	-0.131
YPL163C	-0.045	-0.062	-0.037	0.021
YPL241C	0.002	-0.062	0.095	0.008
YDL146W	-0.155	-0.061	0.054	-0.215
YDR459C	-0.096	-0.061	0.019	0.081
YER150W	0.054	-0.061	-0.024	0.109
YFR057W	0.008	-0.061	NaN	0.057
YIL050W	-0.117	-0.061	-0.078	-0.021
YNL100W	-0.062	-0.061	0.029	0.090
YNL183C	-0.287	-0.061	0.055	-0.473
YOL013C	-0.054	-0.061	0.050	-0.018
YOR069W	0.034	-0.061	0.045	-0.104
YPL165C	-0.009	-0.061	-0.032	0.013
YBR287W	0.012	-0.060	-0.052	-0.052
YDL093W	-0.051	-0.060	0.040	0.095
YEL068C	0.032	-0.060	0.008	-0.030
YFL010W-A	-0.022	-0.060	0.029	-0.204
YIL002C	-0.035	-0.060	0.037	-0.213
YIL071C	0.008	-0.060	-0.056	0.048
YIL113W	-0.010	-0.060	-0.034	-0.002
YJR051W	-0.025	-0.060	0.015	-0.012
YJR135C	-0.121	-0.060	-0.023	-0.103
YLL009C	0.043	-0.060	0.120	-0.003
YOL031C	-0.022	-0.060	0.054	-0.064
YOR320C	-0.033	-0.060	-0.012	-0.275
YPL135W	-0.073	-0.060	-0.001	-0.072
YEL005C	0.036	-0.059	-0.044	0.051
YEL043W	-0.008	-0.059	0.041	0.078
YGR221C	0.046	-0.059	0.001	0.097
YHL020C	0.287	-0.059	0.055	0.191
YJL083W	0.032	-0.059	0.065	-0.041
YJR074W	0.109	-0.059	-0.196	0.400
YLR092W	-0.046	-0.059	0.042	0.013
YMR286W	-0.048	-0.059	0.162	0.066
YNL129W	-0.033	-0.059	-0.014	-0.006
YOR097C	-0.131	-0.059	0.013	-0.251
YOR100C	-0.037	-0.059	-0.014	-0.037
YOR288C	-0.004	-0.059	0.000	-0.042
YOR304C-A	-0.031	-0.059	-0.022	0.064
YOR316C	-0.012	-0.059	0.042	-0.110
YPL186C	-0.073	-0.059	0.039	-0.054
YDR095C	-0.031	-0.058	0.071	0.100
YIL023C	0.088	-0.058	0.038	0.049
YIL090W	-0.091	-0.058	-0.027	0.096
YIL141W	-0.105	-0.058	-0.034	-0.001
YJL064W	0.065	-0.058	-0.031	0.120
YJR107W	0.034	-0.058	-0.015	0.017
YLR170C	-0.183	-0.058	0.043	-0.139
YML082W	-0.099	-0.058	-0.030	-0.391
YOR268C	-0.100	-0.058	-0.006	0.063
YPL236C	-0.018	-0.058	-0.087	-0.094
YPR005C	-0.099	-0.058	0.051	-0.201
YAL009W	0.075	-0.057	-0.056	-0.073
YBL001C	-0.029	-0.057	0.045	-0.021
YDL171C	0.002	-0.057	-0.005	-0.024
YEL067C	0.012	-0.057	0.043	0.004
YJL017W	0.027	-0.057	0.062	0.022
YJR003C	-0.037	-0.057	0.051	-0.006
YJR113C	0.190	-0.057	NaN	0.183
YKL167C	-0.059	-0.057	0.067	0.003
YLR097C	-0.066	-0.057	-0.118	-0.099
YLR394W	-0.043	-0.057	-0.111	-0.109
YOR062C	0.037	-0.057	0.001	0.009
YOR165W	-0.123	-0.057	0.059	-0.197
YOR230W	0.056	-0.057	-0.025	0.037
YOR289W	-0.036	-0.057	-0.043	-0.009
YPL263C	-0.003	-0.057	-0.030	0.045
YBR062C	-0.068	-0.056	0.098	0.203
YDR210W	-0.020	-0.056	0.025	-0.078
YDR287W	-0.222	-0.056	-0.076	0.014
YEL025C	-0.014	-0.056	-0.031	-0.027
YJR115W	0.005	-0.056	-0.064	0.014
YLR191W	-0.054	-0.056	-0.058	-0.203
YMR219W	-0.158	-0.056	NaN	-0.072
YOL162W	0.052	-0.056	-0.044	0.110
YPL115C	-0.109	-0.056	-0.073	0.074
YBR229C	0.057	-0.055	0.131	-0.138
YCL011C	0.096	-0.055	0.039	0.234
YCL026C-A	-0.073	-0.055	-0.023	-0.072
YDR306C	-0.124	-0.055	-0.049	-0.007
YJL148W	-0.077	-0.055	0.000	0.500
YJR083C	-0.137	-0.055	-0.008	-0.369
YLR003C	-0.007	-0.055	0.111	-0.032
YLR030W	0.006	-0.055	-0.097	-0.044
YLR112W	-0.030	-0.055	-0.003	-0.036
YMR276W	0.044	-0.055	0.008	0.049
YOR121C	-0.041	-0.055	-0.006	-0.027
YPL077C	-0.090	-0.055	0.042	-0.127
YDL096C	0.166	-0.054	0.028	-0.122
YEL041W	0.017	-0.054	-0.016	-0.071
YJL108C	-0.004	-0.054	-0.063	0.083
YJR004C	0.012	-0.054	-0.012	0.002
YJR126C	0.009	-0.054	0.162	-0.002
YLR069C	0.144	-0.054	NaN	NaN
YLR412W	-0.158	-0.054	0.070	-0.239
YNL194C	-0.002	-0.054	-0.004	0.001
YNL275W	0.114	-0.054	-0.038	-0.123
YOL056W	0.008	-0.054	-0.035	0.018
YPL084W	-0.049	-0.054	0.012	-0.283
YPL219W	-0.066	-0.054	-0.054	-0.001
YAR018C	0.111	-0.053	NaN	0.370
YBR015C	-0.232	-0.053	0.115	-0.714
YDR305C	-0.104	-0.053	-0.018	0.081
YFL010C	-0.012	-0.053	0.002	-0.032
YFR056C	0.037	-0.053	0.072	0.079
YHR061C	-0.032	-0.053	0.029	-0.123
YIL009W	-0.042	-0.053	-0.098	-0.002
YIL140W	0.007	-0.053	0.012	-0.021
YIL155C	-0.021	-0.053	0.024	-0.015
YJL045W	0.019	-0.053	0.015	0.092
YJR150C	0.028	-0.053	0.059	-0.020
YOL075C	-0.034	-0.053	-0.033	-0.033
YOR276W	-0.038	-0.053	0.066	-0.138
YOR357C	-0.001	-0.053	0.004	-0.099
YPL014W	-0.172	-0.053	0.049	-0.214
YPL099C	-0.037	-0.053	0.001	-0.053
YPL216W	-0.067	-0.053	0.035	-0.017
YPL267W	-0.077	-0.053	-0.007	-0.015
YBL104C	-0.079	-0.052	-0.123	-0.298
YDL190C	-0.122	-0.052	-0.075	-0.013
YDR279W	-0.128	-0.052	0.068	0.021
YDR520C	-0.138	-0.052	-0.012	-0.062
YGR049W	-0.086	-0.052	0.047	0.034
YGR050C	-0.111	-0.052	-0.054	-0.018
YHR095W	0.001	-0.052	0.103	0.016
YHR100C	-0.034	-0.052	NaN	NaN
YIL013C	-0.008	-0.052	-0.111	0.017
YIL059C	-0.037	-0.052	-0.013	0.065
YLL059C	-0.034	-0.052	-0.052	0.162
YLR119W	0.217	-0.052	0.085	0.033
YNL083W	-0.051	-0.052	-0.016	-0.084
YNL212W	0.002	-0.052	0.113	-0.006
YOR133W	-0.009	-0.052	0.014	-0.034
YPL095C	-0.018	-0.052	0.001	-0.069
YPL164C	-0.050	-0.052	-0.075	-0.017
YPL248C	-0.003	-0.052	-0.061	0.053
YDR147W	0.014	-0.051	0.079	-0.027
YEL014C	-0.096	-0.051	-0.015	0.010
YER001W	-0.031	-0.051	0.036	-0.088
YGR112W	-0.256	-0.051	NaN	0.253
YJL146W	-0.105	-0.051	0.024	-0.173
YJR010C-A	0.111	-0.051	-0.011	0.022
YJR020W	-0.017	-0.051	-0.085	-0.066
YLR073C	-0.085	-0.051	0.068	-0.576
YML129C	0.080	-0.051	0.121	0.106
YMR154C	0.120	-0.051	-0.078	0.356
YNL051W	-0.136	-0.051	0.060	-0.149
YNL123W	-0.017	-0.051	0.006	0.024
YOL037C	0.005	-0.051	-0.031	-0.035
YOL080C	0.088	-0.051	0.003	0.272
YOL083W	-0.061	-0.051	-0.027	-0.078
YOR298W	-0.004	-0.051	-0.026	-0.025
YAL053W	0.180	-0.050	-0.045	0.160
YBR199W	0.022	-0.050	-0.076	0.046
YBR301W	-0.055	-0.050	0.017	-0.021
YDL085W	-0.041	-0.050	-0.038	0.078
YDR272W	-0.083	-0.050	0.046	-0.012
YHR159W	-0.082	-0.050	-0.026	0.091
YJR008W	0.037	-0.050	-0.065	-0.118
YLR090W	0.011	-0.050	-0.015	-0.021
YMR246W	-0.043	-0.050	-0.013	-0.080
YMR251W-A	-0.017	-0.050	0.013	-0.072
YNL143C	-0.041	-0.050	0.054	-0.013
YNL304W	0.019	-0.050	0.037	0.075
YOR070C	-0.083	-0.050	0.050	-0.137
YBL098W	-0.066	-0.049	-0.038	-0.111
YBR019C	-0.033	-0.049	0.063	-0.504
YBR210W	-0.017	-0.049	0.131	-0.060
YCL036W	0.008	-0.049	0.007	-0.007
YDL200C	-0.023	-0.049	0.185	-0.041
YDR286C	-0.135	-0.049	-0.009	0.035
YHR123W	-0.068	-0.049	-0.024	-0.035
YIL099W	0.028	-0.049	0.024	-0.030
YJL170C	-0.027	-0.049	0.002	-0.063
YJR061W	-0.033	-0.049	0.079	0.030
YJR124C	-0.026	-0.049	0.056	-0.019
YLR122C	-0.022	-0.049	0.064	0.061
YMR136W	-0.047	-0.049	0.023	0.009
YMR271C	-0.022	-0.049	0.016	-0.067
YNL195C	-0.004	-0.049	0.053	-0.052
YNL255C	-0.111	-0.049	-0.019	-0.128
YOL044W	-0.009	-0.049	0.018	-0.074
YOR173W	-0.034	-0.049	-0.004	0.016
YOR177C	0.006	-0.049	-0.072	0.004
YPL048W	-0.034	-0.049	-0.002	-0.064
YBL081W	-0.131	-0.048	0.013	-0.314
YBR162W-A	-0.024	-0.048	0.017	-0.117
YBR277C	0.016	-0.048	NaN	-0.128
YCR019W	-0.059	-0.048	-0.004	-0.047
YDR042C	-0.053	-0.048	-0.004	-0.069
YDR271C	0.235	-0.048	-0.026	0.136
YDR274C	-0.016	-0.048	0.080	0.003
YER075C	0.086	-0.048	0.058	0.090
YIR021W	0.021	-0.048	NaN	0.048
YJL044C	0.071	-0.048	0.100	0.013
YJL077C	-0.036	-0.048	-0.072	0.041
YLL012W	-0.029	-0.048	0.028	-0.043
YNL326C	0.095	-0.048	0.082	0.234
YOL025W	0.040	-0.048	-0.004	0.016
YOL029C	0.013	-0.048	0.010	-0.033
YOL053W	0.002	-0.048	-0.002	0.035
YOR118W	-0.024	-0.048	0.027	-0.095
YOR313C	0.011	-0.048	0.031	-0.049
YBR157C	-0.034	-0.047	-0.010	0.022
YBR228W	0.012	-0.047	0.068	0.050
YCL014W	0.058	-0.047	-0.018	0.126
YDL046W	-0.027	-0.047	-0.024	-0.070
YDL224C	-0.120	-0.047	0.035	-0.185
YGL228W	-0.103	-0.047	0.080	-0.084
YJL112W	-0.028	-0.047	0.045	0.027
YLL005C	-0.021	-0.047	0.007	-0.118
YMR109W	-0.038	-0.047	-0.013	0.001
YOL032W	-0.038	-0.047	-0.036	0.022
YAL068C	-0.104	-0.046	0.003	-0.210
YBR024W	-0.076	-0.046	0.058	-0.068
YHR057C	-0.017	-0.046	-0.002	-0.020
YHR096C	-0.032	-0.046	0.035	-0.002
YKL092C	0.036	-0.046	-0.003	-0.116
YML052W	0.022	-0.046	-0.068	-0.122
YMR110C	-0.106	-0.046	-0.033	-0.144
YOL084W	0.014	-0.046	-0.012	0.005
YOR242C	-0.035	-0.046	0.036	-0.409
YOR277C	-0.050	-0.046	0.000	-0.214
YOR315W	0.025	-0.046	-0.002	-0.054
YEL011W	-0.017	-0.045	0.008	-0.076
YIL149C	-0.014	-0.045	-0.021	-0.143
YIL163C	-0.112	-0.045	0.028	0.111
YJL082W	0.023	-0.045	0.005	0.009
YJL141C	-0.250	-0.045	0.045	-0.584
YJR062C	-0.026	-0.045	0.052	-0.008
YJR108W	-0.003	-0.045	0.014	-0.029
YLR094C	-0.061	-0.045	-0.048	-0.065
YOR010C	-0.012	-0.045	0.006	0.019
YOR086C	0.034	-0.045	-0.061	-0.033
YBR217W	0.065	-0.044	0.027	0.035
YCR037C	-0.026	-0.044	0.073	-0.104
YEL018W	0.042	-0.044	0.054	-0.061
YGL010W	-0.030	-0.044	0.091	0.036
YGL254W	-0.076	-0.044	0.028	0.053
YGL258W	-0.026	-0.044	0.027	0.018
YHL034C	0.201	-0.044	0.167	0.254
YIL111W	0.087	-0.044	-0.031	0.114
YIL159W	0.010	-0.044	0.052	0.017
YIL166C	-0.096	-0.044	-0.313	-0.018
YLL048C	-0.002	-0.044	-0.043	-0.076
YLR001C	-0.017	-0.044	-0.013	-0.016
YOL017W	0.044	-0.044	0.060	-0.009
YOR367W	0.008	-0.044	-0.003	0.009
YPL174C	0.033	-0.044	0.295	0.138
YBL091C	-0.036	-0.043	0.003	-0.036
YCL024W	0.050	-0.043	-0.003	0.109
YJR109C	0.017	-0.043	-0.019	0.018
YLL042C	-0.004	-0.043	-0.034	0.035
YML072C	0.005	-0.043	-0.015	0.081
YML075C	-0.174	-0.043	0.017	-0.165
YML128C	0.631	-0.043	NaN	0.641
YOL158C	0.048	-0.043	-0.022	0.083
YOR317W	-0.008	-0.043	-0.029	-0.200
YOR374W	0.005	-0.043	-0.016	0.024
YBR184W	-0.024	-0.042	-0.082	-0.211
YEL040W	-0.025	-0.042	-0.012	0.020
YER176W	-0.042	-0.042	-0.003	-0.060
YIL010W	-0.020	-0.042	-0.049	0.029
YIL074C	-0.044	-0.042	-0.090	-0.061
YJL022W	-0.042	-0.042	0.069	0.197
YJL065C	0.044	-0.042	-0.035	0.193
YJR058C	-0.074	-0.042	0.031	0.009
YLR414C	-0.165	-0.042	0.018	-0.160
YMR247C	0.073	-0.042	0.082	0.203
YNL190W	0.034	-0.042	-0.032	-0.067
YOL047C	-0.001	-0.042	-0.116	0.016
YOR306C	-0.036	-0.042	0.030	0.044
YPL013C	-0.015	-0.042	0.068	0.217
YPL034W	0.030	-0.042	-0.024	-0.004
YPL103C	-0.037	-0.042	0.024	-0.038
YPL223C	-0.011	-0.042	-0.010	0.025
YPR149W	-0.068	-0.042	0.073	0.025
YCL042W	-0.115	-0.041	0.267	-0.544
YDR022C	0.058	-0.041	-0.023	0.033
YDR094W	0.022	-0.041	0.052	0.128
YDR452W	-0.075	-0.041	0.132	-0.032
YGL005C	-0.051	-0.041	0.086	-0.515
YHR049W	-0.045	-0.041	-0.042	0.030
YIL119C	0.030	-0.041	-0.033	0.022
YIL170W	0.019	-0.041	0.028	-0.003
YJL171C	-0.006	-0.041	0.039	-0.034
YKL214C	-0.050	-0.041	0.040	0.209
YLL023C	-0.081	-0.041	-0.052	-0.038
YMR265C	0.043	-0.041	-0.016	0.064
YMR279C	0.029	-0.041	0.059	-0.077
YNL092W	0.008	-0.041	0.008	0.062
YNL278W	0.030	-0.041	-0.026	-0.057
YNL328C	-0.005	-0.041	-0.152	0.089
YOR040W	0.010	-0.041	0.061	0.007
YOR144C	0.181	-0.041	-0.066	0.221
YOR228C	-0.028	-0.041	0.058	0.039
YPL145C	-0.030	-0.041	-0.020	0.111
YBR138C	-0.036	-0.040	0.001	0.028
YBR300C	0.074	-0.040	0.071	-0.025
YDR104C	0.066	-0.040	-0.038	0.096
YGR041W	-0.061	-0.040	-0.135	-0.029
YIL055C	0.008	-0.040	-0.112	0.108
YIL088C	-0.069	-0.040	0.016	-0.033
YJR105W	0.178	-0.040	NaN	NaN
YJR122W	0.139	-0.040	NaN	NaN
YKL155C	-0.166	-0.040	0.102	-0.144
YKR042W	-0.129	-0.040	-0.023	0.143
YLR035C	0.018	-0.040	-0.027	0.018
