ORF	hom | growth (relative abundance in pooled culture) | cisplatin [1 mM] | Wu HI~Brown JM, 2004	hom | growth (relative abundance in pooled culture) | cisplatin [0.23 mM] | Wu HI~Brown JM, 2004	hom | growth (relative abundance in pooled culture) | mitomycin C [0.5 mM] | Wu HI~Brown JM, 2004	hom | growth (relative abundance in pooled culture) | oxaliplatin [10 mM] | Wu HI~Brown JM, 2004
YER119C	-0.001	-0.283	-0.041	-0.115
YJL193W	-0.211	-0.282	-0.101	-0.526
YMR057C	-0.037	-0.282	-0.123	-0.163
YML002W	-0.037	-0.281	-0.100	-0.143
YDR217C	-0.575	-0.280	-1.215	-0.673
YER046W-A	-0.036	-0.280	0.065	-0.071
YAR047C	-0.035	-0.279	0.011	0.013
YBL008W	-0.452	-0.279	-0.048	-0.282
YMR016C	0.127	-0.279	-0.139	-0.331
YER139C	-0.011	-0.278	0.004	-0.281
YKL176C	-0.502	-0.278	-0.049	-0.735
YPL253C	-0.442	-0.278	-0.246	-0.164
YBL089W	-0.388	-0.276	-0.012	-0.376
YMR073C	-0.427	-0.276	-0.012	-0.864
YNL025C	-0.508	-0.276	NaN	-0.440
YBR187W	-0.322	-0.275	0.049	-0.313
YHL032C	0.019	-0.275	0.005	0.054
YHR013C	-0.221	-0.275	0.135	-0.517
YMR042W	-0.031	-0.275	0.110	0.009
YGL250W	-0.089	-0.274	-0.086	0.109
YJL155C	-0.268	-0.274	-0.172	-0.362
YDL041W	-0.289	-0.273	NaN	-0.142
YAR042W	-0.002	-0.271	-0.013	0.074
YML017W	-0.054	-0.271	-0.299	-0.117
YDR270W	0.000	-0.269	0.034	-0.231
YER066W	-0.029	-0.269	0.015	-0.118
YMR015C	0.034	-0.268	-0.177	-0.258
YHR029C	-0.133	-0.267	0.080	-0.232
YDL076C	-0.348	-0.266	0.056	-0.435
YHL021C	-0.127	-0.266	-0.046	-0.048
YNL283C	-0.480	-0.266	-0.022	-0.941
YJL101C	-0.339	-0.265	0.000	-0.263
YMR003W	0.080	-0.265	-0.156	-0.151
YKR072C	-0.494	-0.264	-0.095	-0.447
YMR183C	-0.029	-0.264	-0.011	0.100
YPL262W	-0.044	-0.264	-0.185	0.536
YDR289C	-0.495	-0.263	0.024	-0.350
YLR318W	-0.255	-0.262	NaN	-0.676
YMR223W	-0.108	-0.262	0.060	0.221
YJL094C	-0.053	-0.259	-0.035	0.002
YJR054W	-0.311	-0.258	-0.101	-1.300
YCR065W	-0.354	-0.257	0.105	-0.186
YAL027W	-0.092	-0.256	-0.161	-0.155
YJR102C	-0.013	-0.256	0.048	0.106
YAL015C	-0.152	-0.254	0.002	-0.466
YML033W	-0.020	-0.254	-0.218	-0.140
YAL043C-A	-0.053	-0.253	-0.098	-0.187
YER062C	0.004	-0.253	-0.031	-0.047
YDR323C	-0.180	-0.251	NaN	NaN
YER053C	0.023	-0.251	0.042	-0.080
YML058C-A	-0.069	-0.251	-0.042	-0.377
YPL208W	-0.153	-0.251	-0.058	0.499
YBR027C	-0.448	-0.250	0.042	-1.405
YEL015W	-0.262	-0.250	-0.066	-0.315
YOL064C	-0.296	-0.250	0.396	-0.069
YER005W	-0.353	-0.249	0.091	-0.754
YMR006C	0.025	-0.249	-0.201	0.013
YMR144W	-0.119	-0.249	-0.035	-0.145
YMR222C	-0.082	-0.249	0.049	-0.032
YMR184W	-0.019	-0.246	-0.092	0.036
YMR289W	-0.071	-0.246	-0.128	-0.042
YJL215C	-0.250	-0.244	-0.143	-0.082
YOR216C	-0.435	-0.244	0.053	-0.874
YLR358C	-0.154	-0.243	NaN	-0.265
YML018C	-0.010	-0.243	-0.234	-0.153
YAR037W	-0.014	-0.242	-0.081	0.068
YJR053W	-0.490	-0.242	-0.442	-0.339
YER044C-A	-0.004	-0.241	-0.052	-0.014
YJL217W	-0.282	-0.241	-0.083	-0.322
YAL029C	-0.058	-0.240	0.095	-0.060
YDR276C	-0.288	-0.240	-0.037	-0.629
YHR037W	0.037	-0.240	0.055	-0.050
YML019W	-0.101	-0.240	-0.182	-0.405
YPL259C	-0.110	-0.240	-0.029	-0.148
YEL036C	-0.178	-0.238	NaN	-1.192
YER059W	0.071	-0.238	-0.112	-0.003
YMR285C	0.015	-0.238	0.063	0.035
YPL046C	-0.242	-0.238	-0.107	-0.109
YPL244C	-0.066	-0.238	-0.046	-0.127
YPL042C	-0.242	-0.237	0.179	0.224
YJR018W	-0.187	-0.236	NaN	-0.155
YMR172C-A	-0.054	-0.235	-0.113	-0.073
YOR091W	-0.232	-0.235	-0.010	0.085
YML055W	-0.173	-0.234	0.158	-0.490
YPL269W	-0.457	-0.234	-0.149	-1.087
YPR039W	-0.496	-0.234	-0.072	-0.624
YPR133W-A	-0.421	-0.234	0.021	-1.125
YJL164C	-0.350	-0.233	-0.072	-0.234
YJR060W	-0.273	-0.233	NaN	-0.188
YER046W	-0.028	-0.232	-0.009	-0.121
YER051W	0.000	-0.232	0.015	0.075
YHL041W	-0.034	-0.232	0.096	-0.056
YIL076W	-0.207	-0.232	-0.012	0.004
YLR261C	-0.152	-0.232	0.162	-0.377
YMR195W	-0.046	-0.232	0.004	-0.156
YPL191C	-0.051	-0.232	0.021	-0.013
YMR012W	0.003	-0.231	-0.310	-0.275
YML058W	0.000	-0.230	-0.038	-0.155
YMR226C	-0.039	-0.230	-0.006	-0.006
YBL007C	-0.222	-0.228	0.156	-0.510
YHR039C	-0.104	-0.228	-0.122	0.167
YBR077C	-0.149	-0.226	0.115	-0.456
YJL186W	-0.286	-0.226	-0.012	-0.430
YMR058W	-0.002	-0.226	-0.138	-0.303
YHL030W	0.037	-0.225	0.051	0.035
YMR140W	-0.051	-0.225	-0.026	-0.008
YMR295C	-0.129	-0.225	0.025	-0.157
YNL322C	-0.021	-0.225	-0.007	-0.021
YAL042W	-0.038	-0.224	-0.031	-0.200
YMR186W	-0.037	-0.224	-0.025	-0.101
YER038W-A	-0.003	-0.223	-0.039	0.059
YER115C	-0.050	-0.223	-0.130	-0.091
YMR022W	0.052	-0.223	-0.115	0.016
YMR204C	-0.058	-0.223	0.025	-0.043
YPR038W	-0.368	-0.223	0.038	-0.345
YJR140C	-0.399	-0.222	0.052	-0.350
YOR147W	-0.103	-0.222	0.029	0.016
YOR358W	-0.095	-0.221	-0.056	0.043
YAR020C	-0.013	-0.219	-0.097	0.026
YBR219C	-0.107	-0.219	0.142	-0.142
YBR208C	-0.094	-0.218	0.054	-0.499
YMR025W	0.068	-0.218	-0.090	-0.324
YDR254W	-0.256	-0.217	-0.075	0.084
YDR495C	-0.014	-0.217	NaN	-0.398
YER092W	0.165	-0.217	-0.043	0.072
YJL123C	-0.239	-0.217	-0.109	-0.626
YCR003W	0.035	-0.216	-0.095	-0.636
YDR439W	-0.240	-0.216	-0.149	0.002
YER045C	-0.022	-0.216	-0.028	-0.113
YER103W	-0.039	-0.216	0.020	-0.226
YFL056C	-0.433	-0.216	-0.049	-0.480
YNL237W	-0.115	-0.216	0.002	-0.099
YER060W-A	-0.015	-0.215	-0.087	0.032
YJL073W	-0.355	-0.215	-0.107	-1.008
YNL052W	-0.179	-0.215	0.042	0.029
YER087C-A	-0.011	-0.214	0.061	-0.091
YJL131C	-0.150	-0.214	0.032	-0.123
YER088C	-0.121	-0.213	0.016	-0.111
YMR009W	-0.033	-0.213	-0.147	-0.023
YAR023C	0.088	-0.212	-0.089	0.108
YAR029W	-0.033	-0.212	-0.139	-0.001
YMR011W	0.029	-0.212	-0.257	-0.225
YMR263W	0.097	-0.212	-0.205	0.415
YAR030C	0.004	-0.211	-0.022	-0.028
YEL024W	-0.117	-0.211	0.187	-0.112
YHL047C	-0.086	-0.211	-0.045	-0.103
YHR200W	-0.112	-0.211	-0.192	0.160
YIR023W	-0.483	-0.211	-0.135	-0.980
YML009C	-0.035	-0.083	-0.021	-0.052
YOR051C	-0.276	-0.211	-0.104	-0.100
YER114C	-0.025	-0.210	-0.058	-0.084
YGR163W	-0.196	-0.210	0.169	-0.649
YNL259C	0.002	-0.210	0.044	-0.154
YER124C	0.030	-0.209	-0.040	-0.001
YBR058C	-0.327	-0.208	-0.056	-0.155
YBR195C	-0.422	-0.208	-0.021	-0.407
YDR260C	-0.516	-0.208	-0.030	-0.262
YJL201W	-0.222	-0.208	-0.045	-0.324
YMR193W	0.187	-0.207	NaN	NaN
YMR199W	0.060	-0.207	-0.059	-0.061
YOL035C	-0.122	-0.207	-0.020	0.004
YER065C	0.039	-0.205	0.042	0.062
YER143W	0.034	-0.205	0.022	-0.030
YHL023C	0.115	-0.205	-0.056	0.076
YJL153C	-0.249	-0.205	-0.099	-0.452
YJL144W	-0.216	-0.204	-0.018	-0.332
YLL032C	-0.217	-0.204	-0.091	-0.243
YMR007W	0.021	-0.204	-0.265	0.024
YMR158W-A	-0.040	-0.204	-0.022	-0.074
YDR049W	-0.247	-0.203	0.125	0.362
YMR155W	-0.029	-0.203	0.032	-0.106
YMR196W	-0.040	-0.203	0.018	0.002
YER123W	0.203	-0.202	-0.055	0.018
YER140W	-0.071	-0.202	-0.049	-0.156
YML059C	-0.028	-0.202	-0.013	-0.148
YMR187C	0.014	-0.202	0.010	0.135
YOR088W	-0.046	-0.202	-0.059	-0.062
YML102C-A	-0.209	-0.201	-0.042	-0.300
YMR210W	0.008	-0.201	-0.036	0.004
YOR104W	-0.149	-0.201	NaN	-0.573
YBR131W	0.002	-0.200	-0.006	-0.088
YLL041C	-0.134	-0.200	0.022	0.004
YMR164C	-0.051	-0.200	0.008	-0.031
YOL138C	-0.368	-0.200	-0.040	-0.502
YDL183C	-0.198	-0.199	-0.001	-0.405
YER086W	-0.328	-0.199	-0.614	-0.506
YIL016W	-0.131	-0.199	-0.034	-0.118
YJL051W	-0.201	-0.199	0.016	0.050
YLR107W	-0.043	-0.199	0.030	-0.075
YLR203C	-0.103	-0.199	0.099	-0.267
YNR036C	-0.090	-0.199	NaN	NaN
YIL029C	-0.362	-0.198	-0.120	0.057
