orf	hom | growth (relative abundance in pooled culture) | cisplatin [1 mM] | Wu HI~Brown JM, 2004	hom | growth (relative abundance in pooled culture) | oxaliplatin [10 mM] | Wu HI~Brown JM, 2004	hom | growth (relative abundance in pooled culture) | mitomycin C [0.5 mM] | Wu HI~Brown JM, 2004	hom | growth (relative abundance in pooled culture) | cisplatin [0.23 mM] | Wu HI~Brown JM, 2004
YBR118W				
YBR119W	-0.327	-0.6629999999999999	0.003	-0.107
YBR120C	0.033	0.07	0.019	0.004
YBR125C	-0.027999999999999997	-0.129	-0.07200000000000001	0.221
YBR128C	0.20199999999999999	0.28600000000000003	0.114	-0.013999999999999999
YBR129C	-0.004	-0.142	0.019	-0.115
YBR130C	0.004	-0.002	0.057999999999999996	-0.133
YBR131W	0.002	-0.08800000000000001	-0.006	-0.2
YBR133C	-0.261		0.028999999999999998	-0.196
YBR134W	-0.083	-0.006999999999999999	0.038	-0.10099999999999999
YBR137W	-0.052000000000000005	-0.079	0.01	0.008
YBR138C	-0.036000000000000004	0.027999999999999997	0.001	-0.04
YBR139W	-0.003	-0.071	0.008	-0.003
YBR141C	-0.075	-0.20199999999999999	-0.054000000000000006	-0.035
YBR144C	0.021	0.03	0.025	-0.037000000000000005
YBR145W	-0.019	-0.084	0.008	-0.013999999999999999
YBR147W	-0.006	-0.024	-0.022000000000000002	0.004
YBR148W	-0.011000000000000001	-0.085	-0.046	-0.03
YBR149W	0.021	0.001	0.002	0.009000000000000001
YBR150C	0.16	0.068	-0.055	0.061
YBR151W	0.047	0.033	0.025	0.028999999999999998
YBR156C	-0.586	-0.115		-0.375
YBR157C	-0.034	0.022000000000000002	-0.01	-0.047
YBR158W	-0.045	0.065	-0.105	0.038
YBR159W	-0.08199999999999999	0.08	0.065	-0.022000000000000002
YBR161W	0.004	-0.04	-0.002	0.01
YBR162C	0.177	0.764	-0.064	0.07200000000000001
YBR162W-A	-0.024	-0.11699999999999999	0.017	-0.048
YBR164C	0.098	0.036000000000000004	0.10800000000000001	-0.009000000000000001
YBR165W				
YBR168W				
YBR169C	-0.067	-0.073	0.01	-0.033
YBR171W	-0.07	-0.21600000000000003	0.371	0.02
YBR172C	0.049	0.043	-0.006	0.059000000000000004
YBR173C	0.057999999999999996	-0.024	0.051	-0.003
YBR174C	-0.105	-0.11	0.086	-0.076
YBR175W	-0.021	-0.14400000000000002	-0.17600000000000002	-0.109
YBR176W	-0.016	-0.11599999999999999	0.013999999999999999	0.06
YBR177C	0.047	0.040999999999999995	-0.065	0.039
YBR180W	0.076	0.07	-0.009000000000000001	0.054000000000000006
YBR181C	0.867	1.2890000000000001		0.428
YBR182C	-0.027000000000000003	-0.10800000000000001		0.078
YBR183W	0.075	-0.038	0.046	-0.027999999999999997
YBR184W	-0.024	-0.21100000000000002	-0.08199999999999999	-0.042
YBR185C	0.006	-0.254	0.04	-0.08
YBR186W	0.05	0.11	-0.073	-0.013000000000000001
YBR187W	-0.322	-0.313	0.049	-0.275
