orf	hom | growth (culture turbidity) | standard | SC | Tun NM~Wu MJ, 2014	hom | growth (culture turbidity) | aluminium sulfate (anhydrous) [1.6 mM] | SC | Tun NM~Wu MJ, 2014	hom | growth (culture turbidity) | aluminium sulfate (anhydrous) [3.2 mM] | SC | Tun NM~Wu MJ, 2014
YAL049C	0.7751904522751875	1.4306823318883968	1.3413480131221431
YAL051W	0.7929141005639433	1.663969432202342	1.163825278265476
YAL053W	0.769831357687188	1.3094206634932937	1.3593754152869988
YAL054C	0.9645686723329857	0.8848359774603399	0.8899152893291339
YAL055W	0.8674141885629859	1.3828787772246998	0.9404446537747304
YAL056W	0.7695678889903821	1.4565486608601586	1.2266922138000045
YAL058C-A	0.9710112762539831	1.498540026885481	1.1177132101300806
YAL058W	0.8389319682145686	1.7558813721390092	1.8814358517259677
YAL059W	0.8021086842107206	1.2718526386279974	1.172484921076756
YAL060W	0.7935921929405463	1.469771954449489	1.2137805561717914
YAL061W	0.822035454678104	1.3036852733024311	1.120631612321332
YAL062W	0.82251730177792	1.4360901443569924	1.1469965835943519
YAL064C-A	1.0140802829671942	0.8426524604091262	0.9732118682578073
YAL065C	0.8300555474921724	1.4128660241750162	1.0635028633828874
YAL066W	0.7548371078703021	1.796683010650058	1.3077399267635625
YAL067C	0.8927124876503474	1.3541398001606162	1.0058038282916093
YAL067W-A	0.9832028026288077	0.8906470258365327	1.0551215758401655
YAL068C	0.8506046691333679	1.2550672819836906	1.0013182339547204
YAR002C-A	0.8349321963187506	0.9538808189173257	1.033202509097484
YAR002W	0.8505325339168293	0.7479334060048433	0.9881467920719175
YAR003W	0.7564877982030397	0.9937242841207063	1.1597463799621748
YAR014C	0.7571784318632288	1.343675855117058	1.3992360598963045
YAR015W	0.829739229753912	1.330240659754337	0.9955230620976325
YAR018C	0.8340015808036212	1.1125420664205468	1.0367774926616096
YAR020C	0.7886464736983756	1.525428989629254	1.2693424290867203
YAR023C	0.7732118166429007	1.6136441723194088	1.36939470457826
YAR027W	0.8365908744810548	1.434205794239621	1.2608042023056791
YAR028W	0.8365995795178834	1.4471325121169023	1.2429739666966064
YAR029W	0.7927179538406858	1.3692045872461058	1.1188579624587673
YAR030C	0.8293285821082431	0.9925715639435985	0.9838387823323121
