orf	hap a | growth (CFU) | temperature [30-62 C], time [20 min] | YPD | Stolp ZD~Hardwick JM, 2022
YCL055W	0.795517118
YCL056C	-1.398745038
YCL057W	0.719898887
YCL058C	-0.596766968
YCL061C	-0.770511219
YCL063W	0.227976831
YCL064C	1.084860464
YCL069W	0.401252231
YCL076W	0.627191951
YCR001W	0.850291364
YCR002C	-1.341979179
YCR003W	-1.456722331
YCR004C	-1.441774028
YCR005C	0.627604214
YCR006C	1.369414691
YCR007C	1.298648957
YCR008W	0.960272448
YCR009C	-1.620879978
YCR010C	-0.064964214
YCR011C	0.172867503
YCR014C	0.534590461
YCR015C	0.129637551
YCR016W	1.348060787
YCR017C	-1.600983382
YCR019W	-1.703606909
YCR020C	0.613604379
YCR020C-A	-0.039128941
YCR020W-B	-1.026032517
YCR021C	2.428440953
YCR022C	3.557372977
YCR023C	1.630801944
YCR024C	1.654386966
YCR024C-A	-1.141353567
YCR025C	-0.860284126
YCR026C	-0.633515626
YCR027C	-0.675488528
YCR028C	0.700424909
YCR028C-A	-0.601207815
YCR030C	0.218904484
YCR031C	0.413301484
YCR032W	1.545880017
YCR033W	-0.156834309
YCR034W	-0.812104148
YCR036W	-1.059541708
YCR037C	-0.687691753
YCR043C	-0.390324067
YCR044C	-0.691655832
YCR045C	-0.89148254
YCR046C	-0.999504584
YCR047C	-0.679942319
YCR048W	0.293871381
YCR049C	-0.232387695
YCR050C	-0.892889301
YCR051W	-0.26294563
YCR053W	-0.766026981
YCR059C	0.85093635
YCR060W	0.881381221
YCR061W	0.013087104999999988
YCR063W	3.088232776
YCR065W	-0.613403202
YCR066W	0.08326838
YCR067C	0.280284531
YCR068W	-0.916484611
YCR069W	0.358519238
YCR071C	-0.590365402
YCR073C	1.277843364
YCR073W-A	0.319694525
YCR075C	0.130580234
YCR076C	-0.855374685
YCR077C	1.13843934
YCR079W	-0.585484137
YCR081W	-0.347193416
YCR082W	0.196715428
YCR083W	0.826469296
YCR084C	-0.622129957
YCR085W	-1.037715903
YCR086W	0.152788753
YCR087C-A	-0.891083733
YCR087W	-0.918901129
YCR088W	1.413636817
YCR089W	0.507573325
YCR090C	-0.182682401
YCR091W	-0.799996747
YCR092C	0.13843509
YCR094W	-1.513594837
YCR095C	0.176049179
YCR098C	-0.747621313
YCR099C	-0.484467531
YCR100C	0.193698285
YCR101C	0.572036496
YCR102C	1.35934591
YCR102W-A	0.864505647
YCR105W	-0.934363333
YCR106W	0.112706029
YCR107W	0.867630689
YDL001W	-1.155258759
YDL002C	-1.144879102
YDL006W	-0.689708741
YDL009C	0.519504724
YDL010W	0.848990283
YDL011C	0.387263083
YDL012C	0.709327099
YDL013W	-0.069521311
YDL018C	0.078625717
YDL019C	-1.067317789
YDL020C	-0.278020734
YDL021W	-1.103893909
YDL022W	-0.983601041
YDL023C	-0.406800923
YDL024C	0.129579284
YDL025C	-0.312030344
YDL026W	-0.419697431
YDL027C	0.332337962
YDL032W	-1.452143798
YDL033C	-1.265551051
YDL034W	1.914024532
YDL035C	-1.07834631
YDL036C	1.534291202
YDL037C	1.551121945
YDL039C	0.812909045
YDL040C	-0.590766078
YDL041W	-0.422520906
YDL042C	-0.218041801
YDL044C	-1.068660566
YDL045W-A	-0.691363711
YDL046W	0.238801223
YDL047W	-2.032808726
YDL048C	1.044327943
YDL049C	-0.70967871
YDL050C	-0.593943581
YDL051W	-0.256091086
YDL052C	1.124428743
YDL053C	1.181711421
YDL054C	0.855544722
YDL056W	0.343470498
YDL057W	-0.825694987
