orf	hap a | growth (CFU) | temperature [30-62 C], time [20 min] | YPD | Stolp ZD~Hardwick JM, 2022
YBR005W	-0.17586506675345906
YBR006W	1.1719685574469072
YBR007C	0.9232593149677113
YBR008C	0.8724202469917058
YBR009C	0.6622850451289386
YBR010W	1.5995215066117332
YBR012C	0.41534970564260676
YBR013C	0.8582839092647367
YBR014C	0.8451510569217511
YBR015C	-0.789546704547381
YBR016W	0.6203608255904249
YBR018C	0.7508072647160843
YBR019C	0.3000906296450654
YBR020W	0.39962136924198505
YBR021W	-0.9136582399800262
YBR022W	-0.36931901972829356
YBR023C	0.5441189896921355
YBR024W	0.6477880806250389
YBR025C	0.4393676435128144
YBR026C	-0.43666531847556717
YBR027C	0.7007240865921608
YBR028C	0.18558503473382007
YBR030W	0.48664418178800756
YBR031W	2.73444025886641
YBR032W	0.49332494380353276
YBR033W	-0.0458254119764505
YBR034C	-0.03126842518097403
YBR035C	0.02135940640534476
YBR036C	-0.11509996531645812
YBR037C	-0.5886838416716663
YBR040W	0.7850021172359368
YBR041W	0.18338869220426987
YBR042C	0.2306761943008507
YBR043C	1.4985971103393732
YBR044C	0.6768540032756227
YBR045C	0.15225397618331005
YBR046C	1.6776054425657192
YBR047W	1.5858393366629089
YBR048W	4.927349277114725
YBR050C	1.5054768192289176
YBR051W	1.797901660318453
YBR052C	0.8293586381349188
YBR053C	1.6387121850058706
YBR054W	1.2392582707783035
YBR056W	0.5709781169149848
YBR057C	0.6632788972393512
YBR058C	-0.16390110737874433
YBR059C	3.2016312368236806
YBR061C	0.01676585873390887
YBR062C	1.8777877065211115
YBR063C	0.7846974566824894
YBR064W	0.22203083593092787
YBR065C	0.04142950063286293
YBR066C	0.5103276152840917
YBR067C	0.4197199243973405
YBR068C	-0.04422227097146412
YBR069C	0.3963064185195199
YBR071W	0.044705208247802185
YBR072W	0.11543548648460764
YBR073W	1.0670314893409358
YBR074W	0.909303784700595
YBR076W	1.062635748585268
YBR077C	-0.9316251121294612
