ORF	hom | growth (relative abundance in pooled culture) | ultraviolet light [IC10 (110 J/m2)] | Hanway D~Romesberg FE, 2002	hom | growth (relative abundance in pooled culture) | ultraviolet light [IC20] | Hanway D~Romesberg FE, 2002	hom | growth (relative abundance in pooled culture) | ultraviolet light [IC30] | Hanway D~Romesberg FE, 2002	hom | growth (relative abundance in pooled culture) | ultraviolet light [IC40] | Hanway D~Romesberg FE, 2002	hom | growth (relative abundance in pooled culture) | ultraviolet light [IC50] | Hanway D~Romesberg FE, 2002	hom | growth (relative abundance in pooled culture) | ultraviolet light [IC60] | Hanway D~Romesberg FE, 2002	hom | growth (relative abundance in pooled culture) | ultraviolet light [IC70] | Hanway D~Romesberg FE, 2002	hom | growth (exponential growth rate) | ultraviolet light [IC50] | Hanway D~Romesberg FE, 2002	hom | growth (undefined) | methyl methanesulfonate [0.01%] | Hanway D~Romesberg FE, 2002	hom | growth (undefined) | methyl methanesulfonate [0.001%] | Hanway D~Romesberg FE, 2002
YAR002W	-0.020	-0.070	-0.030	-0.080	-0.060	-0.100	-0.090	-0.110	NaN	NaN
YAR003W	-0.030	-0.040	-0.030	-0.070	-0.070	-0.140	-0.120	0.030	NaN	NaN
YAR020C	0.000	0.000	0.020	0.000	0.000	-0.110	-0.070	0.030	NaN	NaN
YAR023C	0.000	0.000	0.020	0.010	0.000	-0.120	-0.070	0.010	NaN	NaN
YAR028W	0.000	0.000	0.000	0.000	0.000	-0.100	-0.060	0.040	NaN	NaN
YAR029W	0.000	-0.010	0.020	0.000	0.010	-0.090	-0.070	0.070	NaN	NaN
YAR030C	-0.010	-0.010	0.000	-0.020	-0.010	-0.110	-0.100	0.020	NaN	NaN
YAR031W	-0.010	-0.010	0.000	-0.020	-0.010	-0.130	-0.100	0.000	NaN	NaN
YAR035W	0.000	0.000	0.010	-0.010	0.000	-0.120	-0.090	0.040	NaN	NaN
YAR042W	-0.020	0.000	-0.070	-0.050	-0.040	-0.110	-0.060	-0.070	NaN	NaN
YBL008W	-0.010	0.000	-0.020	-0.010	-0.030	-0.020	-0.010	-0.090	NaN	NaN
YBL038W	0.010	-0.030	-0.010	-0.030	-0.010	-0.030	-0.010	-0.170	NaN	NaN
YBL065W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.090	-0.090
YBL089W	-0.020	-0.020	-0.040	-0.050	-0.070	-0.080	-0.080	-0.040	NaN	NaN
YBL090W	0.010	-0.060	0.010	-0.050	0.010	-0.050	-0.050	-0.170	NaN	NaN
YBR174C	-0.050	-0.060	-0.110	-0.100	-0.110	-0.140	-0.100	-0.080	NaN	NaN
YBR175W	-0.020	-0.040	-0.030	-0.030	-0.040	-0.080	-0.080	-0.040	NaN	NaN
YBR195C	-0.040	-0.050	-0.040	-0.050	-0.080	-0.070	-0.120	-0.070	NaN	NaN
YBR207W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.100	-0.030
YBR221C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.200	-0.090
YBR223C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.110	-0.300
YCL008C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.060	-0.110
YCL011C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.160	-0.040
YCL037C	-0.010	-0.100	-0.010	-0.100	-0.070	-0.090	-0.080	-0.140	NaN	NaN
YCL050C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.080	-0.050
YCL061C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.280	-0.310
YCR007C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.090	-0.060
YCR009C	0.000	-0.060	-0.010	-0.070	-0.010	-0.080	-0.040	-0.230	NaN	NaN
YCR094W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.040	-0.090
YDL130W-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.100	-0.070
YDR065W	0.020	-0.090	0.010	-0.060	0.010	-0.060	-0.050	-0.140	NaN	NaN
YDR075W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.010	-0.330
YDR078C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.070	-0.310
YDR132C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.100	-0.070
YDR194C	0.010	-0.050	0.010	-0.040	0.010	-0.020	0.000	-0.140	NaN	NaN
YDR204W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.280	-0.300
YDR217C	-0.200	-0.230	-0.210	-0.240	-0.220	-0.250	-0.240	-0.350	-0.010	-0.100
YDR237W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.220	-0.913
YDR338C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.160	-0.030
YDR378C	0.000	-0.090	0.010	-0.080	0.000	-0.090	-0.090	-0.160	NaN	NaN
YDR386W	-0.030	-0.070	-0.040	-0.070	-0.050	-0.070	-0.080	-0.080	-0.150	-0.210
YDR388W	0.000	-0.020	-0.010	-0.040	-0.010	-0.020	-0.010	-0.320	NaN	NaN
YDR402C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.090	-0.010
YDR405W	0.010	0.000	0.010	0.000	0.000	0.000	0.000	-0.160	NaN	NaN
YDR409W	-0.060	-0.110	-0.120	-0.150	-0.150	-0.180	-0.210	-0.040	NaN	NaN
YDR419W	-0.100	-0.200	-0.250	-0.280	-0.280	-0.320	-0.310	-0.350	NaN	NaN
YDR540C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.030	-0.080
YEL037C	-0.220	-0.260	-0.230	-0.270	-0.220	-0.260	-0.240	-0.530	NaN	NaN
YEL064C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.100	-0.030
YER016W	-0.010	-0.040	0.000	-0.040	-0.010	-0.120	-0.913	0.050	NaN	NaN
YER019W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.110	-0.140
YER028C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.140	-0.110
YER030W	0.000	-0.010	0.010	-0.010	0.000	-0.070	-0.110	0.050	NaN	NaN
YER039C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.090	-0.040
YER040W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.080	0.040
YER041W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.120	-0.060
YER049W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.290	-0.320
YER050C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.150	0.040
YER052C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.360	-0.370
YER056C-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.140	-0.020
YER061C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.130	0.010
YER068W	0.010	-0.050	0.000	-0.060	0.010	-0.030	-0.030	-0.260	NaN	NaN
YER083C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.020	-0.240
YER084W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.150	-0.140
YER086W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.010	-0.170
YER092W	-0.030	-0.050	-0.070	-0.080	-0.110	-0.130	-0.130	-0.090	NaN	NaN
YER093C-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.060	-0.120
YER095W	-0.020	-0.070	-0.040	-0.070	-0.060	-0.060	-0.040	-0.190	NaN	NaN
YER097W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.150	-0.150
YER188W	-0.010	0.060	-0.060	0.010	-0.030	-0.010	0.080	-0.090	NaN	NaN
YFR034C	-0.030	-0.040	-0.090	-0.130	-0.130	-0.180	-0.180	-0.220	NaN	NaN
YFR040W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.240	0.030
YFR056C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.100	-0.020
YGL087C	-0.220	-0.310	-0.310	-0.340	-0.330	-0.350	-0.320	-0.540	-0.150	-0.300
YGL194C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.120	-0.070
YGL224C	0.000	-0.010	-0.050	-0.030	-0.020	-0.050	0.020	-0.100	NaN	NaN
YGL227W	-0.020	0.000	-0.010	-0.020	-0.010	-0.020	0.000	-0.110	NaN	NaN
YGL229C	-0.020	-0.010	-0.120	-0.060	-0.070	-0.070	0.020	-0.080	NaN	NaN
YGL237C	-0.030	-0.040	-0.050	-0.070	-0.070	-0.070	-0.130	-0.090	-0.150	-0.150
YGL244W	-0.050	-0.090	-0.110	-0.120	-0.120	-0.110	-0.120	-0.220	NaN	NaN
YGL252C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.050	-0.090
YGR041W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.080	-0.050
YGR061C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.110	0.060
YGR062C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.130	-0.150
YGR066W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.110	-0.100
YGR070W	-0.010	-0.050	-0.070	-0.070	-0.060	-0.120	0.010	-0.140	NaN	NaN
YGR122W	0.000	-0.010	-0.030	-0.040	-0.030	-0.080	-0.080	-0.050	-0.050	-0.080
YGR123C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.100	-0.020
YGR129W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.110	-0.030
YGR132C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.110	-0.120
YGR136W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.110	-0.330
YGR138C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.130	-0.100
YGR153W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.030	-0.130
YGR166W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.140	0.000
YGR181W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.150	-0.240
YGR182C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.040	-0.180
YGR206W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.110	-0.110
YGR228W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.120	-0.190
YGR244C	0.010	-0.020	-0.060	-0.040	-0.020	-0.070	0.020	-0.120	NaN	NaN
YHL005C	-0.040	-0.050	-0.070	-0.070	-0.070	-0.120	-0.913	-0.060	-0.020	-0.080
YHL006C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.030	-0.310
YHL019C	-0.030	-0.080	0.030	-0.090	0.010	0.020	0.040	0.000	NaN	NaN
YHL027W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.030	-0.080
YHL031C	0.010	0.010	0.020	0.000	0.000	0.000	0.010	-0.080	NaN	NaN
YHR012W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.340	0.060
YHR013C	-0.100	-0.070	-0.090	-0.080	-0.150	-0.090	-0.100	-0.170	NaN	NaN
YHR030C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.080	-0.130
YHR038W	0.000	-0.030	0.000	-0.030	0.000	-0.030	-0.020	-0.170	NaN	NaN
YHR045W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.030	-0.370
YHR147C	0.010	-0.010	0.010	0.000	0.010	0.010	0.010	-0.180	NaN	NaN
YHR154W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.310	-0.360
YHR189W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.010	-0.080
YHR193C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.100	-0.030
YHR207C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.120	-0.160
YKL002W	-0.040	-0.050	-0.100	-0.070	-0.110	-0.090	-0.060	-0.180	NaN	NaN
YKL016C	0.000	-0.020	0.000	-0.020	-0.010	0.000	0.000	-0.140	NaN	NaN
YKL048C	-0.040	-0.060	-0.060	-0.050	-0.060	-0.070	-0.090	-0.100	NaN	NaN
YKL098W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.020	-0.380
YKL109W	-0.030	-0.060	-0.070	-0.090	-0.100	-0.120	-0.120	-0.100	NaN	NaN
YKL114C	0.010	-0.070	0.000	-0.100	0.000	-0.090	-0.090	-0.130	NaN	NaN
YKL117W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.130	-0.060
YKL150W	-0.010	-0.030	-0.060	-0.080	-0.040	-0.090	0.010	-0.050	NaN	NaN
YKL155C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.340	-0.370
YKL167C	-0.030	-0.060	-0.070	-0.070	-0.070	-0.110	-0.100	-0.060	NaN	NaN
YKL176C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.020	-0.260
YKL211C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.020	-0.270
YKL212W	0.020	0.000	0.020	-0.010	0.010	-0.010	0.000	-0.240	NaN	NaN
YKL213C	-0.060	-0.120	-0.110	-0.160	-0.130	-0.170	-0.170	-0.200	-0.020	-0.310
YKR021W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.200	-0.110
YKR033C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	74.000	-0.070
YLL027W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.170	-0.120
YLL029W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.110	-0.090
YLL039C	-0.070	-0.110	-0.140	-0.160	-0.160	-0.180	-0.190	-0.170	0.020	-0.090
YLL043W	-0.040	-0.080	-0.050	-0.100	-0.050	-0.080	-0.100	-0.160	-0.090	-0.110
YLR025W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.060	-0.080
YLR032W	-0.220	-0.220	-0.230	-0.220	-0.230	-0.220	-0.210	-0.360	-0.320	-0.340
YLR052W	0.010	-0.010	0.000	-0.030	-0.010	-0.020	-0.060	-0.090	NaN	NaN
YLR067C	-0.010	-0.050	-0.010	-0.020	-0.010	0.010	0.010	-0.210	-0.160	-0.210
YLR083C	-0.030	-0.080	-0.050	-0.080	-0.040	-0.070	0.000	-0.030	NaN	NaN
YLR091W	0.010	-0.020	0.000	-0.020	0.010	-0.010	0.010	-0.200	NaN	NaN
YLR135W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.040	-0.350
YLR151C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.030	-0.090
YLR239C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.080	-0.110
YLR257W	-0.020	-0.010	-0.060	-0.050	-0.040	-0.060	0.000	-0.120	NaN	NaN
YLR261C	0.010	-0.100	0.010	-0.100	0.000	-0.080	-0.080	-0.210	NaN	NaN
YLR288C	-0.210	-0.210	-0.240	-0.230	-0.240	-0.210	-0.210	-0.300	-0.050	-0.170
YLR368C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.120	-0.130
YLR368W	0.000	0.000	0.020	-0.010	0.010	0.010	0.010	-0.080	NaN	NaN
YLR374C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.200	0.060
YLR376C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.180	-0.410
YLR384C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.120	-0.270
YLR393W	-0.050	-0.060	-0.020	-0.020	-0.020	-0.050	-0.010	-0.160	NaN	NaN
YLR401C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.100	-0.020
YLR412W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.010	-0.090
YLR415C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.080	-0.040
YLR417W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.080	-0.100
YML001W	-0.010	-0.010	0.000	-0.020	0.000	-0.070	-0.130	0.030	NaN	NaN
YML002W	-0.010	-0.010	-0.010	-0.030	-0.010	-0.080	-0.140	0.030	NaN	NaN
YML003W	-0.020	-0.040	-0.030	-0.050	-0.020	-0.120	-0.170	-0.030	NaN	NaN
YML005W	-0.010	-0.030	-0.020	-0.030	-0.010	-0.090	-0.130	-0.040	NaN	NaN
YML007W	0.000	-0.020	0.000	-0.030	-0.020	-0.100	-0.160	0.040	NaN	NaN
YML011C	-0.090	-0.160	-0.150	-0.200	-0.170	-0.230	-0.240	-0.120	NaN	NaN
YML012W	-0.020	0.000	0.000	-0.010	-0.010	-0.050	-0.100	0.020	NaN	NaN
YML013W	0.020	0.050	0.050	0.030	0.010	-0.020	-0.080	0.070	NaN	NaN
YML019W	-0.020	-0.010	-0.020	-0.020	-0.020	-0.100	-0.140	0.040	NaN	NaN
YML028W	-0.020	-0.010	0.000	-0.030	-0.010	-0.070	-0.140	0.060	NaN	NaN
YML029W	-0.010	0.000	0.000	-0.020	-0.010	-0.110	-0.120	0.040	NaN	NaN
YML030W	-0.030	-0.030	-0.050	-0.070	-0.060	-0.150	-0.120	-0.020	NaN	NaN
YML034C-A	-0.010	0.000	0.000	0.000	0.000	-0.070	-0.110	0.070	NaN	NaN
YML037C	-0.010	0.000	-0.010	-0.010	-0.010	-0.140	-0.070	0.060	NaN	NaN
YML047W-A	-0.020	0.010	-0.070	-0.030	-0.020	-0.160	-0.030	-0.130	NaN	NaN
YML051W	0.010	0.000	0.000	0.000	0.000	-0.100	-0.070	0.090	NaN	NaN
YML052W	-0.010	0.000	0.010	0.000	-0.010	-0.120	-0.060	0.090	NaN	NaN
YML057C-A	-0.010	0.010	0.010	0.000	0.000	-0.100	-0.040	0.060	NaN	NaN
YML057W	-0.010	0.000	0.000	-0.901	-0.902	-0.110	-0.060	0.070	NaN	NaN
YML061C	0.020	-0.050	0.010	-0.060	0.010	-0.030	-0.020	-0.100	NaN	NaN
YMR003W	-0.010	-0.010	0.000	-0.030	0.000	-0.080	-0.160	0.000	NaN	NaN
YMR006C	-0.010	-0.040	0.000	-0.040	-0.010	-0.120	-0.200	-0.050	NaN	NaN
YMR007W	0.000	-0.020	0.000	-0.020	0.000	-0.070	-0.140	-0.020	-0.080	-0.010
YMR008C	-0.010	-0.020	0.000	-0.030	0.000	-0.100	-0.170	0.000	NaN	NaN
YMR009W	-0.010	-0.020	0.020	-0.020	0.010	-0.070	-0.170	0.040	NaN	NaN
YMR010W	-0.010	0.000	0.000	-0.020	0.000	-0.070	-0.170	0.020	NaN	NaN
YMR011W	-0.010	-0.020	0.000	-0.030	0.000	-0.070	-0.140	0.030	-0.100	-0.010
YMR012W	-0.010	-0.030	0.010	-0.040	0.000	-0.070	-0.150	0.030	-0.100	-0.010
YMR015C	-0.010	-0.010	0.030	-0.010	0.010	-0.060	-0.130	0.030	NaN	NaN
YMR016C	-0.010	0.010	0.020	0.010	0.020	-0.020	-0.080	0.030	NaN	NaN
YMR017W	-0.010	-0.010	-0.010	-0.030	-0.010	-0.090	-0.180	-0.010	NaN	NaN
YMR018W	0.000	-0.020	0.010	-0.020	0.000	-0.090	-0.180	0.020	-0.080	0.010
YMR019W	0.000	-0.020	0.030	-0.020	0.000	-0.070	-0.170	0.030	-0.090	0.000
YMR020W	0.000	-0.020	0.020	-0.020	0.000	-0.100	-0.170	0.000	-0.080	0.010
YMR021C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.060	-0.270
YMR022W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.110	0.000
YMR023C	0.000	-0.020	-0.010	-0.050	0.000	-0.090	-0.140	-0.060	-0.210	-0.090
YMR025W	-0.020	0.000	0.000	-0.020	-0.010	-0.050	-0.150	-0.020	NaN	NaN
YMR029C	-0.010	-0.010	0.000	-0.010	-0.010	-0.040	-0.150	-0.020	NaN	NaN
YMR030W	0.000	-0.020	-0.050	-0.040	-0.020	-0.070	-0.130	-0.090	-0.160	-0.060
YMR034C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.080	-0.010
YMR039C	-0.020	-0.020	0.000	-0.020	-0.030	-0.030	-0.100	-0.020	NaN	NaN
YMR044W	0.000	0.000	-0.040	-0.020	-0.010	-0.040	-0.040	-0.100	NaN	NaN
YMR163C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.110	-0.030
YMR188C	0.030	0.090	0.090	0.090	0.090	0.110	0.110	-0.100	NaN	NaN
YMR190C	-0.030	-0.030	-0.020	-0.070	-0.040	-0.040	-0.060	-0.080	NaN	NaN
YMR201C	-0.150	-0.190	-0.170	-0.190	-0.170	-0.190	-0.170	-0.500	-0.110	-0.270
YMR228W	0.020	0.010	0.040	0.020	0.000	0.040	0.030	-0.130	NaN	NaN
YMR251W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.090	-0.020
YMR256C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.180	-0.220
YMR257C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.010	-0.110
YMR263W	-0.050	-0.090	-0.080	-0.110	-0.090	-0.110	-0.110	-0.210	NaN	NaN
YMR272C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.050	-0.110
YMR286W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.200	-0.100
YMR304C-A	-0.010	-0.010	-0.060	-0.030	-0.040	-0.100	0.010	-0.080	NaN	NaN
YMR304W	-0.010	-0.040	-0.090	-0.120	-0.080	-0.140	-0.130	-0.110	NaN	NaN
YNL177C	0.010	-0.080	0.000	-0.050	0.010	-0.040	-0.030	-0.140	NaN	NaN
YNL199C	0.020	0.010	0.020	0.010	0.010	0.020	0.010	-0.080	NaN	NaN
YNL201C	-0.040	-0.050	-0.070	-0.070	-0.070	-0.090	-0.090	-0.050	0.000	-0.400
YNL229C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.110	0.010
YNL230C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.190	-0.050
YNL233W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.110	-0.060
YNL250W	0.000	-0.100	0.000	-0.100	0.000	-0.080	-0.100	-0.170	NaN	NaN
YNL273W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.030	-0.190
YNL296W	0.020	-0.040	0.010	-0.040	0.010	-0.020	-0.020	-0.300	NaN	NaN
YNL307C	-0.020	-0.020	-0.010	-0.030	-0.040	-0.100	-0.100	0.010	NaN	NaN
YNL328C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.110	0.000
YOL004W	-0.030	-0.070	-0.070	-0.070	-0.070	-0.070	-0.100	-0.130	NaN	NaN
YOL009C	0.020	0.000	0.040	0.000	0.020	0.020	0.020	-0.100	NaN	NaN
YOL076W	0.000	-0.070	-0.010	-0.060	-0.010	-0.080	-0.050	-0.290	NaN	NaN
YOL081W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.170	-0.210
YOR006C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.170	-0.130
YOR008C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.100	-0.050
YOR035C	0.020	0.000	0.030	-0.020	0.010	0.020	0.020	-0.160	NaN	NaN
YOR036W	-0.030	-0.070	-0.030	-0.070	-0.050	-0.070	-0.090	-0.260	NaN	NaN
YOR039W	-0.020	-0.070	-0.090	-0.130	-0.130	-0.170	-0.190	-0.190	0.000	-0.210
YOR045W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.070	-0.100
YOR083W	-0.020	-0.010	-0.040	-0.020	-0.040	-0.060	-0.090	-0.040	NaN	NaN
YOR137C	-0.010	0.000	-0.030	-0.020	0.000	-0.020	0.030	-0.090	NaN	NaN
YOR192C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.070	-0.080
YOR201C	0.000	-0.070	0.010	-0.080	0.000	-0.060	-0.060	-0.130	NaN	NaN
YOR211C	0.000	-0.050	0.010	-0.050	0.000	-0.020	-0.010	-0.210	NaN	NaN
YOR284W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.090	-0.160
YOR338W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.120	-0.160
YOR346W	-0.120	-0.160	-0.120	-0.160	-0.110	-0.150	-0.140	-0.360	0.060	-0.160
YOR368W	-0.100	-0.170	-0.120	-0.170	-0.120	-0.170	-0.160	-0.330	0.020	-0.120
YOR386W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.110	-0.090
YPL005W	0.020	-0.040	0.010	-0.040	0.010	-0.040	0.070	-0.170	NaN	NaN
