Type	CMB	Dose	Dataset HOP	Dataset HIP
Ad.	4019	0.25	1166	11988
Ad.	4050	8	1167	11989
Ad.	4097	45	1168	11990
Ad.	4113	2	1169	11991
Ad.	4177	0.15	1170	11992
Ad.	4192	8	1171	11993
Ad.	4200	1	1172	11994
Ad.	4220	3	1173	11995
Ad.	1443	8	1174	11996
Ad.	4382	0.05	1175	11997
Ad.	4395	30	1176	11998
Ad.	4460	0.01	1177	11999
Ad.	4955	35	1178	12000
MADL	4957	0.1	1179	16671
Ad.	5185	0.5	1180	12002
Ad.	5483	5	1181	12003
Ad.	5484	50	1182	12004
Ad.	1268	28.066	1184	12005
Ad.	1268	28.066	1184	12005
Ad.	1269	0.026	1185	12006
Ad.	1382	0.02	1186	12007
Ad.	87	250	1191	12008
Ad.	87	300	1192	12009
Ad.	87	350	1193	12010
Ad.	87	400	1194	12011
Ad.	123	15	1195	12012
Ad.	123	30	1196	12013
Ad.	239	0.7	1197	12014
Ad.	263	0.015	1198	12015
Ad.	263	0.02	1199	12016
Ad.	263	0.02	1199	12016
Ad.	263	0.03	1200	12017
Ad.	272	0.2	1201	12018
Ad.	272	0.2	1201	12018
Ad.	272	0.3	1202	12019
Ad.	288	10	1203	12020
Ad.	402	4	1204	12021
Ad.	402	6	1205	12022
Ad.	405	0.1	1206	12023
Ad.	405	0.5	1207	12024
Ad.	405	1	1208	12025
Ad.	405	1.5	1209	12026
Ad.	506	10	1210	12027
Ad.	506	15	1211	12028
Ad.	828	75	1212	12029
Ad.	951	150	1213	12030
Ad.	955	180	1214	12031
Ad.	956	12.5	1215	12032
MADL	956	25.3	1216	12033
Ad.	1031	55	1217	12034
Ad.	1031	70	1218	12035
Ad.	1031	75	1219	12036
Ad.	1031	85	1220	12037
Ad.	1034	200	1221	12038
Ad.	1080	1000	1222	12039
Ad.	1080	1500	1223	12040
Ad.	1080	2000	1224	12041
Ad.	1084	0.0002	1225	12042
Ad.	1084	0.0005	1226	12043
Ad.	1084	0.0008	1227	12044
Ad.	1089	166.648	1228	12045
Ad.	1089	200	1229	12046
Ad.	1089	8300	1230	12047
Ad.	1129	60	1231	12048
Ad.	1130	32	1232	12049
Ad.	1171	300	1233	12050
Ad.	1192	11.89	1234	12051
Ad.	1244	100	1235	12052
Ad.	1244	120	1236	12053
Ad.	1483	5	1237	12054
Ad.	1483	10	1238	12055
Ad.	1531	0.01	1239	12056
Ad.	1539	0.175	1240	12057
Ad.	1698	0.05	1241	12058
Ad.	1966	20000	1242	12059
Ad.	1966	40000	1243	12060
Ad.	1988	70	1244	12061
Ad.	2006	1	1245	12062
Ad.	2006	2	1246	12063
Ad.	2007	1.6	1247	12064
Ad.	2081	0.7	1248	12065
Ad.	2175	500	1249	12066
Ad.	2352	1	1250	12067
Ad.	2390	10	1251	12068
Ad.	2390	12	1252	12069
Ad.	2414	0.5	1253	12070
Ad.	2414	1	1254	12071
Ad.	2478	200	1255	12072
Ad.	2591	15	1256	12073
Ad.	2761	300	1257	12074
Ad.	2762	300	1258	12075
Ad.	3476	7	1259	12076
Ad.	3544	30	1260	12077
Ad.	3545	185	1261	12078
Ad.	3637	1.5	1262	12079
Ad.	3637	2	1263	12080
Ad.	3637	2.5	1264	12081
Ad.	3637	3	1265	12082
Ad.	3637	4.5	1266	12083
Ad.	3638	3	1267	12084
Ad.	3638	4	1268	12085
Ad.	3638	5	1269	16672
Ad.	3638	7.5	1270	12087
Ad.	3641	110	1271	12088
Ad.	4008	650000	1272	12089
Ad.	4009	360000	1273	12090
Ad.	4010	440000	1274	12091
Ad.	4011	52000	1275	12092
Ad.	4012	100	1276	12093
Ad.	4012	120	1277	12094
Ad.	4012	180	1278	12095
Ad.	4013	150000	1279	12096
Ad.	4016	70000	1280	12097
Ad.	4017	10000	1281	12098
Ad.	4019	0.5	1282	12099
Ad.	4019	0.75	1283	12100
Ad.	4050	70	1284	12101
Ad.	4113	3	1285	12102
Ad.	4113	5	1286	12103
Ad.	4177	0.2	1287	12104
Ad.	4177	0.3	1288	12105
Ad.	4200	2	1289	12106
Ad.	4224	15	1290	12107
Ad.	4382	0.075	1291	16673
Ad.	4460	0.012	1292	12109
Ad.	4460	0.05	1293	12110
Ad.	4460	0.05	1293	12110
Ad.	4460	0.1	1294	12111
Ad.	4460	0.3	1295	12112
Ad.	4955	50	1296	12113
Ad.	4957	0.25	1297	12114
Ad.	4957	0.5	1298	12115
Ad.	5483	10	1299	12116
Ad.	5484	75	1300	12117
Ad.	5484	120	1301	12118
Ad.	5484	200	1302	12119
