orf	hap a/hap alpha | growth (colony size) | standard [standard] | Baryshnikova A~Myers CL, 2010
YCR073W-A	1.0261
YCR075C	1.08172
YCR076C	1.116921
YCR077C	0.930657
YCR079W	1.021715
YCR082W	1.060865
YCR083W	1.074202
YCR085W	1.039638
YCR086W	0.936544
YCR087C-A	0.997458
YCR087W	1.013869
YCR088W	1.012193
YCR089W	1.041506
YCR090C	0.997731
YCR091W	0.983182
YCR092C	0.973752
YCR094W	0.442691
YCR095C	1.025346
YCR098C	1.028702
YCR099C	1.025654
YCR100C	1.014431
YCR101C	1.011092
YCR102C	1.063505
YCR102W-A	1.001129
YCR104W	0.611808
YCR105W	1.03842
YCR106W	0.99908
YCR107W	1.041535
YDL001W	0.990527
YDL002C	0.698852
YDL005C	0.401922
YDL006W	0.552764
YDL010W	1.002646
YDL011C	1.015539
YDL012C	1.022754
YDL013W	0.530655
YDL018C	1.006854
YDL019C	1.026778
YDL020C	0.790193
YDL021W	0.706226
YDL022W	1.000026
YDL023C	0.979022
YDL024C	0.977572
YDL025C	1.03975
YDL026W	1.005218
YDL027C	1.044111
YDL033C	0.73817
YDL035C	0.80245
YDL036C	1.048592
YDL037C	0.997038
YDL039C	1.038246
YDL040C	0.547145
YDL044C	0.566123
YDL045W-A	0.497786
YDL048C	1.036583
YDL049C	1.016821
YDL050C	0.980973
YDL051W	1.051336
YDL052C	0.93802
YDL053C	0.994794
YDL054C	1.035005
YDL056W	0.953882
YDL057W	1.01453
YDL059C	1.036503
YDL061C	0.667836
YDL062W	0.825389
YDL063C	0.916813
YDL065C	0.863022
YDL066W	1.044432
YDL067C	0.68541
YDL069C	0.723138
YDL070W	0.987934
YDL071C	0.989354
YDL073W	1.079166
YDL074C	0.643011
YDL076C	0.938341
YDL077C	0.760098
YDL078C	1.042411
YDL079C	1.005184
YDL080C	0.982181
YDL081C	0.514978
YDL082W	0.789184
YDL083C	0.717762
YDL085C-A	1.083572
YDL085W	1.036343
YDL086W	1.030805
YDL088C	0.992301
YDL089W	0.997485
YDL091C	1.022921
YDL093W	0.989869
YDL094C	0.958775
YDL095W	1.01409
YDL096C	0.988943
YDL099W	1.00451
YDL100C	0.97468
YDL101C	0.935017
YDL104C	0.925357
YDL106C	1.029141
YDL107W	0.707668
YDL109C	1.019002
YDL110C	1.005873
YDL112W	0.970134
YDL113C	0.984944
YDL114W	0.996649
YDL115C	0.874768
YDL116W	0.564544
YDL117W	0.868268
YDL118W	0.987762
YDL119C	0.992932
YDL121C	0.99485
YDL122W	1.00361
YDL123W	1.008713
YDL124W	1.028435
YDL125C	1.056624
YDL127W	1.036132
YDL128W	0.993769
YDL129W	1.01372
YDL130W	0.794178
YDL130W-A	1.052415
YDL131W	1.003427
YDL133C-A	0.9776735
YDL133W	1.002573
YDL134C	1.009671
YDL135C	1.115844
YDL136W	0.828113
YDL137W	0.978963
YDL138W	1.027087
YDL142C	0.893276
YDL144C	1.014135
YDL146W	0.991777
YDL149W	1.00685
YDL154W	0.946503
YDL155W	1.036223
YDL156W	0.960094
YDL157C	0.94984
YDL159W-A	1.139082
YDL160C-A	1.056559
YDL161W	1.008518
YDL162C	0.982446
YDL167C	0.967198
YDL168W	1.009367
YDL169C	1.012953
YDL170W	1.004821
YDL171C	1.015005
YDL172C	0.977994
YDL173W	0.973058
YDL174C	1.043317
YDL175C	0.985435
YDL176W	1.034358
YDL177C	1.015211
YDL178W	1.060842
YDL179W	0.971211
YDL180W	0.837637
YDL181W	0.972033
YDL182W	0.937535
YDL183C	0.988559
YDL184C	0.989966
YDL185W	0.986554
YDL186W	0.958995
YDL187C	1.006432
YDL188C	1.00227
YDL189W	1.020869
YDL190C	0.911854
YDL191W	0.897839
YDL192W	0.796428
YDL194W	0.950172
YDL197C	1.016525
YDL199C	1.040098
YDL200C	1.030087
YDL201W	0.942085
YDL202W	0.347109
YDL203C	1.001723
YDL204W	1.005246
YDL206W	0.984837
YDL210W	1.063706
YDL211C	1.007067
YDL213C	0.947414
YDL214C	0.984299
YDL215C	0.997655
YDL216C	1.019712
YDL218W	1.030562
YDL219W	1.001027
YDL222C	1.011919
YDL223C	1.026567
YDL224C	0.981175
YDL226C	0.935048
YDL227C	1.0158684999999998
YDL229W	1.010039
YDL230W	1.032769
YDL231C	1.029646
YDL233W	1.021857
YDL234C	1.004127
YDL236W	1.046083
YDL237W	1.041617
YDL238C	1.059967
YDL239C	1.022675
YDL240W	1.009042
YDL241W	1.055664
YDL242W	1.021137
YDL243C	0.974083
YDL244W	1.013701
YDL245C	0.991881
YDL246C	1.027601
YDL248W	1.065842
YDR001C	1.000785
YDR003W	1.015368
YDR004W	0.903204
YDR005C	0.803666
YDR006C	0.982283
YDR007W	0.996351
YDR009W	1.016965
YDR010C	1.028901
YDR011W	1.000333
YDR012W	1.026698
YDR014W	0.983547
YDR015C	1.03263
YDR017C	0.628974
YDR018C	1.024522
YDR019C	1.017344
YDR020C	1.066752
YDR022C	1.034913
YDR024W	0.749448
YDR025W	0.620178
YDR026C	1.005135
YDR027C	0.450951
YDR029W	1.002539
YDR030C	1.00978
YDR031W	1.038567
YDR032C	1.074266
YDR033W	1.060494
YDR034C-A	1.06765
YDR034W-B	1.066545
YDR035W	1.009278
YDR036C	1.040986
YDR038C	1.071314
YDR040C	1.014554
YDR042C	1.028889
YDR043C	1.05225
YDR046C	1.050502
YDR049W	0.871213
YDR051C	0.965019
YDR055W	1.026761
YDR056C	1.004128
YDR057W	1.045704
YDR058C	0.983227
YDR059C	1.041429
YDR061W	1.013141
YDR063W	1.006141
YDR065W	0.432898
YDR066C	0.983198
YDR067C	1.028838
YDR068W	1.045792
YDR069C	0.163934
YDR070C	1.067508
YDR071C	1.028865
YDR072C	1.02565
YDR073W	1.012217
YDR074W	0.678692
YDR075W	1.031267
YDR076W	0.901484
YDR077W	1.04686
YDR078C	0.970689
YDR079W	0.667276
YDR080W	0.594975
YDR083W	0.722166
YDR084C	1.046282
YDR085C	1.046261
YDR089W	1.019935
YDR090C	1.050424
YDR092W	0.991498
YDR093W	1.02289
YDR094W	0.955378
YDR095C	1.016917
YDR096W	1.103034
YDR097C	1.00993
YDR098C	1.008665
YDR099W	0.927458
YDR100W	1.039818
YDR101C	0.868942
YDR102C	1.028025
YDR104C	1.032638
YDR105C	1.026068
YDR106W	1.082475
YDR107C	1.002836
YDR108W	0.881427
YDR109C	1.013933
YDR110W	1.01061
YDR111C	1.02426
YDR112W	1.0099
YDR115W	0.344918
YDR116C	0.846796
YDR117C	1.054459
YDR119W	1.015229
YDR120C	1.031357
YDR121W	1.039611
YDR122W	1.063908
YDR123C	0.724387
YDR124W	1.018537
YDR125C	1.003491
YDR126W	0.885148
YDR127W	0.830228
YDR128W	0.779008
YDR129C	0.546869
YDR130C	1.019613
YDR131C	1.038685
YDR132C	1.03705
YDR133C	1.046955
YDR135C	1.018495
YDR137W	0.618864
YDR139C	1.048282
YDR140W	0.376128
YDR142C	1.00832
YDR143C	1.066059
YDR144C	0.987646
YDR146C	0.87775
YDR147W	0.988361
YDR148C	0.968853
YDR149C	0.825843
YDR150W	0.819322
YDR151C	1.003502
YDR152W	1.010642
YDR153C	0.993229
YDR154C	1.001611
YDR155C	1.007631
YDR156W	0.854888
YDR157W	0.987671
YDR158W	0.903259
YDR159W	0.694057
YDR162C	0.787593
YDR163W	0.982066
YDR165W	0.965486
YDR169C	0.9531
YDR169C-A	1.026853
YDR171W	1.007524
YDR174W	0.606972
YDR175C	0.511464
YDR176W	0.435196
YDR178W	1.007203
YDR179C	1.012936
YDR179W-A	0.952485
YDR181C	0.976722
YDR182W-A	1.042091
YDR183W	0.980837
YDR184C	0.904246
YDR185C	1.022748
YDR186C	0.966347
YDR191W	1.008243
YDR192C	1.054698
YDR193W	1.035417
YDR194C	0.631398
YDR197W	0.676839
YDR198C	1.038846
YDR199W	1.007223
YDR200C	0.866357
YDR202C	0.956359
YDR203W	0.924841
YDR204W	0.769823
YDR205W	1.036918
YDR206W	0.993515
YDR207C	0.533408
YDR209C	1.056806
YDR210W	1.058059
