ORF	hom | growth (culture turbidity) | sodium arsenite [0.2 mM] | Johnson AJ~Wu MJ, 2015	hom | growth (culture turbidity) | sodium arsenite [0.4 mM] | Johnson AJ~Wu MJ, 2015
YBR164C	0.297	0.243
YBR168W	3.697	0.218
YBR169C	1.596	1.435
YBR170C	0.971	0.537
YBR171W	0.568	0.116
YBR172C	1.020	0.904
YBR173C	1.055	0.538
YBR174C	1.201	1.990
YBR175W	1.121	1.706
YBR176W	1.185	2.104
YBR177C	1.198	2.098
YBR178W	1.181	1.767
YBR179C	0.858	1.196
YBR180W	1.167	1.922
YBR181C	1.238	1.650
YBR182C	1.082	1.454
YBR182C-A	0.900	1.076
YBR183W	0.974	1.883
YBR184W	1.172	1.962
YBR185C	1.192	2.226
YBR186W	1.170	1.951
YBR187W	1.121	1.891
YBR188C	1.162	1.808
YBR189W	1.095	2.396
YBR191W	1.020	1.198
YBR194W	2.378	3.869
YBR195C	1.105	1.593
YBR196C-A	1.287	1.271
YBR196C-B	1.224	1.382
YBR197C	1.175	2.017
YBR199W	1.029	1.510
YBR200W	0.410	0.266
YBR200W-A	1.172	1.152
YBR203W	1.142	1.692
YBR204C	1.130	1.665
YBR205W	1.044	1.487
YBR206W	1.187	1.501
YBR207W	1.131	1.528
YBR208C	1.161	1.455
YBR210W	1.033	2.032
YBR212W	1.042	1.457
YBR213W	1.091	1.639
YBR214W	1.224	1.754
YBR215W	1.072	1.414
YBR216C	1.101	0.989
YBR217W	1.046	0.691
YBR218C	1.150	1.607
YBR219C	0.954	1.752
YBR220C	1.109	1.447
YBR221C	1.220	2.294
YBR221W-A	1.338	1.383
YBR222C	1.081	2.037
YBR223C	0.962	2.074
YBR224W	1.127	1.858
YBR225W	1.182	2.036
YBR226C	1.192	2.187
YBR227C	1.196	1.881
YBR228W	1.135	1.197
YBR229C	1.068	1.098
YBR230C	1.109	1.729
YBR230W-A	1.130	1.944
YBR231C	0.704	0.615
YBR232C	1.029	1.754
YBR233W	1.088	2.086
YBR235W	1.103	1.838
YBR238C	1.118	1.980
YBR239C	1.132	1.887
YBR240C	1.059	1.728
YBR241C	1.043	1.556
YBR242W	1.069	1.918
YBR245C	1.026	2.011
YBR246W	1.034	2.270
YBR248C	1.067	1.752
YBR249C	1.060	1.729
YBR250W	1.099	1.927
YBR251W	1.141	2.195
YBR255W	0.622	1.981
YBR258C	1.030	1.845
YBR259W	1.079	2.068
YBR260C	1.110	1.983
YBR261C	1.006	2.008
YBR262C	1.045	2.043
YBR263W	1.003	1.753
YBR264C	1.093	2.134
YBR266C	0.663	2.947
