ORF	Pho5 phosphatase activity;phosphate starvation
YOR082C	65.893
YOR083W	62.869
YOR084W	83.748
YOR085W	108.987
YOR086C	96.293
YOR087W	95.784
YOR088W	133.984
YOR089C	121.778
YOR090C	121.296
YOR091W	111.376
YOR092W	103.679
YOR093C	112.675
YOR094W	98.317
YOR289W	99.283
YOR290C	NaN
YOR291W	100.197
YOR292C	94.999
YOR293W	95.626
YOR295W	107.395
YOR296W	115.081
YOR297C	129.744
YOR298W	106.672
YOR299W	107.635
YOR301W	108.005
YOR302W	132.154
YOR303W	131.481
YOR304C-A	107.538
YOR304W	99.696
YOR305W	127.085
YOR307C	166.361
YOR308C	120.511
YOR311C	106.521
YOR312C	107.929
YOR313C	94.661
YOR314W	110.054
YOR315W	98.903
YOR316C	129.016
YOR318C	121.728
YOR320C	119.604
YOR321W	105.250
YOR322C	108.930
YOR323C	98.052
YOR324C	126.679
YOR327C	113.798
YOR328W	113.527
YOR330C	129.915
YOR332W	111.504
YOR334W	118.252
YOR337W	116.711
YOR338W	118.266
YOR339C	97.754
YOR342C	84.995
YOR343C	115.239
YOR344C	150.739
YOR346W	122.961
YOR347C	126.747
YOR348C	115.278
YOR349W	118.314
YOR350C	122.645
YOR351C	122.651
YOR352W	97.733
YOR354C	109.942
YOR355W	268.619
YOR356W	98.538
YOR357C	95.218
YOR358W	97.786
YOR359W	161.131
YOR360C	395.679
YOR363C	104.413
YOR365C	126.818
YOR367W	104.500
YOR368W	102.040
YOR371C	156.467
YOR374W	94.943
YOR375C	96.984
YOR376W	114.327
YOR377W	94.359
YOR378W	271.563
YOR380W	119.237
YOR381W	108.157
YOR382W	111.889
YOR383C	104.052
YOR384W	95.156
YOR385W	91.060
YOR386W	97.996
YOL001W	592.099
YOL002C	134.116
YOL003C	112.367
YOL004W	128.327
YOL006C	129.639
YOL007C	118.371
YOL008W	116.828
YOL009C	172.807
YOL011W	93.823
YOL012C	121.066
YOL013C	108.210
YOL014W	96.947
YOL015W	68.489
YOL017W	93.940
YOL018C	113.300
YOL019W	157.225
YOL020W	133.693
YOL023W	140.384
YOL024W	119.771
YOL025W	155.753
YOL027C	153.414
YOL028C	122.195
YOL029C	114.098
