orf	hap a | phosphatase activity of a specific protein (Pho5) | phosphate starvation [unknown] | Huang S~O'Shea EK, 2005
YBL011W	86.81968120160546
YBL012C	78.56050884713684
YBL013W	128.28022702183495
YBL015W	115.20094017972977
YBL016W	126.42247880584596
YBL017C	100.25432622736811
YBL019W	127.17880513321528
YBL021C	79.78164317036888
YBL022C	119.87569546191665
YBL024W	172.99277840911222
YBL025W	
YBL027W	101.13383747215934
YBL028C	73.12014201863236
YBL029W	70.01229870799509
YBL031W	77.67947511193398
YBL032W	86.72698913545791
YBL033C	589.6020525017618
YBL036C	80.54433956136741
YBL037W	111.65303716650769
YBL038W	116.5454783311926
YBL039C	110.85363268766713
YBL042C	104.117380452986
YBL043W	82.98467803588406
YBL044W	94.00921866102266
YBL045C	90.78536854126344
YBL046W	74.61611202758264
YBL047C	54.569828646890684
YBL048W	88.23061559370922
YBL049W	75.0919988987861
YBL051C	132.50150172089096
YBL052C	109.69280931529102
YBL053W	111.52960994590491
YBL054W	93.37891084164009
YBL055C	92.064178444313
YBL056W	90.23801629003913
YBL057C	88.02361107657168
YBL058W	87.45505386875914
YBL059W	93.42779318135791
YBL060W	81.61986933454921
YBL061C	93.04003898644112
YBL062W	102.096571609932
YBL063W	135.06979422378177
YBL064C	119.97714771828223
YBL065W	101.92697797406595
YBL066C	101.11827302792477
YBL067C	75.8635498271259
YBL068W	81.75262018783005
YBL069W	85.81362320208981
YBL070C	82.08638305636147
YBL071C	79.519153267031
YBL072C	66.1295776483327
YBL075C	101.95974887169595
YBL078C	90.23385269477875
YBL079W	112.97731872556751
YBL080C	110.33890451010015
YBL081W	89.22607690883729
YBL082C	83.68944847883385
YBL083C	90.18874703729509
YBL085W	84.00437456831474
YBL086C	80.74176793430266
YBL087C	50.23832398621824
YBL088C	85.69726383999628
YBL089W	84.56064768564768
YBL090W	63.11484787538902
YBL091C	90.98365191617545
YBL091C-A	119.50840109317514
YBL093C	
YBL094C	406.7939390320282
YBL095W	69.06403339778262
YBL096C	62.10098113202131
YBL098W	52.28016115989353
YBL099W	35.19356460532932
YBL100C	45.56139120117519
YBL101C	38.44145608590711
YBL102W	42.90976970380492
YBL103C	20.798608323297213
YBL104C	50.95919265852847
YBL106C	58.5964664070648
YBL107C	64.2216258789091
YBR001C	64.54676058805357
YBR003W	57.60327198364009
YBR005W	66.67625280819833
YBR006W	61.067552307378
YBR007C	64.2928156059008
YBR008C	55.16447504410621
YBR009C	51.86571469698708
YBR010W	41.80021367521369
YBR012C	35.45912185392499
YBR013C	52.20093376925445
YBR014C	84.21483646819954
YBR015C	72.38944630248979
YBR016W	80.4955174304432
YBR018C	70.11432283789769
YBR019C	76.98550461289314
YBR020W	141.46675796324845
YBR021W	11.17216117216118
YBR022W	67.20824273197722
YBR023C	77.21280602636536
YBR024W	68.33214027981471
YBR025C	49.15458113383784
YBR026C	101.00202858927321
YBR027C	73.23223728578542
YBR028C	66.0493827160494
YBR030W	89.70917402063048
YBR031W	64.42901234567901
YBR032W	91.65402459594782
YBR033W	81.3448494607915
YBR034C	53.196053196053185
YBR035C	394.1326412276063
YBR036C	85.83940065421547
YBR037C	59.869208805379024
YBR040W	55.60412659555866
YBR041W	54.84934086629002
YBR042C	43.03363088246812
YBR043C	74.69024293634716
YBR044C	101.3561329601283
YBR045C	81.10653407953627
YBR046C	66.60517636536419
YBR047W	70.70144497045082
YBR048W	64.01906128682087
YBR050C	67.07053890738688
YBR051W	66.12033456699596
YBR052C	64.77148846960168
YBR053C	70.07327502847198
YBR054W	66.02870813397129
YBR056W	60.55092791747597
YBR057C	69.36443899136519
YBR058C	62.91227261376516
YBR059C	71.08515338942297
YBR061C	102.12765957446811
YBR062C	74.30234387289603
YBR063C	68.9459834970671
YBR064W	53.98062164483114
YBR065C	61.31226684222076
YBR066C	73.29472329472328
YBR067C	63.600302090436486
YBR068C	52.486370606394665
YBR069C	101.68146354587033
YBR071W	83.37675396498926
YBR072W	83.43656586014666
YBR073W	74.18571328720208
YBR074W	87.42914109629089
YBR076W	73.62407467009979
YBR077C	289.94708994709
YBR078W	229.6309857361182
YBR081C	3.5033106761982875
YBR082C	56.330453029978514
YBR083W	63.47682898141614
YBR084C-A	52.671568627450995
YBR084W	70.80314552910194
YBR085W	159.23241845971245
YBR089C-A	101.34209973376755
YBR090C	52.14973128358955
YBR092C	74.43240754362672
YBR093C	78.90361670167664
YBR094W	64.33648834987399
YBR095C	113.59097888284255
YBR097W	283.48214285714283
YBR098W	67.01227000912156
YBR099C	60.5800771585437
YBR101C	
YBR103W	74.61381081298748
YBR104W	98.36687839692841
YBR105C	102.26263364728692
YBR106W	153.7156217303276
YBR107C	111.95064631516252
YBR108W	92.49273988199462
YBR111C	55.76941386610609
YBR112C	
YBR113W	70.66625121518489
YBR114W	68.85996524965006
YBR115C	82.0796892558753
YBR116C	57.425850722138215
YBR119W	88.6952382916134
YBR120C	61.583556592631005
YBR121C	57.28029564694874
YBR122C	287.8653866458744
YBR125C	81.18996339213139
YBR126C	98.86348562733785
YBR127C	148.12710437710436
YBR128C	176.14519878643313
YBR129C	126.40633983564744
YBR130C	109.92826177612824
YBR131W	113.6375701593093
YBR132C	133.12190523155948
YBR133C	81.76514764247415
YBR134W	121.02212319603626
YBR137W	84.784178246362
YBR138C	101.46133570180214
YBR139W	89.80214417209416
YBR141C	116.62880763991538
YBR144C	142.66492900223918
YBR145W	125.39037950205463
YBR146W	114.26845027836842
YBR147W	43.909565213995734
YBR148W	100.59585591819477
YBR149W	112.74024465540529
YBR150C	103.87212244590279
YBR151W	126.82889745186898
YBR156C	308.98316479958703
YBR157C	110.7115700241625
YBR158W	86.88005885014564
YBR159W	85.43277684990451
YBR161W	93.38235097994584
YBR162C	130.65121139950716
YBR162W-A	131.26295623275564
YBR163W	118.27416312416386
YBR164C	106.70721766623852
YBR165W	95.40121610947028
YBR166C	94.35095465991358
YBR168W	101.18028811867066
YBR169C	76.35841008258653
YBR170C	85.56379834040442
YBR171W	104.37546007426802
YBR172C	350.0774546547965
YBR173C	145.04144928673236
YBR174C	151.1730764257508
YBR175W	173.49386695769164
YBR176W	95.23563482088828
YBR177C	122.20064722443627
YBR178W	116.66778779225217
YBR179C	149.3096194860591
YBR180W	100.16826479808225
YBR181C	83.82197147569174
YBR182C	82.21363609569653
YBR183W	88.33298494983279
YBR184W	102.74712026014112
YBR185C	97.79085569274358
YBR186W	115.91493805439248
YBR187W	97.46472753006607
YBR188C	87.59463097877733
YBR189W	100.20085444315076
YBR191W	104.73758256183837
YBR194W	156.24999999999986
YBR195C	105.58160684561926
YBR197C	94.3730719506988
YBR199W	95.77243607521214
YBR200W	150.42892156862746
YBR201W	97.4828253544392
YBR203W	88.0372514340156
YBR204C	82.7747050224676
YBR205W	99.69252290840916
YBR206W	95.92450775003229
YBR207W	99.3575155574128
YBR208C	88.53013737033922
YBR209W	124.96333349841088
YBR210W	103.91185035842295
YBR212W	122.1202166754558
YBR213W	70.12288786482335
YBR214W	117.50502269522562
YBR215W	138.50580694725633
YBR216C	85.34967449335828
YBR217W	85.4990242478301
YBR218C	93.30099715804462
YBR219C	87.94023207290364
YBR220C	87.69030757908864
YBR221C	202.859516984004
YBR222C	123.97940742456143
YBR223C	118.76631631099244
YBR224W	164.3992082159137
YBR225W	184.7362367965872
YBR226C	100.23798581584907
YBR227C	84.57465954766334
YBR228W	78.57014742762338
YBR229C	108.00404538968644
YBR230C	87.48907018604805
YBR231C	111.45571919630369
YBR232C	50.794368324226994
YBR233W	84.52028709444953
YBR235W	89.94437846094746
YBR238C	99.13385731894235
YBR239C	109.7733282202739
YBR240C	84.58582428316313
YBR241C	79.58521058736218
YBR242W	78.90347504705346
YBR244W	77.8576818453687
YBR245C	82.1481038297889
YBR246W	45.859071581625834
YBR248C	154.92767498383708
YBR249C	61.39762153767458
YBR250W	91.52989753893948
YBR251W	129.8329277475256
YBR255W	133.2187040186324
YBR258C	100.23448043184885
YBR259W	126.17550560812974
YBR260C	82.80915591559156
YBR261C	88.07679861330428
YBR262C	117.80762492741343
YBR263W	78.01872124580859
YBR264C	83.97142136131245
YBR266C	59.361879409600476
YBR267W	86.85322498014095
YBR268W	100.51428067733362
YBR269C	150.81564685049364
YBR270C	76.00261163284877
YBR271W	77.41829941423282
YBR272C	54.64090780648135
YBR273C	77.29646847025245
YBR274W	92.71740263445197
YBR275C	58.50828916972415
YBR276C	78.35976631771472
YBR277C	144.87030297810975
YBR278W	136.44020685707653
YBR279W	213.03678080427574
YBR280C	60.90461262875058
YBR281C	110.58068231713551
YBR282W	139.58036984352773
YBR283C	113.6111877364439
YBR284W	141.38373070294847
YBR285W	92.18274260998257
YBR286W	128.65537240537242
YBR287W	70.97606576121386
YBR288C	67.92751336351131
YBR289W	25.972367351677676
YBR290W	68.4491111491026
YBR291C	114.23536618711088
YBR292C	82.11168204664772
YBR293W	72.09467024047407
YBR294W	100.78209182048822
YBR295W	105.65369465333151
YBR296C	71.99458660842006
YBR297W	101.88586674606691
YBR298C	99.96923327596718
YBR299W	172.9207367335034
YBR300C	136.64705986425423
YBR301W	103.97747244762685
YCL001W	107.17868578404578
YCL001W-A	161.1887309606551
YCL002C	124.1321460833656
YCL005W	161.37465264620437
YCL007C	430.7081807081807
YCL008C	87.25825837992599
YCL009C	132.99284416040607
YCL010C	78.48709015941614
YCL011C	92.4288350470947
YCL014W	99.23145510166114
YCL016C	132.51922752572858
YCL022C	69.08374042303186
YCL023C	88.77511498159663
YCL024W	125.28740410892256
YCL025C	120.24570939076222
YCL026C-A	87.3195901333221
YCL027W	110.35401891252954
YCL028W	101.74461868002552
YCL029C	102.43184831067599
YCL030C	102.54790389997063
YCL032W	206.42070959975
YCL033C	218.1846523681432
YCL034W	90.82038167070544
YCL035C	115.9758229532948
YCL036W	202.8234106807741
YCL037C	189.9794974647083
YCL038C	68.51296701251349
YCL039W	140.8293450778227
YCL040W	126.79610939342378
YCL042W	123.83037652518902
YCL044C	112.29792574594725
YCL045C	110.10325034099951
YCL046W	102.08446402503435
YCL047C	96.06292517006803
YCL048W	91.95103284253682
YCL049C	94.53214505099066
YCL050C	202.26149233025637
YCL051W	100.7953047312968
YCL055W	131.19750180379538
YCL056C	246.1331154071181
YCL057W	116.99070160608622
YCL058C	45.96335216537426
YCL061C	180.71563351842605
YCL063W	127.07320168582822
YCL064C	98.76462354084072
YCL069W	101.22072554398687
YCL076W	49.99414801092909
YCR001W	92.61601848861372
YCR002C	126.99331220541741
YCR003W	104.27497055374293
YCR004C	134.15121606247885
YCR005C	119.55978195473995
YCR006C	106.27733083213856
YCR007C	105.68458032694036
YCR008W	125.7060166337971
YCR009C	294.41902615851865
YCR010C	98.1565292056527
YCR011C	85.21400984636279
YCR014C	79.96904400310754
YCR015C	83.512757119182
YCR016W	94.93742239366985
YCR017C	138.599201082515
YCR019W	276.74765912789564
YCR020C	129.39517431949105
YCR020C-A	81.63690059895652
YCR020W-B	460.35923141186294
YCR021C	98.32356068714391
YCR022C	96.6641389812747
YCR023C	89.92086917346654
YCR024C	76.4325805490248
YCR024C-A	127.44618088155778
YCR025C	124.94240480657461
YCR026C	95.49541292375497
YCR027C	105.26241987924402
YCR028C	67.0415961684765
YCR028C-A	77.67002569861793
YCR030C	72.06216292932162
YCR031C	47.09522806343813
YCR032W	88.93539737737791
YCR033W	99.26260040632897
YCR034W	300.22627729049753
YCR036W	163.74099257742125
YCR037C	192.29953224697311
YCR043C	195.6572403009706
YCR044C	180.6117143006124
YCR045C	129.74176698491766
YCR046C	88.72981054408808
YCR047C	86.40860708853504
YCR048W	83.61046284583577
YCR049C	77.92001305906764
YCR050C	102.65086489616269
YCR051W	73.62261822616288
YCR053W	103.32409093196344
YCR059C	52.85073939591618
YCR060W	71.79989194989129
YCR061W	89.07755602639315
YCR063W	91.29358708371274
YCR065W	77.66449383592816
YCR066W	74.63985168948916
YCR067C	96.65392570278638
YCR068W	93.02891721075285
YCR069W	103.1563542751147
YCR071C	106.12681988749819
YCR073C	82.90542683834715
YCR073W-A	141.9969767284452
YCR075C	85.60994440265316
YCR076C	189.98875272182158
YCR077C	80.77677883932549
YCR079W	104.152503968732
YCR081W	52.818264741101515
YCR082W	60.33708973644691
YCR083W	105.86953287375229
YCR084C	
YCR085W	87.2389150798554
YCR086W	53.124614044726094
YCR087C-A	104.04983553747292
YCR087W	96.51750297357151
YCR088W	85.22796118215966
YCR089W	75.4546360152728
YCR090C	97.0710683960389
YCR091W	110.23610299848639
YCR092C	99.81056728078235
YCR094W	147.73235931705221
YCR095C	286.997848290976
YCR098C	83.53727858358863
YCR099C	90.10847485393603
YCR100C	67.49051895701729
YCR101C	76.8217052655279
YCR102C	76.10996342795607
YCR102W-A	116.84042567576704
YCR105W	69.8455485083392
YCR106W	64.78331289853256
YCR107W	144.92916971153957
YDL001W	61.43494550953784
YDL002C	93.4136749463662
YDL006W	89.48387436554162
YDL009C	133.38699052577604
YDL010W	114.29868168589974
YDL011C	112.97947977432302
YDL012C	97.99306382993711
YDL013W	116.36394532625805
YDL018C	83.19232879534388
YDL019C	81.92350922638323
YDL020C	74.3236388016666
YDL021W	117.27571160863039
YDL022W	95.19885137749827
YDL023C	89.46348653661548
YDL024C	118.89221911486034
YDL025C	141.89629974841992
YDL026W	122.29063784547313
YDL027C	101.62860936715373
YDL032W	96.31302521008405
YDL033C	92.22955847050397
YDL034W	92.5142004633486
YDL035C	178.3675595584627
YDL036C	63.356660199451824
YDL037C	85.94747399634123
YDL039C	77.4419100424413
YDL040C	139.76686480490497
YDL041W	114.0143876942326
YDL042C	109.7482899752759
YDL044C	112.44551660875672
YDL045W-A	102.00330825330826
YDL046W	101.01284805183987
YDL047W	391.9298476120666
YDL048C	92.00664109153442
YDL049C	81.85275139588036
YDL050C	91.68241527786067
YDL051W	83.842690483665
YDL052C	48.393607113887114
YDL053C	64.19265530899997
YDL054C	94.59218530563805
YDL056W	148.3245116437825
YDL057W	119.00625545510852
YDL059C	134.16974748047602
YDL061C	68.17014445287828
YDL062W	88.36716494466137
YDL063C	75.68753739595701
YDL065C	105.27298204249205
YDL066W	76.49219340669094
YDL067C	179.84151840654033
YDL068W	73.10151007779099
YDL069C	73.56280153952423
YDL070W	77.67483129888541
YDL071C	73.52065278237745
YDL072C	125.88249018811135
YDL073W	204.29571337134368
YDL074C	366.6389904181549
YDL075W	
YDL076C	147.76681844385416
YDL077C	86.19918856204383
YDL078C	86.73909709605385
YDL079C	76.81938030311362
YDL080C	79.07471324823149
YDL081C	221.19554002396137
YDL082W	56.8210582423843
YDL083C	49.600960156276486
YDL085W	78.87336062850788
YDL086W	79.85656074017592
YDL088C	134.7259529630373
YDL089W	121.59385576052242
YDL090C	68.21785057600661
YDL091C	109.27417426416284
YDL093W	132.46044892739008
YDL094C	94.90467580256313
YDL095W	96.01653845719343
YDL096C	87.29204076489184
YDL099W	81.80031446540879
YDL100C	91.92776078962663
YDL101C	86.06839067365382
YDL104C	69.19412416407852
YDL106C	12.029391619023482
YDL107W	63.1179462300815
YDL109C	73.62574748070664
YDL110C	76.5222569744424
YDL112W	72.05939117454359
YDL113C	79.45215498383646
YDL114W	65.09756669709628
YDL115C	123.9676274679321
YDL116W	62.854182152621156
YDL117W	72.78561584239887
YDL118W	92.38975446167225
YDL119C	59.16972953895614
YDL121C	76.73235242599405
YDL122W	71.92084596635654
YDL123W	71.50742504210693
YDL124W	61.73461997709799
YDL125C	73.7174839944121
YDL127W	60.52845940636102
YDL128W	64.01525250464866
YDL129W	63.13338860350935
YDL130W	58.20297838131572
YDL130W-A	106.60446883768876
YDL131W	94.06502362612869
YDL133C-A	185.89636212400686
YDL133W	97.2733030214782
YDL134C	221.9347473455094
YDL135C	206.96117422802183
YDL136W	51.740881385448915
YDL137W	59.26836226505448
YDL138W	60.413614163614156
YDL142C	70.231440047196
YDL144C	77.10162451772237
YDL146W	55.3724543071791
YDL149W	65.93682469280253
YDL151C	89.00511531109352
YDL154W	76.20466229630219
YDL155W	74.24007515978175
YDL156W	70.99759790337392
YDL157C	54.908342905626384
YDL159W	51.64525421764538
YDL160C	211.95366120678764
YDL161W	56.39527673519312
YDL162C	53.74115541846635
YDL167C	201.05427522639093
YDL168W	64.92100421255404
YDL169C	56.38683859598238
YDL170W	65.6348892257931
YDL171C	52.975250466157405
YDL172C	128.39435451694894
YDL173W	125.7290043534586
YDL174C	79.11716304627775
YDL175C	65.51832621977469
YDL176W	100.16545227600504
YDL177C	55.2086575370889
YDL178W	53.4314628483361
YDL179W	47.448816594365525
YDL180W	54.13549061646886
YDL181W	63.41571344414136
YDL182W	67.10974377494217
YDL183C	54.89027650971696
YDL184C	94.46970520538298
YDL185W	149.5550217736918
YDL186W	82.42090949278287
YDL187C	67.50885757492583
YDL188C	96.12692566453234
YDL189W	53.57229669807607
YDL190C	63.68320590733414
YDL191W	96.24670206863034
YDL192W	92.96542814656851
YDL194W	120.63281583095704
YDL197C	62.163203284025805
YDL198C	149.3136381819567
YDL199C	60.54459003495181
YDL200C	66.88044477108492
YDL201W	64.79500950398221
YDL202W	163.4226321464597
YDL203C	79.51191267838865
YDL204W	63.04592304620437
YDL206W	95.38613298214034
YDL210W	90.96831223895384
YDL211C	87.5126565188789
YDL213C	74.52811583900704
YDL214C	67.80375758807824
YDL215C	70.01415950995784
YDL216C	74.07562675725288
YDL218W	65.338767221908
YDL219W	62.09855938597763
YDL222C	73.67860187553283
YDL223C	61.030275613860994
YDL224C	53.97425536827522
YDL225W	115.2841211470419
YDL226C	84.92192008187806
YDL227C	100.79956708847791
YDL229W	99.96726546797
YDL230W	68.44451351174509
YDL231C	75.28142633555532
YDL232W	63.131674749557675
YDL233W	75.48078103092278
YDL234C	56.332903947842794
YDL236W	70.0916302147202
YDL237W	60.512552301255226
YDL238C	68.01036305995267
YDL239C	103.34432546125544
YDL240W	185.8799956020851
YDL241W	79.00460313321365
YDL242W	73.84808527740739
YDL243C	70.57921330024989
YDR001C	52.58468788740526
YDR003W	63.44432509846044
YDR004W	66.38291455405549
YDR005C	46.38935892947446
YDR006C	61.178787231539786
YDR007W	188.63560432782504
YDR008C	47.22430029924308
YDR009W	55.97569464040484
YDR010C	92.0981331536491
YDR011W	166.2604434611302
YDR014W	75.18919822632846
YDR015C	72.24031260175839
YDR017C	368.5939956058085
YDR018C	54.5051189211931
YDR019C	91.09559186417457
YDR020C	53.73425271304298
YDR022C	72.97594290538115
YDR024W	55.139168343393706
YDR025W	55.57757381912576
YDR026C	116.18926916040482
YDR027C	73.01656386347943
YDR028C	242.9182095468133
YDR029W	89.5471256684492
YDR030C	78.79341351017196
YDR031W	92.94595768364897
YDR032C	74.86707480377562
YDR033W	70.17787030354955
YDR034C	102.74367126191063
YDR035W	90.70425374352241
YDR036C	77.13144616800997
YDR042C	69.58871245769971
YDR043C	91.7078606042922
YDR046C	94.32906809206841
YDR048C	208.5808580858086
YDR049W	97.66865632895167
YDR050C	118.35887198460135
YDR051C	89.54631706054857
YDR055W	92.51055494661634
YDR056C	81.05326805370984
YDR057W	93.68217494447809
YDR058C	128.0726466831944
YDR059C	74.61516207141234
YDR061W	93.43253870102347
YDR063W	79.50165436158247
YDR065W	113.79127920839294
YDR066C	84.83940773069125
YDR067C	65.9026459170072
YDR068W	114.17043089884788
YDR069C	57.623335089689746
YDR070C	121.03272817624375
YDR071C	91.65628130933842
YDR072C	103.1607005147151
YDR073W	87.6030234222594
YDR074W	361.8388814472131
YDR075W	95.04261929346663
YDR076W	95.76636427279621
YDR077W	93.50820679785085
YDR078C	104.06166888297872
YDR079W	87.94052815246235
YDR080W	99.09777898725164
YDR083W	152.29739480491838
YDR084C	112.97101166905199
YDR085C	96.02052939405301
YDR089W	93.71867436231614
YDR090C	87.84836709059508
YDR092W	115.53438811962957
YDR093W	95.4477621144288
YDR094W	81.09025848051033
YDR095C	83.01674904485614
YDR096W	104.86743404193753
YDR097C	159.78195897490215
YDR098C	115.94974737154405
YDR099W	125.86897987124689
YDR100W	108.20830388734619
YDR101C	81.3271293404316
YDR102C	147.83925476949122
YDR103W	119.6213991142532
YDR104C	92.66329295172545
YDR105C	94.17293233082707
YDR107C	95.84767357873446
YDR108W	94.59909739605061
YDR109C	123.4357321803782
YDR110W	82.81547028228849
YDR111C	118.76423203025755
YDR112W	116.49117322512802
YDR114C	
YDR115W	
YDR116C	104.07986111111111
YDR117C	91.77582339342314
YDR119W	112.887164853457
YDR120C	93.12206499463224
YDR121W	126.06529395894529
YDR122W	80.42753383955102
YDR123C	25.304590891137238
YDR124W	89.96711647243237
YDR125C	92.40768066642028
YDR126W	119.42656387987842
YDR127W	29.553669652679524
YDR128W	123.65977413779056
YDR129C	86.92622615954059
YDR130C	91.31104632252823
YDR131C	89.4987642362332
YDR132C	92.57169473718771
YDR133C	83.20875631576506
YDR135C	85.0770282421762
YDR136C	88.30868205868205
YDR137W	110.3041458131946
YDR138W	345.21923824609394
YDR139C	106.72511816209516
YDR140W	92.8011924150368
YDR142C	88.35467215805652
YDR143C	95.1620733803429
YDR144C	139.82947582442065
YDR146C	94.55638125236806
YDR147W	90.37677159528818
YDR148C	121.53537107280385
YDR149C	141.37864030202053
YDR150W	122.05075646217465
YDR151C	137.93046884034814
YDR152W	108.62791515400119
YDR153C	118.2894955753936
YDR154C	97.82308646053949
YDR155C	104.16253363877075
YDR156W	70.51052792643156
YDR157W	81.80314309346568
YDR158W	90.15516644276202
YDR159W	67.19825071774427
YDR161W	118.80276520863501
YDR162C	119.60682590333654
YDR163W	107.63809056022819
YDR165W	105.56621051313314
YDR169C	110.08520792544186
YDR171W	112.35135703329959
YDR173C	81.29653418841721
YDR174W	69.90376358941903
YDR175C	121.63588321681382
YDR176W	16.203703703703706
YDR178W	86.56895635117053
YDR179C	102.07640439307062
YDR179W-A	84.87488184385842
YDR181C	122.91117417225233
YDR183W	117.1989313902309
YDR184C	120.08732409441242
YDR185C	119.12440877820548
YDR186C	107.03044504066241
YDR191W	102.02641528372106
YDR192C	99.88432278082519
YDR193W	95.22730568517889
YDR194C	96.30208360119822
YDR195W	185.83316483608274
YDR197W	91.99257601591361
YDR198C	77.58312009365194
YDR199W	148.61997790920697
YDR200C	294.033298301204
YDR202C	78.83416932664538
YDR203W	115.11678564122049
YDR204W	115.8116144101629
YDR205W	119.72851368870586
YDR206W	91.55945176531498
YDR207C	209.40744302936804
YDR209C	96.9417987227687
YDR210W	90.43285387828945
YDR213W	92.59316704319079
YDR214W	76.01391234324672
YDR215C	81.95466105795127
YDR216W	75.62581294053919
YDR217C	125.93928386265506
YDR218C	117.40083374212753
YDR219C	108.2275258207836
YDR220C	120.18494120790199
YDR221W	112.98082179723659
YDR222W	103.60848641954115
YDR223W	94.12610570611028
YDR225W	118.19056643328787
YDR226W	292.2474698790488
YDR227W	65.9605031512614
YDR229W	100.30887906663494
YDR230W	81.13513026193297
YDR231C	148.99898093357132
YDR233C	116.91040279458883
YDR234W	168.8543970219667
YDR237W	87.2891689612095
YDR239C	74.6235531720551
YDR241W	97.37553323660023
YDR242W	145.5273717710632
YDR244W	68.01361285597659
YDR245W	248.20777966216863
YDR247W	357.5553084106573
YDR248C	68.78911608317523
YDR249C	137.26463142118968
YDR250C	182.2903969763086
YDR251W	75.73131022627379
YDR252W	87.04588407474512
YDR253C	65.0124812053389
YDR254W	89.36100530684931
YDR255C	131.69995806774944
YDR256C	61.100552510004974
YDR257C	53.75080803318863
YDR258C	68.40085313796118
YDR259C	103.10622016365099
YDR260C	115.33365982904544
YDR261C	183.94925285291782
YDR262W	181.76440780373258
YDR263C	255.09653313229623
YDR264C	96.10883352605208
YDR265W	230.94027764329658
YDR266C	105.15760687237982
YDR268W	155.40743059625942
YDR269C	73.52884672781408
YDR270W	310.7006060795863
YDR271C	64.17576975890876
YDR272W	204.10889950792375
YDR273W	157.39138200749053
YDR274C	289.81823754184757
YDR275W	183.055166313043
YDR276C	70.73375604489758
YDR277C	92.3617351366712
YDR278C	102.45685909131329
YDR279W	94.9508857942593
YDR281C	75.79701941207384
YDR282C	84.87781525227649
YDR283C	122.14196235318556
YDR284C	85.00672870553592
YDR285W	86.47934880971508
YDR286C	82.07840946408663
YDR287W	85.54631729128138
YDR289C	83.77657064558201
YDR290W	82.00055076719583
YDR291W	118.89635949567109
YDR293C	161.9867024941436
YDR294C	76.25284616619031
YDR295C	141.67828389899103
YDR296W	222.3435021766527
YDR297W	98.86731186073293
YDR298C	94.1787813222707
YDR300C	
YDR304C	72.03653989241761
YDR305C	86.80316321158642
YDR306C	81.15177642715244
YDR307W	105.75098617955
YDR309C	99.36275838796936
YDR310C	127.46003996003994
YDR312W	89.22556507179709
YDR313C	250.11273420133375
YDR314C	69.88768712596266
YDR315C	64.02777563330554
YDR316W	75.37370444446904
YDR317W	78.01563309928216
YDR318W	93.95399695551782
YDR319C	74.17390081475526
YDR320C	73.87183395248543
YDR321W	102.53956648572802
YDR322W	104.19515533486123
YDR323C	80.25915509314254
YDR326C	140.31826687314495
YDR329C	129.2934266990871
YDR330W	88.2265721603957
YDR332W	61.89978174517024
YDR333C	67.0919354701509
YDR334W	123.52897733972648
YDR335W	164.00332878448728
YDR336W	134.43644824374536
YDR337W	65.37727883644135
YDR338C	69.66647925381554
YDR340W	74.7824409718637
YDR344C	109.40864887246177
YDR345C	83.59401510684145
YDR346C	77.43203785889604
