orf	hom | growth (colony size) | standard | SC | Jaeger PA~Ideker T, 2018	hom | growth (colony size) | standard | SC, Gal [2%] | Jaeger PA~Ideker T, 2018	hom | gene expression (prGAL1-GFP) | standard | SC - Ura | Jaeger PA~Ideker T, 2018	hom | gene expression (prGAL1-GFP) | standard | SC - Ura, Gal [2%] | Jaeger PA~Ideker T, 2018	hom | gene expression (prTEF1-GFP) | glucose [2%] | None | Jaeger PA~Ideker T, 2018	hom | gene expression (prTEF1-GFP) | galactose [2%] | None | Jaeger PA~Ideker T, 2018	hom | degradation of misfolded proteins (del-ssCPY*-GFP) | standard | None | Jaeger PA~Ideker T, 2018
YAL034C	0.321938494807563	0.354867318512131	0.0680547724907362	0.139488049144624	0.1185498894998	-0.0016586939190373	-0.7066534404354657
YAL035W	0.641545098704018	0.221643000485485	-1.8602529663046	-0.75491155971577	-0.698496839117328	-0.390633380886332	
YAL036C	0.838869426622684	0.099900752286267	0.0060982639825802	0.0875938260672422	0.0223123858134581	-0.0251151771710998	0.0035457105770820008
YAL037C-A	0.0379999009356644	0.457491721007135	0.515709985709541	0.386262151489739	0.153375018438094	-0.00151215589603075	-0.46533085090607296
YAL037W	-0.126865699759266	0.0241340673388388	-0.090821643407183	0.108717906579722	0.22863502161442	0.0153335913987575	-0.8240570168772138
YAL039C	0.0887481596315411	0.373206790711515	-0.0785763118827411	-0.723676054472646	0.0704881859158107	-0.290948681372547	0.791364919106048
YAL040C	0.184702150772332	0.321087646752368	-0.0696210341072672	-0.200688682986715	-0.277978247452294	-0.0979986875452666	1.2251180643925952
YAL042C-A	0.751444527839717	0.512464649185482	1.04742545731335	0.0986618905714384	0.123968368408206	0.0403875549174787	-0.27459852403197005
YAL042W	0.400087551088711	0.506487764831879	0.862075702612825	0.0721711900702599	0.0580065769630832	-0.0336215360622351	0.30148824714202493
YAL044C	-1.79383428967841	-1.5155297625341	-1.93445420441055	-0.709788114100067	-0.314815943863838	-0.380594059493969	0.3315090170615598
YAL044W-A	0.0031814307470175	0.133859307352705	1.33656567688012	0.229809213113496	0.0855578924553364	-0.0286501374092072	-0.1298171249306928
YAL045C	0.566712422108826	0.137995114895161	0.0495690161857174	0.144405577087615	0.0352849434704527	-0.0658018937990716	-0.07827155518157379
YAL046C	-0.232932970922232	-0.0553746671133801	0.0452588690277826	0.143763549703568	0.209039403048484	0.0519456473432232	-0.9131126554631919
YAL047C	-2.65848743866818	-1.30306357963833	-1.75701978835147	-0.755216708034228	-0.75331692992584	-0.389717671097962	
YAL048C	-2.19090125943369	-4.0808734717347	0.278792111567025	-0.752113378528327	-0.140276340947887	-0.0181765267528898	0.8057755632267423
YAL049C	0.682002100859965	0.257452425133628	0.42881767373393	0.246933622715209	0.0921080497972242	-0.0458659540994534	0.29769118884091295
YAL051W	0.366826807019937	0.399401473221405	-0.628641232702878	0.358893497598026	0.0730278438775645	-0.0479362325257919	-0.014262670153915899
YAL053W	0.59307144049388	0.242776397996791	0.214877686299639	0.308128413868959	0.169202949430826	0.0229204684993163	-1.009478324185899
YAL054C	0.4304468719081	0.128888370405635	-0.0576941820756421	0.114320862849582	0.117933965016843	-0.0208148709777965	0.447821384753672
YAL055W	0.410909128533623	0.219994622919372	0.223578362556631	0.0736828525052224	-0.0535989594064283	-0.0312472730346347	0.379431494482633
YAL056C-A	0.0298341601816955	0.350588556893802	-1.15035319109596	-0.084596930976995	0.120829332854595	-0.00724416900742456	-1.511421224867989
YAL056W	1.0466302943421	0.57862231168957	0.754007694310731	0.179136328070701	-0.0114498339807392	-0.00909732297772889	0.3846185569624654
YAL058W	-0.702572117621973	0.24609885541685	1.19413250239582	0.205344109012159	0.114848405238856	0.041590537735585	0.08369279199108098
YAL059W	6.6798627480741e-05	0.137042178434716	0.219446129661621	0.119650900281899	-0.0372911577293673	-0.0314730740457043	1.2207476927608651
YAL060W	-0.0741350968105859	0.518938842932644	1.71620866250024	0.167183448050237	0.073609130941808	-0.0163156606222681	1.0466298977237
YAL061W	1.18715398425779	0.875657562498965	0.270000464510034	0.0338035066668317	0.0738794762935748	-0.0167822794045364	0.558142642421946
YAL062W	0.261316464565307	0.353100131005853	1.35071609778876	0.18064678954305	-0.132152455956013	-0.0350800551307668	-0.24844815001339993
YAL064C-A	0.587786242173947	-0.32898579276767	-0.639463408477882	0.0681884113182151	0.160137256720653	-0.0156411466123056	0.326280930172702
YAL065C	0.536530754814085	0.414315049744102	0.417724370380101	0.198905810959227	0.330932761886494	0.0343459473855499	0.051297786527259914
YAL066W	0.338873030725685	0.195216646544186	0.0832409632018401	0.160168710158412	0.337105946227214	0.0206050733388757	-0.666821401975825
YAL067C	1.28059332840115	-0.0169876748105522	1.50524400377367	0.111436342390249	0.295279369541479	-0.00961516238775779	-0.4069161470075411
YAL067W-A	0.300960718327726	-0.0951411472341416	1.88186166919091	0.284522818704051	0.221476231290793	0.0390181171671795	-0.8805241015635602
YAL068C	0.331302139859314	-0.52219680985249	0.161075239053111	0.160509613327662	0.317747021827834	0.00261442371975514	-0.41059247831661694
YAR002C-A	0.980581019075508	0.91727189516314	0.31979503410081	0.0362081073148174	0.0704266815852453	-0.108783584201704	-0.139546689465602
YAR002W	-0.404956231203905	-0.785407006115735	0.97769050253208	0.103515900931339	0.0501893398929218	0.0263727843903764	-0.053058843775239006
YAR003W	0.505642848665856	0.338571300170591	0.148147994450981	-0.56498147122726	-0.106756468945984	-0.322768336311156	
