ORF	hap a | expression level of a particular gene (HTA1) | standard [standard] | Fillingham J~Andrews BJ, 2009
YJL024C	-0.347
YGR121C	-0.347
YBR022W	-0.346
YIL007C	-0.345
YHR044C	-0.344
YOR339C	-0.344
YPL264C	-0.343
YKR040C	-0.343
YDL033C	-0.342
YJR115W	-0.342
YCL024W	-0.342
YJR079W	-0.342
YOR298C-A	-0.342
YDR369C	-0.342
YCR102W-A	-0.341
YJR137C	-0.340
YIL002C	-0.340
YDR461W	-0.339
YLR095C	-0.338
YNL021W	-0.337
YBL007C	-0.337
YMR155W	-0.337
YGR032W	-0.336
YPL004C	-0.336
YJL077C	-0.336
YHR032W	-0.336
YJR128W	-0.335
YGR100W	-0.335
YDL050C	-0.334
YBR073W	-0.334
YJL047C	-0.333
YNL134C	-0.333
YKR091W	-0.333
YJL110C	-0.333
YDR290W	-0.333
YHL005C	-0.332
YHR151C	-0.332
YPL183C	-0.332
YML006C	-0.332
YLR284C	-0.331
YGR239C	-0.330
YCL023C	-0.330
YMR223W	-0.328
YIL052C	-0.328
YLR460C	-0.328
YBR182C	-0.327
YCR009C	-0.327
YNL089C	-0.327
YPR057W	-0.326
YCL006C	-0.326
YNL058C	-0.325
YLR456W	-0.325
YDR250C	-0.325
YLR053C	-0.325
YOR334W	-0.325
YFR039C	-0.324
YJR059W	-0.324
YFR011C	-0.322
YNL093W	-0.322
YLR361C	-0.322
YBL016W	-0.322
YEL039C	-0.321
YKL214C	-0.321
YHR033W	-0.321
YNL043C	-0.320
YDL194W	-0.320
YCR006C	-0.319
YHR105W	-0.319
YLR131C	-0.318
YGL162W	-0.317
YNR013C	-0.317
YPR115W	-0.316
YGR038W	-0.316
YIL132C	-0.316
YBL055C	-0.315
YGR287C	-0.315
YKR042W	-0.315
YIL086C	-0.315
YHR163W	-0.315
YOR288C	-0.314
YNL333W	-0.314
YGR028W	-0.314
YIL050W	-0.314
YNL082W	-0.314
YGL115W	-0.313
YMR135W-A	-0.312
YGR238C	-0.312
YGL023C	-0.312
YIL067C	-0.312
YGR012W	-0.311
YHL021C	-0.311
YDR277C	-0.311
YBR277C	-0.310
YPL115C	-0.310
YGL035C	-0.310
YHL010C	-0.309
YPL081W	-0.309
YDR007W	-0.309
YPR172W	-0.309
YJL148W	-0.309
YGR080W	-0.308
YDL133C-A	-0.149
YPL107W	-0.308
YKL220C	-0.307
YAL023C	-0.307
YBR261C	-0.306
YGL147C	-0.306
YHL032C	-0.306
YCR034W	-0.306
YOL137W	-0.306
YJL098W	-0.304
YLR445W	-0.304
YDR183W	-0.304
YNR062C	-0.304
YNL325C	-0.304
YNL029C	-0.303
YLR334C	-0.303
YJR084W	-0.303
YIL017C	-0.303
YNL105W	-0.302
YLR450W	-0.302
YPL147W	-0.302
YHR078W	-0.301
YBR076W	-0.301
YPR164W	-0.301
YBR085W	-0.301
YOR139C	-0.300
YMR160W	-0.300
YDR522C	-0.299
YGR031W	-0.299
YPR073C	-0.299
YPR066W	-0.298
YLR343W	-0.298
YAR015W	-0.298
YGR040W	-0.298
YNL050C	-0.298
YAR043C	-0.298
YNL320W	-0.297
YLR257W	-0.297
YMR139W	-0.297
YJL065C	-0.297
YOR124C	-0.296
YGL180W	-0.296
YDR506C	-0.296
YJL215C	-0.294
YDR537C	-0.294
YGR125W	-0.293
YLR102C	-0.293
YLR228C	-0.293
YJL138C	-0.292
YCL076W	-0.291
YER150W	-0.290
YFL020C	-0.290
YLR268W	-0.289
YBR189W	-0.289
YJR092W	-0.288
YNL205C	-0.288
YDR051C	-0.287
YNL291C	-0.286
YHL006C	-0.286
YPR114W	-0.286
YJR080C	-0.286
YNL196C	-0.285
YLR265C	-0.285
YNL100W	-0.285
YPL054W	-0.283
YPR170C	-0.283
YNR007C	-0.283
YML027W	-0.282
YBL094C	-0.281
YNL083W	-0.281
YNL286W	-0.281
YBR128C	-0.279
YFL012W-A	-0.279
YLR035C	-0.279
YML060W	-0.279
YGR261C	-0.278
YGR217W	-0.278
YPL145C	-0.277
YGR093W	-0.277
YDR273W	-0.276
YDL085W	-0.276
YGR109C	-0.275
YOL103W	-0.275
YKL137W	-0.275
YLR432W	-0.274
YIL156W	-0.274
YKL116C	-0.274
YLL044W	-0.274
YOR343C	-0.274
YGL049C	-0.274
YJR077C	-0.272
YJL128C	-0.272
YDR210W	-0.272
YNL023C	-0.272
YLR142W	-0.271
YGR170W	-0.270
YBL047C	-0.270
YOR252W	-0.270
YNL259C	-0.269
YDR247W	-0.269
YOL093W	-0.268
YGL236C	-0.267
YNL281W	-0.267
YER066W	-0.267
YJL161W	-0.266
YCR032W	-0.266
YPL046C	-0.266
YJL020C	-0.199
YCR022C	-0.264
YKR093W	-0.263
YBR006W	-0.263
YOL101C	-0.262
YNL274C	-0.262
YMR154C	-0.261
YPL072W	-0.261
YJR014W	-0.260
YGL205W	-0.260
YGL063W	-0.259
YMR313C	-0.259
YJR099W	-0.259
YIL105C	-0.258
YJL051W	-0.258
YBL011W	-0.258
YGR163W	-0.258
YLR146C	-0.258
YML011C	-0.257
YJL095W	-0.256
YER077C	-0.255
YEL061C	-0.255
YGL132W	-0.255
YDR493W	-0.254
YGL078C	-0.254
YER181C	-0.254
YNL284C	-0.253
YHR161C	-0.253
YPR150W	-0.252
YNL297C	-0.251
YJR127C	-0.251
YKR036C	-0.251
YLL039C	-0.251
YDL206W	-0.250
YIL134W	-0.250
YNL231C	-0.249
YCL063W	-0.051
YPL180W	-0.247
YPR051W	-0.247
YOL106W	-0.247
YNL072W	-0.245
YDR005C	-0.244
YMR159C	-0.244
YIL094C	-0.243
YKR067W	-0.243
YBR227C	-0.243
YNL119W	-0.243
YPL030W	-0.242
YIL117C	-0.242
YOR129C	-0.241
YLR098C	-0.241
YNL315C	-0.241
YGR286C	-0.240
YPL047W	-0.240
YPR179C	-0.240
YBL082C	-0.240
YPR194C	-0.239
YDR512C	-0.239
YLR273C	-0.238
YER090W	-0.238
YNL190W	-0.238
YLR015W	-0.236
YBR263W	-0.235
YHL024W	-0.235
YML042W	-0.234
YDL001W	-0.234
YKR094C	-0.233
YJL059W	-0.233
YHR184W	-0.233
YHL003C	-0.232
YNL104C	-0.232
YCR068W	-0.232
YLL058W	-0.232
YMR080C	-0.231
YGL014W	-0.231
YCL039W	-0.231
YDR335W	-0.231
YML021C	-0.230
YJL043W	-0.230
YBR083W	-0.230
YDR205W	-0.229
YKL202W	-0.229
YOL044W	-0.229
YFR032C-A	-0.228
YPR031W	-0.228
YGR053C	-0.227
YPL110C	-0.227
YLR214W	-0.227
YNL322C	-0.226
YOR126C	-0.226
YAL066W	-0.226
YDL100C	-0.226
YCL075W	-0.226
YPL021W	-0.225
YML028W	-0.224
YPL057C	-0.223
YNL091W	-0.223
YER123W	-0.223
YBR255W	-0.223
YFL042C	-0.156
YJL060W	-0.222
YIR013C	-0.222
YHR077C	-0.222
YFR033C	-0.222
YMR030W	-0.221
YPR013C	-0.219
YJR098C	-0.219
YAL056W	-0.219
YJL199C	-0.219
YBR041W	-0.219
YER062C	-0.218
YNL130C	-0.217
YGR141W	-0.216
YNL179C	-0.215
YIR030C	-0.215
YPL090C	-0.215
YFR021W	-0.214
YLR454W	-0.214
YIL154C	-0.214
YHL029C	-0.213
YMR067C	-0.213
YLR001C	-0.213
YDR043C	-0.212
YNL022C	-0.212
YLR110C	-0.211
YIL131C	-0.210
YFL049W	-0.210
YJL045W	-0.210
YDR022C	-0.209
YPL141C	-0.209
YPR069C	-0.209
YOL155C	-0.208
YMR305C	-0.208
YPR060C	-0.208
YPR184W	-0.208
YMR012W	-0.207
YPL158C	-0.207
YGR210C	-0.207
YPL164C	-0.207
YFR012W	-0.207
YDL110C	-0.206
YJR096W	-0.206
YJL044C	-0.204
YBR020W	-0.204
YGR022C	-0.204
YHL013C	-0.204
YFR044C	-0.203
YDR349C	-0.203
YDR014W	-0.202
YBR278W	-0.201
YPR195C	-0.201
YOR344C	-0.200
YNL034W	-0.200
YBL046W	-0.200
YMR156C	-0.199
YMR039C	-0.199
YBL017C	-0.199
YKR029C	-0.199
YDL231C	-0.199
YOR355W	-0.199
YNL107W	-0.198
YKL201C	-0.100
YLR111W	-0.198
YIL140W	-0.198
YJL004C	-0.198
YPR079W	-0.197
YML066C	-0.197
YGR228W	-0.197
YLL010C	-0.196
YLR425W	-0.196
YBL061C	-0.196
YPL022W	-0.195
YCR016W	-0.195
YDR524C	-0.195
YJL171C	-0.194
YCR060W	-0.194
YER089C	-0.194
YGL163C	-0.194
YGL216W	-0.193
YNL266W	-0.193
YNL028W	-0.191
YCR048W	-0.191
YOR128C	-0.191
YER176W	-0.191
YNR049C	-0.190
YOL117W	-0.190
YBL107C	-0.189
YDR471W	-0.189
YIR007W	-0.189
YIL070C	-0.189
YNL155W	-0.188
YML068W	-0.188
YHL008C	-0.188
YLR441C	-0.187
YOR345C	-0.186
YJR050W	-0.186
YIL139C	-0.185
YNL053W	-0.185
YNL052W	-0.185
YML111W	-0.185
YHR082C	-0.184
YMR158W-B	-0.184
YDR305C	-0.184
YLR429W	-0.184
YLR050C	-0.183
YIL013C	-0.183
YJL141C	-0.183
YDL188C	-0.183
YLR350W	-0.183
YOR333C	-0.182
YIL170W	-0.182
YJR054W	-0.182
YPL270W	-0.181
YLR184W	-0.181
YDR265W	-0.181
YDR389W	-0.180
YJL027C	-0.180
YBL029W	-0.179
YGL084C	-0.179
YPL157W	-0.179
YDL180W	-0.178
YCR086W	-0.178
YLR300W	-0.177
YLR246W	-0.177
YMR167W	-0.177
YBL087C	-0.176
YER113C	-0.176
YBL101C	-0.176
YJL135W	-0.175
YMR276W	-0.175
YDR253C	-0.175
YCR008W	-0.175
YOR306C	-0.174
YBR207W	-0.174
YHR134W	-0.174
YNL109W	-0.173
YIL001W	-0.173
YDL241W	-0.173
YIL130W	-0.172
YJR037W	-0.172
YJL155C	-0.171
YHR008C	-0.171
YBL098W	-0.170
YHR139C-A	-0.169
YKR023W	-0.169
YJL158C	-0.169
YJR073C	-0.168
YNL120C	-0.168
YBR016W	-0.168
YOR271C	-0.168
YML063W	-0.168
YJL073W	-0.168
YGL071W	-0.168
YML002W	-0.168
YDR445C	-0.168
YIL138C	-0.168
YAL005C	-0.167
YOR136W	-0.167
YJL201W	-0.167
YER131W	-0.166
YLR434C	-0.166
YDR075W	-0.166
YHL009C	-0.166
YHR113W	-0.165
YJL022W	-0.165
YOR167C	-0.164
YDR042C	-0.164
YJL079C	-0.164
YGR118W	-0.164
YLR290C	-0.163
YJL016W	-0.076
YCL074W	-0.163
YLR376C	-0.163
YCR073W-A	-0.162
YDL046W	-0.162
YFR013W	-0.162
YNL154C	-0.161
YJR036C	-0.161
YIL159W	-0.161
YGL210W	-0.161
YDL179W	-0.161
YDL222C	-0.160
YER078C	-0.160
YOL109W	-0.160
YGR021W	-0.159
YNR061C	-0.159
YLR251W	-0.159
YGR052W	-0.158
YLR181C	-0.158
YIL120W	-0.158
YOR135C	-0.157
YPL137C	-0.157
YNL069C	-0.157
YBR272C	-0.157
YHR106W	-0.156
YKR050W	-0.155
YCR020C-A	-0.155
YNL175C	-0.155
YMR021C	-0.155
YDR384C	-0.155
YPL250C	-0.154
YMR198W	-0.154
YLR436C	-0.154
YJL023C	-0.154
YBR162W-A	-0.154
YGL104C	-0.153
YJL181W	-0.153
YBR134W	-0.152
YOR002W	-0.152
YDL192W	-0.152
YHR158C	-0.151
YDL056W	-0.151
YLR344W	-0.151
YOL003C	-0.151
YJR047C	-0.150
YOL118C	-0.150
YKR028W	-0.150
YMR317W	-0.150
YOR216C	-0.149
YLR330W	-0.149
YGL214W	-0.149
YMR253C	-0.149
YBR084W	-0.148
YBR064W	-0.148
YKR016W	-0.148
YDL181W	-0.148
YCR087W	-0.147
YHR009C	-0.147
YKR089C	-0.147
YBR077C	-0.146
YDR076W	-0.145
YJL137C	-0.145
YLL007C	-0.145
YCR019W	-0.144
YML096W	-0.144
YOR107W	-0.144
YNL242W	-0.143
YKL062W	-0.143
YJR060W	-0.143
YNL241C	-0.143
YEL011W	-0.143
YFR017C	-0.143
YGR214W	-0.142
YGL045W	-0.098
YDR333C	-0.142
YLR373C	-0.142
YMR037C	-0.142
YIR014W	-0.142
YJL130C	-0.141
YLR199C	-0.141
YPR023C	-0.141
YJL131C	-0.141
YDL082W	-0.141
YJR087W	-0.141
YOR225W	-0.141
YDR058C	-0.141
YGR043C	-0.140
YHR047C	-0.140
YFL027C	-0.140
YDL168W	-0.140
YIL141W	-0.139
YAR018C	-0.139
YDL020C	-0.139
YLR073C	-0.139
YER056C-A	-0.139
YHR142W	-0.138
YIL122W	-0.137
YMR135C	-0.136
YDR004W	-0.136
YNL066W	-0.135
YGL027C	-0.135
YJL191W	-0.134
YLL051C	-0.134
YOR371C	-0.134
YPR106W	-0.134
YIL064W	-0.133
YKR077W	-0.132
YIL027C	-0.132
YGL080W	-0.132
YLL040C	-0.132
YBR061C	-0.131
YIL163C	-0.131
YGL224C	-0.131
YKR090W	-0.131
YNL294C	-0.131
YGL034C	-0.130
YDL062W	-0.130
YDR262W	-0.130
YLR048W	-0.130
YLR120C	-0.130
YGL019W	-0.129
YCR033W	-0.129
YGR129W	-0.129
YBR177C	-0.129
YIL123W	-0.129
YLR188W	-0.129
YNR072W	-0.128
YOR091W	-0.128
YOL060C	-0.127
YDR276C	-0.127
YLR221C	-0.127
YHR066W	-0.126
YIL148W	-0.126
YGR243W	-0.126
YJR142W	-0.126
YGR282C	-0.125
YNR047W	-0.125
YJL121C	-0.125
YLR386W	-0.125
YLR135W	-0.125
YKL096W-A	-0.125
YJL092W	-0.124
YJR034W	-0.123
YPR126C	-0.123
YBL083C	-0.123
YDL125C	-0.123
YDR388W	-0.123
YGR025W	-0.123
YPR084W	-0.122
YEL031W	-0.122
YBR224W	-0.122
YOR273C	-0.122
YMR070W	-0.122
YBR217W	-0.121
YKR051W	-0.121
YLR319C	-0.121
YBR099C	-0.121
YDR092W	-0.121
YDR466W	-0.121
YPL179W	-0.120
YHR095W	-0.119
YIR018W	-0.119
YHR030C	-0.118
YDR249C	-0.117
YML108W	-0.117
YLR374C	-0.117
YMR207C	-0.116
YIL006W	-0.116
YHL039W	-0.115
YDR036C	-0.115
YDR530C	-0.115
YOR156C	-0.115
YIR037W	-0.115
YJL055W	-0.115
YIL099W	-0.114
YMR138W	-0.114
YIR031C	-0.114
YBL068W	-0.114
YHR136C	-0.114
YMR063W	-0.113
YPL156C	-0.113
YBL064C	-0.112
YJR044C	-0.112
YNL079C	-0.112
YBR119W	-0.111
YPR020W	-0.111
YAR014C	-0.111
YLR109W	-0.110
YIL089W	-0.110
YLR332W	-0.110
YOL092W	-0.109
YCL036W	-0.109
YIL088C	-0.109
YOR089C	-0.108
YMR137C	-0.107
YDR144C	-0.107
YHL027W	-0.107
YMR136W	-0.107
YDL080C	-0.107
YDR483W	-0.107
YJL037W	-0.106
YIR042C	-0.106
YDL048C	-0.106
YDR156W	-0.106
YIR029W	-0.106
YLR049C	-0.105
YGL196W	-0.105
YIL149C	-0.105
YHR193C	-0.104
YPR074C	-0.104
YMR183C	-0.103
YML113W	-0.103
YMR092C	-0.103
YHR049W	-0.103
YIL173W	-0.103
YCL034W	-0.102
YBL009W	-0.102
YAL051W	-0.102
YOR213C	-0.102
YOR067C	-0.101
YPR083W	-0.101
YGL144C	-0.101
YIL153W	-0.101
YLL060C	-0.101
YJR008W	-0.100
YPR089W	-0.046
YIR035C	-0.100
YGR232W	-0.100
YMR122C	-0.099
YIL114C	-0.099
YJL198W	-0.098
YDR048C	-0.098
YJR048W	-0.098
YDR439W	-0.098
YBR059C	-0.097
YNL045W	-0.097
YNR067C	-0.097
YGR203W	-0.097
YGR169C	-0.097
YCL056C	-0.096
YFL063W	-0.096
YOR152C	-0.096
YCR100C	-0.096
YHR202W	-0.096
YLR363C	-0.096
YBR137W	-0.095
YIL009C-A	-0.095
YER179W	-0.095
YJR061W	-0.095
YIL164C	-0.095
YGL015C	-0.094
YPL015C	-0.094
YLR375W	-0.093
YLR422W	-0.093
YHR017W	-0.093
YGR166W	-0.092
YMR219W	-0.091
YKL168C	-0.091
YAL019W	-0.091
YLR205C	-0.090
YDL232W	-0.090
YGL262W	-0.090
YBR206W	-0.089
YKL031W	-0.089
YKL113C	-0.088
YGL243W	-0.088
YDL076C	-0.088
YBL049W	-0.087
YBR188C	-0.087
YDL144C	-0.087
YJR075W	-0.087
YOR030W	-0.087
YNL224C	-0.086
YDR006C	-0.086
YLL056C	-0.086
YGL263W	-0.085
YMR096W	-0.085
YAL064C-A	-0.085
YGL158W	-0.085
YGR207C	-0.084
YKL040C	-0.084
YPR160W	-0.084
YNL143C	-0.084
YIR025W	-0.084
YMR023C	-0.084
YLR287C-A	-0.083
YER071C	-0.083
YMR312W	-0.083
YBL062W	-0.083
YNL115C	-0.082
YDL117W	-0.082
YOR367W	-0.082
YNL199C	-0.082
YHR006W	-0.082
YEL060C	-0.082
YJL105W	-0.082
YBR284W	-0.081
YAR050W	-0.081
YPR098C	-0.081
YJR021C	-0.081
YPR146C	-0.081
YJL068C	-0.081
YNL037C	-0.081
YJR025C	-0.081
YML122C	-0.081
YNR060W	-0.080
YJR040W	-0.079
YNL198C	-0.079
YJR003C	-0.079
YGR132C	-0.079
YBR185C	-0.079
YOR155C	-0.079
YCR107W	-0.078
YPR111W	-0.078
YOR297C	-0.078
YMR004W	-0.078
YMR148W	-0.078
YIL157C	-0.077
YLR404W	-0.077
YNL070W	-0.077
YLR063W	-0.077
YGR152C	-0.077
YGR148C	-0.077
YAL046C	-0.077
YOL027C	-0.076
YGR213C	-0.076
YGR178C	-0.076
YBR269C	-0.076
YBL032W	-0.076
YOR049C	-0.076
YJL107C	-0.076
YBR018C	-0.076
YMR195W	-0.076
YIL010W	-0.075
YAL058W	-0.075
YHR021W-A	-0.075
YMR027W	-0.074
YGL006W	-0.074
YLR021W	-0.074
YNL176C	-0.074
YIR028W	-0.074
YBR238C	-0.074
YOL039W	-0.074
YOR123C	-0.074
YCR053W	-0.073
YOR144C	-0.073
YJR094C	-0.073
YLR187W	-0.073
YJL048C	-0.072
YDR463W	-0.072
YOR270C	-0.072
YJR049C	-0.072
YBL056W	-0.072
YBR164C	-0.072
YLR125W	-0.072
YBR094W	-0.071
YHR140W	-0.071
YPL263C	-0.070
YJL058C	-0.070
YOR186W	-0.070
YBR228W	-0.070
YLR019W	-0.069
YGL215W	-0.069
YBR074W	0.058
YMR036C	-0.069
YML047W-A	-0.069
YOL031C	-0.069
YOR066W	-0.069
YOR017W	-0.069
YPR189W	-0.068
YOR226C	-0.068
YJR026W	-0.068
YLR248W	-0.068
YML016C	-0.068
YDR266C	-0.068
YGR187C	-0.068
YFR043C	-0.068
YPL256C	-0.067
YLR455W	-0.067
YMR245W	-0.067
YIL113W	-0.067
YNL228W	-0.066
YDR486C	-0.066
YOL063C	-0.066
YGR135W	-0.066
YFL019C	-0.065
YNL314W	-0.065
YJL208C	-0.065
YNR033W	-0.065
YHR080C	-0.064
YKL033W-A	-0.064
YJL028W	-0.064
YOL036W	-0.063
YLR283W	-0.063
YGL165C	-0.063
YIR020W-A	-0.062
YOL080C	-0.061
YDL183C	-0.061
YER162C	-0.061
YER056C	-0.061
YPR117W	-0.060
YHR096C	-0.060
YJL176C	-0.060
YKR021W	-0.060
YPL103C	-0.058
YOR080W	-0.058
YJL205C	-0.058
YOR001W	-0.058
YHR025W	-0.058
YFR032C	-0.058
YJR053W	-0.057
YMR279C	-0.057
YLR003C	-0.057
YPL061W	-0.057
YEL012W	-0.057
YOR189W	-0.057
YDR073W	-0.056
YPR152C	-0.056
YIL016W	-0.056
YDR326C	-0.056
YNL309W	-0.056
YGR209C	-0.056
YGL250W	-0.055
