ORF	hap alpha | protein/peptide methylation (H3K79) | standard [standard] | Vlaming H~Leeuwen F, 2016
YBR067C	-0.124
YBR068C	-0.162
YBR071W	0.349
YBR072C-A	-0.196
YBR072W	-0.064
YBR073W	-0.071
YBR074W	-0.156
YBR077C	0.048
YBR078W	0.043
YBR082C	0.399
YBR083W	0.130
YBR084C-A	-0.177
YBR084W	0.387
YBR085C-A	0.045
YBR086C	0.058
YBR089C-A	-0.167
YBR090C	-0.254
YBR093C	0.025
YBR094W	0.060
YBR095C	0.599
YBR096W	0.079
YBR098W	0.281
YBR101C	0.540
YBR104W	-0.145
YBR105C	0.123
YBR107C	-0.008
YBR108W	-0.107
YBR111C	-0.098
YBR111W-A	0.389
YBR112C	0.077
YBR115C	0.172
YBR117C	0.095
YBR118W	0.120
YBR119W	0.109
YBR120C	-0.234
YBR122C	-0.053
YBR125C	-0.075
YBR126C	1.028
YBR128C	0.098
YBR129C	0.181
YBR130C	0.549
YBR131W	-0.049
YBR132C	-0.227
YBR133C	0.095
YBR137W	-0.280
YBR139W	0.052
YBR141C	-0.080
YBR145W	-0.248
YBR146W	-0.365
YBR147W	-0.016
YBR148W	0.269
YBR149W	0.093
YBR150C	-0.077
YBR151W	0.164
YBR156C	0.141
YBR158W	-0.136
YBR159W	0.011
YBR161W	0.002
YBR162C	-0.140
YBR162W-A	-0.214
YBR163W	0.527
YBR164C	-0.319
YBR165W	-0.128
YBR166C	0.201
YBR168W	-0.081
YBR169C	0.346
YBR171W	0.811
YBR173C	-0.590
YBR175W	0.379
YBR176W	-0.039
YBR179C	-0.110
YBR180W	0.314
YBR181C	-0.128
YBR182C	0.234
YBR182C-A	0.024
YBR183W	0.107
YBR184W	0.046
YBR185C	-0.071
YBR186W	-0.063
YBR187W	0.121
YBR188C	0.290
YBR191W	-0.052
YBR194W	-0.040
YBR195C	0.220
YBR196C-A	-0.046
YBR196C-B	0.082
YBR197C	0.014
YBR199W	0.156
YBR200W	-0.280
YBR200W-A	-0.092
YBR201W	-0.370
YBR203W	-0.061
YBR204C	-0.030
YBR205W	-0.118
YBR207W	-0.241
YBR208C	0.036
YBR210W	-0.176
YBR212W	0.069
YBR213W	0.065
YBR214W	0.111
YBR215W	-0.260
YBR216C	0.214
YBR217W	0.105
YBR219C	-0.043
YBR220C	0.180
YBR221C	0.232
YBR222C	-0.136
YBR223C	-0.077
YBR227C	0.008
YBR228W	-0.284
YBR229C	0.161
YBR230C	-0.039
YBR230W-A	0.202
YBR233W	0.008
YBR235W	0.022
YBR238C	-0.004
YBR239C	-0.337
YBR241C	0.016
YBR242W	-0.275
YBR244W	-0.075
YBR245C	-0.192
YBR246W	0.038
YBR249C	-0.217
YBR250W	0.032
YBR251W	0.029
YBR255C-A	0.035
YBR255W	-0.053
YBR258C	-0.233
YBR259W	-0.033
YBR260C	-0.127
YBR261C	-0.272
YBR264C	-0.429
YBR267W	0.588
YBR268W	0.418
YBR269C	-0.020
YBR270C	0.061
YBR271W	0.094
YBR272C	0.148
YBR273C	-0.223
YBR275C	0.091
YBR278W	-0.004
YBR280C	0.007
YBR281C	-0.148
YBR282W	-0.078
YBR283C	-0.052
YBR284W	-0.108
YBR286W	-0.396
YBR287W	-0.222
YBR288C	0.210
YBR289W	0.650
YBR290W	0.209
YBR291C	-0.015
YBR293W	0.118
YBR294W	0.007
YBR295W	0.210
YBR296C	0.072
YBR296C-A	0.085
YBR297W	0.538
YBR298C	0.094
YBR298C-A	0.038
YBR299W	-0.102
YBR301W	0.300
YBR302C	-0.230
YCL001W	-0.079
YCL001W-B	-0.035
YCL002C	-0.064
YCL005W	0.008
YCL005W-A	-0.008
YCL008C	0.103
YCL009C	-0.158
YCL012C	-0.007
YCL016C	0.378
YCL024W	0.099
YCL025C	-0.007
YCL026C-A	0.040
YCL026C-B	-0.192
YCL027W	-0.220
YCL028W	-0.056
YCL029C	-0.029
YCL033C	0.137
YCL034W	0.145
YCL035C	0.142
YCL036W	-0.106
YCL038C	0.131
YCL039W	-0.059
YCL040W	-0.051
YCL042W	0.256
YCL044C	-0.249
YCL045C	0.372
YCL047C	0.332
YCL048W	-0.147
YCL049C	0.032
YCL050C	0.048
YCL051W	0.150
YCL055W	-0.087
YCL056C	-0.003
YCL057C-A	-0.076
YCL057W	0.111
YCL058W-A	0.156
YCL061C	0.351
YCL063W	-0.006
YCL064C	0.062
YCL066W	-0.135
YCL069W	-0.046
YCL073C	-0.193
YCL075W	0.164
YCR003W	0.064
YCR004C	-0.238
YCR005C	-0.015
YCR008W	-0.182
YCR009C	0.067
YCR011C	0.071
YCR014C	-0.170
YCR015C	0.118
YCR016W	-0.166
YCR017C	-0.055
YCR020C	-0.220
YCR020C-A	0.419
YCR020W-B	-0.173
YCR021C	0.014
YCR023C	0.110
YCR024C	-0.111
YCR024C-A	0.211
YCR024C-B	0.013
YCR026C	-0.050
YCR030C	0.241
YCR031C	0.036
YCR034W	0.420
YCR036W	0.611
YCR038C	0.109
YCR039C	0.016
YCR044C	-0.040
YCR045C	0.032
YCR046C	0.136
YCR051W	0.034
YCR053W	0.031
YCR059C	-0.047
YCR060W	0.169
YCR061W	-0.158
YCR063W	0.285
YCR065W	0.049
YCR067C	0.213
YCR068W	0.090
YCR069W	0.294
YCR071C	-0.092
YCR073C	-0.114
YCR073W-A	-0.043
YCR075C	-0.301
YCR075W-A	0.227
YCR076C	0.012
YCR077C	0.049
YCR079W	-0.233
YCR081W	0.156
YCR082W	-0.066
YCR083W	-0.003
YCR086W	0.822
YCR087C-A	-0.250
YCR088W	0.118
YCR089W	-0.090
YCR090C	0.020
YCR091W	0.236
YCR092C	0.203
YCR094W	0.594
YCR095C	-0.169
YCR095W-A	0.315
YCR097W	-0.128
YCR098C	0.254
YCR099C	0.215
YCR100C	0.047
YCR102C	0.021
YCR104W	-0.367
YCR105W	-0.053
YCR107W	-0.091
YDL001W	0.343
YDL002C	-0.102
YDL005C	0.307
YDL006W	0.203
YDL010W	-0.007
YDL012C	-0.261
YDL013W	1.076
YDL018C	0.059
YDL019C	-0.030
YDL020C	-0.693
YDL021W	-0.107
YDL022W	0.054
YDL024C	-0.019
YDL025C	0.069
YDL027C	0.571
YDL033C	-0.189
YDL035C	-0.144
YDL036C	-0.059
YDL037C	0.019
YDL039C	-0.170
YDL040C	-2.004
YDL044C	-0.420
YDL045W-A	-0.153
YDL048C	-0.041
YDL049C	0.161
YDL051W	-0.007
YDL052C	-0.073
YDL053C	-0.072
YDL054C	-0.234
YDL056W	-0.042
YDL057W	-0.130
YDL059C	0.119
YDL061C	-0.310
YDL063C	-0.200
YDL065C	0.093
YDL066W	0.207
YDL067C	-0.001
YDL069C	0.161
YDL070W	-0.071
YDL073W	0.046
YDL074C	-2.398
YDL076C	0.553
YDL077C	-0.091
YDL079C	-0.111
YDL080C	0.061
YDL082W	-0.199
YDL083C	-0.310
YDL085C-A	-0.322
YDL085W	-0.217
YDL086W	0.434
YDL088C	-0.168
YDL089W	0.011
YDL090C	0.423
YDL091C	-0.122
YDL093W	0.037
YDL095W	0.448
YDL099W	0.006
YDL100C	0.010
YDL104C	0.100
YDL107W	0.424
YDL109C	-0.067
YDL110C	-0.380
YDL112W	-0.049
YDL113C	0.370
YDL114W	-0.066
YDL115C	0.352
YDL116W	0.665
YDL119C	0.174
YDL122W	-0.122
YDL123W	0.144
YDL124W	0.122
YDL125C	0.069
YDL127W	-0.049
YDL128W	-0.015
YDL129W	0.980
YDL130W	-0.687
YDL130W-A	-0.157
YDL131W	0.026
YDL133C-A	-0.152
YDL133W	0.124
YDL134C	0.239
YDL135C	0.016
YDL136W	0.648
YDL137W	-0.101
YDL138W	0.152
YDL142C	-0.051
YDL144C	0.175
YDL149W	0.168
YDL155W	-0.165
YDL156W	-0.016
YDL157C	0.123
YDL159W-A	-0.045
YDL160C-A	0.254
YDL161W	0.203
YDL167C	-0.236
YDL168W	-0.089
YDL169C	0.124
YDL170W	-0.063
YDL171C	-0.096
YDL175C	-0.181
YDL176W	0.028
YDL177C	0.189
YDL178W	0.190
YDL179W	-0.282
YDL180W	0.470
YDL181W	0.106
YDL182W	0.302
YDL183C	0.097
YDL184C	1.124
YDL185W	-0.050
YDL186W	-0.077
YDL188C	0.035
YDL189W	-0.043
YDL190C	-0.060
YDL192W	-0.095
YDL194W	-0.075
YDL197C	-0.161
YDL199C	-0.036
YDL200C	-0.036
YDL202W	-0.124
YDL203C	0.076
YDL204W	-0.046
YDL206W	0.209
YDL211C	0.239
YDL213C	-0.084
YDL215C	-0.272
YDL216C	0.149
YDL218W	0.028
YDL219W	0.223
YDL223C	-0.188
YDL224C	-0.441
YDL226C	0.867
YDL227C	-0.613
YDL231C	-0.063
YDL236W	0.150
YDL237W	-0.266
YDL239C	-0.168
YDL240W	0.245
YDL241W	-0.138
YDL244W	1.737
YDL246C	0.103
YDL247W	-0.005
YDL248W	-0.035
YDR001C	-0.141
YDR003W	-0.135
YDR003W-A	0.121
YDR004W	0.631
YDR005C	0.125
YDR006C	-0.241
YDR007W	0.178
YDR009W	0.148
YDR011W	-0.073
YDR012W	0.207
YDR014W	-0.115
YDR017C	-0.556
YDR018C	-0.093
YDR019C	-0.079
YDR020C	0.036
YDR022C	-0.174
YDR025W	-0.198
YDR026C	0.045
YDR027C	-0.361
YDR030C	0.017
YDR031W	-0.148
YDR032C	0.151
YDR033W	-0.174
YDR034C	-0.007
YDR034C-A	0.021
YDR034W-B	-0.119
YDR035W	-0.207
YDR036C	-0.100
YDR040C	0.037
YDR042C	-0.010
YDR043C	-0.099
YDR046C	0.104
YDR049W	0.018
YDR051C	0.169
YDR055W	0.044
YDR056C	0.210
YDR057W	-0.201
YDR058C	0.078
YDR059C	0.110
YDR061W	-0.030
YDR063W	-0.019
YDR065W	0.031
YDR066C	0.077
YDR067C	0.025
YDR069C	-0.182
YDR070C	0.170
YDR071C	0.069
YDR072C	0.116
YDR073W	-0.184
YDR074W	0.434
YDR075W	-0.162
YDR076W	0.391
YDR077W	-0.180
YDR078C	0.315
YDR079C-A	-0.780
YDR079W	-0.404
YDR083W	-0.053
YDR084C	0.166
YDR085C	-0.108
YDR089W	0.005
YDR090C	-0.011
YDR092W	-0.035
YDR093W	-0.153
YDR096W	-0.142
YDR097C	-0.186
YDR098C	-0.432
YDR099W	-0.001
YDR100W	0.313
YDR101C	0.017
YDR104C	-0.038
YDR105C	-0.135
YDR106W	0.030
YDR107C	-0.175
YDR108W	-0.151
YDR109C	0.120
YDR110W	-0.184
YDR111C	0.058
YDR115W	0.168
YDR116C	-0.144
YDR117C	-0.084
YDR119W	0.067
YDR121W	-0.283
YDR122W	-0.060
YDR123C	0.059
YDR124W	-0.017
YDR127W	0.047
YDR128W	-0.190
YDR129C	0.914
YDR130C	0.084
YDR131C	-0.024
YDR132C	-0.049
YDR135C	0.072
YDR137W	-0.132
YDR139C	0.082
YDR140W	1.183
YDR142C	-0.102
YDR143C	0.087
YDR144C	-0.023
YDR146C	0.256
YDR147W	0.072
YDR148C	0.001
YDR150W	-0.154
YDR152W	-0.002
YDR153C	0.137
YDR155C	0.057
YDR156W	0.111
YDR158W	-0.023
YDR159W	0.857
YDR161W	0.120
YDR162C	-0.147
YDR163W	0.053
YDR165W	-0.039
YDR169C	-0.135
YDR169C-A	0.177
YDR171W	0.143
YDR176W	0.880
YDR178W	0.088
YDR179C	0.039
YDR179W-A	0.079
YDR181C	-0.384
YDR182W-A	0.040
YDR183W	0.145
YDR184C	-0.032
YDR185C	0.079
YDR186C	-0.028
YDR191W	0.047
YDR192C	-0.022
YDR194C	-0.141
YDR194W-A	0.051
YDR195W	-0.906
YDR197W	-0.093
YDR198C	-0.055
YDR200C	-0.044
YDR202C	-0.061
YDR204W	0.196
YDR205W	0.050
YDR206W	-0.035
YDR207C	0.148
YDR210W	-0.124
YDR213W	-0.178
YDR214W	0.156
YDR216W	-0.032
YDR218C	0.081
YDR219C	-0.317
YDR221W	0.404
YDR222W	-0.066
YDR223W	-0.058
YDR225W	-0.038
YDR226W	1.080
YDR229W	-0.034
YDR231C	-0.133
YDR233C	-0.147
YDR234W	0.070
YDR239C	0.093
YDR242W	0.005
YDR244W	-0.072
YDR245W	0.520
YDR246W-A	0.054
YDR247W	0.073
YDR248C	0.099
YDR249C	-0.023
YDR251W	-0.114
YDR252W	0.163
YDR254W	-0.044
YDR255C	0.187
YDR256C	-0.025
YDR257C	0.062
YDR258C	-0.128
YDR259C	-0.158
YDR260C	-0.067
YDR261C	0.053
YDR262W	0.332
YDR263C	0.040
YDR264C	1.305
YDR265W	0.173
YDR266C	0.082
YDR268W	-0.346
YDR270W	0.183
YDR272W	-0.098
YDR273W	-0.199
YDR275W	0.044
YDR276C	0.206
YDR277C	-0.120
YDR279W	0.138
YDR281C	0.036
YDR282C	-0.057
YDR283C	0.348
YDR284C	-0.040
YDR285W	-0.323
YDR286C	-0.198
YDR287W	1.126
YDR289C	0.185
YDR291W	0.078
YDR293C	-0.109
YDR294C	0.121
YDR296W	-0.155
YDR297W	0.056
YDR298C	0.016
YDR304C	-0.203
YDR305C	0.025
YDR306C	-0.027
YDR307W	0.067
YDR309C	0.014
YDR310C	0.104
YDR313C	0.058
YDR314C	-0.071
YDR315C	-0.103
YDR316W	0.337
YDR317W	0.138
YDR318W	-0.072
YDR319C	0.122
YDR320C	-0.030
YDR322C-A	0.005
YDR322W	-0.055
YDR323C	0.216
YDR326C	-0.292
YDR329C	-0.019
YDR332W	0.116
YDR333C	0.001
YDR334W	-0.045
YDR335W	0.656
YDR336W	-0.151
YDR337W	-0.104
YDR338C	-0.115
YDR342C	-0.042
YDR345C	0.260
YDR346C	0.041
YDR348C	-0.196
YDR349C	0.256
YDR350C	-0.035
YDR351W	-0.238
YDR352W	0.112
YDR354W	0.266
YDR357C	0.054
YDR358W	-0.159
YDR363W	0.117
YDR363W-A	-0.507
YDR366C	0.079
YDR368W	-0.010
YDR369C	0.429
YDR370C	0.114
YDR371W	-0.152
YDR374C	0.131
YDR375C	0.258
YDR377W	-0.042
YDR378C	0.582
YDR379C-A	-0.100
YDR379W	0.128
YDR380W	0.146
YDR381C-A	0.003
YDR382W	-0.131
YDR383C	-0.145
YDR385W	-0.121
YDR386W	-0.127
YDR387C	-0.019
YDR388W	-0.004
YDR389W	0.184
YDR391C	1.488
YDR392W	0.054
YDR393W	-0.101
YDR395W	-0.206
YDR399W	-0.070
YDR400W	-0.145
YDR402C	-0.489
YDR403W	-0.044
YDR405W	-0.047
YDR406W	0.013
YDR408C	-0.143
YDR409W	0.033
YDR410C	-0.141
YDR411C	0.292
YDR414C	-0.294
YDR415C	0.050
YDR418W	-0.195
YDR419W	-0.038
YDR420W	0.130
YDR421W	0.199
YDR422C	-0.137
YDR423C	0.161
YDR424C	0.088
YDR425W	-0.026
YDR428C	0.002
YDR430C	0.043
YDR432W	-0.165
YDR435C	0.382
YDR438W	0.049
YDR439W	0.079
YDR440W	0.554
YDR441C	1.333
YDR443C	0.214
YDR444W	-0.498
YDR446W	0.207
YDR447C	-0.171
YDR448W	1.058
YDR450W	-0.418
YDR451C	-0.150
YDR452W	0.169
YDR453C	-0.014
YDR456W	-0.432
YDR457W	-0.204
YDR458C	0.034
YDR459C	0.115
YDR462W	0.007
YDR463W	-0.026
YDR465C	0.008
YDR466W	-0.088
YDR469W	0.158
YDR470C	0.189
YDR471W	-0.148
YDR475C	-0.160
YDR476C	-0.281
YDR477W	0.153
YDR479C	-0.235
YDR480W	-0.072
YDR481C	0.019
YDR482C	0.240
YDR483W	-0.180
YDR484W	-0.425
YDR485C	-0.136
YDR486C	-0.097
YDR488C	-0.028
YDR490C	0.036
YDR492W	0.067
YDR493W	0.092
YDR494W	0.074
YDR495C	0.881
YDR496C	-0.052
YDR497C	-0.211
YDR500C	-0.444
YDR501W	-0.010
YDR502C	0.073
YDR503C	-0.071
YDR504C	-0.117
YDR505C	-0.041
YDR506C	0.115
YDR507C	0.243
YDR511W	0.191
YDR512C	0.022
YDR513W	-0.155
YDR514C	-0.135
YDR515W	0.108
YDR516C	-0.279
YDR517W	0.024
YDR518W	0.344
YDR519W	0.100
YDR520C	0.121
YDR522C	-0.040
YDR523C	0.040
YDR524C	0.230
YDR524C-B	0.166
YDR524W-C	0.002
YDR525W-A	0.056
YDR528W	0.236
YDR529C	-0.186
YDR533C	-0.246
YDR534C	0.403
YDR536W	-0.047
YDR538W	0.134
YDR539W	0.158
YDR540C	0.148
YDR541C	0.066
YDR542W	0.119
YDR545W	-0.042
YEL001C	0.195
YEL003W	0.616
YEL004W	-0.185
YEL005C	0.038
YEL006W	-0.044
YEL007W	0.295
YEL011W	0.036
YEL012W	-0.077
YEL013W	-0.076
YEL015W	-0.345
YEL016C	0.031
YEL017W	-0.430
YEL018W	0.036
YEL020C	0.029
YEL023C	0.103
YEL024W	0.335
YEL025C	0.012
YEL027W	0.299
YEL029C	0.033
YEL030W	-0.190
YEL031W	0.178
YEL036C	-0.105
YEL037C	-0.051
YEL038W	-0.153
YEL039C	-0.029
YEL040W	0.108
YEL041W	-0.126
YEL042W	-0.119
YEL043W	-0.285
YEL046C	0.735
YEL047C	-0.175
YEL048C	0.374
YEL049W	-0.065
YEL050C	-0.059
YEL051W	-0.056
YEL052W	0.026
YEL053C	0.067
YEL054C	-0.379
YEL057C	0.133
YEL059C-A	-0.100
YEL060C	-0.109
YEL061C	0.546
YEL062W	-0.080
YEL065W	-0.156
YEL066W	0.081
YEL069C	-0.202
YEL070W	0.179
YEL071W	-0.192
YEL072W	-0.164
YEL073C	-0.065
YEL076C	-0.142
YEL077C	0.137
YER001W	0.139
YER002W	0.120
YER004W	0.034
YER005W	0.061
YER007C-A	-0.274
YER007W	0.324
YER010C	-0.008
YER011W	-0.020
YER014C-A	0.463
YER014W	0.784
YER015W	-0.104
YER016W	0.012
YER017C	0.102
YER019C-A	0.069
YER019W	0.076
YER024W	0.118
YER027C	-0.009
YER028C	-0.080
YER030W	0.022
YER031C	0.197
YER032W	0.128
YER033C	0.076
YER034W	0.244
YER035W	-0.056
YER037W	-0.117
YER039C	-0.141
YER039C-A	0.323
YER041W	0.108
YER042W	0.149
YER044C	0.312
YER044C-A	-0.174
YER045C	-0.045
YER046W	0.038
YER047C	0.040
YER048C	-0.121
YER049W	-0.244
YER050C	0.153
YER051W	-0.104
YER052C	0.004
YER053C	-0.145
YER053C-A	0.102
YER056C	-0.089
YER056C-A	-0.232
YER058W	0.002
YER059W	-0.039
YER060W	-0.007
YER060W-A	-0.008
YER061C	-0.053
YER062C	-0.037
YER063W	0.012
YER064C	0.074
YER065C	-0.027
YER066W	-0.070
YER067W	0.100
YER069W	-0.047
YER070W	1.263
YER071C	0.117
YER072W	-0.183
YER074W	-0.026
YER075C	-0.144
YER077C	0.067
YER078C	-0.136
YER078W-A	-0.081
YER079W	0.265
YER080W	0.006
YER081W	-0.061
YER083C	-0.085
YER085C	-0.194
YER086W	0.091
YER087C-B	0.202
YER087W	-0.168
YER088C	0.219
YER089C	0.063
YER090W	-0.087
YER091C	-0.185
YER092W	0.050
YER093C-A	0.143
YER095W	0.692
YER096W	-0.179
YER098W	0.061
YER100W	-0.049
YER101C	-0.065
YER102W	-0.229
YER105C	-0.059
YER106W	0.234
YER107C	0.101
YER109C	-0.054
YER111C	1.057
YER113C	0.218
YER114C	0.030
YER115C	0.235
YER116C	1.492
YER117W	0.035
YER118C	0.231
YER119C	0.013
YER120W	0.082
YER122C	0.039
YER123W	0.228
YER124C	0.130
YER128W	-0.096
YER129W	0.169
YER130C	-0.346
YER131W	-0.297
YER132C	-0.123
YER134C	0.404
YER137C	-0.083
YER139C	0.214
YER140W	-0.007
YER141W	-0.092
YER142C	0.098
YER143W	0.052
YER144C	-0.058
YER145C	0.004
YER149C	0.023
YER150W	-0.225
YER151C	-0.242
YER152C	0.087
YER153C	-0.240
YER154W	0.210
YER155C	0.337
YER156C	0.337
YER158C	-0.115
YER161C	0.093
YER163C	0.070
YER164W	0.175
YER166W	-0.060
YER167W	0.212
YER169W	0.241
YER170W	0.098
YER173W	0.734
YER174C	-0.127
YER175C	-0.154
YER175W-A	-0.013
YER176W	0.041
YER177W	-0.079
YER178W	-0.455
YER179W	-0.128
YER180C	-0.009
YER180C-A	0.223
YER182W	0.093
YER183C	-0.122
YER184C	-0.055
YER185W	0.037
YER186C	-0.069
YER187W	-0.135
YER188C-A	0.091
YER189W	-0.003
YER190W	0.069
YFL001W	0.993
YFL003C	-0.052
YFL004W	-0.108
YFL010C	-0.036
YFL010W-A	-0.033
YFL011W	-0.083
YFL012W	-0.157
YFL013C	0.053
YFL014W	0.024
YFL018C	-0.027
YFL020C	-0.086
YFL021W	-0.028
YFL023W	0.746
YFL025C	0.007
YFL026W	0.091
YFL027C	-0.363
YFL028C	0.323
YFL030W	0.188
YFL031W	-0.034
YFL033C	-0.118
YFL034C-A	-0.029
YFL034W	-0.092
YFL036W	-0.108
YFL040W	-0.003
YFL041W	-0.140
YFL041W-A	0.011
YFL042C	-0.169
YFL044C	-0.174
YFL046W	0.075
YFL047W	-0.021
YFL048C	-0.158
YFL049W	0.135
YFL050C	-0.094
YFL051C	-0.143
YFL053W	-0.082
YFL054C	-0.123
YFL055W	-0.163
YFL056C	0.131
YFL058W	0.129
YFL059W	0.150
YFL060C	0.010
YFL061W	-0.277
YFL062W	-0.143
YFL064C	0.086
YFL065C	-0.112
YFL067W	0.188
YFL068W	-0.070
YFR001W	-0.013
YFR006W	-0.034
YFR007W	0.146
YFR008W	1.201
YFR009W	-0.377
YFR010W	-0.779
YFR011C	0.248
YFR012W	-0.268
YFR013W	0.030
YFR014C	0.520
YFR015C	0.056
YFR016C	0.001
YFR017C	0.043
YFR018C	-0.011
YFR021W	0.436
YFR022W	-0.052
YFR023W	-0.186
YFR024C-A	-0.225
YFR026C	0.111
YFR030W	-0.558
YFR031C-A	-0.010
YFR032C	0.010
YFR032C-A	0.039
YFR032C-B	-0.123
YFR033C	0.346
YFR034C	0.142
YFR035C	-0.245
YFR036W	0.028
YFR038W	-0.016
YFR039C	0.086
YFR040W	0.494
YFR041C	0.114
YFR043C	-0.099
YFR044C	-0.161
YFR046C	-0.218
YFR047C	-0.138
YFR048W	-0.069
YFR049W	-0.003
YFR053C	0.055
YFR055W	-0.105
YFR057W	0.007
YGL002W	0.042
YGL004C	-0.202
YGL005C	0.005
YGL006W	-0.081
YGL006W-A	-0.132
YGL007C-A	-0.042
YGL009C	-0.156
YGL010W	0.028
YGL012W	0.028
YGL013C	-0.247
YGL014W	0.260
YGL015C	-0.108
YGL016W	0.022
YGL019W	-0.094
YGL020C	-0.440
YGL021W	-0.116
YGL023C	0.117
YGL025C	0.631
YGL026C	-0.099
YGL027C	0.012
YGL031C	-0.250
YGL032C	0.096
YGL033W	0.019
YGL035C	0.371
YGL036W	-0.043
YGL037C	0.067
YGL039W	0.051
YGL041C-B	0.081
YGL045W	-0.103
YGL049C	-0.543
YGL050W	-0.124
YGL051W	-0.001
YGL053W	0.127
YGL054C	0.234
YGL056C	-0.199
YGL058W	-2.824
YGL059W	0.090
YGL060W	0.054
YGL062W	-0.154
YGL063W	-0.102
YGL064C	-0.186
YGL066W	0.435
YGL067W	-0.081
YGL071W	0.164
YGL077C	-0.124
YGL078C	-0.241
YGL079W	0.066
