orf	hom | growth (relative abundance in pooled culture) | Osmotic Stress-Sorbitol (glucitol [0.6 M]) | Gonzalez R~Valero E, 2016	hom | growth (relative abundance in pooled culture) | High Osmostic Stress-Glucose (glucose [200 g/L]) | Gonzalez R~Valero E, 2016
YBR033W	0.18801615421691517	0.04229382394649976
YBR034C	0.2501849142289541	0.10281324709909954
YBR035C	-0.06693405684692667	-7.002626082685079
YBR036C	-5.562003899663323	-6.132961923597802
YBR041W	0.21673573670478097	0.13584035860323368
YBR042C	0.14993995767461182	0.19996780511782933
YBR044C	0.2313279406444216	0.0438926684278549
YBR045C	0.0854211106616455	-0.01632479368422887
YBR046C	0.04405556490220552	-0.049748870050833706
YBR047W	0.1345302873549601	0.044264210154266355
YBR048W	0.21380707788552017	0.020581573904303357
YBR050C	0.10678321951289553	0.020839488609629718
YBR051W	0.06898624706689	0.05617507834153328
YBR052C	0.106495616149685	0.00791034926244289
YBR053C	0.09280412310668687	0.028688373788417203
YBR056W-A	0.05758516223286291	-0.15132611176281943
YBR058C	0.19944087249143522	0.11102422330992827
YBR058C-A	0.359314230816329	-0.09116441880312157
YBR059C	0.11704274017874662	0.16933651204368586
YBR062C	0.03635821287880961	0.022946009656277626
YBR063C	0.0697235031438677	-0.05844792263949592
YBR064W	0.16449718819928102	-0.014084009393991972
YBR065C	0.10452620691962682	-0.05820211324754181
YBR066C	0.05762058342418732	0.07435929722718437
YBR068C	0.059983613442892915	0.031356025627020584
YBR069C	0.01064854426584841	-0.006625139081016751
YBR071W	0.04684253358050075	-0.029566334493241687
YBR072C-A	0.04243957045182215	-0.0032624161495683176
YBR072W	0.10215090653525173	0.06797696565296073
YBR073W	0.085423841484681	-0.08234502205609362
YBR074W	-1.0669769999299863	0.07254014385310727
YBR077C	0.3576846839031981	0.22479125664830985
YBR081C	0.02184925145176108	0.06172897012531807
YBR083W	0.07539035571740459	0.08906543011312686
YBR084W	0.08260372970834838	-0.13223901464147644
YBR085C-A	0.1876620208456924	-0.0190315552161922
YBR089C-A	0.15258778283335497	0.07511945368844784
YBR092C	0.11262580792413936	0.06931667964164576
YBR093C	0.00686860598752528	-0.2117951923905163
YBR094W	-0.03665118576772607	-0.11793010475632099
YBR098W	0.08543972113263178	0.013641556832921774
YBR099C	0.0018198028609818318	-0.4841730954490231
YBR101C	0.153083802709053	-0.018754686226994492
YBR103W	0.08740523815838504	0.057177783191855264
YBR104W	0.1907946238372329	0.040998981723527284
YBR105C	-0.08600595444851616	-0.05951605448505498
YBR106W	-5.953620472137089	0.4574975901746444
YBR107C	-0.10393211268862138	-0.009736523035575071
YBR108W	-0.026564582299802485	-0.15646860740783552
YBR111W-A	0.10500288245089272	-0.5061310505586201
YBR113W	-0.07164722277221768	-0.3972515376484812
YBR114W	0.15875223171982072	-0.567513502153023
YBR116C	0.12394012355836737	-0.13723615991796523
YBR119W	0.40597275548618234	0.06451042712528776
YBR120C	0.1757933601935519	-0.05292799079641912
YBR121C	0.052941482458357975	-0.001496081104271159
YBR126C	-5.562003899663323	-6.132961923597802
YBR128C	0.13243876841314467	-0.018980980625670663
YBR129C	0.07967294124096375	0.026095361700524913
YBR130C	0.03553808614132037	-0.14215289757474772
YBR131W	0.6831424891364848	0.5475831748710055
YBR133C	-0.2661647898007508	-0.12004224493532636
YBR134W	0.16304589706309144	0.18360722743129076
YBR137W	0.1706869968478451	0.18706206886673882
YBR138C	0.09185905397881379	-0.29783117672946885
YBR141C	0.1572663723003949	-0.060509263515939264
YBR144C	0.07109573093836698	0.03838048635690625
YBR145W	-0.005344143119312719	-0.04334722413973725
YBR146W	0.059690851088372396	-0.114473986195039
YBR147W	0.08515089220839808	-0.06431927980621883
YBR148W	0.2304260376717159	0.05258166543394611
YBR149W	-0.07548688039270732	-0.23387523021118117
YBR150C	0.13468641604902218	0.06802948125038855
YBR151W	0.07048819992954368	-0.1326111259465023
YBR157C	-0.09629345156156455	-0.10767678968271648
