ORF	hom | growth (relative abundance in pooled culture) | Osmotic Stress-Sorbitol (glucitol [0.6 M]) | Gonzalez R~Valero E, 2016	hom | growth (relative abundance in pooled culture) | High Osmostic Stress-Glucose (glucose [200 g/L]) | Gonzalez R~Valero E, 2016
YBL057C	0.329	0.215
YBL059W	0.329	0.143
YBL060W	0.404	0.350
YBL061C	0.033	-0.161
YBL062W	0.096	-0.080
YBL063W	0.024	-0.275
YBL064C	0.090	-0.056
YBL065W	-1.004	-0.466
YBL066C	-0.303	-0.007
YBL067C	-1.103	-0.079
YBL068W	0.270	-0.248
YBL070C	0.098	-0.093
YBL071C	0.431	-0.300
YBL071C-B	0.981	0.051
YBL071W-A	-32.103	-32.078
YBL072C	0.747	-0.030
YBL078C	0.125	0.231
YBL079W	0.353	0.661
YBL081W	0.211	0.042
YBL082C	1.637	1.124
YBL083C	1.444	1.126
YBL085W	0.123	0.154
YBL087C	0.680	0.205
YBL088C	0.371	-0.022
YBL089W	0.976	0.314
YBL090W	0.407	-0.549
YBL091C	0.539	0.188
YBL091C-A	-0.243	0.271
YBL094C	0.263	-0.197
YBL095W	0.342	-0.434
YBL096C	0.875	0.307
YBL098W	0.814	-0.203
YBL099W	0.000	32.313
YBL100C	-0.167	-0.333
YBL101W-C	0.628	-0.085
YBL102W	0.940	1.137
YBL103C	29.480	28.506
YBL106C	0.219	-0.362
YBL107C	0.630	-0.022
YBR001C	0.512	0.175
YBR003W	0.704	-0.175
YBR007C	0.336	-0.182
YBR008C	0.262	-0.153
YBR009C	-0.323	-0.415
YBR010W	-0.009	-0.458
YBR013C	0.245	-0.219
YBR014C	0.482	0.017
YBR016W	0.637	0.379
YBR018C	0.055	-0.303
YBR019C	0.134	-0.397
YBR022W	0.350	-0.484
YBR024W	0.584	-0.265
YBR025C	1.084	0.597
YBR026C	0.089	-0.468
YBR028C	0.334	-0.256
YBR030W	0.490	0.747
YBR031W	0.446	0.182
YBR032W	0.356	-0.220
YBR033W	0.849	-0.089
YBR034C	1.166	0.189
YBR035C	-0.453	-32.493
YBR036C	-28.519	-28.493
YBR041W	0.995	0.341
YBR042C	0.654	0.636
YBR044C	1.070	-0.082
YBR045C	0.325	-0.359
YBR046C	0.113	-0.513
YBR047W	0.575	-0.080
YBR048W	0.980	-0.189
YBR050C	0.434	-0.188
YBR051W	0.241	-0.026
YBR052C	0.432	-0.248
YBR053C	0.362	-0.152
YBR056W-A	0.183	-0.980
YBR058C	0.907	0.227
YBR058C-A	1.724	-0.703
YBR059C	0.486	0.495
YBR062C	0.074	-0.178
YBR063C	0.245	-0.553
YBR064W	0.729	-0.349
YBR065C	0.422	-0.552
YBR066C	0.183	0.058
YBR068C	0.195	-0.140
YBR069C	-0.057	-0.314
YBR071W	0.128	-0.420
YBR072C-A	0.105	-0.299
YBR072W	0.410	0.029
YBR073W	0.325	-0.663
YBR074W	0.671	0.223
YBR075W	-7.119	0.007
YBR077C	1.715	0.750
YBR081C	0.000	0.000
YBR083W	0.273	0.126
YBR084W	0.310	-0.892
YBR085C-A	0.847	-0.371
YBR090C-A	0.668	0.062
YBR092C	0.464	0.035
YBR093C	-0.077	-1.258
YBR094W	-0.299	-0.826
YBR098W	0.201	-0.218
YBR099C	-0.102	-2.511
YBR100W	0.448	-0.224
YBR101C	0.670	-0.370
YBR103W	0.335	-0.021
YBR104W	0.863	-0.095
YBR105C	-0.551	-0.558
YBR106W	-30.519	1.820
YBR107C	-0.642	-0.329
YBR108W	-0.247	-1.004
YBR111W-A	0.425	-2.612
YBR113W	-0.478	-2.111
YBR114W	0.699	-2.894
YBR116C	0.521	-0.915
YBR119W	1.962	0.013
YBR120C	0.786	-0.527
YBR121C	0.159	-0.291
YBR126C	-28.519	-28.493
YBR128C	0.565	-0.371
YBR129C	0.295	-0.164
YBR130C	0.070	-0.938
YBR131W	3.377	2.235
YBR133C	-1.471	-0.836
YBR134W	0.721	0.561
YBR137W	0.760	0.576
YBR138C	0.358	-1.654
YBR141C	0.692	-0.562
YBR144C	0.252	-0.107
YBR145W	-0.139	-0.483
YBR146W	0.193	-0.810
YBR147W	0.323	-0.580
YBR148W	1.065	-0.042
YBR149W	-0.497	-1.360
YBR150C	0.576	0.029
YBR151W	0.248	-0.894
YBR157C	-0.603	-0.779
YBR161W	1.497	1.199
YBR162C	1.284	-29.493
YBR162W-A	0.497	-0.360
YBR163W	-1.201	-1.735
YBR164C	-0.730	-0.680
YBR168W	0.085	0.135
YBR169C	0.087	-0.317
YBR171W	29.480	30.091
YBR172C	0.130	-0.868
YBR173C	-0.463	-0.184
YBR174C	-0.537	1.140
YBR175W	-0.666	2.135
YBR176W	0.047	0.090
YBR177C	-0.007	-0.006
YBR178W	0.143	-0.155
YBR179C	-0.070	-0.978
YBR180W	0.091	0.020
YBR181C	0.298	0.174
YBR182C	0.009	-0.017
YBR182C-A	-0.360	-0.366
YBR183W	-0.031	-0.042
YBR184W	0.136	-0.086
YBR185C	-0.081	-0.165
YBR186W	-0.107	0.008
YBR187W	-0.131	-0.241
YBR188C	-0.169	-0.153
YBR189W	-14.259	-14.247
YBR191W	-8.100	-8.361
YBR194W	0.001	-1.618
YBR195C	0.138	0.274
YBR196C-A	0.000	0.000
YBR196C-B	-0.348	-1.241
YBR197C	-0.476	-0.224
YBR199W	-0.121	-0.002
YBR200W	-32.978	-0.276
YBR200W-A	0.209	-0.922
YBR201W	0.071	-0.136
YBR203W	-0.304	-0.148
YBR204C	0.108	0.053
YBR205W	0.042	0.376
YBR206W	0.085	0.090
YBR207W	-0.010	-0.095
YBR208C	-0.052	-0.097
YBR210W	0.152	0.083
YBR212W	-0.047	-0.253
YBR213W	-0.632	-0.850
YBR214W	0.056	-0.172
YBR215W	-0.259	-0.630
YBR216C	0.292	0.108
YBR217W	-0.051	0.107
YBR218C	-0.245	0.129
YBR219C	-0.177	0.390
YBR220C	-0.006	-0.072
YBR221C	-0.663	-0.035
YBR221W-A	0.416	-0.374
YBR222C	-0.018	-0.237
YBR223C	-0.090	-0.143
YBR224W	0.112	0.163
YBR225W	0.066	0.210
YBR226C	0.033	0.239
YBR227C	-0.759	-0.281
YBR228W	0.145	0.361
YBR229C	0.566	0.115
YBR230C	0.005	-0.142
YBR230W-A	0.970	-0.689
YBR231C	-0.821	-0.102
YBR232C	-0.121	0.195
YBR233W	-0.006	-0.235
YBR235W	0.024	-0.258
YBR238C	-0.879	-0.211
YBR239C	0.256	0.054
YBR240C	0.139	-0.140
YBR241C	0.116	-0.477
YBR242W	-0.017	-0.266
YBR244W	0.465	-0.036
YBR245C	0.166	-0.107
YBR246W	-0.202	-0.189
YBR248C	-0.134	-0.366
YBR249C	0.026	-0.388
YBR250W	0.087	-0.085
YBR251W	-0.260	-0.880
YBR255W	-0.925	-0.107
YBR258C	-0.251	0.131
YBR259W	0.135	0.124
YBR260C	-0.067	-0.356
YBR261C	0.093	0.347
YBR262C	0.237	-0.007
YBR263W	-0.080	-0.043
YBR264C	0.060	-0.086
YBR266C	-2.498	-1.447
YBR267W	-1.275	-1.447
YBR268W	-0.038	2.335
YBR269C	0.084	0.156
YBR270C	0.018	-0.647
YBR271W	-0.871	0.242
YBR272C	0.116	-0.607
YBR273C	-0.083	0.440
YBR275C	0.355	0.614
YBR276C	0.767	0.201
YBR277C	-0.447	0.255
YBR278W	-0.023	0.087
YBR279W	30.481	31.676
YBR281C	-0.127	0.164
YBR282W	-0.185	0.071
YBR283C	0.422	0.255
YBR284W	-0.552	-0.354
YBR286W	-0.135	0.158
YBR287W	0.139	-0.351
YBR288C	0.663	0.675
YBR289W	0.000	0.000
YBR290W	-0.746	-0.055
YBR291C	-0.237	-0.066
YBR292C	-0.306	0.010
YBR293W	-1.278	-0.311
YBR294W	0.164	-0.272
YBR295W	0.066	0.454
YBR296C	0.043	0.458
YBR296C-A	0.421	0.063
YBR297W	-0.389	-0.270
YBR298C	-0.485	-0.403
YBR299W	-0.208	-1.282
YBR300C	-0.348	-0.105
YBR301W	0.397	0.150
YCL001W	0.096	0.669
YCL001W-A	-0.316	-0.112
YCL001W-B	1.099	0.680
YCL005W	0.444	1.310
YCL006C	-0.240	-0.125
YCL008C	2.962	1.598
YCL009C	-0.206	-0.605
YCL010C	0.201	-0.466
YCL011C	-0.146	-0.304
YCL012C	0.815	0.275
YCL012W	0.029	0.016
YCL013W	0.137	0.055
YCL014W	-0.046	-0.191
YCL016C	-0.401	-0.457
YCL021W-A	0.790	-0.246
YCL022C	-0.057	0.185
YCL023C	-0.066	0.233
YCL024W	-0.332	-0.118
YCL025C	-0.012	-0.403
YCL026C	-0.086	-0.317
YCL026C-A	0.705	0.510
YCL026C-B	0.507	-0.119
YCL027W	0.031	-0.079
YCL028W	0.204	-0.022
YCL029C	0.075	-0.119
YCL030C	-0.218	-0.157
YCL032W	-0.498	-0.576
YCL033C	-0.434	-0.488
YCL035C	0.081	-0.358
YCL036W	-0.005	-0.288
YCL037C	-0.335	-0.599
YCL038C	-0.213	-0.126
YCL039W	-0.532	0.070
YCL040W	-0.284	-0.473
YCL041C	0.000	14.253
YCL042W	-0.328	-0.615
YCL044C	-0.529	-0.080
YCL045C	-0.338	0.066
YCL046W	-0.726	-0.367
YCL047C	-0.080	-0.152
YCL048W	-0.099	-0.187
YCL049C	-0.545	-0.352
YCL050C	-0.072	-0.041
YCL051W	-0.046	-0.226
YCL055W	-0.040	-0.248
YCL056C	0.032	0.004
YCL057C-A	0.704	-0.016
YCL057W	-0.066	0.054
YCL058C	-0.077	-0.819
YCL060C	-0.009	-0.288
YCL061C	0.343	0.498
YCL062W	0.290	0.029
YCL063W	0.045	-0.295
YCL064C	-0.097	0.084
YCL069W	0.214	0.255
YCL074W	-0.063	0.530
YCL075W	-0.576	0.133
YCL076W	-0.453	0.120
YCR001W	-0.278	-0.483
YCR002C	0.008	-0.709
YCR003W	0.092	-0.463
YCR004C	-0.015	0.074
YCR005C	0.735	0.113
YCR006C	0.819	0.633
YCR007C	-0.315	-0.481
YCR008W	-1.000	-0.249
YCR009C	-0.868	-32.493
YCR010C	-0.059	0.054
YCR011C	-0.001	0.005
YCR014C	-0.394	-0.374
YCR015C	-0.087	-0.190
YCR016W	0.038	0.174
YCR017C	-0.529	-0.633
YCR019W	-0.180	-0.428
YCR020C	0.042	-0.039
YCR020C-A	0.519	0.020
YCR020W-B	-3.336	-1.622
YCR021C	0.337	0.472
YCR022C	-0.126	-0.059
YCR023C	0.213	0.024
YCR024C	31.065	30.828
YCR024C-A	-0.897	-0.153
YCR025C	-0.662	-0.230
YCR026C	-0.269	-0.184
YCR027C	0.152	0.212
YCR028C	-6.038	-4.987
YCR028C-A	0.157	-0.165
YCR030C	0.790	-0.041
YCR031C	0.947	0.013
YCR033W	-0.350	0.301
YCR034W	0.982	-0.167
YCR036W	-0.445	-0.325
YCR037C	0.402	0.425
YCR043C	-0.259	-0.024
YCR044C	-0.290	-0.117
YCR045C	-0.197	0.081
YCR046C	0.226	0.054
YCR047C	0.000	0.000
YCR049C	-0.043	0.032
YCR050C	0.390	0.080
YCR051W	-0.330	0.333
YCR053W	0.000	28.506
YCR059C	-0.295	0.062
YCR060W	0.140	0.211
YCR061W	-0.022	0.452
YCR062W	-0.110	-0.427
YCR063W	-0.038	3.335
YCR065W	-0.616	-0.292
YCR066W	0.185	-0.434
YCR068W	-0.211	-0.066
YCR069W	0.652	-0.231
YCR071C	0.087	-0.277
YCR073W-A	-0.421	-0.146
YCR075C	0.496	-0.041
YCR075W-A	1.031	-0.083
YCR076C	-0.259	0.293
YCR077C	0.530	0.512
YCR079W	-0.226	-0.958
YCR081W	-0.839	-0.818
YCR082W	-0.669	0.153
YCR083W	0.400	-0.055
YCR084C	2.284	4.657
YCR085W	-0.038	0.283
YCR086W	0.431	1.171
YCR087C-A	-0.058	0.257
YCR087W	-0.144	-0.079
YCR088W	0.450	-0.151
YCR089W	-0.192	-0.597
YCR090C	0.096	0.073
YCR091W	0.197	0.123
YCR092C	0.170	-0.098
YCR094W	-0.279	-0.233
YCR095C	1.405	-0.480
YCR095W-A	0.686	-0.114
YCR098C	0.042	-0.167
YCR099C	0.096	0.116
YCR100C	-0.043	-0.217
YCR101C	0.000	0.180
YCR102C	-0.272	0.023
YCR102W-A	0.428	0.193
YCR105W	0.291	0.101
YCR106W	-0.155	-0.050
YCR107W	0.536	0.506
YDL002C	-2.541	-0.753
YDL006W	0.000	0.000
YDL010W	-0.441	-2.025
YDL011C	0.435	0.683
YDL012C	0.644	-1.021
YDL013W	-29.518	-29.493
YDL018C	0.583	-0.244
YDL019C	-0.256	-1.462
YDL021W	-0.919	-0.657
YDL022W	-0.038	-1.125
YDL023C	0.318	-2.404
YDL024C	0.463	0.205
YDL025C	0.410	0.254
YDL026W	0.390	-0.540
YDL027C	0.328	-0.048
YDL032W	-1.342	-2.081
YDL034W	0.977	-0.467
YDL035C	-0.417	-2.688
YDL036C	1.391	0.457
YDL037C	0.671	-1.439
YDL039C	0.931	0.218
YDL040C	-0.883	0.484
YDL041W	-29.519	-0.987
YDL044C	-0.037	-0.309
YDL045W-A	32.066	30.091
YDL046W	0.424	-0.585
YDL048C	0.359	-0.496
YDL049C	0.569	-1.142
YDL050C	0.009	-1.910
YDL051W	-1.433	-1.437
YDL052C	1.479	1.013
YDL053C	0.096	-0.841
YDL054C	0.319	-0.889
YDL056W	1.082	-0.926
YDL057W	0.901	-0.022
YDL059C	0.989	-0.118
YDL061C	1.586	-0.714
YDL062W	0.962	1.498
YDL063C	2.021	0.843
YDL065C	-0.021	-0.133
YDL066W	0.023	-1.340
YDL067C	0.454	0.427
YDL068W	0.269	-0.190
YDL069C	0.191	-0.380
YDL070W	0.661	0.364
YDL071C	0.897	-0.335
YDL072C	0.422	-0.359
YDL073W	-0.000	-0.612
YDL075W	0.000	0.000
YDL076C	-0.543	-0.382
YDL078C	0.333	-0.315
YDL079C	0.131	-0.892
YDL080C	-0.179	-0.770
YDL081C	-0.453	-30.493
YDL082W	-0.038	-1.572
YDL085C-A	-0.250	-0.501
YDL085W	0.454	-0.516
YDL086W	-0.202	-0.337
YDL088C	0.815	-0.753
YDL089W	0.954	0.059
YDL091C	0.821	-0.916
YDL093W	0.522	0.289
YDL094C	0.525	-0.605
YDL095W	1.366	-0.074
YDL096C	0.673	0.116
YDL099W	-0.369	-0.078
YDL100C	-0.118	0.818
YDL104C	0.234	0.320
YDL106C	-0.155	-0.095
YDL107W	0.918	-0.508
YDL109C	-0.394	0.123
YDL110C	-0.456	0.021
YDL112W	-0.370	0.008
YDL113C	-0.056	0.104
YDL114W	-0.157	0.194
YDL115C	-0.829	0.250
YDL116W	-0.453	2.675
YDL117W	-1.472	-2.476
YDL118W	-0.698	0.150
YDL119C	-0.310	0.179
YDL121C	0.591	0.261
YDL122W	-0.682	-0.505
YDL123W	-0.559	-0.230
YDL124W	-0.426	-0.017
YDL125C	-0.478	-0.324
YDL127W	-0.427	0.232
YDL128W	-0.368	-0.282
YDL129W	-0.638	-0.299
YDL130W	-1.688	0.457
YDL130W-A	0.131	-0.057
YDL131W	-0.367	0.193
YDL134C	-0.354	-0.438
YDL134C-A	-0.537	-0.131
YDL135C	-0.609	-0.013
YDL136W	-0.728	0.508
YDL137W	-0.629	-0.594
YDL138W	-0.338	0.094
YDL142C	-2.623	3.732
YDL144C	-0.265	0.268
YDL149W	-0.503	-0.208
YDL151C	1.157	0.404
YDL154W	0.093	0.372
YDL155W	-0.180	0.216
YDL156W	-0.230	0.177
YDL157C	-0.167	0.046
YDL159W-A	0.802	-0.572
YDL160C	1.962	2.013
YDL160C-A	1.106	-0.325
YDL161W	-0.006	0.176
YDL162C	-0.345	-0.138
YDL167C	-0.024	0.080
YDL168W	-0.848	0.069
YDL169C	-0.184	0.154
YDL170W	-0.082	0.090
YDL171C	-0.350	0.033
YDL172C	-1.868	-0.979
YDL173W	-2.529	-1.907
YDL174C	-0.310	-0.097
YDL177C	-0.334	0.063
YDL180W	-0.562	-0.143
YDL183C	-0.638	-0.054
YDL189W	0.655	0.844
YDL192W	-0.982	-0.461
YDL194W	0.173	-0.462
YDL197C	0.018	-0.187
YDL198C	-0.038	-28.493
YDL199C	-0.004	-0.130
YDL200C	0.270	0.317
YDL201W	0.002	-0.074
YDL202W	0.306	-0.171
YDL203C	-1.012	-0.732
YDL204W	-0.005	-0.113
YDL206W	0.004	-0.080
YDL210W	0.021	-0.049
YDL211C	0.051	-0.154
YDL214C	0.176	-0.157
YDL215C	0.297	0.308
YDL216C	0.308	-0.030
YDL218W	-0.074	-0.200
YDL219W	-0.144	-0.194
YDL222C	-0.030	-0.424
YDL223C	-0.187	-0.369
YDL224C	0.083	0.190
YDL225W	-0.508	0.047
YDL226C	0.079	0.130
YDL227C	0.226	0.152
YDL229W	-0.210	-0.265
YDL230W	0.035	-0.102
YDL231C	-0.017	-0.154
YDL233W	-0.176	-0.085
YDL234C	-0.277	0.007
YDL236W	-0.107	-0.017
YDL237W	0.201	-0.009
YDL238C	-0.105	-0.224
YDL239C	0.195	-0.009
YDL240W	-0.169	0.139
YDL241W	0.152	0.156
YDL242W	0.268	0.131
YDL243C	0.163	0.162
YDR001C	-0.179	-0.345
YDR003W	-0.003	-0.063
YDR003W-A	0.414	-1.428
YDR004W	0.748	0.459
YDR005C	-2.012	0.139
YDR006C	0.832	0.598
YDR007W	0.000	0.000
YDR008C	-30.840	-30.815
YDR009W	0.314	0.415
YDR010C	-0.010	0.119
YDR011W	-0.279	-0.122
YDR014W	-0.373	-0.658
YDR015C	0.195	-0.422
YDR017C	-1.474	-1.603
YDR018C	0.196	0.101
YDR019C	0.274	-0.101
YDR020C	-2.261	-2.210
YDR022C	0.232	-0.130
YDR024W	1.071	-0.341
YDR025W	0.904	-0.915
YDR026C	0.168	0.105
YDR028C	-1.623	-0.920
YDR029W	0.019	0.060
YDR031W	-0.187	-0.433
YDR032C	0.047	0.084
YDR034C	-0.983	-0.438
YDR034W-B	0.128	-1.067
YDR035W	0.133	0.019
YDR036C	0.161	-0.103
YDR042C	0.013	-0.062
YDR043C	0.127	-0.344
YDR046C	0.001	-0.264
YDR048C	-0.387	-0.623
YDR049W	0.309	0.283
YDR051C	-0.048	0.099
YDR055W	-0.209	-0.180
YDR057W	-0.031	0.021
YDR058C	0.475	0.254
YDR059C	0.048	-0.029
YDR061W	-0.182	-0.038
YDR063W	-0.019	-0.462
YDR065W	-0.038	0.530
YDR066C	0.144	-0.040
YDR067C	0.466	-0.531
YDR068W	-0.364	-0.137
YDR070C	-0.258	-0.410
YDR072C	-0.241	0.054
YDR073W	-0.078	-0.327
YDR074W	1.559	0.013
YDR075W	-0.391	-0.261
YDR076W	0.382	0.241
YDR077W	-0.281	0.154
YDR078C	0.273	0.198
YDR079C-A	0.000	0.000
YDR079W	-0.132	-0.806
YDR080W	2.422	1.128
YDR083W	0.007	0.014
YDR084C	0.041	-0.412
YDR085C	0.059	0.122
YDR089W	-0.283	0.285
YDR092W	-0.024	-0.077
YDR093W	0.534	0.099
YDR094W	-0.061	0.083
YDR095C	0.108	-0.360
YDR096W	0.388	0.184
YDR097C	0.150	-0.056
YDR098C	-0.039	0.075
YDR099W	0.281	0.209
YDR100W	0.010	-0.041
YDR101C	0.486	-0.057
YDR102C	0.086	-0.230
YDR104C	0.243	0.062
YDR105C	-0.173	-0.180
YDR107C	-0.042	-0.228
YDR108W	0.472	1.068
YDR109C	-0.134	-0.250
YDR110W	0.055	-0.015
YDR111C	0.393	0.287
YDR112W	0.093	-0.399
YDR114C	0.179	-1.301
YDR115W	0.120	-0.026
YDR116C	0.103	-0.171
YDR117C	-0.141	-0.623
YDR119W	0.202	0.110
YDR120C	0.382	-0.298
YDR121W	0.858	-0.198
YDR122W	0.239	0.412
YDR123C	32.569	31.505
YDR124W	0.201	-0.032
YDR125C	0.455	0.020
YDR126W	0.013	-0.154
YDR128W	0.211	-0.318
YDR129C	31.481	28.506
YDR130C	-0.191	-0.677
YDR131C	0.243	0.007
YDR132C	0.162	0.037
YDR133C	-0.036	0.098
YDR134C	0.029	-0.000
YDR135C	-0.188	-0.336
YDR136C	0.862	2.372
YDR137W	-1.236	2.503
YDR138W	0.000	0.000
YDR139C	0.519	0.227
YDR140W	-1.038	-1.987
YDR142C	0.076	-0.030
YDR143C	0.083	-0.090
YDR144C	0.042	-0.204
YDR146C	0.042	-0.185
YDR147W	-0.502	-0.640
YDR149C	1.219	0.720
YDR150W	1.770	1.290
YDR156W	0.672	-0.205
YDR157W	-1.827	-0.844
YDR158W	0.000	0.000
YDR162C	-0.635	1.260
YDR163W	0.177	-0.090
YDR169C-A	-0.237	-1.241
YDR173C	-31.104	-0.250
YDR174W	0.000	30.091
YDR175C	-0.638	-0.850
YDR176W	0.000	0.000
YDR178W	0.295	-0.021
YDR182W-A	-0.662	-1.018
YDR186C	1.056	1.172
YDR194W-A	0.623	-0.168
YDR195W	1.833	1.191
YDR197W	0.632	-0.342
YDR199W	-0.346	0.329
YDR200C	-0.623	-0.835
YDR202C	-0.355	-1.036
YDR204W	0.285	-0.124
YDR205W	0.366	-0.384
YDR207C	-1.038	0.820
YDR217C	-0.232	-0.046
YDR219C	0.043	0.511
YDR225W	-0.238	-0.131
YDR226W	0.547	0.335
YDR230W	0.478	-0.783
YDR231C	1.292	0.109
YDR233C	-0.311	0.166
YDR234W	-30.519	-0.403
YDR237W	-0.370	-0.784
YDR241W	0.775	0.038
YDR242W	0.152	0.308
YDR244W	-1.072	-0.537
YDR245W	-32.978	-3.447
YDR246W-A	0.329	-0.686
YDR247W	-0.164	-0.008
YDR248C	0.101	0.228
YDR249C	-0.027	0.205
YDR250C	-0.016	0.256
YDR252W	-0.188	-0.178
YDR253C	-0.321	0.072
YDR254W	-0.305	-0.180
YDR255C	-1.894	-0.353
YDR256C	0.112	0.164
YDR257C	-0.250	0.022
YDR258C	-0.049	-0.110
YDR259C	-0.159	-0.034
YDR260C	-0.056	-0.046
YDR261C	-0.122	-0.315
YDR262W	-0.187	-0.033
YDR263C	-0.082	-0.095
YDR265W	-1.053	-0.419
YDR266C	0.446	0.227
YDR268W	-0.137	-1.139
YDR269C	0.554	-0.804
YDR270W	-0.272	-0.351
YDR271C	1.324	0.205
YDR272W	-0.331	-0.178
YDR273W	-0.032	0.041
YDR274C	-0.414	-0.044
YDR275W	-0.105	0.027
YDR276C	0.743	0.431
YDR277C	-0.183	-0.240
YDR278C	-0.607	-0.478
YDR279W	-0.423	0.056
YDR281C	-1.579	-1.666
YDR282C	-0.256	-0.084
YDR283C	-1.497	-0.358
YDR284C	-0.152	-0.261
YDR285W	-0.386	-0.123
YDR286C	-0.287	0.043
YDR287W	-0.222	0.047
YDR289C	-0.635	0.347
YDR291W	0.000	0.174
YDR293C	-3.063	-0.841
YDR294C	-0.701	0.022
YDR295C	0.509	0.578
YDR296W	-0.253	-0.910
YDR297W	0.668	-0.675
YDR298C	0.020	-0.991
YDR300C	0.962	0.013
YDR304C	0.236	0.159
YDR305C	-0.128	-0.137
YDR306C	-0.008	-0.030
YDR307W	-0.092	0.089
YDR309C	-0.315	-0.054
YDR310C	-0.480	-0.124
YDR312W	-0.166	0.080
YDR313C	-0.057	0.141
YDR314C	-0.736	-0.199
YDR315C	-1.865	0.226
YDR316W	-0.020	-0.150
YDR317W	-0.003	0.166
YDR318W	-1.058	-2.053
YDR319C	-0.148	-0.090
YDR320C	-0.070	0.008
YDR321W	0.059	0.261
YDR322C-A	-0.146	-1.124
YDR322W	-1.031	-1.073
YDR323C	0.000	0.000
YDR326C	0.421	0.136
YDR329C	-1.410	-0.295
YDR330W	-0.713	0.100
YDR332W	-0.238	-0.386
YDR333C	-0.541	0.004
YDR334W	-1.203	0.145
YDR335W	-0.522	0.001
YDR336W	-0.410	-0.066
YDR337W	-0.171	-1.240
YDR338C	-0.417	0.021
YDR340W	-0.412	-0.088
YDR344C	-0.142	0.293
YDR345C	0.432	0.323
YDR346C	0.503	1.004
YDR347W	-0.122	-0.613
YDR348C	-0.721	-0.535
YDR349C	0.444	0.058
YDR351W	-0.239	0.206
YDR352W	-0.130	0.087
YDR354W	0.000	30.828
YDR357C	-0.285	0.240
YDR358W	-0.017	0.173
