ORF	hom | growth (relative abundance in pooled culture) | dieldrin (dieldrin [115 uM]) | Gaytan BD~Vulpe CD, 2013	hom | growth (relative abundance in pooled culture) | dieldrin (dieldrin [230 uM]) | Gaytan BD~Vulpe CD, 2013	hom | growth (relative abundance in pooled culture) | dieldrin (dieldrin [460 uM]) | Gaytan BD~Vulpe CD, 2013
YDL173W	-2.500	-2.600	-2.800
YJR044C	-2.200	-2.200	-2.800
YDL066W	NaN	NaN	-2.800
YDL142C	NaN	NaN	-2.800
YGL042C	NaN	NaN	-2.800
YOR327C	NaN	NaN	-2.800
YPL051W	NaN	NaN	-2.800
YLR201C	NaN	NaN	-2.800
YPR074C	-2.050	NaN	-2.750
YHR103W	NaN	NaN	-2.750
YER047C	-3.100	-3.000	-2.700
YOR292C	-2.500	-2.800	-2.700
YER101C	-2.600	-2.500	-2.700
YEL012W	-2.300	-2.500	-2.700
YGR193C	-1.500	-2.200	-2.700
YJR059W	NaN	-1.900	-2.700
YOR216C	NaN	-1.300	-2.700
YKL191W	-1.800	NaN	-2.700
YML115C	NaN	NaN	-2.700
YJL124C	NaN	NaN	-2.700
YEL062W	NaN	NaN	-2.700
YER084W	NaN	NaN	-2.700
YIL090W	NaN	NaN	-2.700
YMR070W	-3.450	-3.500	-2.650
YKL077W	NaN	NaN	-2.650
YIR021W	-1.200	-1.300	-2.600
YLR015W	-2.300	NaN	-2.600
YGL019W	NaN	NaN	-2.600
YML001W	NaN	NaN	-2.600
YBL078C	NaN	NaN	-2.600
YHR129C	NaN	NaN	-2.600
YHL023C	NaN	NaN	-2.600
YJL193W	-1.400	-2.200	-2.550
YPR067W	NaN	NaN	-2.550
YNR007C	NaN	NaN	-2.550
YOR161C	-2.800	-2.800	-2.500
YER169W	-2.400	-2.800	-2.500
YDR441C	-2.600	-2.700	-2.500
YLR067C	-2.100	-2.500	-2.500
YCL045C	NaN	-1.900	-2.500
YBL081W	-2.600	NaN	-2.500
YGR064W	-2.600	NaN	-2.500
YER051W	-2.500	NaN	-2.500
YFL013C	-1.400	NaN	-2.500
YDR466W	NaN	NaN	-2.500
YML048W	NaN	NaN	-2.500
YDR467C	NaN	NaN	-2.500
YBL042C	NaN	NaN	-2.500
YLR248W	-2.700	-2.800	-2.400
YIL130W	-2.200	-2.800	-2.400
YHR094C	-2.500	-2.300	-2.400
YIL135C	-1.400	-1.600	-2.400
YER041W	NaN	-1.900	-2.400
YJL128C	NaN	-1.600	-2.400
YMR295C	-2.500	NaN	-2.400
YHR079C	-1.400	NaN	-2.400
YKR073C	-1.300	NaN	-2.400
YGR092W	NaN	NaN	-2.400
YHR048W	NaN	NaN	-2.400
YML123C	NaN	NaN	-2.400
YCL046W	NaN	-2.000	-2.350
YPL149W	NaN	NaN	-2.350
YDR105C	-2.700	-3.000	-2.300
YDR458C	-2.300	-3.000	-2.300
YOR231W	-2.000	-2.600	-2.300
YOL087C	-2.700	-2.500	-2.300
YNL056W	-2.800	-2.300	-2.300
YNL187W	-2.400	-2.300	-2.300
YLR093C	-2.800	-2.200	-2.300
YPR083W	-2.300	-2.200	-2.300
YPL030W	-2.100	-2.200	-2.300
YER167W	-1.300	-2.100	-2.300
YLR006C	-1.300	-1.800	-2.300
YJL166W	-2.500	NaN	-2.300
YPR173C	NaN	NaN	-2.300
YHR171W	NaN	NaN	-2.300
YOR109W	NaN	NaN	-2.300
YGR255C	NaN	NaN	-2.300
YLR262C	NaN	NaN	-2.300
YGL020C	NaN	NaN	-2.300
YER092W	NaN	NaN	-2.250
YCR068W	NaN	NaN	-2.250
YIL139C	-2.300	-2.700	-2.200
YCL056C	-2.200	-2.600	-2.200
YGR041W	-2.400	-2.500	-2.200
YBR213W	-2.400	-2.500	-2.200
YOR301W	-2.300	-2.400	-2.200
YNL231C	NaN	-2.300	-2.200
YPR185W	NaN	-1.400	-2.200
YLR014C	NaN	NaN	-2.200
YNR042W	NaN	NaN	-2.200
YFR010W	NaN	NaN	-2.200
YIL105C	NaN	NaN	-2.200
YER048C	NaN	NaN	-2.200
YAR003W	NaN	NaN	-2.200
YHR179W	NaN	NaN	-2.200
YDL100C	NaN	NaN	-2.200
YLR374C	NaN	NaN	-2.200
YOR125C	NaN	NaN	-2.200
YJL141C	-1.600	-1.800	-2.150
YPL148C	NaN	NaN	-2.150
YDR231C	NaN	NaN	-2.150
YMR276W	NaN	NaN	-2.150
YPR201W	-2.100	-2.700	-2.100
YCR073W-A	-1.900	-2.600	-2.100
YHR157W	-2.900	-2.400	-2.100
YNL099C	-2.550	-2.400	-2.100
YER066C-A	-2.200	-2.200	-2.100
YGR282C	-2.000	-2.000	-2.100
YBL012C	NaN	-2.000	-2.100
YDR272W	-2.100	NaN	-2.100
YDR529C	-1.400	NaN	-2.100
YKR093W	-1.400	NaN	-2.100
YML106W	-1.100	NaN	-2.100
YBR041W	NaN	NaN	-2.100
YOL027C	NaN	NaN	-2.100
YDL149W	NaN	NaN	-2.100
YJL155C	NaN	-1.900	-2.050
YBR290W	NaN	-1.300	-2.050
YNL242W	NaN	NaN	-2.050
YLR297W	-2.400	-2.400	-2.000
YLR121C	-2.300	-2.400	-2.000
YKL040C	-1.700	-2.100	-2.000
YMR289W	-4.100	-1.800	-2.000
YIL119C	-1.700	-1.700	-2.000
YCR008W	NaN	-1.450	-2.000
YDR169C	NaN	-1.400	-2.000
YLR083C	-2.300	NaN	-2.000
YJL131C	-1.900	NaN	-2.000
YKL098W	-1.600	NaN	-2.000
YNR045W	NaN	NaN	-2.000
YPL195W	NaN	NaN	-2.000
YDR204W	NaN	NaN	-2.000
YGR183C	NaN	NaN	-2.000
YJR075W	NaN	NaN	-2.000
YMR152W	-1.400	NaN	-1.950
YLR450W	-2.600	-2.700	-1.900
YDR520C	-2.600	-2.200	-1.900
YCR095C	-2.000	-2.100	-1.900
YLR109W	-1.900	-2.000	-1.900
YNR031C	NaN	-1.500	-1.900
YNL334C	-1.900	NaN	-1.900
YPL250C	NaN	NaN	-1.900
YMR228W	NaN	NaN	-1.900
YMR159C	NaN	NaN	-1.900
YAL066W	NaN	NaN	-1.900
YGL124C	NaN	NaN	-1.900
YPL259C	NaN	NaN	-1.900
YDR230W	-1.300	NaN	-1.850
YCR079W	NaN	NaN	-1.850
YHR006W	-2.600	-3.700	-1.800
YGR117C	-2.200	-1.900	-1.800
YCL026C-A	-2.100	-1.800	-1.800
YJR121W	-2.050	-1.700	-1.800
YDL219W	-1.900	-1.700	-1.800
YGR010W	-1.600	-1.500	-1.800
YKL091C	-1.300	-1.300	-1.800
YCR036W	NaN	-2.450	-1.800
YGL227W	NaN	-2.400	-1.800
YER141W	-1.400	NaN	-1.800
YPL123C	NaN	NaN	-1.800
YKL207W	NaN	NaN	-1.800
YPL154C	NaN	NaN	-1.800
YMR150C	NaN	NaN	-1.750
YER176W	-1.400	-2.000	-1.700
YFL021W	-4.600	-1.500	-1.700
YGR178C	-1.800	-1.500	-1.700
YOR138C	NaN	-2.100	-1.700
YDR452W	-2.000	NaN	-1.700
YGR208W	NaN	NaN	-1.700
YJR144W	NaN	NaN	-1.700
YER058W	NaN	NaN	-1.700
YHR168W	NaN	NaN	-1.700
YDR372C	NaN	NaN	-1.700
YOL050C	NaN	NaN	-1.700
YNL235C	NaN	NaN	-1.700
YFR021W	NaN	NaN	-1.700
YBL049W	NaN	NaN	-1.700
YDL002C	NaN	NaN	-1.700
YCR033W	NaN	NaN	-1.700
YOR009W	-1.700	-1.700	-1.600
YER005W	-1.400	-1.550	-1.600
YKL068W	-1.400	-1.400	-1.600
YIL107C	NaN	-1.800	-1.600
YCR089W	-1.300	NaN	-1.600
YLR058C	-1.100	NaN	-1.600
YGL194C	NaN	NaN	-1.600
YMR015C	NaN	NaN	-1.600
YIL170W	NaN	NaN	-1.600
YMR007W	NaN	NaN	-1.600
YJL209W	NaN	NaN	-1.600
YOL049W	NaN	NaN	-1.600
YNL027W	NaN	NaN	-1.600
YMR274C	NaN	NaN	-1.600
YDR022C	NaN	NaN	-1.550
YIL055C	-1.500	-1.500	-1.500
YDL204W	-1.400	-1.400	-1.500
YIL043C	-1.200	-1.400	-1.500
YOR371C	NaN	-1.200	-1.500
YIL101C	-1.300	NaN	-1.500
YJL073W	-1.100	NaN	-1.500
YMR035W	NaN	NaN	-1.500
YAL053W	NaN	NaN	-1.500
YIR036C	NaN	NaN	-1.500
YPL166W	NaN	NaN	-1.500
YHR104W	NaN	NaN	-1.500
YLL042C	NaN	NaN	-1.500
YOR140W	NaN	NaN	-1.500
YKL063C	-1.200	-1.500	-1.400
YIR013C	-1.200	-1.400	-1.400
YDR029W	-1.300	-1.300	-1.400
YKL071W	-1.400	NaN	-1.400
YIL089W	-1.400	NaN	-1.400
YOR172W	-1.400	NaN	-1.400
YGR209C	-1.200	NaN	-1.400
YKL097C	-1.100	NaN	-1.400
YDL236W	NaN	NaN	-1.400
YDL223C	-1.500	-1.400	-1.300
YGR138C	NaN	-1.400	-1.300
YOL046C	NaN	-1.300	-1.300
YBR225W	-1.500	NaN	-1.300
YOR171C	-1.300	NaN	-1.300
YKR036C	-1.300	NaN	-1.300
YGL232W	1.600	NaN	-1.300
YIL114C	NaN	-1.600	-1.200
YCR001W	NaN	NaN	-1.200
YIL085C	NaN	NaN	-1.100
YGL148W	-5.100	-5.400	NaN
YDR455C	-5.200	-5.050	NaN
YJL121C	-2.550	-4.300	NaN
YDR456W	NaN	-3.300	NaN
YLR451W	-2.000	-3.250	NaN
YLR055C	-2.900	-3.100	NaN
YCR009C	-2.400	-3.100	NaN
YBR171W	-2.900	-3.000	NaN
YEL031W	NaN	-3.000	NaN
YBL100C	-2.500	-2.800	NaN
YMR067C	-2.100	-2.600	NaN
YGR057C	-2.450	-2.500	NaN
YGL013C	-2.500	-2.400	NaN
YHL029C	-2.500	-2.400	NaN
YGL138C	-2.100	-2.400	NaN
YDR290W	NaN	-2.400	NaN
YOR366W	-2.000	-2.200	NaN
YDR073W	NaN	-2.200	NaN
YPR146C	NaN	-2.200	NaN
YHR067W	NaN	-2.150	NaN
YDR283C	-2.000	-2.100	NaN
YCL001W-A	NaN	-2.100	NaN
YOL058W	NaN	-2.100	NaN
YBR057C	-2.200	-2.000	NaN
YLR087C	-2.000	-2.000	NaN
YPR111W	-2.000	-2.000	NaN
YOL020W	-1.700	-2.000	NaN
YGR129W	-1.600	-2.000	NaN
YCL028W	-1.400	-2.000	NaN
YMR207C	NaN	-2.000	NaN
YDR028C	NaN	-2.000	NaN
YNR008W	NaN	-1.900	NaN
YJR129C	NaN	-1.850	NaN
YHR202W	-1.800	-1.800	NaN
YOL013W-B	NaN	-1.800	NaN
YKL074C	-1.450	-1.750	NaN
YNL329C	-1.600	-1.700	NaN
YHR133C	-1.300	-1.700	NaN
YDR422C	NaN	-1.700	NaN
YNL239W	NaN	-1.700	NaN
YPL191C	-1.400	-1.600	NaN
YCR086W	NaN	-1.600	NaN
YER053C	NaN	-1.600	NaN
YIL057C	NaN	-1.400	NaN
YDR215C	NaN	-1.400	NaN
YBL072C	NaN	-1.400	NaN
YBL011W	NaN	-1.400	NaN
YGL198W	NaN	-1.300	NaN
YLR080W	NaN	-1.300	NaN
YLR239C	NaN	-1.300	NaN
YMR008C	-1.100	-1.200	NaN
YIL121W	NaN	-1.200	NaN
YIL052C	-3.400	NaN	NaN
YIR023W	-3.300	NaN	NaN
YDL020C	-3.200	NaN	NaN
YFL019C	-2.700	NaN	NaN
YPL221W	-2.700	NaN	NaN
YJR111C	-2.500	NaN	NaN
YGL125W	-2.400	NaN	NaN
YML062C	-2.400	NaN	NaN
YLR418C	-2.400	NaN	NaN
YLR420W	-2.350	NaN	NaN
YEL045C	-2.300	NaN	NaN
YNL170W	-2.200	NaN	NaN
YKL176C	-2.200	NaN	NaN
YLR231C	-2.200	NaN	NaN
YNL217W	-2.200	NaN	NaN
YLR073C	-2.200	NaN	NaN
YOR199W	-2.200	NaN	NaN
YBR184W	-2.000	NaN	NaN
YGL007W	-2.000	NaN	NaN
YMR099C	-2.000	NaN	NaN
YDL107W	-1.900	NaN	NaN
YML121W	-1.850	NaN	NaN
YLR079W	-1.800	NaN	NaN
YHR039C	-1.800	NaN	NaN
YJL180C	-1.800	NaN	NaN
YCR022C	-1.800	NaN	NaN
YLR049C	-1.800	NaN	NaN
YGL062W	-1.800	NaN	NaN
YKR067W	-1.700	NaN	NaN
YFL010C	-1.700	NaN	NaN
YER151C	-1.700	NaN	NaN
YDR338C	-1.700	NaN	NaN
YDR143C	-1.700	NaN	NaN
YDR067C	-1.700	NaN	NaN
YLL007C	-1.600	NaN	NaN
YHR176W	-1.600	NaN	NaN
YOL024W	-1.600	NaN	NaN
YIL032C	-1.600	NaN	NaN
YKR078W	-1.500	NaN	NaN
YLR111W	-1.500	NaN	NaN
YNL160W	-1.500	NaN	NaN
YLR020C	-1.500	NaN	NaN
YCL023C	-1.500	NaN	NaN
YOR031W	-1.400	NaN	NaN
YGR275W	-1.400	NaN	NaN
YIL146C	-1.400	NaN	NaN
YDR219C	-1.300	NaN	NaN
YBR177C	-1.300	NaN	NaN
YGL253W	-1.300	NaN	NaN
YLR168C	-1.300	NaN	NaN
YFR018C	-1.300	NaN	NaN
YBR239C	-1.300	NaN	NaN
YGL051W	-1.300	NaN	NaN
YGR022C	-1.300	NaN	NaN
YBR169C	-1.200	NaN	NaN
YHR022C	-1.200	NaN	NaN
YDR522C	-1.000	NaN	NaN
YCR031C	1.100	1.100	1.200
YKR027W	1.000	1.300	1.400
YNR005C	1.600	1.600	1.500
YDR357C	1.400	1.650	1.500
YGL252C	1.800	2.100	1.500
YDR150W	1.100	1.400	1.600
YBR129C	2.000	1.700	1.700
YOR127W	1.800	1.800	1.700
YNL105W	2.200	1.650	1.750
YEL061C	1.200	1.700	1.800
YOR182C	1.600	1.800	1.800
YJL016W	1.500	1.700	1.850
YLR181C	1.700	2.000	1.900
YNL288W	1.500	1.500	2.000
YGR223C	1.700	2.200	2.000
YNL016W	2.600	2.500	2.000
YDR049W	1.400	1.650	2.100
YLR074C	2.100	1.900	2.100
YFR044C	1.900	2.000	2.100
YBL079W	2.300	2.050	2.100
YPL226W	1.300	1.300	2.150
YNL054W	1.200	2.000	2.150
YLR119W	1.300	1.900	2.200
YML119W	2.700	2.500	2.200
YML075C	2.400	2.600	2.200
YBR163W	1.900	2.200	2.300
YDL044C	2.100	2.400	2.300
YCR063W	1.800	1.800	2.350
YLR264W	1.500	1.900	2.400
YLL045C	1.800	1.900	2.400
YDR121W	2.000	2.400	2.400
YDR540C	1.550	2.250	2.450
YLR193C	2.000	2.200	2.500
YGL147C	2.000	2.200	2.500
YER156C	2.300	2.200	2.500
YML061C	2.000	2.500	2.500
YIR005W	1.400	1.800	2.550
YDR443C	2.600	3.000	2.550
YJR014W	1.600	2.000	2.600
YDL083C	1.600	2.100	2.600
YEL068C	2.400	2.500	2.600
YPR044C	2.600	2.500	2.650
YOR089C	2.200	2.800	2.650
YOR309C	2.100	2.000	2.700
YBR048W	1.900	2.250	2.700
YDR115W	2.100	2.300	2.700
YDR450W	2.200	2.400	2.700
YGL031C	2.200	2.400	2.700
YER017C	2.300	2.500	2.700
YOR211C	2.300	2.900	2.700
YGL127C	2.600	2.600	2.750
YLR369W	2.500	3.000	2.750
YDL202W	2.400	2.850	2.800
YER050C	1.800	2.400	2.850
YMR293C	2.300	2.400	2.850
YER116C	1.800	2.300	2.900
YLR448W	2.500	2.600	2.900
YNL108C	3.200	2.700	2.900
YDR112W	3.200	3.100	2.900
YER139C	1.400	2.050	2.950
YER074W	2.300	2.100	2.950
YNL226W	2.400	2.300	2.950
YGL076C	2.200	2.100	3.000
YBL047C	2.700	2.700	3.000
YPL005W	2.300	2.900	3.050
YNL248C	1.800	2.200	3.100
YCL037C	2.350	2.700	3.100
YGL114W	4.500	2.800	3.100
YOR304C-A	2.800	3.000	3.100
YDR140W	2.900	3.000	3.100
YBR251W	2.000	2.900	3.150
YBL090W	2.750	3.000	3.150
YGL064C	2.800	3.000	3.200
YLR287C-A	2.050	2.500	3.250
YDL056W	2.600	2.900	3.250
YGR215W	2.150	2.800	3.300
YEL056W	2.900	3.600	3.300
YIL060W	2.700	3.000	3.550
YLR048W	2.600	3.200	3.600
YDR175C	3.100	3.200	3.600
YOR201C	2.650	3.250	3.700
YLL033W	3.300	3.250	3.750
YDR083W	2.500	2.600	3.800
YLR091W	2.700	3.100	3.800
YDR347W	2.750	3.200	3.800
YOR205C	2.750	3.450	3.800
YLR068W	2.500	3.200	3.850
YLR386W	2.950	3.300	3.900
YJR113C	2.500	3.250	3.950
YOR078W	3.100	3.300	4.000
YIL018W	2.750	3.100	4.050
YHR120W	3.000	3.450	4.100
YIL110W	2.700	3.000	4.150
YMR193W	3.000	3.800	4.300
YJL102W	2.850	3.900	4.350
YOR096W	2.750	3.300	4.400
YIL162W	4.300	4.200	4.600
YLR382C	3.300	4.200	5.050
YLR069C	3.500	4.400	5.200
YDR431W	6.800	6.700	5.600
YBR261C	1.000	NaN	1.200
YDL189W	1.000	NaN	1.300
YPR038W	1.400	NaN	1.300
YNL266W	1.700	NaN	1.500
YBR114W	NaN	1.500	1.550
YGL133W	NaN	1.600	1.600
YKR048C	1.400	NaN	1.600
YNL336W	1.700	NaN	1.600
YKR047W	1.800	NaN	1.600
YLR024C	NaN	1.200	1.700
YOR051C	NaN	1.800	1.700
YIL076W	1.300	NaN	1.700
YER110C	1.600	NaN	1.700
YER032W	2.200	NaN	1.700
YOR167C	NaN	1.400	1.800
YJR009C	NaN	1.600	1.800
YGL087C	NaN	1.700	1.800
YGR102C	NaN	2.200	1.800
YHL013C	1.600	NaN	1.800
YPR023C	NaN	1.300	1.850
YER007C-A	NaN	1.300	1.900
YKR092C	NaN	1.500	1.900
YOR091W	NaN	1.500	1.900
YLR388W	NaN	1.500	1.900
YJR102C	NaN	1.600	1.900
YNL325C	NaN	2.000	1.900
YBL027W	NaN	1.600	2.000
YDR393W	NaN	2.000	2.000
YJR049C	NaN	2.400	2.000
YLL028W	1.050	NaN	2.000
YDR447C	1.300	NaN	2.000
YBR031W	1.600	NaN	2.000
YKR042W	1.600	NaN	2.000
YDR516C	NaN	1.400	2.050
YDL023C	NaN	1.400	2.100
YEL013W	NaN	1.500	2.100
YLR252W	NaN	1.800	2.100
YDL198C	NaN	2.000	2.100
YMR230W	1.600	NaN	2.100
YFR031C-A	2.100	NaN	2.100
YKL048C	2.500	NaN	2.100
YNL067W	NaN	1.700	2.200
YIL053W	NaN	1.800	2.200
YML026C	1.500	NaN	2.200
YBL024W	NaN	1.400	2.300
YMR075W	NaN	1.400	2.300
YBR138C	4.800	NaN	2.300
YOR001W	2.400	NaN	2.400
YGR219W	NaN	2.400	2.450
YOL041C	1.400	NaN	2.450
YDR024W	NaN	2.000	2.500
YNL271C	NaN	3.000	2.500
YOR183W	1.800	NaN	2.500
YOR270C	1.900	NaN	2.500
YPL125W	2.100	NaN	2.600
YDR114C	2.300	NaN	2.600
YKL113C	NaN	2.200	2.650
YJR032W	NaN	3.000	2.650
YGR285C	1.900	NaN	2.650
YNL228W	1.700	NaN	2.700
YBR162C	1.900	NaN	2.700
YEL003W	2.300	NaN	2.700
YIL047C	NaN	2.100	2.750
YNL284C	NaN	2.100	2.800
YER122C	NaN	2.750	2.800
YBR267W	2.100	NaN	2.800
YPR106W	2.800	NaN	2.800
YER087W	NaN	2.300	2.850
YBR181C	NaN	1.800	2.900
YPL090C	NaN	2.200	2.900
YDR174W	2.200	NaN	3.900
YHR011W	NaN	3.650	4.000
YNL010W	NaN	1.100	NaN
YLL019C	NaN	1.100	NaN
YKR026C	1.400	1.400	NaN
YML099W-A	1.100	1.500	NaN
YGL214W	1.400	1.500	NaN
YNL104C	1.500	1.500	NaN
YOR235W	NaN	1.500	NaN
YPL080C	NaN	1.500	NaN
YJL205C	1.600	1.700	NaN
YLR370C	1.700	1.700	NaN
YNR006W	1.500	1.800	NaN
YOR068C	1.500	1.800	NaN
YNL106C	1.600	1.800	NaN
YJR070C	NaN	1.800	NaN
YLR384C	1.950	1.900	NaN
YLR360W	2.100	1.900	NaN
YJR055W	NaN	1.900	NaN
YLL014W	1.900	2.000	NaN
YPL101W	NaN	2.000	NaN
YLR412W	1.800	2.100	NaN
YPL118W	1.900	2.100	NaN
YKR074W	2.000	2.100	NaN
YHR041C	2.300	2.100	NaN
YER040W	NaN	2.100	NaN
YGL072C	NaN	2.200	NaN
YKR082W	NaN	2.200	NaN
YNL091W	NaN	2.200	NaN
YLR439W	NaN	2.200	NaN
YLR426W	1.700	2.300	NaN
YGR162W	2.000	2.300	NaN
YKL110C	2.400	2.300	NaN
YMR116C	NaN	2.350	NaN
YKL170W	2.100	2.400	NaN
YPR101W	2.000	2.500	NaN
YML097C	2.000	2.600	NaN
YAL002W	2.300	2.600	NaN
YKR024C	2.400	2.600	NaN
YHR010W	2.300	2.700	NaN
YDR065W	2.400	2.700	NaN
YLR358C	2.400	3.100	NaN
YOR069W	NaN	3.600	NaN
YJR026W	1.000	NaN	NaN
YDR486C	1.100	NaN	NaN
YCR060W	1.100	NaN	NaN
YPL054W	1.200	NaN	NaN
YBR040W	1.200	NaN	NaN
YDR383C	1.300	NaN	NaN
YBR139W	1.300	NaN	NaN
YJR053W	1.300	NaN	NaN
YML128C	1.400	NaN	NaN
YMR245W	1.400	NaN	NaN
YML116W-A	1.400	NaN	NaN
YAL020C	1.600	NaN	NaN
YDR379W	1.600	NaN	NaN
YDR430C	1.600	NaN	NaN
YMR066W	1.700	NaN	NaN
YOR381W	1.700	NaN	NaN
YJR038C	1.700	NaN	NaN
YDR400W	1.900	NaN	NaN
YPL102C	1.900	NaN	NaN
YNL119W	1.900	NaN	NaN
YBL007C	1.900	NaN	NaN
YGR127W	1.900	NaN	NaN
YLR233C	2.000	NaN	NaN
YML094C-A	2.000	NaN	NaN
YDR391C	2.000	NaN	NaN
YPL084W	2.100	NaN	NaN
YDR363W-A	2.200	NaN	NaN
YDR403W	2.200	NaN	NaN
YLR349W	2.200	NaN	NaN
YOR258W	2.200	NaN	NaN
YMR312W	2.300	NaN	NaN
YBR026C	2.300	NaN	NaN
YER056C	2.300	NaN	NaN
YDR385W	2.400	NaN	NaN
YJL127C	2.400	NaN	NaN
YMR284W	2.400	NaN	NaN
YMR115W	2.500	NaN	NaN
YER060W-A	2.500	NaN	NaN
YDL082W	2.500	NaN	NaN
YBR035C	2.600	NaN	NaN
YIL067C	2.700	NaN	NaN
YOR092W	2.800	NaN	NaN
YDR384C	3.000	NaN	NaN
YMR140W	NaN	NaN	1.200
YGR283C	NaN	NaN	1.200
YDR096W	NaN	NaN	1.300
YCR098C	NaN	NaN	1.400
YLR206W	NaN	NaN	1.400
YDR132C	NaN	NaN	1.400
YNL115C	NaN	NaN	1.400
YLR150W	NaN	NaN	1.400
YER056C-A	NaN	NaN	1.600
YJR050W	NaN	NaN	1.600
YOR043W	NaN	NaN	1.600
YOR304W	NaN	NaN	1.600
YMR100W	NaN	NaN	1.600
YGL250W	NaN	NaN	1.650
YER131W	NaN	NaN	1.700
YER164W	NaN	NaN	1.700
YJL136C	NaN	NaN	1.700
YOR267C	NaN	NaN	1.700
YGR214W	NaN	NaN	1.700
YDR471W	NaN	NaN	1.700
YPL065W	NaN	NaN	1.750
YBR020W	NaN	NaN	1.800
YDL062W	NaN	NaN	1.800
YNL324W	NaN	NaN	1.800
YNL005C	NaN	NaN	1.800
YHR200W	NaN	NaN	1.900
YIL005W	NaN	NaN	1.900
YPR040W	NaN	NaN	1.900
YDR360W	NaN	NaN	1.900
YPR057W	NaN	NaN	1.950
YNL096C	NaN	NaN	2.000
YMR075C-A	NaN	NaN	2.000
YHL044W	NaN	NaN	2.000
