orf	hom | growth (relative abundance in pooled culture) | dieldrin (dieldrin [115 uM]) | Gaytan BD~Vulpe CD, 2013	hom | growth (relative abundance in pooled culture) | dieldrin (dieldrin [230 uM]) | Gaytan BD~Vulpe CD, 2013	hom | growth (relative abundance in pooled culture) | dieldrin (dieldrin [460 uM]) | Gaytan BD~Vulpe CD, 2013
YDL173W	-2.5	-2.6	-2.8
YDL189W	1.0	0.0	1.3
YDL190C	-1.9	-2.85	-4.25
YDL198C	0.0	2.0	2.1
YDL202W	2.4	2.85	2.8
YDL204W	-1.4	-1.4	-1.5
YDL219W	-1.9	-1.7	-1.8
YDL223C	-1.5	-1.4	-1.3
YDL236W	0.0	0.0	-1.4
YDR022C	0.0	0.0	-1.55
YDR024W	0.0	2.0	2.5
YDR028C	0.0	-2.0	0.0
YDR029W	-1.3	-1.3	-1.4
YDR049W	1.4	1.65	2.1
YDR065W	2.4	2.7	0.0
YDR067C	-1.7	0.0	0.0
YDR073W	0.0	-2.2	0.0
YDR080W	0.0	0.0	-3.1
YDR083W	2.5	2.6	3.8
YDR096W	0.0	0.0	1.3
YDR101C	0.0	0.0	2.05
YDR105C	-2.7	-3.0	-2.3
YDR112W	3.2	3.1	2.9
YDR114C	2.3	0.0	2.6
YDR115W	2.1	2.3	2.7
YDR121W	2.0	2.4	2.4
YDR132C	0.0	0.0	1.4
YDR140W	2.9	3.0	3.1
YDR143C	-1.7	0.0	0.0
YDR150W	1.1	1.4	1.6
YDR156W	0.0	0.0	2.65
YDR169C	0.0	-1.4	-2.0
YDR174W	2.2	0.0	3.9
YDR175C	3.1	3.2	3.6
YDR204W	0.0	0.0	-2.0
YDR215C	0.0	-1.4	0.0
YDR219C	-1.3	0.0	0.0
YDR230W	-1.3	0.0	-1.85
YDR231C	0.0	0.0	-2.15
YDR255C	-2.1	-2.9	-3.0
YDR272W	-2.1	0.0	-2.1
YDR283C	-2.0	-2.1	0.0
YDR290W	0.0	-2.4	0.0
YDR296W	0.0	0.0	2.2
YDR298C	0.0	0.0	2.85
YDR338C	-1.7	0.0	0.0
YDR347W	2.75	3.2	3.8
YDR357C	1.4	1.65	1.5
YDR360W	0.0	0.0	1.9
YDR363W-A	2.2	0.0	0.0
YDR372C	0.0	0.0	-1.7
YDR377W	-3.7	-3.2	-3.7
YDR379W	1.6	0.0	0.0
YDR383C	1.3	0.0	0.0
YDR384C	3.0	0.0	0.0
YDR385W	2.4	0.0	0.0
YDR391C	2.0	0.0	0.0
YDR393W	0.0	2.0	2.0
YDR400W	1.9	0.0	0.0
YDR403W	2.2	0.0	0.0
YDR422C	0.0	-1.7	0.0
YDR430C	1.6	0.0	0.0
YDR431W	6.8	6.7	5.6
YDR441C	-2.6	-2.7	-2.5
YDR443C	2.6	3.0	2.55
YDR447C	1.3	0.0	2.0
YDR450W	2.2	2.4	2.7
YDR452W	-2.0	0.0	-1.7
YDR455C	-5.2	-5.05	0.0
YDR456W	0.0	-3.3	0.0
YDR458C	-2.3	-3.0	-2.3
YDR466W	0.0	0.0	-2.5
YDR467C	0.0	0.0	-2.5
YDR471W	0.0	0.0	1.7
YDR486C	1.1	0.0	0.0
YDR516C	0.0	1.4	2.05
YDR520C	-2.6	-2.2	-1.9
YDR522C	-1.0	0.0	0.0
YDR529C	-1.4	0.0	-2.1
YDR540C	1.55	2.25	2.45
YEL003W	2.3	0.0	2.7
YEL012W	-2.3	-2.5	-2.7
YEL013W	0.0	1.5	2.1
YEL031W	0.0	-3.0	0.0
YEL045C	-2.3	0.0	0.0
YEL056W	2.9	3.6	3.3
YEL061C	1.2	1.7	1.8
YEL062W	0.0	0.0	-2.7
YEL068C	2.4	2.5	2.6
YER005W	-1.4	-1.55	-1.6
YER007C-A	0.0	1.3	1.9
YER017C	2.3	2.5	2.7
YER032W	2.2	0.0	1.7
YER040W	0.0	2.1	0.0
YER041W	0.0	-1.9	-2.4
YER047C	-3.1	-3.0	-2.7
YER048C	0.0	0.0	-2.2
YER050C	1.8	2.4	2.85
YER051W	-2.5	0.0	-2.5
YER053C	0.0	-1.6	0.0
YER056C	2.3	0.0	0.0
YER056C-A	0.0	0.0	1.6
YER058W	0.0	0.0	-1.7
YER059W	-1.8	0.0	-3.25
YER060W-A	2.5	0.0	0.0
YER066C-A	-2.2	-2.2	-2.1
YER074W	2.3	2.1	2.95
YER084W	0.0	0.0	-2.7
YER087W	0.0	2.3	2.85
YER092W	0.0	0.0	-2.25
YER101C	-2.6	-2.5	-2.7
YER110C	1.6	0.0	1.7
YER116C	1.8	2.3	2.9
YER122C	0.0	2.75	2.8
YER131W	0.0	0.0	1.7
YER139C	1.4	2.05	2.95
YER141W	-1.4	0.0	-1.8
YER151C	-1.7	0.0	0.0
YER156C	2.3	2.2	2.5
YER164W	0.0	0.0	1.7
YER167W	-1.3	-2.1	-2.3
YER169W	-2.4	-2.8	-2.5
YER176W	-1.4	-2.0	-1.7
YFL010C	-1.7	0.0	0.0
YFL012W-A	-1.9	-1.5	-3.0
YFL013C	-1.4	0.0	-2.5
YFL018C	-2.2	-2.2	-3.0
YFL019C	-2.7	0.0	0.0
YFL021W	-4.6	-1.5	-1.7
YFL025C	-2.6	-2.4	-4.0
YFR010W	0.0	0.0	-2.2
YFR018C	-1.3	0.0	0.0
YFR021W	0.0	0.0	-1.7
YFR031C-A	2.1	0.0	2.1
YFR044C	1.9	2.0	2.1
YGL005C	-1.7	-2.0	-3.8
YGL007W	-2.0	0.0	0.0
YGL013C	-2.5	-2.4	0.0
YGL019W	0.0	0.0	-2.6
YGL020C	0.0	0.0	-2.3
YGL031C	2.2	2.4	2.7
YGL042C	0.0	0.0	-2.8
YGL051W	-1.3	0.0	0.0
YGL062W	-1.8	0.0	0.0
YGL064C	2.8	3.0	3.2
YGL072C	0.0	2.2	0.0
YGL076C	2.2	2.1	3.0
YGL087C	0.0	1.7	1.8
YGL088W	0.0	0.0	2.9
YGL114W	4.5	2.8	3.1
YGL124C	0.0	0.0	-1.9
YGL125W	-2.4	0.0	0.0
YGL127C	2.6	2.6	2.75
YGL133W	0.0	1.6	1.6
YGL138C	-2.1	-2.4	0.0
YGL147C	2.0	2.2	2.5
YGL148W	-5.1	-5.4	0.0
YGL194C	0.0	0.0	-1.6
YGL198W	0.0	-1.3	0.0
YGL212W	0.0	0.0	-3.1
YGL214W	1.4	1.5	0.0
YGL226C-A	-3.7	0.0	-3.8
YGL227W	0.0	-2.4	-1.8
YGL229C	-4.0	-4.3	-4.0
YGL232W	1.6	0.0	-1.3
YGL250W	0.0	0.0	1.65
YGL252C	1.8	2.1	1.5
YGL253W	-1.3	0.0	0.0
YGR010W	-1.6	-1.5	-1.8
YGR022C	-1.3	0.0	0.0
YGR041W	-2.4	-2.5	-2.2
YGR057C	-2.45	-2.5	0.0
YGR064W	-2.6	0.0	-2.5
YGR092W	0.0	0.0	-2.4
YGR102C	0.0	2.2	1.8
YGR104C	0.0	0.0	2.3
YGR117C	-2.2	-1.9	-1.8
YGR118W	0.0	0.0	2.2
YGR127W	1.9	0.0	0.0
YGR129W	-1.6	-2.0	0.0
YGR138C	0.0	-1.4	-1.3
YGR162W	2.0	2.3	0.0
YGR178C	-1.8	-1.5	-1.7
YGR183C	0.0	0.0	-2.0
YGR193C	-1.5	-2.2	-2.7
YGR208W	0.0	0.0	-1.7
YGR209C	-1.2	0.0	-1.4
YGR214W	0.0	0.0	1.7
YGR215W	2.15	2.8	3.3
YGR219W	0.0	2.4	2.45
YGR223C	1.7	2.2	2.0
YGR255C	0.0	0.0	-2.3
YGR275W	-1.4	0.0	0.0
YGR282C	-2.0	-2.0	-2.1
YGR283C	0.0	0.0	1.2
YGR285C	1.9	0.0	2.65
YHL009C	0.0	0.0	-3.0
YHL013C	1.6	0.0	1.8
YHL023C	0.0	0.0	-2.6
YHL029C	-2.5	-2.4	0.0
YHL034C	0.0	0.0	-3.6
YHL044W	0.0	0.0	2.0
YHR006W	-2.6	-3.7	-1.8
YHR008C	0.0	0.0	2.2
YHR010W	2.3	2.7	0.0
YHR011W	0.0	3.65	4.0
YHR022C	-1.2	0.0	0.0
YHR030C	-3.8	-5.3	-4.8
YHR039C	-1.8	0.0	0.0
YHR041C	2.3	2.1	0.0
YHR046C	-3.1	-3.1	-3.0
YHR048W	0.0	0.0	-2.4
YHR064C	0.0	0.0	2.3
YHR067W	0.0	-2.15	0.0
YHR073W	-2.3	-2.75	-4.35
YHR079C	-1.4	0.0	-2.4
YHR081W	0.0	0.0	2.5
YHR082C	0.0	0.0	-5.2
YHR094C	-2.5	-2.3	-2.4
YHR103W	0.0	0.0	-2.75
YHR104W	0.0	0.0	-1.5
YHR115C	-3.0	-3.3	-3.9
YHR120W	3.0	3.45	4.1
YHR129C	0.0	0.0	-2.6
YHR133C	-1.3	-1.7	0.0
YHR155W	0.0	0.0	-2.9
YHR157W	-2.9	-2.4	-2.1
YHR168W	0.0	0.0	-1.7
YHR171W	0.0	0.0	-2.3
YHR176W	-1.6	0.0	0.0
YHR179W	0.0	0.0	-2.2
YHR200W	0.0	0.0	1.9
YHR202W	-1.8	-1.8	0.0
YHR203C	0.0	0.0	2.1
YIL005W	0.0	0.0	1.9
YIL018W	2.75	3.1	4.05
YIL032C	-1.6	0.0	0.0
YIL035C	-3.5	-3.6	-3.6
YIL043C	-1.2	-1.4	-1.5
YIL047C	0.0	2.1	2.75
YIL052C	-3.4	0.0	0.0
YIL053W	0.0	1.8	2.2
YIL055C	-1.5	-1.5	-1.5
YIL057C	0.0	-1.4	0.0
YIL060W	2.7	3.0	3.55
YIL067C	2.7	0.0	0.0
YIL076W	1.3	0.0	1.7
YIL085C	0.0	0.0	-1.1
YIL089W	-1.4	0.0	-1.4
YIL090W	0.0	0.0	-2.7
YIL101C	-1.3	0.0	-1.5
YIL105C	0.0	0.0	-2.2
YIL107C	0.0	-1.8	-1.6
YIL110W	2.7	3.0	4.15
YIL114C	0.0	-1.6	-1.2
YIL119C	-1.7	-1.7	-2.0
YIL121W	0.0	-1.2	0.0
YIL130W	-2.2	-2.8	-2.4
YIL133C	0.0	0.0	2.3
YIL135C	-1.4	-1.6	-2.4
YIL139C	-2.3	-2.7	-2.2
YIL146C	-1.4	0.0	0.0
YIL154C	-3.05	-4.9	-4.1
YIL162W	4.3	4.2	4.6
YIR005W	1.4	1.8	2.55
YIR013C	-1.2	-1.4	-1.4
YIR021W	-1.2	-1.3	-2.6
YIR023W	-3.3	0.0	0.0
YIR036C	0.0	0.0	-1.5
YJL004C	0.0	0.0	-4.05
YJL016W	1.5	1.7	1.85
YJL036W	-2.4	-2.05	-3.7
YJL062W	0.0	0.0	-2.9
YJL073W	-1.1	0.0	-1.5
YJL102W	2.85	3.9	4.35
YJL120W	-3.1	-3.95	-5.25
YJL121C	-2.55	-4.3	0.0
YJL124C	0.0	0.0	-2.7
YJL127C	2.4	0.0	0.0
YJL128C	0.0	-1.6	-2.4
YJL130C	-2.55	-2.15	-3.55
YJL131C	-1.9	0.0	-2.0
YJL136C	0.0	0.0	1.7
YJL141C	-1.6	-1.8	-2.15
YJL148W	0.0	0.0	2.35
YJL155C	0.0	-1.9	-2.05
YJL166W	-2.5	0.0	-2.3
YJL180C	-1.8	0.0	0.0
YJL193W	-1.4	-2.2	-2.55
YJL205C	1.6	1.7	0.0
YJL209W	0.0	0.0	-1.6
YJR009C	0.0	1.6	1.8
YJR014W	1.6	2.0	2.6
YJR032W	0.0	3.0	2.65
YJR038C	1.7	0.0	0.0
YJR044C	-2.2	-2.2	-2.8
YJR049C	0.0	2.4	2.0
YJR050W	0.0	0.0	1.6
YJR053W	1.3	0.0	0.0
YJR055W	0.0	1.9	0.0
YJR059W	0.0	-1.9	-2.7
YJR070C	0.0	1.8	0.0
YJR073C	-2.0	-2.4	-4.7
YJR075W	0.0	0.0	-2.0
YJR079W	-2.8	-2.8	-2.8
YJR088C	-3.2	-3.8	-3.8
YJR102C	0.0	1.6	1.9
YJR105W	0.0	0.0	2.8
YJR111C	-2.5	0.0	0.0
YJR113C	2.5	3.25	3.95
YJR121W	-2.05	-1.7	-1.8
YJR129C	0.0	-1.85	0.0
YJR144W	0.0	0.0	-1.7
YKL039W	0.0	-1.9	-3.0
YKL040C	-1.7	-2.1	-2.0
YKL048C	2.5	0.0	2.1
YKL063C	-1.2	-1.5	-1.4
YKL068W	-1.4	-1.4	-1.6
YKL071W	-1.4	0.0	-1.4
YKL074C	-1.45	-1.75	0.0
YKL077W	0.0	0.0	-2.65
YKL091C	-1.3	-1.3	-1.8
YKL097C	-1.1	0.0	-1.4
YKL098W	-1.6	0.0	-2.0
YKL110C	2.4	2.3	0.0
YKL113C	0.0	2.2	2.65
YKL138C	0.0	0.0	2.3
YKL150W	-3.0	-3.0	-2.8
YKL170W	2.1	2.4	0.0
YKL176C	-2.2	0.0	0.0
YKL190W	-2.1	-2.55	-4.45
YKL191W	-1.8	0.0	-2.7
YKL207W	0.0	0.0	-1.8
YKR019C	-3.1	-3.1	-4.9
YKR024C	2.4	2.6	0.0
YKR026C	1.4	1.4	0.0
YKR027W	1.0	1.3	1.4
YKR036C	-1.3	0.0	-1.3
YKR042W	1.6	0.0	2.0
YKR047W	1.8	0.0	1.6
YKR048C	1.4	0.0	1.6
YKR057W	0.0	0.0	2.35
YKR067W	-1.7	0.0	0.0
YKR072C	-3.2	-3.4	-4.6
YKR073C	-1.3	0.0	-2.4
YKR074W	2.0	2.1	0.0
YKR078W	-1.5	0.0	0.0
YKR082W	0.0	2.2	0.0
YKR092C	0.0	1.5	1.9
YKR093W	-1.4	0.0	-2.1
YLL007C	-1.6	0.0	0.0
YLL014W	1.9	2.0	0.0
YLL019C	0.0	1.1	0.0
YLL028W	1.05	0.0	2.0
YLL033W	3.3	3.25	3.75
YLL042C	0.0	0.0	-1.5
YLL045C	1.8	1.9	2.4
YLR006C	-1.3	-1.8	-2.3
YLR014C	0.0	0.0	-2.2
YLR015W	-2.3	0.0	-2.6
YLR020C	-1.5	0.0	0.0
YLR024C	0.0	1.2	1.7
YLR044C	-3.75	-4.85	-5.6
YLR048W	2.6	3.2	3.6
YLR049C	-1.8	0.0	0.0
YLR055C	-2.9	-3.1	0.0
YLR058C	-1.1	0.0	-1.6
YLR061W	0.0	0.0	2.9
YLR062C	0.0	0.0	3.1
YLR067C	-2.1	-2.5	-2.5
YLR068W	2.5	3.2	3.85
YLR069C	3.5	4.4	5.2
YLR073C	-2.2	0.0	0.0
YLR074C	2.1	1.9	2.1
YLR079W	-1.8	0.0	0.0
YLR080W	0.0	-1.3	0.0
YLR083C	-2.3	0.0	-2.0
YLR087C	-2.0	-2.0	0.0
YLR091W	2.7	3.1	3.8
YLR093C	-2.8	-2.2	-2.3
YLR109W	-1.9	-2.0	-1.9
YLR111W	-1.5	0.0	0.0
YLR119W	1.3	1.9	2.2
YLR121C	-2.3	-2.4	-2.0
YLR131C	0.0	0.0	2.1
YLR150W	0.0	0.0	1.4
YLR168C	-1.3	0.0	0.0
YLR169W	-1.5	-1.4	-3.9
YLR171W	0.0	0.0	-3.7
YLR181C	1.7	2.0	1.9
YLR193C	2.0	2.2	2.5
YLR201C	0.0	0.0	-2.8
YLR206W	0.0	0.0	1.4
YLR231C	-2.2	0.0	0.0
YLR233C	2.0	0.0	0.0
YLR239C	0.0	-1.3	0.0
YLR246W	0.0	0.0	-4.4
YLR248W	-2.7	-2.8	-2.4
YLR252W	0.0	1.8	2.1
YLR262C	0.0	0.0	-2.3
YLR264W	1.5	1.9	2.4
YLR267W	0.0	-3.25	-3.2
YLR287C-A	2.05	2.5	3.25
YLR297W	-2.4	-2.4	-2.0
YLR349W	2.2	0.0	0.0
YLR352W	0.0	0.0	-3.25
YLR358C	2.4	3.1	0.0
YLR360W	2.1	1.9	0.0
YLR366W	0.0	0.0	2.1
YLR369W	2.5	3.0	2.75
YLR370C	1.7	1.7	0.0
YLR374C	0.0	0.0	-2.2
YLR382C	3.3	4.2	5.05
YLR384C	1.95	1.9	0.0
YLR386W	2.95	3.3	3.9
YLR388W	0.0	1.5	1.9
YLR412W	1.8	2.1	0.0
YLR418C	-2.4	0.0	0.0
YLR420W	-2.35	0.0	0.0
YLR426W	1.7	2.3	0.0
YLR436C	-2.9	-3.6	-4.0
YLR439W	0.0	2.2	0.0
YLR441C	0.0	0.0	2.3
YLR448W	2.5	2.6	2.9
YLR450W	-2.6	-2.7	-1.9
YLR451W	-2.0	-3.25	0.0
YML001W	0.0	0.0	-2.6
YML026C	1.5	0.0	2.2
YML048W	0.0	0.0	-2.5
YML061C	2.0	2.5	2.5
YML062C	-2.4	0.0	0.0
YML071C	-2.3	-2.1	-3.15
YML072C	-1.65	-1.45	-4.85
YML075C	2.4	2.6	2.2
YML079W	-4.9	-4.9	-4.8
YML094C-A	2.0	0.0	0.0
YML097C	2.0	2.6	0.0
YML100W-A	1.1	1.5	0.0
YML106W	-1.1	0.0	-2.1
YML115C	0.0	0.0	-2.7
YML116W-A	1.4	0.0	0.0
YML117W	-2.0	0.0	-3.0
YML119W	2.7	2.5	2.2
YML121W	-1.85	0.0	0.0
YML122C	0.0	0.0	-2.9
YML123C	0.0	0.0	-2.4
YML128C	1.4	0.0	0.0
YMR007W	0.0	0.0	-1.6
YMR008C	-1.1	-1.2	0.0
YMR015C	0.0	0.0	-1.6
YMR016C	-1.3	-1.6	-4.9
YMR035W	0.0	0.0	-1.5
YMR066W	1.7	0.0	0.0
YMR067C	-2.1	-2.6	0.0
YMR070W	-3.45	-3.5	-2.65
YMR072W	0.0	0.0	2.4
YMR075C-A	0.0	0.0	2.0
YMR075W	0.0	1.4	2.3
YMR099C	-2.0	0.0	0.0
YMR100W	0.0	0.0	1.6
YMR115W	2.5	0.0	0.0
YMR116C	0.0	2.35	0.0
YMR140W	0.0	0.0	1.2
YMR150C	0.0	0.0	-1.75
YMR152W	-1.4	0.0	-1.95
YMR158W-B	-1.3	-2.0	-3.1
YMR159C	0.0	0.0	-1.9
YMR193W	3.0	3.8	4.3
YMR207C	0.0	-2.0	0.0
YMR214W	-2.55	-2.35	-4.6
YMR228W	0.0	0.0	-1.9
YMR230W	1.6	0.0	2.1
YMR245W	1.4	0.0	0.0
YMR263W	0.0	0.0	-3.5
YMR264W	-1.4	0.0	-3.3
YMR274C	0.0	0.0	-1.6
YMR276W	0.0	0.0	-2.15
YMR284W	2.4	0.0	0.0
YMR289W	-4.1	-1.8	-2.0
YMR293C	2.3	2.4	2.85
YMR295C	-2.5	0.0	-2.4
YMR312W	2.3	0.0	0.0
YNL005C	0.0	0.0	1.8
YNL010W	0.0	1.1	0.0
YNL016W	2.6	2.5	2.0
YNL027W	0.0	0.0	-1.6
YNL032W	-4.2	-3.5	-4.5
YNL041C	-2.7	-2.6	-3.1
YNL051W	0.0	0.0	-2.9
YNL054W	1.2	2.0	2.15
YNL056W	-2.8	-2.3	-2.3
YNL067W	0.0	1.7	2.2
YNL069C	0.0	0.0	2.2
YNL091W	0.0	2.2	0.0
YNL096C	0.0	0.0	2.0
YNL099C	-2.55	-2.4	-2.1
YNL104C	1.5	1.5	0.0
YNL105W	2.2	1.65	1.75
YNL106C	1.6	1.8	0.0
YNL108C	3.2	2.7	2.9
YNL115C	0.0	0.0	1.4
YNL119W	1.9	0.0	0.0
YNL160W	-1.5	0.0	0.0
YNL170W	-2.2	0.0	0.0
YNL183C	-3.25	-3.35	-3.35
YNL187W	-2.4	-2.3	-2.3
YNL217W	-2.2	0.0	0.0
YNL226W	2.4	2.3	2.95
YNL228W	1.7	0.0	2.7
YNL229C	-4.1	-4.6	-3.85
YNL231C	0.0	-2.3	-2.2
YNL235C	0.0	0.0	-1.7
YNL236W	0.0	0.0	-3.5
YNL239W	0.0	-1.7	0.0
YNL242W	0.0	0.0	-2.05
YNL248C	1.8	2.2	3.1
YNL266W	1.7	0.0	1.5
YNL271C	0.0	3.0	2.5
YNL284C	0.0	2.1	2.8
YNL288W	1.5	1.5	2.0
YNL324W	0.0	0.0	1.8
YNL325C	0.0	2.0	1.9
YNL329C	-1.6	-1.7	0.0
YNL334C	-1.9	0.0	-1.9
YNL336W	1.7	0.0	1.6
YNR005C	1.6	1.6	1.5
YNR006W	1.5	1.8	0.0
YNR007C	0.0	0.0	-2.55
YNR008W	0.0	-1.9	0.0
YNR031C	0.0	-1.5	-1.9
YNR042W	0.0	0.0	-2.2
YNR045W	0.0	0.0	-2.0
YNR051C	-3.05	-2.75	-4.1
YOL004W	0.0	0.0	-4.0
YOL013W-A	0.0	-1.8	0.0
YOL020W	-1.7	-2.0	0.0
YOL023W	0.0	0.0	2.4
YOL024W	-1.6	0.0	0.0
YOL027C	0.0	0.0	-2.1
YOL041C	1.4	0.0	2.45
YOL046C	0.0	-1.3	-1.3
YOL049W	0.0	0.0	-1.6
YOL050C	0.0	0.0	-1.7
YOL058W	0.0	-2.1	0.0
YOL081W	-3.9	-4.95	-6.8
YOL087C	-2.7	-2.5	-2.3
YOL089C	0.0	0.0	-3.0
YOL093W	-1.9	0.0	-4.0
YOL110W	0.0	0.0	-4.5
YOL121C	0.0	0.0	2.1
YOR001W	2.4	0.0	2.4
YOR009W	-1.7	-1.7	-1.6
YOR021C	-3.0	-3.4	-2.9
YOR039W	0.0	0.0	-3.2
YOR043W	0.0	0.0	1.6
YOR051C	0.0	1.8	1.7
YOR068C	1.5	1.8	0.0
YOR069W	0.0	3.6	0.0
YOR070C	-4.0	-4.4	-6.1
YOR078W	3.1	3.3	4.0
YOR086C	-3.2	-2.9	-3.5
YOR089C	2.2	2.8	2.65
YOR091W	0.0	1.5	1.9
YOR092W	2.8	0.0	0.0
YOR096W	2.75	3.3	4.4
YOR109W	0.0	0.0	-2.3
YOR123C	0.0	0.0	-3.35
YOR125C	0.0	0.0	-2.2
YOR127W	1.8	1.8	1.7
YOR138C	0.0	-2.1	-1.7
YOR140W	0.0	0.0	-1.5
YOR153W	-4.9	-4.5	-5.05
YOR161C	-2.8	-2.8	-2.5
YOR167C	0.0	1.4	1.8
YOR171C	-1.3	0.0	-1.3
YOR172W	-1.4	0.0	-1.4
YOR182C	1.6	1.8	1.8
YOR183W	1.8	0.0	2.5
YOR199W	-2.2	0.0	0.0
YOR201C	2.65	3.25	3.7
YOR205C	2.75	3.45	3.8
YOR211C	2.3	2.9	2.7
YOR216C	0.0	-1.3	-2.7
YOR231W	-2.0	-2.6	-2.3
YOR235W	0.0	1.5	0.0
YOR258W	2.2	0.0	0.0
YOR267C	0.0	0.0	1.7
YOR270C	1.9	0.0	2.5
YOR292C	-2.5	-2.8	-2.7
YOR297C	-4.15	-4.45	-4.7
YOR301W	-2.3	-2.4	-2.2
YOR304C-A	2.8	3.0	3.1
YOR304W	0.0	0.0	1.6
YOR309C	2.1	2.0	2.7
YOR327C	0.0	0.0	-2.8
YOR352W	-3.3	-3.3	-3.3
YOR366W	-2.0	-2.2	0.0
YOR371C	0.0	-1.2	-1.5
YOR381W	1.7	0.0	0.0
YPL005W	2.3	2.9	3.05
YPL030W	-2.1	-2.2	-2.3
YPL051W	0.0	0.0	-2.8
YPL054W	1.2	0.0	0.0
YPL065W	0.0	0.0	1.75
YPL080C	0.0	1.5	0.0
YPL084W	2.1	0.0	0.0
YPL090C	0.0	2.2	2.9
YPL101W	0.0	2.0	0.0
YPL102C	1.9	0.0	0.0
YPL118W	1.9	2.1	0.0
YPL120W	0.0	0.0	-6.25
YPL123C	0.0	0.0	-1.8
YPL125W	2.1	0.0	2.6
YPL148C	0.0	0.0	-2.15
