ORF	hap a | growth (relative abundance in pooled culture) | selenomethionine [12 uM] | Plateau P~Lazard M, 2017	hap a | growth (relative abundance in pooled culture) | selenomethionine [20 uM] | Plateau P~Lazard M, 2017
YPL179W	-1.398	-0.112
YCL056C	-1.366	-0.399
YGR057C	-1.288	-0.522
YHL031C	-1.329	-1.326
YLR267W	-1.371	-0.901
YJL168C	-1.323	-0.885
YLR216C	-1.334	-0.618
YJR033C	-1.324	-0.689
YOL018C	-1.335	-0.410
YBL054W	-1.315	-0.545
YGL043W	-1.304	-0.895
YLR362W	-1.327	-0.533
YOR068C	-1.299	-0.636
YHR041C	-1.249	NaN
YNL197C	-1.286	-0.609
YDL122W	-1.262	-0.690
YBR262C	-1.280	-0.392
YOR089C	-1.285	-0.785
YEL037C	-1.277	-0.740
YHL020C	-1.264	-0.884
YFL014W	-1.247	-0.611
YGL153W	-1.248	-0.562
YML094C-A	-1.272	-0.852
YOR275C	-1.272	-1.573
YBR085W	-1.245	-0.436
YGR077C	-1.235	-0.554
YLR337C	-1.251	-0.647
YCR036W	-1.239	-1.007
YMR075C-A	-1.219	-0.588
YBR238C	-1.225	-0.322
YCL033C	-1.232	-0.810
YKL155C	-1.345	-0.856
YOL044W	-1.242	-0.790
YEL038W	-1.225	-0.500
YLR328W	-1.218	-0.688
YNR010W	-1.137	-0.676
YIL006W	-1.018	-0.392
YPR049C	-0.855	-0.988
YDL100C	-1.198	-0.471
YMR135C	-1.211	-0.220
YPR057W	-1.492	-0.816
YLL040C	-1.198	-0.897
YPL061W	-1.195	-0.975
YMR026C	-1.183	-0.539
YBL046W	-1.171	-0.454
YMR274C	-1.177	-0.484
YNL145W	-1.160	-0.713
YIR017C	-1.131	-0.185
YOR233W	-1.159	-0.308
YIL076W	-1.141	-0.345
YBL027W	-1.166	0.096
YMR010W	-1.148	-0.577
YPR100W	-1.139	-1.102
YKR047W	-1.101	-0.465
YPL139C	-1.174	NaN
YOR371C	-1.130	-0.359
YNL143C	-1.118	-0.636
YML009W-B	-1.090	-0.146
YEL009C	-1.155	-0.436
YKR019C	-1.119	-0.492
YPL062W	-1.117	-0.746
YLL030C	-1.095	-0.156
YML128C	-1.117	-0.477
YLR191W	-1.099	-0.724
YOR164C	-1.095	-0.460
YOR123C	-1.109	-0.141
YLR218C	-1.080	-0.492
YLR401C	-1.079	-1.148
YDL025C	-1.055	-0.252
YIL112W	-1.044	0.020
YJL130C	-1.057	-0.546
YER084W	-1.085	-0.202
YAL039C	-1.324	-0.885
YDL137W	-1.040	-0.517
YOR037W	-1.037	-0.571
YMR263W	-1.058	-1.036
YHR012W	-1.009	-0.299
YNL057W	-1.029	-0.499
YLR217W	-1.012	-0.434
YPL120W	-1.011	-0.570
YDL070W	-1.163	-0.330
YNL122C	-1.017	-0.437
YLL029W	-0.922	-0.291
YLL018C-A	-1.256	-0.588
YOR344C	-0.964	-0.227
YDR136C	-0.678	-1.258
YBR278W	-1.011	-0.214
YNL003C	-0.581	-0.406
YER089C	-1.021	-0.185
YOR184W	-1.009	-0.014
YPL265W	-0.952	-0.543
YGL071W	-1.158	-0.615
YDR486C	-0.988	-0.177
YJL172W	-0.998	-1.181
YML022W	-0.999	-0.808
YGR133W	-1.000	-0.322
YLR067C	-0.982	-0.924
YIL099W	-1.017	-0.170
YKL174C	-1.009	-0.245
YOR226C	-1.003	-0.511
YGR122W	-1.313	-0.802
YNL329C	-0.982	-0.602
YGL035C	-0.968	-0.353
YGL020C	-1.193	-1.086
YOR175C	-1.007	-0.772
YMR075W	-0.988	-0.460
YDR103W	-0.972	-0.286
YOR308C	-0.984	-0.777
YMR106C	-0.985	-0.750
YJR009C	-0.983	-0.098
YLL009C	-0.974	-1.300
YJR050W	-0.982	-0.313
YDR029W	-1.416	-0.296
YEL012W	-0.958	-0.293
YDR108W	-0.897	-0.501
YKR059W	-0.895	-0.141
YDR426C	-0.970	-0.274
YKL121W	-0.959	-0.827
YBL007C	-0.928	0.124
YML048W	-0.967	-0.158
YLR442C	-0.966	-0.157
YCR024C	-0.957	-0.149
YMR284W	-0.954	-0.187
YKL054C	-1.310	-1.872
YJR048W	-0.941	-0.372
YOR061W	-0.974	0.085
YDR484W	-0.945	-0.391
YDR395W	-0.934	-0.659
YIR001C	-0.948	-0.811
YGL252C	-0.911	-0.233
YPR039W	-0.943	-0.436
YIL071C	-0.935	-0.604
YML081W	-0.891	-0.144
YBR269C	-0.938	-0.652
YLR288C	-0.672	NaN
YDL167C	-0.925	-0.894
YDR475C	-0.933	-0.552
YOR350C	-0.899	-0.489
YAL055W	-0.871	-0.052
YPL261C	-0.976	-0.547
YOL129W	-0.919	-0.237
YDR388W	-0.905	-0.024
YEL030W	-0.822	NaN
YHR017W	-0.917	-0.548
YJR015W	-0.922	-0.440
YOR007C	-0.919	0.030
YJL154C	-0.931	-0.389
YDR255C	-0.879	0.154
YDL192W	-0.888	-0.556
YGL231C	-0.927	-0.823
YAL011W	-0.896	-0.506
YDR455C	-0.909	-0.493
YKL115C	-0.908	-1.104
YMR154C	-0.941	-0.592
YJL004C	-0.904	-0.500
YNL104C	-0.873	-0.274
YLR228C	-0.899	-0.119
YDR316W	-0.869	-0.569
YLR450W	-0.900	-0.330
YMR007W	-0.887	-0.061
YOR069W	-0.914	0.075
YLR309C	-0.912	-0.280
YMR009W	-0.906	-0.236
YKL156W	-0.868	0.020
YLR408C	-0.895	-0.406
YOL096C	-0.875	-0.361
YNL250W	-0.911	-0.144
YNL297C	-0.870	-0.569
YKR020W	-1.247	-0.355
YLR241W	-0.827	-0.358
YML117W	-0.892	-0.351
YCL045C	-0.862	-0.470
YLR361C	-0.884	-0.220
YLR224W	-0.871	-0.252
YML113W	-0.869	-0.221
YOL111C	-0.847	-0.150
YLR108C	-0.826	0.112
YLR151C	-0.811	0.009
YIL010W	-0.835	-0.145
YKR014C	-0.844	-0.315
YGR234W	-0.844	0.205
YHL027W	-0.849	-0.690
YER095W	-0.801	0.024
YPL132W	-0.803	-0.394
YBL091C-A	-0.846	-0.283
YDL159W	-0.851	-0.510
YOR212W	-0.865	-0.399
YMR008C	-0.848	-0.038
YJL138C	-0.810	-0.139
YGR229C	-0.848	-0.353
YDR346C	-0.841	-0.397
YLR371W	-0.820	-0.701
YGL115W	-0.748	-0.230
YGR257C	-0.780	-1.255
YIR013C	-0.830	-0.278
YNL298W	-1.065	-0.707
YLR412W	-0.826	-0.502
YLR205C	-0.840	-0.079
YOR066W	-0.833	-0.045
YPL178W	-0.586	-0.181
YGR203W	-0.801	-0.215
YDR225W	-0.821	-0.745
YNL041C	-0.799	-0.533
YPR038W	-0.800	-0.283
YML047C	-0.828	-0.017
YLR028C	-0.823	-0.278
YLR422W	-0.806	-0.624
YMR089C	-0.511	0.248
YPL103C	-0.800	-0.419
YLR227C	-0.787	-0.115
YLR203C	-0.796	-0.529
YHL002W	-0.792	-0.148
YCR086W	-0.783	-0.041
YJR066W	-0.780	-0.360
YDL073W	-0.783	-0.378
YDR244W	-0.778	-0.547
YLR093C	-0.799	-0.508
YPR153W	-0.786	-0.031
YKL098W	-0.777	-0.154
YNL199C	-0.816	0.150
YDR202C	-0.783	-0.311
YNL173C	-0.798	-0.085
YPL060W	-0.756	-0.319
YLR173W	-0.769	-0.123
YOR132W	-0.777	-0.203
YJL053W	-0.746	-0.313
YDL065C	-0.766	-0.527
YGL152C	-0.767	-0.417
YDR253C	-0.789	-0.089
YLR038C	-0.752	-0.483
YNL044W	-0.791	-0.182
YCR032W	-0.766	-0.529
YLR375W	-0.762	-0.243
YNL187W	-0.778	-0.329
YJR004C	-0.744	-0.496
YFR036W	-0.718	-0.212
YBL021C	-0.746	-0.340
YKL190W	-0.750	-0.239
YBR119W	-0.765	-0.081
YGR222W	-0.741	-0.754
YOL012C	-0.768	-0.350
YLR364W	0.039	0.169
YBR191W	-0.899	-0.698
YKL127W	-0.741	0.106
YDR271C	-0.753	-0.477
YIL072W	-0.733	-0.015
YGR122C-A	-0.729	-0.186
YMR150C	-0.682	-0.527
YMR187C	-0.710	-0.371
YER088C	-0.743	-0.175
YNR018W	-0.711	-0.226
YLR065C	-0.737	-0.207
YER141W	-0.744	-0.219
YBR105C	-0.717	-0.376
YIL149C	-0.705	0.054
YPR123C	-0.726	-0.756
YKL207W	-0.733	-0.233
YJR117W	-0.714	-0.252
YOR286W	-0.729	-0.253
YKR003W	-0.735	-0.214
YGL160W	-0.750	-0.073
YMR257C	-0.723	-0.411
YDL071C	-0.721	-0.274
YJR024C	-0.723	-0.379
YBR231C	-0.729	-0.615
YIL066C	-0.718	-0.029
YOL035C	-0.686	0.298
YGL045W	-0.717	-0.514
YKL040C	-0.715	-0.078
YDR508C	-0.703	-0.235
YBR016W	-0.793	-0.209
YMR243C	-0.713	-0.317
YEL003W	-0.700	-0.296
YDR445C	-0.656	0.077
YGR164W	-0.665	-0.163
YDL180W	-0.701	-0.058
YJR044C	-0.704	-0.079
YPL135W	-0.686	-0.217
YJL211C	-0.693	-0.247
YMR253C	-0.659	-0.051
YNL198C	-0.590	-0.248
YLR307W	-0.712	-0.906
YPL021W	-0.699	-0.528
YJL063C	-0.685	-0.699
YAL014C	-0.681	-0.339
YJL157C	-0.684	-0.237
YFL028C	-0.675	0.336
YPR170C	-0.668	-0.195
YLR353W	-0.698	-0.175
YGL005C	-0.710	0.060
YMR151W	-0.664	-0.626
YPL116W	-0.770	-0.207
YER139C	-0.698	-0.474
YBR065C	-0.670	-0.213
YOR082C	-0.690	-0.351
YLR390W	-0.693	-0.394
YOR357C	-0.676	-0.132
YJR127C	-0.681	-0.272
YLR219W	-0.675	-0.110
YER047C	-0.518	-0.440
YLR181C	-0.678	-0.151
YNL281W	-0.674	-0.438
YBR069C	-0.523	-0.543
YIR021W	-0.654	-0.619
YMR285C	-0.682	-0.418
YCR065W	-0.691	-0.130
YGR117C	-0.688	-0.531
YHL007C	-0.686	-0.507
YOL003C	-0.669	-0.178
YKR005C	-0.676	-0.276
YJL210W	-0.648	-0.200
YML124C	-0.644	-0.117
YGR206W	-0.660	-0.156
YKL074C	-0.657	-0.125
YLR377C	-0.667	-0.187
YPR068C	-0.673	-0.063
YPL203W	-0.660	-0.185
YOR115C	-0.646	0.040
YMR019W	-0.663	-0.339
YKR030W	-0.656	-0.303
YOR163W	-0.665	-0.009
YPR052C	-0.661	-0.487
YOL036W	-0.638	-0.108
YER153C	-0.796	-0.841
YDR348C	-0.614	-0.086
YGR112W	-0.645	-0.483
YPL077C	-0.636	-0.140
YIL070C	-0.632	-0.546
YGR275W	-0.622	-0.132
YML067C	-0.656	-0.129
YML006C	-0.633	-0.241
YNL098C	-0.651	-0.291
YJL218W	-0.652	0.018
YKR028W	-0.640	-0.078
YKL124W	-0.653	-0.392
YAL046C	-0.636	-0.312
YBR141C	-0.631	-0.340
YML074C	-0.622	-0.419
YOR112W	-0.633	-0.053
YDR227W	-0.645	-0.054
YGL163C	-0.611	-0.019
YML089C	-0.611	-0.202
YOR358W	-0.628	-0.220
YDR122W	-0.688	-0.339
YOL017W	-0.618	-0.168
YPR134W	-0.616	-0.662
YPR042C	-0.606	-0.160
YJR091C	-0.630	0.041
YGR181W	-0.610	-0.008
YHL017W	-0.616	-0.120
YHL030W	-0.586	0.004
YMR302C	-0.624	0.018
YMR063W	-0.379	-0.966
YLR365W	-0.615	0.130
YCL061C	-0.596	-0.233
YKL046C	-0.612	-0.332
YMR140W	-0.612	-0.401
YMR177W	-0.624	-0.031
YML104C	-0.599	0.164
YDL107W	-0.602	-0.728
YPL260W	-0.649	-0.234
YLR258W	-0.632	-0.242
YOR029W	-0.623	-0.186
YBL019W	-0.597	-0.020
YBR277C	-0.599	-0.009
YLR392C	-0.623	-0.142
YIL084C	-0.616	-0.709
YNL239W	-0.606	-0.208
YCL046W	-0.595	-0.157
YLR239C	-0.582	-0.277
YNL153C	-0.614	-0.848
YGL230C	-0.617	0.070
YNL214W	-0.594	-0.086
YLL041C	-0.617	-0.107
YLR395C	-0.447	-0.125
YPL081W	-0.584	-0.174
YML071C	-0.600	-0.104
YGR173W	-0.556	-0.060
YNL288W	-0.601	-0.283
YPR061C	-0.612	-0.073
YCL039W	-0.699	-0.111
YDR105C	-0.582	-0.135
YNL089C	-0.652	-0.300
YNL157W	-0.625	-0.269
YJR052W	-0.779	-0.369
YLR268W	-0.607	-0.554
YGR237C	-0.603	-0.239
YIL050W	-0.561	-0.409
YBR111C	-0.446	0.028
YPR197C	-0.589	-0.091
YNL043C	-0.557	-0.136
YFL018C	-0.625	-0.338
YPR118W	-0.597	-0.362
YHR005C	-0.552	-0.245
YDL129W	-0.427	-0.056
YNL046W	-0.604	-0.329
YIL029C	-0.594	-0.560
YLR356W	-0.578	-0.446
YKL220C	-0.589	-0.328
YBR164C	-0.573	-0.383
YDL234C	-0.556	-0.148
YBL062W	-0.716	-0.017
YHR051W	-0.547	-0.256
YEL033W	-0.584	-0.473
YDR179W-A	-0.586	-0.263
YNR021W	-0.573	-0.094
YGR170W	-0.603	-0.220
YKR078W	-0.583	-0.230
YIL085C	-0.585	-0.080
YLR338W	-0.682	-1.060
YIR002C	-0.583	-0.109
YIL007C	-0.345	-0.313
YLR415C	-0.587	-0.139
YDL041W	-0.573	-0.174
YIL041W	-0.559	-0.199
YLR280C	-0.588	-0.305
YBR083W	-0.567	-0.171
YLL053C	-0.579	-0.257
YOR042W	-0.597	-0.312
YLR404W	-0.577	-0.023
YIL016W	-0.577	-0.144
YOR360C	-1.314	-0.110
YHR130C	-0.585	-0.410
YGL227W	-0.635	NaN
YGR166W	-0.574	0.378
YER140W	-0.576	-0.088
YDR154C	-0.551	-0.231
YDL069C	-0.574	-0.573
YMR133W	-0.571	-0.368
YLL032C	-0.556	-0.302
YKR013W	-0.007	0.032
YOR114W	-0.563	-0.491
YJR021C	-0.554	0.021
YDL224C	-0.557	-0.178
YDR006C	-0.560	-0.264
YLR194C	-0.535	0.070
YLR049C	-0.566	-0.193
YMR159C	-0.571	-0.593
YMR115W	-0.563	-0.152
YDR004W	-0.572	-0.122
YNL027W	-0.571	-0.158
YER011W	-0.565	-0.048
YOL053W	-0.549	-0.440
YLR211C	-0.569	-0.262
YJL092W	-0.662	0.023
YML070W	-0.801	-0.600
YLR169W	-0.557	-0.633
YCL063W	-0.544	-0.524
YOR177C	-0.565	-0.218
YMR189W	-0.540	0.046
YPL019C	-0.578	-0.755
YOR296W	-0.460	-0.314
YMR025W	-0.536	-0.087
YNL084C	-0.514	-0.216
YLR363C	-0.575	-0.088
YML090W	-0.552	-0.124
YNR007C	-0.579	-0.712
YLL039C	-0.537	0.080
YHR179W	-0.557	-0.153
YHR116W	-0.567	-0.212
YBR199W	-0.547	-0.225
YJR055W	-0.569	-0.071
YBR216C	-0.551	-0.098
YNR014W	-0.536	-0.117
YGR051C	-0.564	-0.128
YBL028C	-0.562	-0.438
YEL008W	-0.556	-0.179
YOR083W	-0.533	-0.280
YLR380W	-0.552	-0.028
YLR326W	-0.577	0.182
YKR052C	-0.529	-0.142
YKL131W	-0.546	-0.322
YDR351W	-0.514	-0.022
YKL048C	-0.525	0.188
YOL008W	-0.515	-0.303
YER096W	-0.541	-0.064
YDR334W	-0.519	-0.654
YDL190C	-0.532	-0.347
YMR276W	-0.525	-0.117
YIL119C	-0.536	-0.056
YJL205C	-0.537	-0.366
YLR170C	-0.578	0.026
YOR041C	-0.554	-0.077
YOR094W	-0.555	-0.329
YER058W	-0.528	-0.415
YGL034C	-0.514	-0.289
YFR047C	-0.538	-0.070
YNL051W	-0.537	-0.036
YDL115C	-0.870	0.657
YOL055C	-0.487	0.020
YOL122C	-0.565	-0.289
YJR019C	-0.541	-0.184
YLR446W	-0.536	-0.473
YGR205W	-0.535	-0.398
YNL242W	-0.521	-0.392
YJL118W	-0.524	-0.321
YPL089C	-0.526	-0.255
YHR009C	-0.493	0.085
YLR281C	-0.529	-0.254
YPL258C	-0.535	-0.078
YIL009W	-0.545	-0.311
YGR151C	-0.524	-0.134
YDL183C	-0.510	-0.179
YML030W	-0.532	-0.420
YDL042C	-0.519	0.037
YLL025W	-0.533	-0.296
YLR290C	-0.521	-0.322
YGL159W	-0.536	-0.503
YIL030C	-0.537	-0.260
YPL112C	-0.541	-0.347
YCR088W	-0.526	0.016
YDR265W	-0.509	-0.209
YDR537C	-0.533	-0.167
YAL004W	-0.509	-0.148
YFR041C	-0.539	-0.517
YJL116C	-0.526	-0.410
YJL051W	-0.536	0.042
YBL017C	-0.503	-0.098
YBL100C	-0.658	-0.215
YLR327C	-0.535	-0.581
YLR252W	-0.502	-0.064
YML129C	-0.524	-0.332
YLR152C	-0.500	-0.334
YPR075C	-0.519	-0.091
YKL178C	-0.525	-0.012
YDL074C	-0.515	0.050
YMR171C	-0.497	-0.123
YJR124C	-0.498	0.001
YDR358W	-0.521	-0.074
YMR320W	-0.504	-0.131
YKL132C	-0.524	-0.321
YHL006C	-0.535	-0.441
YJL060W	-0.517	-0.095
YJL185C	-0.508	0.101
YLR059C	-0.485	0.251
YHR080C	-0.486	-0.178
YBR147W	-0.533	-1.003
YKL185W	-0.499	-0.144
YKR101W	-0.499	-0.049
YIL056W	-0.510	-0.050
YJR088C	-1.634	NaN
YMR280C	-0.484	-0.511
YCL029C	-0.472	-0.791
YGR008C	-0.513	-0.270
YMR272C	-0.491	-0.900
YPR047W	-0.505	-0.512
YGR146C	-0.493	-0.295
YMR155W	-0.525	-0.682
YGR238C	-0.493	-0.225
YLR149C	-0.482	-0.157
YNL052W	-0.502	-0.212
YOL007C	-0.501	-0.102
YIL073C	-0.503	-0.397
YOR311C	-0.496	-0.106
YDR505C	-0.447	0.471
YBR144C	-0.104	0.302
YIL131C	-0.508	0.103
YLR373C	-0.492	-0.317
YNL338W	-0.517	-0.033
YML084W	-0.464	-0.096
YIL088C	-0.501	-0.197
YML057W	-0.481	-0.046
YNR019W	-0.480	-0.476
YLL014W	-0.487	-0.100
YGR208W	-0.501	-0.926
YOR196C	-0.516	-0.696
YBR099C	-0.474	-0.053
YKR041W	-0.508	-0.326
YPL250C	-0.477	0.312
YGL114W	-0.487	-0.098
YKR040C	-0.487	-0.681
YOR298C-A	-0.482	-0.142
YDR374C	-0.503	-0.034
YOL159C	-0.493	-0.046
YKL072W	-0.498	-0.176
YGL003C	-0.498	0.070
YOR101W	-0.481	-0.285
YMR056C	-0.485	-0.057
YML041C	-0.496	-0.508
YDL243C	-0.542	-0.080
YOR011W	-0.474	-0.186
YDL080C	-0.575	-0.091
YER128W	-0.483	-0.164
YFR038W	-0.478	0.096
YDR107C	-0.461	-0.213
YNR008W	-0.504	-0.410
YAL021C	-0.346	-1.079
YPL066W	-0.494	-0.341
YDR329C	-0.486	-0.086
YJL099W	-0.478	-0.200
YOR005C	-0.480	-0.114
YLR206W	-0.514	0.123
YNL024C	-0.461	0.135
YBL069W	-0.484	-0.326
YLR189C	-0.466	-0.129
YPL223C	-0.486	-0.266
YIL138C	-0.414	-0.270
YHR078W	-0.473	-0.068
YBL011W	-0.473	-0.077
YJL029C	-0.475	0.126
YML042W	-0.465	-0.534
YPL087W	-0.495	-0.175
YKL130C	-0.464	-0.060
YMR020W	-0.488	-0.204
YKR077W	-0.446	0.173
YIR014W	-0.485	-0.128
YPL071C	-0.481	-0.204
YPL070W	-0.471	-0.122
YKR031C	-0.490	-0.300
YKL020C	-0.479	-0.225
YLR136C	-0.473	0.017
YDR372C	-0.469	-0.162
YCR092C	-0.469	-0.085
YLR400W	-0.474	-0.083
YHL009C	-0.462	-0.167
YJR043C	-0.452	0.146
YDL197C	-0.461	-0.101
YIL014C-A	-0.472	-0.295
YLR220W	-0.486	-0.045
YLR349W	-0.483	-0.256
YFR009W	-0.477	-0.373
YOR356W	-0.438	-0.206
YDL216C	-0.470	-0.216
YER097W	-0.520	-0.018
YLR312C	-0.463	0.011
YDR231C	-0.441	-0.260
YDR230W	-0.462	-0.302
YER078C	-0.447	-0.602
YOR288C	-0.473	-0.364
YER071C	-0.459	0.013
YOR265W	-0.467	-0.099
YER040W	-0.409	-0.134
YDL011C	-0.446	-0.047
YOR289W	-0.458	-0.639
YJR133W	-0.462	-0.689
YGL039W	-0.465	-0.179
YDR425W	-0.474	0.133
YLR313C	-0.474	-0.543
YGL017W	-0.450	-0.030
YDR124W	-0.456	-0.234
YBL042C	-0.457	-0.027
YBR273C	-0.459	-0.448
YLL049W	-0.484	-0.186
YJL132W	-0.440	-0.493
YER142C	-0.453	-0.175
YPR037C	-0.461	-0.018
YER143W	-0.446	0.096
YBR051W	-0.398	0.052
YIL002C	-0.446	0.081
YMR311C	-0.449	-0.485
YGL037C	-0.457	-0.454
YOR022C	-0.454	-0.224
YOR084W	-0.453	-0.080
YMR081C	-0.448	-0.026
YKL116C	-0.432	0.004
YJL066C	-0.435	-0.180
YKR007W	-0.442	-0.194
YKL077W	-0.436	-0.011
YIL130W	-0.444	-0.192
YBL043W	-0.446	-0.004
YKL179C	-0.458	-0.510
YNL289W	-0.450	-0.336
YLR437C	-0.445	-0.034
YER122C	-0.338	-0.724
YBR034C	-0.462	-0.290
YDL133C-A	-0.423	-0.229
YGR038W	-0.442	-0.121
YLR254C	-0.440	-0.041
YDR504C	-0.447	0.035
YOR154W	-0.441	-0.138
YER019W	-0.423	0.120
YDL001W	-0.442	-0.033
YDR131C	-0.434	-0.412
YDR222W	-0.433	0.099
YGL049C	-0.432	0.116
YIL090W	-0.435	0.028
YOR021C	-0.454	-0.424
YML032C	-0.362	-0.277
YDR110W	-0.452	-0.065
YGR121C	-0.432	-0.425
YDR008C	-0.470	-0.089
YLR308W	-0.441	-0.173
YPR014C	-0.428	-0.041
YKL157W	-0.337	0.033
YJL024C	-0.425	-0.327
YKR034W	-0.437	0.033
YMR172C-A	-0.430	-0.143
YKL198C	-0.443	0.215
YER179W	-0.416	-0.018
YOR003W	-0.435	0.324
YDR233C	-0.429	-0.255
YGR088W	-0.431	-0.183
YOR173W	-0.403	-0.751
YML109W	-0.445	-0.038
YMR095C	-0.425	-0.381
YGL168W	-0.253	0.618
YDL012C	-0.439	-0.412
YER173W	-0.415	0.226
YDL010W	-0.434	-0.223
YNL203C	-0.450	-0.284
YFR034C	-0.423	0.178
YAL044C	-0.359	-0.609
YJL192C	-0.429	-0.249
YDR336W	-0.438	-0.474
YDL233W	-0.435	-0.272
YNL309W	-0.424	-0.139
YPL140C	-0.444	-0.016
YKL159C	-0.422	-0.245
YNL205C	-0.425	-0.074
YDR513W	-0.440	-0.206
YGR232W	-0.428	-0.340
YNR028W	-0.418	-0.182
YJR146W	-0.405	-0.398
YCR033W	-0.411	0.155
YDR102C	-0.329	-0.213
YNL211C	-0.408	-0.121
YMR175W	-0.418	-0.274
YOR050C	-0.409	-0.186
YOL037C	-0.413	-0.248
YNL108C	-0.431	-0.497
YJL046W	-0.402	-0.193
