ORF	hom | growth (relative abundance in pooled culture) | cyclosporin A [10 uM], time [5 generations] | Singh-Babak SD~Cowen LE, 2012	hom | growth (relative abundance in pooled culture) | micafungin [0.045 ug/ml], time [5 generations] | Singh-Babak SD~Cowen LE, 2012	hom | growth (relative abundance in pooled culture) | cyclosporin A [10 uM], micafungin [0.045 ug/ml], time [5 generations] | Singh-Babak SD~Cowen LE, 2012	het | growth (relative abundance in pooled culture) | cyclosporin A [10 uM], time [20 generations] | Singh-Babak SD~Cowen LE, 2012	het | growth (relative abundance in pooled culture) | micafungin [0.045 ug/ml], time [20 generations] | Singh-Babak SD~Cowen LE, 2012	het | growth (relative abundance in pooled culture) | cyclosporin A [10 uM], micafungin [0.045 ug/ml], time [20 generations] | Singh-Babak SD~Cowen LE, 2012
YDL052C	0.521	-1.150	0.117	NaN	NaN	NaN
YKL071W	1.476	1.010	-0.018	NaN	NaN	NaN
YIL078W	NaN	NaN	NaN	1.421	2.619	1.997
YDR314C	0.847	0.010	0.277	NaN	NaN	NaN
YLL043W	-0.604	13.442	13.357	NaN	NaN	NaN
YML084W	0.300	-0.075	0.219	NaN	NaN	NaN
YNR067C	-0.594	-1.303	-1.055	NaN	NaN	NaN
YPL063W	NaN	NaN	NaN	0.483	2.181	-0.266
YPR020W	-0.556	-1.054	-0.806	NaN	NaN	NaN
YOR230W	2.509	1.329	0.125	NaN	NaN	NaN
YFL022C	NaN	NaN	NaN	0.306	0.247	0.831
YJR096W	0.581	0.032	-0.219	NaN	NaN	NaN
YCR032W	-0.015	0.973	-1.092	NaN	NaN	NaN
YPR158W	0.550	-1.442	-0.893	NaN	NaN	NaN
YNL325C	-0.488	-0.487	-0.842	NaN	NaN	NaN
YNL261W	NaN	NaN	NaN	0.367	-0.810	-0.275
YGL060W	0.659	1.202	1.213	NaN	NaN	NaN
YEL016C	0.051	-1.135	-2.324	NaN	NaN	NaN
YGL165C	-0.353	-1.443	-0.390	NaN	NaN	NaN
YLR048W	0.369	-0.605	-0.496	NaN	NaN	NaN
YGL138C	0.432	-0.739	0.353	NaN	NaN	NaN
YDR353W	NaN	NaN	NaN	-0.881	-0.993	-0.470
YOR183W	-0.252	-1.099	-1.092	NaN	NaN	NaN
YAL003W	NaN	NaN	NaN	-0.502	-1.090	-0.976
YBL017C	-1.121	0.093	-0.791	NaN	NaN	NaN
YLR355C	NaN	NaN	NaN	-0.907	-1.481	-1.803
YKR005C	0.723	0.807	-0.168	NaN	NaN	NaN
YNL080C	-0.741	-1.192	-1.046	NaN	NaN	NaN
YLR443W	-0.870	-1.727	-1.359	NaN	NaN	NaN
YNL338W	-0.813	-1.708	-1.560	NaN	NaN	NaN
YBR178W	0.307	0.198	0.487	NaN	NaN	NaN
YER020W	-0.688	-1.197	-0.242	NaN	NaN	NaN
YDL103C	NaN	NaN	NaN	-0.043	-0.472	0.970
YDL051W	-2.153	-1.644	-1.655	NaN	NaN	NaN
YOR006C	-0.078	-0.945	-1.100	NaN	NaN	NaN
YDR179C	0.718	-0.095	-0.183	NaN	NaN	NaN
YML098W	NaN	NaN	NaN	0.164	-0.057	-0.083
YMR181C	0.281	0.171	0.123	NaN	NaN	NaN
YLR117C	NaN	NaN	NaN	0.260	0.327	-0.232
YDR384C	0.883	0.938	-0.720	NaN	NaN	NaN
YDR131C	0.102	0.170	0.079	NaN	NaN	NaN
YDL164C	NaN	NaN	NaN	0.217	-0.861	-0.729
YOL052C-A	0.816	1.319	1.174	NaN	NaN	NaN
YBL086C	0.047	0.122	-0.935	NaN	NaN	NaN
YML128C	0.340	3.504	4.049	NaN	NaN	NaN
YAR029W	-0.530	-1.150	-0.469	NaN	NaN	NaN
YKL033W	NaN	NaN	NaN	0.070	-1.343	-0.864
YDR265W	-0.546	-1.266	-1.623	NaN	NaN	NaN
YBR233W	0.152	-0.166	-0.248	NaN	NaN	NaN
YOL089C	-1.478	2.341	0.919	NaN	NaN	NaN
YER174C	0.824	-1.281	-0.454	NaN	NaN	NaN
YDR368W	0.912	0.549	0.566	NaN	NaN	NaN
YMR106C	1.114	0.453	0.940	NaN	NaN	NaN
YDR238C	NaN	NaN	NaN	0.128	1.877	1.262
YDR454C	NaN	NaN	NaN	1.184	2.545	2.110
YPL141C	0.700	1.456	0.260	NaN	NaN	NaN
YKL126W	-0.287	3.604	2.673	NaN	NaN	NaN
YKR002W	NaN	NaN	NaN	0.755	1.224	0.802
YIL060W	0.371	-0.953	-1.187	NaN	NaN	NaN
YGL180W	0.203	-0.293	0.253	NaN	NaN	NaN
YMR035W	0.123	0.374	-1.904	NaN	NaN	NaN
YPL256C	0.844	1.671	-0.123	NaN	NaN	NaN
YDR249C	0.894	0.706	0.443	NaN	NaN	NaN
YMR074C	-0.204	-1.075	0.277	NaN	NaN	NaN
YHR113W	0.596	1.624	1.337	NaN	NaN	NaN
YER098W	0.390	0.701	-0.067	NaN	NaN	NaN
YPL096W	0.633	-0.442	0.457	NaN	NaN	NaN
YNL054W	0.071	0.296	-0.257	NaN	NaN	NaN
YLR455W	0.122	-0.586	-0.159	NaN	NaN	NaN
YDR500C	0.187	-0.231	-0.198	NaN	NaN	NaN
YJR117W	-0.422	-1.985	-1.909	NaN	NaN	NaN
YPR009W	-0.833	-1.241	-1.207	NaN	NaN	NaN
YLR381W	0.006	1.169	0.434	NaN	NaN	NaN
YGL241W	1.359	1.450	0.874	NaN	NaN	NaN
YGR161C	-0.618	0.356	-0.890	NaN	NaN	NaN
YLR306W	-0.534	-1.206	0.395	NaN	NaN	NaN
YJR135C	-0.643	-0.400	-1.145	NaN	NaN	NaN
YER135C	3.743	3.065	2.944	NaN	NaN	NaN
YHR122W	NaN	NaN	NaN	0.085	1.334	0.132
YIR030C	0.584	0.159	-0.235	NaN	NaN	NaN
YKR046C	-1.169	-2.321	-2.139	NaN	NaN	NaN
YEL054C	-0.331	-1.406	-0.738	NaN	NaN	NaN
YMR099C	0.002	-0.685	-0.471	NaN	NaN	NaN
YBR009C	-0.698	-1.239	0.853	NaN	NaN	NaN
YOR037W	-0.062	-0.906	-1.682	NaN	NaN	NaN
YGL065C	NaN	NaN	NaN	0.896	-0.933	-0.140
YBR158W	0.412	0.386	0.021	NaN	NaN	NaN
YPL248C	1.066	0.626	0.833	NaN	NaN	NaN
YFL010C	0.056	0.030	-0.134	NaN	NaN	NaN
YBR088C	NaN	NaN	NaN	0.320	0.170	0.989
YGR132C	3.689	4.352	3.115	NaN	NaN	NaN
