ORF	hap a | growth (exponential growth rate) | temperature [30°C] | Zakrzewska A~Smits GJ, 2011	hap a | growth (exponential growth rate) | temperature [38ºC] | Zakrzewska A~Smits GJ, 2011	hap a | growth (CFU) | hydrogen peroxide [10 mM], time [10 min], temperature [30°C] | Zakrzewska A~Smits GJ, 2011	hap a | growth (CFU) | acetic acid [327 mM], time [10 min], temperature [30°C] | Zakrzewska A~Smits GJ, 2011	hap a | growth (CFU) | time [10 min], temperature [30°C], temperature [48ºC] | Zakrzewska A~Smits GJ, 2011	hap a | growth (CFU) | hydrogen peroxide [10 mM], time [10 min], temperature [38ºC] | Zakrzewska A~Smits GJ, 2011	hap a | growth (CFU) | acetic acid [327 mM], time [10 min], temperature [38ºC] | Zakrzewska A~Smits GJ, 2011	hap a | growth (CFU) | time [10 min], temperature [38ºC], temperature [48ºC] | Zakrzewska A~Smits GJ, 2011
YJL138C	0.359	0.371	10.518	68.936	0.030	58.962	80.242	53.830
YJL139C	0.319	0.403	26.756	114.197	0.083	79.510	134.307	131.271
YJL141C	0.331	0.298	15.316	75.438	0.040	56.976	121.928	65.805
YJL142C	0.302	0.453	14.052	68.672	0.029	42.919	72.447	35.738
YJL144W	0.359	0.307	10.432	61.991	0.026	54.717	118.967	61.094
YJL145W	0.373	0.335	8.424	61.753	0.028	58.103	79.906	69.714
YJL146W	0.375	0.368	14.352	73.301	0.028	57.438	94.146	77.249
YJL147C	0.392	0.320	12.377	63.701	0.019	61.509	97.373	70.857
YJL148W	0.350	0.310	8.600	78.463	0.033	64.141	125.027	66.689
YJL149W	0.360	0.216	15.113	78.651	0.030	78.823	145.074	74.344
YJL150W	0.362	0.356	21.731	81.724	0.033	64.996	111.963	62.995
YJL151C	0.393	0.346	14.387	76.493	0.028	66.876	99.866	81.775
YJL152W	0.377	0.295	13.721	78.358	0.027	73.110	97.981	74.880
YJL153C	0.389	0.342	12.661	75.950	0.023	61.626	95.267	64.811
YJL154C	0.317	0.731	19.919	80.642	0.122	34.309	58.781	50.882
YJL155C	0.366	0.352	14.846	80.209	0.029	64.809	100.057	72.350
YJL157C	0.382	0.322	15.355	78.007	0.029	75.851	106.654	74.195
YJL158C	0.393	0.340	13.772	60.936	0.026	49.200	87.999	89.870
YJL159W	0.380	0.347	11.932	70.945	0.029	69.054	90.258	77.897
YJL160C	0.376	0.515	12.293	61.633	0.026	39.669	67.721	53.993
YJL161W	0.387	NaN	10.865	85.761	0.060	51.603	74.116	42.168
YJL162C	0.366	0.174	10.800	70.499	0.024	140.964	325.138	135.422
YJL163C	0.386	0.392	4.379	56.449	0.027	50.158	86.348	52.550
YJL164C	0.405	0.362	5.313	73.726	0.031	47.132	93.816	60.273
YJL165C	0.370	0.517	15.433	77.100	0.030	55.298	78.155	59.167
YJL168C	0.344	0.296	39.210	81.855	0.062	61.814	179.199	59.032
YJL169W	0.378	0.412	31.713	99.422	0.048	88.478	62.172	52.553
YJL170C	0.391	0.315	16.195	66.328	0.027	65.333	95.432	124.861
YJL171C	0.415	0.409	14.154	95.836	0.023	68.683	74.194	69.677
YJL172W	0.362	0.340	13.201	62.299	0.035	56.958	81.802	65.884
YJL175W	0.380	0.335	23.414	98.364	0.084	62.764	105.193	79.157
YJL177W	0.457	0.396	19.300	64.661	0.018	84.486	76.290	51.163
YJL178C	0.416	0.288	17.012	96.266	0.025	105.141	95.254	96.547
YJL181W	0.418	0.392	13.841	61.388	0.022	51.160	79.493	78.085
YJL182C	0.364	0.406	11.734	83.730	0.034	50.633	103.728	58.890
YJL183W	0.299	0.134	24.866	45.282	0.057	89.767	20.072	85.656
YJL185C	0.374	0.375	12.662	61.872	0.037	44.038	92.048	82.763
YJL186W	0.366	0.354	12.751	75.373	0.033	55.168	93.625	91.925
YJL187C	0.395	0.277	11.060	56.944	0.021	76.599	112.012	83.543
YJL189W	0.257	0.556	32.159	196.886	0.200	62.295	85.351	34.871
YJL191W	0.379	0.327	17.082	71.352	0.028	64.045	119.866	98.488
YJL192C	0.390	0.342	6.415	58.681	0.025	47.164	87.657	73.844
YJL193W	0.367	0.362	11.400	67.995	0.028	43.909	91.658	67.942
YJL196C	0.345	0.303	12.263	64.704	0.034	55.131	111.571	90.457
YJL197W	0.367	0.326	10.862	76.026	0.030	67.286	108.831	54.768
YJL198W	0.361	0.339	5.211	57.303	0.043	35.319	119.701	89.191
YJL199C	0.364	0.588	12.263	98.922	0.048	59.336	56.747	66.238
YJL200C	0.148	NaN	61.210	NaN	6.760	52.279	69.630	33.788
YJL201W	0.362	0.314	11.923	67.562	0.030	55.529	100.413	74.270
YJL206C	0.361	0.354	9.950	67.734	0.030	62.738	85.819	59.054
YJL207C	0.384	0.379	11.112	68.075	0.029	42.999	98.288	81.696
YJL208C	0.359	0.242	6.619	104.955	0.031	101.517	144.519	92.663
YJL210W	0.308	0.363	5.350	58.914	0.059	61.284	166.660	125.290
YJL211C	0.325	0.511	5.776	98.572	0.062	46.915	76.845	81.123
YJL212C	0.354	0.371	13.081	80.148	0.031	65.273	99.510	70.078
YJL213W	0.373	0.371	9.584	67.208	0.024	52.053	70.528	79.653
YJL214W	0.258	NaN	7.017	115.216	0.045	62.759	121.575	55.942
YJL215C	0.375	0.373	8.982	75.028	0.029	57.876	102.864	83.877
YJL216C	0.382	0.271	9.079	75.115	0.026	66.703	98.991	98.639
YJL217W	0.381	0.248	7.950	58.638	0.033	62.257	106.612	83.085
YJL218W	0.391	0.284	8.214	52.266	0.025	44.416	88.511	70.270
YJR001W	0.345	0.308	11.994	69.334	0.032	62.025	116.299	82.678
YJR003C	0.382	0.383	10.815	67.800	0.028	54.203	97.879	70.742
YJR004C	0.378	0.279	15.759	102.726	0.048	90.697	118.821	109.257
YJR005W	0.376	0.327	12.091	78.771	0.027	63.928	114.105	82.786
YJR008W	0.344	0.325	12.674	68.637	0.028	61.682	144.936	84.969
YJR009C	0.387	0.333	13.940	64.225	0.020	63.667	99.468	70.616
YJR010W	0.373	0.344	11.834	65.215	0.028	63.320	107.266	95.738
YJR011C	0.341	0.274	15.382	97.293	0.032	69.976	126.045	83.188
YJR014W	0.338	0.603	14.959	72.862	0.055	63.100	86.502	71.521
YJR015W	0.371	0.325	12.438	64.075	0.024	55.561	103.446	64.735
YJR018W	0.307	0.536	22.335	112.558	0.416	NaN	116.048	NaN
YJR019C	0.382	0.399	12.313	61.163	0.022	46.964	79.396	61.548
YJR020W	0.378	0.334	12.023	63.340	0.028	60.973	97.508	74.318
YJR021C	0.378	0.302	15.289	70.638	0.029	75.471	153.942	104.158
YJR025C	0.367	0.335	13.108	61.006	0.028	52.813	93.875	100.555
YJR031C	0.354	0.308	13.348	84.649	0.030	68.951	113.927	83.223
YJR032W	0.291	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJR033C	0.405	0.138	8.755	59.942	0.038	47.139	60.230	64.494
YJR034W	0.330	0.233	19.911	145.886	0.065	283.113	181.474	196.054
YJR035W	0.354	0.373	13.588	70.081	0.035	58.991	108.894	78.469
YJR036C	0.375	0.327	13.134	73.750	0.023	66.310	94.405	78.337
YJR037W	0.351	0.537	12.480	102.763	0.048	79.499	162.842	66.220
YJR038C	0.368	0.348	11.250	69.572	0.029	49.406	99.714	85.765
YJR039W	0.370	0.276	9.589	61.532	0.025	67.461	126.446	76.596
YJR043C	0.324	0.331	14.987	107.306	0.075	46.315	168.084	130.759
YJR044C	0.364	0.294	16.565	70.846	0.034	80.755	105.737	96.377
YJR047C	0.310	0.361	13.560	123.990	0.039	62.912	82.506	64.083
YJR048W	0.408	0.331	8.537	56.115	0.023	55.329	102.136	92.871
YJR050W	0.363	0.215	11.257	67.213	0.027	101.974	133.192	150.246
YJR051W	0.391	0.363	11.946	68.095	0.024	59.549	105.234	88.774
YJR052W	0.365	NaN	11.760	118.978	0.041	82.980	272.566	72.826
YJR053W	0.354	0.345	11.383	101.871	0.041	61.730	82.610	96.511
YJR054W	0.383	0.256	16.260	68.537	0.032	90.415	138.977	97.406
YJR055W	0.339	0.339	27.753	67.901	0.094	59.681	79.446	42.978
YJR056C	0.396	0.303	13.514	50.763	0.020	63.041	88.910	70.819
YJR058C	0.381	0.408	11.890	84.929	0.032	61.284	101.981	86.962
YJR059W	0.400	0.377	18.751	72.471	0.032	75.086	153.228	77.572
YJR061W	0.357	0.311	13.746	87.733	0.035	75.007	149.184	89.114
YJR062C	0.371	0.348	10.137	66.222	0.030	65.108	102.295	77.805
YJR063W	0.467	0.285	23.008	43.166	0.008	132.877	141.864	47.084
YJR066W	0.382	0.308	15.034	61.647	0.028	66.091	95.336	105.781
YJR069C	0.320	0.524	12.334	205.208	0.065	77.013	143.477	64.841
YJR070C	0.370	0.360	15.267	84.024	0.032	73.648	85.079	95.036
YJR074W	0.189	NaN	10.003	82.658	1.632	25.312	113.429	42.003
YJR075W	0.370	0.230	8.132	37.122	0.030	66.811	59.174	83.829
YJR077C	0.267	0.392	7.503	65.581	0.056	50.616	90.614	35.333
YJR079W	0.394	0.288	13.416	56.256	0.030	70.444	112.912	125.013
YJR080C	0.360	0.351	10.365	43.062	0.054	76.476	199.418	91.317
YJR082C	0.365	0.388	16.606	83.879	0.044	60.031	106.730	91.636
YJR083C	0.375	0.327	9.234	63.923	0.029	60.523	94.326	81.708
YJR084W	0.368	0.257	11.105	88.291	0.023	86.998	158.218	93.534
YJR087W	0.365	0.302	9.033	58.606	0.022	55.797	98.370	18.703
YJR088C	0.330	0.195	12.888	77.255	0.034	71.107	155.024	88.129
YJR091C	0.360	0.345	11.508	84.911	0.034	63.645	111.596	76.495
YJR092W	0.374	0.365	14.737	81.467	0.028	73.955	125.358	98.885
YJR094C	0.360	0.397	11.652	66.066	0.025	49.272	98.381	66.178
YJR094W-A	0.336	0.266	10.693	50.722	0.036	97.023	191.293	101.463
YJR095W	0.406	0.321	10.094	53.101	0.024	55.987	95.881	86.657
YJR096W	0.356	0.345	12.023	83.231	0.031	56.302	101.286	66.782
YJR097W	0.337	0.459	16.169	104.739	0.041	48.788	106.476	76.653
YJR098C	0.356	0.372	11.738	82.176	0.032	60.746	107.834	74.965
YJR099W	0.338	0.376	13.499	77.297	0.030	54.687	94.750	62.073
YJR102C	0.220	0.003	42.551	95.166	1.365	26.028	NaN	NaN
YJR103W	0.391	0.351	13.170	78.636	0.025	60.035	98.301	78.160
YJR104C	0.297	0.356	7.425	119.447	0.140	13.057	96.069	92.031
YJR105W	0.264	NaN	0.099	NaN	0.249	5.122	24.790	0.421
YJR106W	0.377	0.317	11.487	62.190	0.028	52.710	129.279	87.848
YJR108W	0.366	0.309	14.040	77.116	0.033	71.611	112.057	64.669
YJR111C	0.381	0.259	28.314	104.313	0.036	113.696	NaN	NaN
YJR115W	0.378	0.367	12.371	80.368	0.031	72.126	115.532	92.634
YJR116W	0.408	0.325	12.691	88.730	0.030	86.531	125.347	106.867
YJR117W	0.298	0.416	9.536	61.134	0.028	36.242	71.759	37.967
YJR119C	0.361	0.355	14.189	68.049	0.028	52.192	95.779	75.153
YJR120W	0.372	0.343	11.614	52.936	0.027	49.694	93.119	80.398
YJR121W	0.368	0.206	12.067	42.535	0.081	159.494	200.699	92.143
YJR124C	0.369	0.357	3.778	74.802	0.035	55.067	120.683	94.286
YJR125C	0.334	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJR126C	0.369	0.409	14.730	83.492	0.039	57.499	103.074	94.066
YJR127C	0.379	0.378	12.357	64.141	0.025	51.789	91.327	69.342
YJR128W	0.375	0.339	12.405	78.833	0.031	56.055	110.948	83.656
YJR129C	0.362	0.439	9.855	79.749	0.034	45.935	95.471	77.779
YJR131W	0.361	0.388	18.193	97.709	0.032	69.607	99.927	59.401
YJR133W	0.361	0.416	13.152	74.251	0.029	50.495	103.146	70.909
YJR134C	0.352	0.355	12.734	92.232	0.033	79.934	135.899	73.299
YJR137C	0.374	0.294	10.798	74.083	0.037	45.513	121.725	105.071
YJR140C	0.343	0.440	10.610	130.475	0.064	93.717	142.048	97.596
YJR142W	0.387	0.345	11.557	57.033	0.023	51.327	97.197	73.309
YJR144W	0.280	0.347	14.467	124.958	0.075	84.740	128.534	77.251
YJR146W	0.390	0.374	11.401	75.826	0.023	59.433	77.390	72.987
YJR147W	0.414	0.289	9.136	62.424	0.029	80.847	132.852	90.710
YJR148W	0.377	0.307	9.334	62.016	0.030	54.382	120.640	103.448
YJR149W	0.390	0.419	14.440	77.516	0.027	56.638	101.435	82.178
YJR150C	0.382	0.327	12.665	70.669	0.028	65.019	121.237	88.210
YJR152W	0.393	0.413	18.389	80.166	0.048	61.087	131.534	55.205
YJR153W	0.367	0.262	12.700	74.031	0.025	81.498	133.141	91.970
YJR154W	0.352	0.342	12.254	59.517	0.028	54.024	108.660	65.879
YKL001C	0.392	0.430	12.890	41.241	0.026	49.167	70.301	58.887
YKL002W	0.373	0.425	29.944	48.477	0.062	88.410	130.870	74.079
YKL005C	0.415	0.462	12.944	81.158	0.025	58.547	98.845	86.537
YKL006W	0.285	0.288	9.541	67.621	0.078	91.820	108.582	117.913
YKL007W	0.348	0.309	6.493	59.697	0.028	43.209	60.963	56.197
YKL008C	0.364	0.347	7.606	77.161	0.030	61.814	121.040	75.690
YKL009W	0.175	0.409	121.732	133.398	2.028	100.438	199.705	99.694
YKL010C	0.370	0.369	12.165	64.865	0.026	51.352	95.144	67.851
YKL011C	0.349	0.293	12.459	80.846	0.047	67.130	159.308	106.238
YKL015W	0.359	0.460	11.557	80.110	0.029	46.902	94.912	69.977
YKL016C	0.324	0.632	14.006	71.964	0.129	47.099	39.958	58.172
YKL017C	0.388	0.536	11.548	68.841	0.037	51.757	82.922	64.926
YKL020C	0.342	0.280	12.057	52.434	0.026	42.473	95.577	138.173
YKL023W	0.408	0.371	11.312	51.589	0.024	58.329	76.788	67.728
YKL025C	0.385	0.317	12.540	67.180	0.028	57.189	97.889	97.331
YKL027W	0.351	0.458	13.548	84.785	0.048	57.526	97.017	63.546
YKL029C	0.359	0.333	18.299	66.702	0.023	55.740	81.013	67.446
YKL030W	0.380	0.442	18.341	71.188	0.023	53.821	83.027	58.659
YKL031W	0.366	0.385	11.548	58.690	0.036	58.300	71.587	65.370
YKL032C	0.322	0.381	17.531	83.137	0.070	73.962	106.580	52.436
YKL033W-A	0.356	0.391	9.471	91.539	0.048	67.812	107.604	92.447
YKL034W	0.310	NaN	9.980	69.219	0.168	53.596	79.341	66.325
YKL037W	0.385	0.476	13.331	56.179	0.031	56.245	66.284	68.645
YKL038W	0.363	0.417	16.494	84.939	0.044	75.541	122.816	90.314
YKL039W	0.339	0.210	14.000	89.555	0.045	119.662	232.618	146.691
YKL040C	0.380	0.401	12.674	58.225	0.027	47.441	80.905	76.607
YKL041W	0.353	0.077	17.533	55.132	0.099	NaN	NaN	NaN
YKL043W	0.394	0.427	11.428	63.289	0.027	57.054	87.988	79.721
YKL046C	0.368	0.346	12.439	57.898	0.031	57.001	99.483	86.864
YKL047W	0.378	0.324	9.772	64.345	0.025	62.416	105.265	85.335
YKL048C	0.428	0.209	22.178	68.506	0.043	206.412	137.056	NaN
YKL050C	0.362	0.411	11.493	78.189	0.033	70.962	93.023	71.283
YKL051W	0.356	0.332	10.843	69.576	0.026	56.011	99.031	75.693
YKL053C-A	0.329	0.379	12.222	66.211	0.088	74.985	129.518	62.474
YKL053W	0.392	0.376	13.143	66.651	0.033	61.141	100.199	90.050
YKL055C	0.338	0.173	5.356	16.362	0.084	100.030	148.929	163.930
YKL056C	0.424	0.333	20.270	43.883	0.028	85.131	121.827	102.487
YKL057C	0.304	0.232	34.516	44.601	0.221	34.897	85.851	70.831
YKL061W	0.400	0.424	7.665	67.151	0.023	53.256	76.509	75.148
YKL062W	0.380	0.458	8.393	78.431	0.030	62.449	75.237	78.642
YKL063C	0.350	0.478	12.997	73.603	0.039	56.759	80.066	47.630
YKL064W	0.378	0.483	11.983	72.381	0.028	50.116	85.561	63.037
YKL066W	0.380	0.307	9.937	59.835	0.032	57.339	125.178	NaN
YKL067W	0.345	0.353	11.732	78.984	0.042	68.068	122.464	62.398
YKL068W	0.354	0.403	17.554	97.105	0.066	100.381	195.641	124.211
YKL069W	0.364	0.398	15.830	76.445	0.039	56.310	112.551	85.799
YKL070W	0.379	0.447	12.405	57.482	0.026	49.971	74.706	74.099
YKL071W	0.368	0.384	11.430	56.564	0.032	54.317	82.565	65.437
YKL072W	0.384	0.402	12.274	60.879	0.029	58.329	90.980	68.072
YKL074C	0.357	0.344	15.079	50.703	0.035	50.839	76.275	63.437
YKL075C	0.400	0.559	19.715	70.442	0.028	55.305	80.451	86.798
YKL076C	0.383	0.446	18.326	68.393	0.037	63.739	78.535	90.679
YKL077W	0.368	0.468	12.677	92.863	0.037	63.495	93.707	76.740
YKL079W	0.360	0.528	13.834	77.030	0.035	51.123	74.499	66.523
YKL084W	0.373	0.422	13.899	48.004	0.028	51.520	89.623	77.979
YKL085W	0.395	0.413	7.157	69.140	0.032	53.432	84.875	68.651
YKL086W	0.386	0.387	11.062	58.408	0.026	60.576	88.689	73.633
YKL087C	0.358	0.473	11.539	74.921	0.044	52.185	70.772	54.419
YKL090W	0.374	0.423	12.978	57.022	0.028	54.213	77.895	62.465
YKL091C	0.366	0.467	11.469	65.485	0.035	45.654	89.307	63.490
YKL092C	0.370	0.426	12.114	71.929	0.030	58.236	84.166	66.179
YKL093W	0.365	0.439	11.698	51.425	0.028	52.736	89.499	69.199
YKL094W	0.379	0.446	10.804	54.318	0.030	50.895	75.454	73.062
YKL096W	0.394	0.387	10.455	44.172	0.027	50.447	81.867	75.110
YKL096W-A	0.241	0.408	18.276	258.630	0.110	69.119	206.287	33.422
YKL097C	0.380	0.398	10.101	53.286	0.029	48.780	72.284	70.161
YKL098W	0.387	0.359	10.264	58.261	0.035	59.698	118.782	98.292
YKL100C	0.395	0.420	11.924	48.174	0.025	44.909	70.347	62.368
YKL101W	0.400	0.412	10.249	51.434	0.023	49.823	70.771	65.022
YKL102C	0.390	0.356	11.375	45.173	0.025	57.105	93.936	79.462
YKL103C	0.377	0.422	11.027	66.238	0.033	56.801	97.490	82.385
YKL105C	0.381	0.451	12.551	58.304	0.030	49.664	85.655	67.580
YKL106W	0.398	0.349	8.029	52.632	0.028	53.190	99.870	92.566
YKL107W	0.365	0.317	11.088	68.409	0.041	70.992	129.729	104.193
YKL109W	0.346	0.475	14.812	72.077	0.063	63.913	114.539	72.341
YKL110C	0.339	0.523	26.111	74.012	0.056	49.712	62.196	45.615
YKL113C	0.165	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YKL114C	0.372	0.417	12.465	59.505	0.032	49.782	95.750	73.594
YKL115C	0.347	0.585	29.864	114.426	0.061	65.836	82.160	94.564
YKL116C	0.367	0.406	16.709	71.852	0.029	53.909	91.784	69.212
YKL117W	0.379	0.485	14.649	49.670	0.024	46.522	59.488	45.910
YKL120W	0.415	0.497	7.050	34.646	0.026	41.909	69.400	64.588
YKL121W	0.386	0.430	10.711	39.354	0.033	51.756	78.478	56.763
YKL123W	0.377	0.461	14.260	73.703	0.030	59.474	106.563	76.100
YKL124W	0.375	0.425	12.619	73.929	0.029	53.981	81.830	64.965
YKL127W	0.375	0.411	14.237	76.824	0.033	64.481	99.378	75.839
YKL128C	0.368	0.464	13.268	72.358	0.037	49.635	97.229	67.488
YKL129C	0.361	0.426	13.051	67.703	0.036	61.208	94.073	64.162
YKL130C	0.380	0.351	10.083	57.146	0.025	51.186	82.309	71.671
YKL131W	0.359	0.489	13.873	72.267	0.035	58.026	90.344	77.033
YKL132C	0.417	0.312	10.718	62.908	0.030	81.319	117.803	108.496
YKL133C	0.363	0.440	10.445	61.303	0.028	64.327	102.616	67.026
YKL135C	0.387	0.564	17.750	48.825	0.027	48.197	71.631	56.734
YKL136W	0.359	0.329	10.956	56.900	0.025	48.344	101.186	73.703
YKL137W	0.349	0.458	14.423	82.550	0.032	62.675	94.191	79.857
YKL138C	0.297	0.689	27.501	127.170	0.213	85.442	107.458	54.988
YKL140W	0.374	0.594	19.796	47.220	0.041	51.724	68.653	55.670
YKL143W	0.305	0.400	64.710	169.391	0.157	NaN	NaN	NaN
YKL146W	0.413	0.482	17.373	66.027	0.024	55.376	83.842	75.326
YKL147C	0.399	0.304	13.767	49.859	0.022	54.881	100.120	88.617
YKL148C	0.392	0.457	15.554	42.946	0.024	48.167	80.100	63.581
YKL149C	0.359	0.325	17.939	38.141	0.082	69.481	149.546	104.385
YKL150W	0.335	0.361	11.195	56.651	0.070	50.481	141.029	108.162
YKL151C	0.402	0.443	15.734	59.678	0.026	60.515	83.971	82.475
YKL156W	0.380	0.442	12.773	63.739	0.029	52.358	85.388	72.145
YKL157W	0.362	0.347	9.423	77.314	0.034	58.241	103.337	70.568
YKL160W	0.377	0.352	16.088	90.417	0.040	63.763	92.777	75.594
YKL161C	0.373	0.356	11.732	81.961	0.027	64.693	116.181	99.200
YKL162C	0.352	0.435	13.035	71.776	0.041	45.892	81.764	80.827
YKL162C-A	0.373	0.276	10.246	67.830	0.027	96.082	141.321	97.731
YKL163W	0.358	0.375	12.332	62.367	0.030	54.073	93.732	82.991
YKL164C	0.368	0.487	13.127	77.588	0.040	55.167	91.245	66.515
YKL166C	0.351	0.384	15.346	61.252	0.041	53.065	99.942	86.482
YKL167C	0.401	0.407	11.276	62.221	0.027	52.463	88.698	76.747
YKL168C	0.346	0.237	28.054	119.346	0.056	143.469	327.752	109.245
YKL170W	0.328	0.313	7.761	85.500	0.042	93.055	100.146	87.875
YKL171W	0.364	0.554	14.936	99.872	0.035	55.236	72.669	57.582
YKL174C	0.342	0.435	13.339	84.108	0.038	53.889	107.914	69.702
YKL175W	0.295	NaN	38.990	NaN	0.059	58.519	105.526	48.629
YKL176C	0.416	0.454	20.361	44.006	0.070	36.162	63.070	115.742
YKL179C	0.361	0.418	13.488	72.565	0.031	52.443	90.603	74.106
YKL183W	0.359	0.384	11.968	72.682	0.032	63.444	115.182	62.175
YKL184W	0.309	0.374	24.454	99.469	0.218	85.885	101.676	107.910
YKL185W	0.369	0.435	12.295	75.852	0.033	55.513	92.992	64.764
YKL187C	0.360	0.407	11.380	76.431	0.032	58.792	87.873	74.795
YKL188C	0.317	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YKL190W	0.358	0.406	14.425	87.404	0.031	55.540	92.993	63.249
YKL191W	0.360	0.396	12.635	70.482	0.034	52.412	92.292	55.998
YKL194C	0.383	0.266	3.924	40.323	0.036	78.304	108.201	85.723
YKL197C	0.362	0.480	9.256	55.155	0.036	42.871	78.620	67.831
YKL198C	0.375	0.434	13.778	59.064	0.033	52.626	93.407	67.054
YKL201C	0.396	0.423	10.749	44.889	0.024	52.645	74.226	77.107
YKL202W	0.362	0.307	9.842	54.973	0.031	74.811	77.957	66.156
YKL204W	0.401	0.142	91.663	78.176	0.275	NaN	NaN	NaN
YKL205W	0.377	0.382	11.667	43.475	0.023	56.156	NaN	NaN
YKL206C	0.423	0.464	21.680	55.669	0.027	68.929	58.660	96.533
YKL207W	0.369	0.531	12.148	67.229	0.033	49.106	69.085	63.311
YKL208W	0.356	0.369	10.101	37.239	0.039	58.329	86.976	62.628
YKL215C	0.390	0.358	12.527	43.497	0.027	53.840	96.841	73.629
YKL216W	0.376	0.402	6.082	73.021	0.499	70.144	128.350	132.029
YKL217W	0.389	0.386	12.268	63.344	0.030	62.196	98.336	79.222
YKL218C	0.389	0.426	12.518	41.663	0.027	53.077	95.034	70.185
YKL220C	0.388	0.459	12.223	55.004	0.025	47.693	71.571	60.029
YKL221W	0.383	0.447	10.451	56.415	0.029	50.528	80.151	62.570
YKL222C	0.379	0.386	11.974	63.010	0.031	54.784	94.675	69.748
YKR001C	0.383	0.153	7.521	19.651	0.092	55.209	54.448	85.549
YKR003W	0.385	0.451	12.126	50.735	0.029	49.516	91.077	72.454
YKR005C	0.345	0.373	9.357	77.724	0.044	48.149	107.234	81.129
YKR007W	0.371	0.256	16.517	62.191	0.077	54.611	91.972	136.965
YKR009C	0.368	0.392	10.479	58.965	0.028	49.986	94.775	69.444
YKR010C	0.378	0.316	4.712	38.190	0.033	30.207	172.108	81.946
YKR011C	0.398	0.444	11.585	61.383	0.027	54.772	78.071	82.708
YKR012C	0.386	0.368	10.029	58.429	0.026	62.359	95.895	78.104
YKR013W	0.399	0.505	12.041	50.627	0.025	50.206	70.150	60.288
YKR014C	0.360	0.419	8.282	66.611	0.042	64.226	110.185	74.611
YKR015C	0.382	0.363	10.456	68.442	0.026	61.837	96.293	85.534
YKR016W	0.366	0.377	14.062	73.453	0.040	61.984	105.382	82.561
YKR017C	0.365	0.315	8.809	61.250	0.033	57.940	105.651	90.101
YKR018C	0.368	0.383	10.542	56.535	0.035	58.508	91.172	69.994
YKR019C	0.367	0.405	17.083	71.703	0.083	72.827	51.633	71.729
YKR021W	0.389	0.411	13.367	70.423	0.029	72.662	101.271	65.995
YKR023W	0.177	NaN	72.320	74.150	2.796	104.205	NaN	NaN
YKR026C	0.407	0.338	7.311	52.426	0.017	77.249	72.381	75.985
YKR027W	0.334	0.409	6.013	47.669	0.062	39.070	88.311	55.418
YKR028W	0.360	0.483	24.645	116.664	0.047	70.493	105.914	64.462
YKR029C	0.389	0.275	20.530	71.871	0.040	91.985	127.771	71.976
YKR030W	0.369	0.324	8.711	74.904	0.030	68.295	108.710	54.913
YKR031C	0.373	0.336	12.734	81.497	0.030	96.712	111.461	85.926
YKR032W	0.308	0.441	10.655	57.703	0.061	61.080	150.740	74.470
YKR033C	0.369	0.470	9.112	54.836	0.023	41.916	75.588	48.278
YKR035W-A	0.367	0.159	13.734	38.537	0.049	165.705	162.389	74.439
YKR036C	0.372	0.373	8.651	50.391	0.029	46.944	87.194	74.643
YKR039W	0.376	0.454	12.857	58.247	0.030	49.401	83.491	60.537
YKR040C	0.389	0.345	12.093	65.060	0.037	69.345	100.205	96.780
YKR041W	0.319	0.458	10.363	42.562	0.027	51.905	109.948	63.995
YKR042W	0.355	0.277	12.327	88.810	0.033	82.178	127.104	95.393
YKR043C	0.382	0.427	15.478	77.272	0.030	59.566	81.334	68.474
YKR044W	0.389	0.361	11.303	49.300	0.021	53.492	86.224	68.881
YKR045C	0.384	0.396	10.964	54.455	0.028	66.133	130.686	97.339
YKR046C	0.383	0.381	11.448	60.368	0.028	57.664	90.921	77.781
YKR047W	0.389	0.442	16.375	62.836	0.031	50.430	71.945	79.162
YKR048C	0.417	0.374	16.149	36.446	0.022	56.546	83.923	85.471
YKR049C	0.376	0.434	12.439	68.092	0.030	63.146	91.951	62.812
YKR050W	0.363	0.540	13.235	45.858	0.027	39.746	77.808	55.205
YKR051W	0.378	0.408	12.176	49.375	0.021	59.616	77.225	56.033
YKR052C	0.375	0.408	8.944	78.654	0.036	60.259	94.990	79.155
YKR053C	0.382	0.383	10.368	46.081	0.025	51.696	76.477	65.424
YKR054C	0.372	0.448	13.618	46.465	0.024	44.036	68.471	54.869
YKR055W	0.404	0.298	13.079	49.527	0.024	75.354	90.922	82.024
YKR056W	0.360	0.408	10.701	57.105	0.025	44.797	76.223	57.431
YKR058W	0.378	0.400	11.951	63.320	0.025	56.319	80.529	58.945
YKR059W	0.367	0.363	13.218	28.639	0.037	62.143	104.390	76.049
YKR060W	0.340	0.347	16.209	78.513	0.039	62.916	126.186	73.210
YKR061W	0.347	0.417	13.278	43.196	0.034	55.456	77.390	77.802
YKR064W	0.349	0.334	12.154	68.260	0.032	88.532	117.635	76.119
YKR065C	0.360	0.362	17.286	68.412	0.038	64.714	106.775	78.632
YKR066C	0.332	0.158	8.249	83.813	0.045	80.041	NaN	NaN
YKR067W	0.365	0.341	10.137	99.820	0.034	76.857	185.950	90.243
YKR069W	0.358	0.432	8.314	72.673	0.032	38.147	99.221	64.104
