ORF	hap a | growth (exponential growth rate) | temperature [30°C] | Zakrzewska A~Smits GJ, 2011	hap a | growth (exponential growth rate) | temperature [38ºC] | Zakrzewska A~Smits GJ, 2011	hap a | growth (CFU) | hydrogen peroxide [10 mM], time [10 min], temperature [30°C] | Zakrzewska A~Smits GJ, 2011	hap a | growth (CFU) | acetic acid [327 mM], time [10 min], temperature [30°C] | Zakrzewska A~Smits GJ, 2011	hap a | growth (CFU) | time [10 min], temperature [30°C], temperature [48ºC] | Zakrzewska A~Smits GJ, 2011	hap a | growth (CFU) | hydrogen peroxide [10 mM], time [10 min], temperature [38ºC] | Zakrzewska A~Smits GJ, 2011	hap a | growth (CFU) | acetic acid [327 mM], time [10 min], temperature [38ºC] | Zakrzewska A~Smits GJ, 2011	hap a | growth (CFU) | time [10 min], temperature [38ºC], temperature [48ºC] | Zakrzewska A~Smits GJ, 2011
YBL054W	0.388	0.427	12.891	83.118	0.029	59.062	76.976	77.135
YBL055C	0.380	0.380	12.677	76.230	0.030	54.850	102.576	77.539
YBL056W	0.380	0.364	11.224	70.873	0.029	61.173	89.835	74.950
YBL057C	0.358	0.435	15.477	82.412	0.033	56.125	72.629	81.615
YBL059W	0.334	0.424	11.791	85.337	0.043	55.926	103.572	67.520
YBL060W	0.376	0.415	11.419	67.133	0.023	46.440	86.340	72.048
YBL061C	0.420	0.393	16.273	58.586	0.019	55.217	87.789	108.529
YBL062W	0.359	0.382	20.464	113.312	0.033	74.536	132.003	61.769
YBL063W	0.407	0.318	13.161	72.574	0.023	76.609	93.448	89.272
YBL064C	0.352	0.464	14.644	73.940	0.055	48.105	71.049	53.265
YBL066C	0.370	0.357	5.702	70.726	0.035	57.989	103.025	86.203
YBL067C	0.382	0.412	17.203	63.525	0.022	53.357	71.735	66.656
YBL068W	0.368	0.441	12.762	63.960	0.024	48.592	80.327	69.390
YBL069W	0.383	0.438	12.660	68.023	0.032	57.803	101.975	84.603
YBL070C	0.368	0.460	16.313	85.634	0.032	58.804	103.480	67.002
YBL071C	0.356	0.309	16.721	86.727	0.036	79.627	109.346	73.669
YBL072C	0.159	NaN	NaN	NaN	1.881	186.648	123.718	65.425
YBL075C	0.383	0.444	10.819	72.480	0.023	50.471	82.668	58.302
YBL078C	0.391	0.402	12.007	79.300	0.031	64.026	113.383	92.362
YBL080C	0.386	0.329	8.296	56.315	0.026	70.414	100.519	89.408
YBL083C	0.363	0.319	18.293	90.084	0.043	68.925	157.002	98.381
YBL085W	0.370	0.350	12.210	67.953	0.031	57.932	86.678	83.110
YBL086C	0.361	0.418	16.546	73.971	0.027	56.735	84.796	63.699
YBL087C	0.283	0.176	17.229	114.665	0.131	NaN	375.039	NaN
YBL088C	0.372	0.428	13.770	68.199	0.029	48.450	67.369	61.786
YBL089W	0.366	0.370	12.159	57.941	0.024	44.758	78.570	69.612
YBL090W	0.323	0.267	7.341	66.290	0.050	82.303	163.726	96.549
YBL091C	0.349	0.390	20.607	91.422	0.050	76.421	89.310	76.414
YBL091C-A	0.368	0.366	13.674	78.544	0.023	55.347	97.996	83.798
YBL094C	0.383	0.203	2.845	2.900	0.027	12.051	4.999	4.677
YBL095W	0.390	0.356	10.273	69.047	0.026	62.221	98.191	76.095
YBL096C	0.372	0.320	10.756	67.954	0.036	71.066	137.819	98.182
YBL098W	0.329	0.334	10.145	79.645	0.033	62.724	95.747	82.210
YBL099W	0.327	0.307	13.078	37.052	0.090	39.941	160.616	50.545
YBL102W	0.386	0.346	9.028	67.752	0.033	62.379	101.878	77.179
YBL104C	0.377	0.366	15.261	116.908	0.049	84.646	92.470	105.353
YBL106C	0.365	0.324	7.960	70.357	0.033	81.266	178.717	113.116
YBL107C	0.370	0.317	10.504	72.347	0.032	62.468	115.299	71.956
YBR001C	0.375	0.372	10.826	66.157	0.027	62.683	104.102	81.146
YBR003W	0.330	0.564	11.726	259.010	0.127	111.172	192.650	70.427
YBR005W	0.372	0.355	10.904	85.510	0.024	71.511	105.040	79.617
YBR006W	0.377	0.367	10.565	65.654	0.030	73.795	90.498	96.956
YBR007C	0.365	0.302	10.865	72.056	0.028	61.622	106.807	84.317
YBR008C	0.383	0.336	12.826	67.943	0.029	70.399	111.271	88.068
YBR009C	0.370	0.395	16.537	84.449	0.036	60.763	127.571	79.470
YBR010W	0.333	0.374	15.522	91.224	0.055	71.051	83.546	67.259
YBR012C	0.347	0.641	20.206	100.325	0.038	64.955	112.568	76.528
YBR013C	0.381	0.326	13.360	85.394	0.035	94.952	140.264	126.441
YBR014C	0.393	0.286	12.173	57.960	0.029	81.890	111.970	103.466
YBR016W	0.396	0.381	12.711	64.098	0.023	59.478	102.617	79.314
YBR018C	0.391	0.319	12.023	81.802	0.027	84.742	110.320	105.760
YBR019C	0.338	0.367	13.243	81.305	0.032	77.317	101.868	72.915
YBR020W	0.379	0.414	15.108	60.276	0.027	53.885	86.013	78.998
YBR022W	0.369	0.378	15.727	60.226	0.027	61.999	112.294	85.792
YBR023C	0.385	0.311	13.003	60.278	0.022	62.565	95.379	73.883
YBR024W	0.389	0.414	11.848	60.933	0.024	48.062	99.840	79.922
YBR025C	0.370	0.464	24.778	94.013	0.036	43.855	82.126	90.723
YBR027C	0.395	0.425	13.166	74.583	0.038	74.850	93.765	102.787
YBR028C	0.397	0.308	10.692	61.056	0.021	63.485	114.326	120.039
YBR030W	0.384	0.292	11.355	69.048	0.034	79.529	151.625	134.806
YBR031W	0.370	0.266	8.568	61.853	0.041	102.516	147.396	131.476
YBR032W	0.368	0.340	11.986	62.507	0.026	56.213	92.460	61.851
YBR033W	0.383	0.320	10.762	54.183	0.022	57.007	109.348	80.958
YBR034C	0.427	0.395	14.680	74.461	0.023	71.048	117.721	111.454
YBR035C	0.405	0.231	2.395	34.877	0.055	26.560	27.455	56.959
YBR036C	0.368	0.418	14.986	69.137	0.033	59.406	73.287	63.026
YBR037C	0.371	0.665	14.707	76.199	0.107	63.085	95.848	48.783
YBR040W	0.399	0.348	11.283	68.351	0.029	66.292	80.840	125.324
YBR041W	0.401	0.345	14.511	78.126	0.052	82.954	142.342	155.325
YBR043C	0.384	0.346	11.533	67.429	0.034	67.079	105.689	99.875
YBR044C	0.354	0.406	12.390	66.250	0.055	74.706	85.322	79.816
YBR045C	0.377	0.365	12.351	87.385	0.038	76.622	73.064	101.564
YBR046C	0.381	0.368	10.306	80.435	0.030	88.146	88.276	89.831
YBR047W	0.380	0.333	10.460	69.083	0.027	53.923	87.740	68.990
YBR048W	0.338	0.329	28.537	76.873	0.051	94.275	113.310	106.342
YBR050C	0.391	0.289	10.805	58.158	0.025	65.884	71.180	93.286
YBR051W	0.367	0.373	10.756	76.695	0.030	60.289	86.757	77.792
YBR052C	0.422	0.350	11.126	62.854	0.025	67.519	82.499	86.988
YBR053C	0.372	0.363	12.170	72.178	0.030	52.841	94.367	73.178
YBR054W	0.360	0.350	11.183	76.411	0.032	57.734	110.825	71.332
YBR056W	0.353	0.376	12.224	86.200	0.044	67.136	85.644	88.874
YBR057C	0.393	0.298	9.391	70.190	0.033	70.207	121.206	120.333
YBR058C	0.365	0.358	15.695	82.965	0.044	68.480	111.197	69.735
YBR059C	0.359	0.468	22.076	151.242	0.055	79.103	172.714	110.298
YBR061C	0.381	0.330	10.386	61.668	0.028	43.006	86.489	68.797
YBR062C	0.352	0.377	12.956	89.846	0.037	61.406	101.382	70.003
YBR063C	0.375	0.304	11.172	73.641	0.028	73.062	126.601	89.844
YBR064W	0.377	0.323	12.087	65.315	0.025	56.933	113.289	90.929
YBR065C	0.320	0.423	9.378	79.212	0.038	41.142	68.031	47.931
YBR066C	0.325	0.339	13.989	84.824	0.041	68.694	115.066	79.612
YBR067C	0.381	0.352	12.090	83.733	0.026	72.008	103.348	73.766
YBR068C	0.372	0.339	11.246	73.248	0.028	58.745	101.085	70.215
YBR069C	0.363	0.336	13.645	87.408	0.047	80.017	135.474	105.207
YBR071W	0.383	0.386	11.115	63.810	0.031	61.231	99.719	80.326
YBR072W	0.363	0.379	11.596	81.386	0.032	61.223	96.385	73.879
YBR073W	0.345	0.353	10.192	65.183	0.031	58.687	115.553	74.166
YBR074W	0.369	0.433	11.889	68.590	0.030	62.194	94.673	70.251
YBR076W	0.402	0.444	12.705	63.217	0.027	53.187	83.820	81.326
YBR077C	0.320	0.383	27.145	94.240	0.143	66.297	119.572	112.962
YBR078W	0.347	0.574	16.013	19.084	0.038	33.238	22.237	31.038
YBR082C	0.317	0.241	38.512	92.871	0.375	NaN	NaN	NaN
YBR083W	0.382	0.368	11.220	70.102	0.024	58.885	99.057	66.437
YBR084C-A	0.226	0.260	11.245	85.218	0.097	82.720	70.957	160.500
YBR084W	0.368	0.439	9.008	83.985	0.045	60.621	94.799	67.215
YBR085W	0.396	0.426	11.819	61.854	0.024	51.512	67.515	51.151
YBR090C	0.370	0.428	13.239	60.811	0.028	50.205	80.427	62.452
YBR092C	0.375	0.337	13.587	76.464	0.030	66.946	97.947	78.386
YBR093C	0.272	0.395	14.305	171.327	0.015	27.418	77.307	43.012
YBR095C	0.266	0.366	20.640	184.617	0.337	61.598	48.910	82.471
YBR098W	0.347	0.344	7.155	77.872	0.046	52.807	80.781	45.915
YBR099C	0.391	0.383	9.260	56.260	0.031	41.194	84.176	77.247
YBR103W	0.318	0.438	29.005	100.875	0.061	54.475	104.854	41.004
YBR104W	0.350	0.380	16.575	108.689	0.046	62.705	116.326	60.101
YBR105C	0.369	0.403	8.621	78.751	0.060	81.698	109.057	121.957
YBR106W	0.312	0.045	44.774	79.036	0.263	215.582	2.587	291.394
YBR107C	0.382	0.374	11.025	61.501	0.027	54.099	85.656	66.433
YBR108W	0.392	0.318	11.541	52.450	0.028	64.667	107.887	95.301
YBR113W	0.393	0.319	10.464	55.109	0.027	57.208	105.883	94.848
YBR114W	0.367	0.368	3.496	67.143	0.039	49.213	108.082	71.859
YBR115C	0.302	0.210	36.736	147.668	0.094	NaN	270.013	NaN
YBR116C	0.397	0.281	10.415	62.287	0.022	56.154	79.269	94.800
YBR119W	0.379	0.338	10.986	58.443	0.024	54.010	73.758	72.646
YBR120C	0.312	0.241	14.402	108.338	0.065	113.093	244.314	93.464
YBR125C	0.380	0.488	13.695	63.758	0.024	46.831	65.419	52.556
YBR126C	0.366	0.302	80.388	148.255	0.140	128.280	143.654	110.649
YBR127C	0.378	0.427	16.067	142.553	0.032	94.968	102.065	76.295
YBR128C	0.381	0.392	11.937	77.535	0.026	59.843	86.375	68.848
YBR129C	0.384	0.415	13.968	75.865	0.029	49.971	96.602	78.485
YBR130C	0.350	0.375	15.846	73.234	0.047	51.856	94.249	83.247
YBR131W	0.383	0.261	12.827	62.903	0.043	72.217	138.103	120.707
YBR133C	0.438	0.514	72.838	49.926	0.023	31.827	75.658	61.347
YBR134W	0.386	0.339	11.509	62.053	0.025	64.652	113.739	81.306
YBR137W	0.362	0.366	11.696	69.367	0.025	56.858	75.855	63.553
YBR138C	0.383	0.308	11.433	74.224	0.028	77.850	97.698	81.598
YBR139W	0.365	0.412	16.645	94.416	0.037	72.828	63.300	104.319
YBR141C	0.378	0.292	11.749	71.125	0.027	82.983	111.094	95.103
YBR144C	0.372	0.405	12.559	107.147	0.043	52.538	101.030	84.606
YBR145W	0.376	0.328	11.097	77.199	0.026	68.467	100.395	80.105
YBR146W	0.200	0.423	7.500	65.835	0.001	15.765	43.234	20.286
YBR147W	0.313	0.369	175.525	234.283	13.846	406.599	389.865	NaN
YBR148W	0.330	0.302	12.592	71.656	0.037	64.468	100.579	67.172
YBR149W	0.370	0.300	8.916	56.966	0.023	50.096	91.565	68.639
YBR150C	0.363	0.386	14.286	79.027	0.037	54.240	97.742	69.227
YBR151W	0.345	0.298	11.902	81.402	0.044	86.691	135.144	105.871
YBR156C	0.353	0.336	10.106	72.994	0.033	57.344	87.958	74.671
YBR157C	0.373	0.314	12.465	66.759	0.032	59.375	109.766	86.382
YBR158W	0.413	0.330	12.935	65.762	0.020	70.830	95.174	84.749
YBR161W	0.359	0.417	13.572	69.031	0.033	59.325	78.435	56.508
YBR162C	0.389	0.373	11.019	87.166	0.029	60.480	107.479	106.446
YBR162W-A	0.362	0.351	10.711	71.749	0.030	62.540	96.005	76.666
YBR163W	0.243	0.118	8.309	79.244	0.064	NaN	NaN	NaN
YBR164C	0.324	0.272	11.407	52.488	0.039	65.589	96.244	51.934
YBR165W	0.355	0.375	11.792	74.383	0.031	61.365	95.177	71.880
YBR168W	0.336	0.235	17.424	78.782	0.063	100.860	NaN	99.038
YBR169C	0.392	0.272	11.840	72.139	0.023	74.863	132.132	107.971
YBR171W	0.355	0.053	13.639	42.764	0.032	NaN	44.811	62.411
YBR172C	0.398	0.309	14.922	32.151	0.019	71.925	77.147	81.426
YBR174C	0.292	0.273	20.231	136.736	0.041	105.351	182.890	35.714
YBR175W	0.335	0.327	14.148	82.486	0.041	72.566	82.267	69.641
YBR176W	0.355	0.390	10.449	66.787	0.033	52.667	93.681	74.304
YBR177C	0.367	0.384	9.714	59.919	0.025	45.955	78.670	72.861
