orf	hap a | growth (exponential growth rate) | temperature [30 C] | Verduyn (+ his, leu, met, ura) | Zakrzewska A~Smits GJ, 2011	hap a | growth (exponential growth rate) | temperature [38 C] | Verduyn (+ his, leu, met, ura) | Zakrzewska A~Smits GJ, 2011	hap a | growth (CFU) | hydrogen peroxide [10 mM], temperature [30 C], time [10 min] | Verduyn (+ his, leu, met, ura) | Zakrzewska A~Smits GJ, 2011	hap a | growth (CFU) | acetic acid [327 mM], temperature [30 C], time [10 min] | Verduyn (+ his, leu, met, ura) | Zakrzewska A~Smits GJ, 2011	hap a | growth (CFU) | temperature [30 C], temperature [48 C], time [10 min] | Verduyn (+ his, leu, met, ura) | Zakrzewska A~Smits GJ, 2011	hap a | growth (CFU) | hydrogen peroxide [10 mM], temperature [38 C], time [10 min] | Verduyn (+ his, leu, met, ura) | Zakrzewska A~Smits GJ, 2011	hap a | growth (CFU) | acetic acid [327 mM], temperature [38 C], time [10 min] | Verduyn (+ his, leu, met, ura) | Zakrzewska A~Smits GJ, 2011	hap a | growth (CFU) | temperature [38 C], temperature [48 C], time [10 min] | Verduyn (+ his, leu, met, ura) | Zakrzewska A~Smits GJ, 2011
YAL027W	1.3888916663146624	-0.5931270204939512	-0.047713113047065034	0.02311715836909106	0.027748198491705293	0.5758408339994388	0.2988989812531023	0.570454456253744
YAL028W	0.5381644925229123	0.42009286195975776	0.2741833339905045	-0.03617826954608606	0.02730092283129897	-0.12835309069922984	-0.07524723649462717	-0.20416616958824368
YAL029C	1.0273376355192176	0.1505526575847095	-0.09787835920217372	0.876224952956723	0.02886578845505217	-0.12971913760543066	-0.08957212015621127	0.05535623065996755
YAL030W	1.2519420418658733	0.21719602844644562	0.014859682733381932	-0.1665103467735317	0.021191098049523644	-0.14466656045155274	-0.4695130226645634	-0.5264525459469239
YAL031C	0.8116998081708272	1.1517997215387545	0.22795435335547432	0.35771893705904834	0.03231210216475533	-0.09114847889633333	-0.6421046672616142	-0.48015753701746905
YAL034C	2.3095941659025336	-1.5484671250597866	0.3819469338741815	0.9686103633535031	0.018877545853300683		2.1486506671280523	2.1000027265584165
YAL036C	1.3257953900218133	-0.9252110248587048	0.09276320423354492	0.00443484867135172	0.02226365306303451	1.0169718341108933	0.6240990476282078	0.24466565756810754
YAL037W	1.7903405195106592	-0.14163280607440007	0.25022622578271214	0.27556657094413295	0.018914383723892855	0.6580217519174699	-0.38711039460130514	-0.45450833627203197
YAL040C	1.0853303358660251	1.0122672365175456	1.1230244585447162	2.1637210437477745	0.03602316394841007	1.1563498879370082	0.9432894263936316	-0.521578143202342
YAL042W	1.6780432905947644	-0.6320221113766538	0.12586690269930856	0.019222560083708044	0.01502875350745662	0.8845726459889129	0.12224314932951741	0.3832175861710006
