ORF	hom | sugar utilization efficiency (residual sugar wt-mut) | synthetic grape juice [200 g/L glucose+fructose], time [180 h] | Walker ME~Jiranek V, 2014
YLR038C	-4.035
YLR067C	-3.514
YLR133W	-9.239
YLR179C	-8.913
YLR192C	-7.150
YLR203C	-4.291
YLR227C	-9.112
YLR312W-A	-4.722
YLR369W	-5.335
YMR158W	-5.526
YNL003C	-3.852
YNL005C	-5.527
YNL063W	-7.931
YNL068C	-8.206
YNL076W	-15.687
YNL079C	-18.117
YNR025C	-9.152
YNR052C	-57.880
YOL057W	-4.442
YOL153C	-101.501
YOR106W	-19.693
YOR135C	-7.387
YOR209C	-85.262
YOR213C	-3.985
YOR221C	-7.083
YOR265W	-52.607
YOR267C	-59.764
YOR270C	-18.243
YPL121C	-148.664
YOR241W	-38.594
YOR248W	-10.065
YPL268W	-32.025
YPR067W	-3.870
