ORF	hom | growth (relative abundance in pooled culture) | gamma-irradiation [200 Gy] | Game JC~Brown JM, 2003
YOR104W	0.463
YBR131W	-0.440
YLL041C	0.333
YMR164C	-0.300
YOL138C	0.183
YDL183C	0.214
YER086W	0.057
YIL016W	-0.269
YJL051W	-0.270
YLR107W	-0.113
YLR203C	-0.899
YNR036C	0.264
YIL029C	-0.998
YMR035W	-0.904
YMR245W	0.200
YER057C	0.144
YJR130C	-0.049
YBR133C	NaN
YER087W	0.249
YHL029C	-0.322
YMR161W	-0.177
YHL016C	-0.300
YJL158C	-0.156
YML057W	-0.208
YMR034C	-0.185
YDR255C	-0.079
YLR327C	0.032
YNL314W	-0.276
YOR156C	0.136
YJL154C	-0.514
YER055C	-0.065
YER134C	-0.258
YJL168C	-0.243
YMR010W	-0.113
YMR189W	-0.348
YDR179C	NaN
YJL052W	0.140
YML004C	-0.070
YMR294W-A	-0.513
YNL329C	-0.064
YER121W	-0.047
YIL064W	-0.228
YIL073C	0.056
YML060W	-0.155
YMR221C	-0.416
YMR192W	-0.566
YHR135C	-0.234
YJL199C	-0.174
YJR131W	-0.390
YMR181C	-0.251
YDL118W	0.174
YIR033W	-0.205
YML041C	0.155
YOR106W	-0.249
YPL184C	0.039
YHR104W	0.183
YIL006W	0.216
YPL201C	0.164
YGR223C	-0.058
YLR025W	-0.920
YMR029C	0.157
YLR109W	-1.315
YLR417W	-0.810
YMR207C	-0.421
YMR264W	-0.216
YNL293W	-0.372
YER033C	-0.301
YER078C	0.282
YHR103W	0.238
YLR330W	-0.264
YNL321W	-0.028
YPL192C	-0.045
YER052C	0.178
YHR033W	-0.369
YDR316W	0.303
YHL028W	-0.384
YHR043C	-0.434
YIL100W	-0.041
YMR151W	-0.803
YAL023C	1.097
YER050C	0.764
YHL035C	-0.181
YHR015W	-0.282
YMR174C	-0.026
YNR040W	-0.117
YER042W	-0.312
YER119C-A	0.254
YMR145C	-0.063
YMR178W	-0.438
YNL168C	0.057
YER101C	0.036
YER118C	0.092
YLR038C	0.283
YOR109W	-0.206
YPL200W	-0.081
YAL036C	-0.140
YAR014C	0.151
YBL047C	-0.590
YDR335W	0.328
YER120W	0.315
YER132C	0.434
YGR257C	-1.116
YOR082C	-0.090
YBR100W	-0.482
YEL012W	0.324
YKL075C	0.209
YMR157C	-0.247
YLR055C	-0.260
YLR146C	-0.007
YMR244C-A	0.266
YDR310C	-0.188
YML003W	-0.135
YMR305C	0.095
YNL288W	-0.599
YDR269C	-0.394
YER019C-A	-0.497
YHL024W	-0.123
YHL026C	-0.180
YIL107C	-0.834
YLR087C	-0.882
YOR322C	0.123
YAL049C	-0.033
YBL045C	-0.206
YER093C-A	0.305
YIL116W	-0.583
YJL206C-A	0.070
YMR315W	0.043
YAR027W	-0.278
YHR014W	-0.301
YDR216W	-0.455
YMR121C	-0.145
