orf	hom | growth (pooled culture) | temperature [40 C] | YPD | Maclean CJ~Zhang J, 2017	hom | growth (pooled culture) | ethanol [7%] | YPD | Maclean CJ~Zhang J, 2017	hom | growth (pooled culture) | hydrogen peroxide [3 mM] | YPD | Maclean CJ~Zhang J, 2017	hom | growth (pooled culture) | sodium chloride [1.25 M], sodium chloride [1.25 M] | YPD | Maclean CJ~Zhang J, 2017	hom | growth (pooled culture) | cobalt chloride [1 mM] | YPD | Maclean CJ~Zhang J, 2017	hom | growth (pooled culture) | paraquat [4 mM] | YPD | Maclean CJ~Zhang J, 2017
YAL029C	1.015984563883669	1.0674099198923934	0.9979351335147113	1.007494849234924	1.017975571417858	0.9838132559920998
YAL030W	0.9532266444440326	1.0135018671021399	0.9745485698382105	0.8673337596039637	0.973752655196255	0.952358769613856
YAL031C	0.9720596301288359	0.9810176046442783	0.9980488208023989	0.9408639028499629	0.9749596865103249	0.9842190761190428
YAL034C	1.024319755402658	1.0556003385406083	1.0171973580221372	1.0041960370500058	1.024000353421782	1.0230836131523369
YAL035W	0.5242612873332257	1.0610089277260066	0.8611940801830629	0.8184928111169264	0.7664175415896503	1.0805291184076737
YAL036C	0.9785150103328073	0.9860399010363003	0.995885747889472	0.9675800801528062	0.9480970294681225	0.9590412348515567
YAL037W	0.9647073401703719	1.008039932444906	0.9821041288472164	0.9784938784984403	0.9909374102635113	0.9783439730973686
YAL039C	0.9944764123845482	0.8900832269848762	0.8528720156087978	0.9891510830260369	1.1938258858032929	1.006686279400083
YAL040C	0.8220951629644255	0.9849297065134538	0.987472366806174	0.9758555826898886	1.1158334466723696	0.84794496743429
YAL042C-A	1.0254585659529554	1.064478700567828	1.011359995261053	0.9949857927554785	1.0351492218679537	0.9429938827833809
YAL042W	1.0591295722238077	1.0472333190995873	0.999250879053994	0.9982212267367245	0.9838934479436482	0.9575535330041638
YAL044C	0.9078525975394165	0.89514451663897	0.8522655534533063	0.9821931066724278	1.0804672623797658	0.9400796113056107
YAL045C	1.0131453530331718	0.9851123390019019	0.9919689988823108	0.9776415316458238	0.9833866887457994	0.989944621730376
YAL046C	1.001104732920893	0.9779846358844776	1.0046523677388888	0.8953566809532035	1.1521230916573912	1.3302226392249326
YAL047C	0.5638220749637032	0.6138647572231356	0.5683788757397745	0.5645043107365527	0.7072102531196138	0.7695510812362862
YAL048C	1.0082150647094656	1.0534513283145317	1.0267021385946096	1.0111916924885855	1.0150201047923548	0.9692710442513626
YAL049C	0.915166972230501	0.9064987794081301	0.9548239917214181	0.9231211751007061	0.9262037161682058	0.9296278960972656
YAL051W	0.9926075044635206	1.0226723214019307	1.0101306406892945	0.9960172713316803	0.9669213770733711	0.9897352648207774
YAL053W	1.041304841674744	1.0351563884692612	1.0231536379728532	1.0073962062047097	0.9956524828031011	0.9348077658560078
YAL054C	0.9724076761532665	1.0108470446881894	0.976213723198309	0.9790296054909021	0.978978782719385	0.9485144910928466
YAL055W	1.004093928499765	0.9412364219574704	0.996055499435459	1.0171454016224943	1.205021385002829	1.0076969044728732
YAL056C-A	0.9514618763321343	1.068629341600717	0.9516922222983301	0.9975123893966514	0.9810200433301234	0.9787647316843208
YAL056W	0.885165018500337	1.0545364014046612	0.9652924845203654	0.8596224359899097	1.1802864816542147	1.0175201549300352
YAL058W	1.0005026876659893	1.0427146301762469	0.9659983815903819	1.0047615708110709	0.9988878764602707	0.9756313922074273
YAL059W	1.042328010325905	0.9581475109122723	1.0234613463290012	1.0699196049766904	1.1030418173721839	1.1392654247108802
YAL060W	1.0093406339832118	0.9969523624625112	0.9709702247766147	0.9435063301081009	1.006417290740468	0.9646356364578174
YAL061W	0.9961220452392933	1.0194218686348577	0.9708235448674757	0.9382915258253425	1.0708817587570039	0.9480983719271415
YAL062W	1.006857347575789	1.0295065571694848	0.9750583833097348	0.9582013614048546	0.9921786367744635	1.0015390977502796
YAL064C-A	0.9812693426535894	0.9650365471751395	0.9789134239393791	0.9460006546222279	0.9801637957857012	0.9784787309649308
YAL065C	1.007979203411042	1.0007716851646367	0.990393989689653	0.9849948377518367	1.0515135136858096	0.9939784377745592
YAL066W	0.973326684685478	0.9986390406836899	0.9561786553732712	0.9098398552883666	1.0028491143355895	0.9587554640733541
YAL067C	1.0206429039810425	1.0114248270688493	1.0248298982143516	0.9904372098280465	1.019023427870555	1.0022355530341673
YAL068C	0.9958016674566448	1.0095651458252028	0.9942117496651922	0.9480143856434046	1.0615619143618231	0.9632225779190723
YAR002C-A	0.9114644551334254	0.9361619405268096	1.008670613554778	0.8978135467106183	0.9303064146745403	0.8309752849056331
YAR002W	0.9625694730353155	0.9809644925036873	0.9357657642279537	0.990914347323713	0.9612790871971276	0.9858675135411815
YAR003W	0.8853693570439085	1.0326217994017806	0.9076713191918712	0.875096557311449	0.8006285704515084	0.8102273150323492
YAR014C	1.0361275098072225	1.0863712309173783	1.0081829818551422	1.0425314728083175	0.8989471894260176	1.0011360888105094
YAR015W	0.7984114408366807	0.9547693629413299	0.9736126143009634	0.9431665168195222	0.7571519106638036	0.9494164549168336
YAR018C	0.9406443413383307	1.0167499119688514	1.01270217416416	0.9857541919269118	0.9101972319169046	0.8524371692965925
YAR020C	0.9836175886625823	1.0112203934310955	1.0022560243402316	0.9425229783941127	0.9606454849830336	0.9821083917237422
YAR023C	0.9278606298104074	0.9522925477604539	0.975742917614401	0.9647996917564658	0.9334907375175053	0.9243702833345996
YAR027W	0.9798195612113649	1.032502404443831	0.9890247348694862	0.9771709433043827	0.9976638161208669	0.9750624565836618
YAR028W	1.0144241117585002	1.0029378419758042	1.029832331356939	1.0297351989266794	1.0294406895503783	0.9640593143905368
YAR029W	0.9859894067447337	1.0061558575210932	1.0074864424572134	0.9873111327343075	1.0131574451427234	0.969111839296924
YAR030C	0.9978822102258146	1.0068631266998573	0.9865292974407578	0.9565618052921636	0.9956088542961564	0.9457114539461289
YAR031W	0.9776521805877763	0.9912019394902412	0.9710542148563551	0.95123917215925	0.9891677004159232	0.9518452847950486
YAR035W	0.9885355488808769	1.0458560860014676	0.9978460604495317	0.9594567059793466	0.9845422055194254	0.978144327487359
YAR042W	1.0111999403470981	1.0245581870716407	1.0061385310801358	1.0025482810242075	1.0950872247629584	0.9451773266807896
YAR047C	1.007065327910288	1.0019137519373489	1.0079757263212923	0.9596648782901834	1.0203525738693846	0.9514465520747626
YAR050W	1.0019020629903854	1.0486424230474836	1.0138183919204804	1.0091860061161972	1.000080509474046	1.0047445553713183
YBL001C	1.0009144250694357	1.0355798524976256	1.0468473006670642	1.0221710183968655	1.0404707888235614	1.0380422654590389
YBL002W	0.9791856882824458	0.9638757962707198	1.0061782310299614	0.960297816294746	1.0299559098711555	0.9819225159477398
YBL003C	1.0160454292077674	0.9676064065268173	1.0089996011426559	1.0053714674155914	1.0466691477740728	1.0160600027242301
YBL005W	0.9712508282180793	0.9986680526150323	0.9916566518386071	1.0017025421005792	1.0442834000210637	0.977637023684637
YBL006C	0.7000672536730566	0.7427376304748081	0.9589373945498743	0.8193483066590633	0.9668694385170326	0.9283220546204157
YBL007C	0.6298289510974022	0.45459040143263435	0.7412653147347245	0.6612069822860869	0.9193090087197332	0.7730601007785591
YBL008W	0.7112125040906162	0.9899255284891598	0.9764880774689726	0.8697727600358315	1.0999080113325228	0.7865733331749201
YBL009W	0.9932226476165362	0.9441662183634197	0.9839880172266604	0.9654655178577779	1.0263873182240526	0.982551383468241
YBL010C	0.9957996446411262	1.006640059009767	1.00264796846215	1.0107068745936958	0.9619297318070107	0.9681863610153203
YBL011W	1.0139244257795468	1.0066949051636347	0.9910021994560295	1.0075096150290668	1.1432264834421868	0.9079364209674381
YBL012C	0.9787486029092578	1.0157534913356006	0.9850860857020861	0.9958494015916765	1.1184777045063299	0.9320242543715384
