ORF	hom | growth (spot assay) | temperature [30°C] | SC - Ino - Cho | Villa-Garcia MJ~Henry SA, 2011	hom | growth (spot assay) | temperature [30°C] | SC - Ino + Cho | Villa-Garcia MJ~Henry SA, 2011	hom | growth (spot assay) | temperature [37ºC] | SC - Ino + Cho | Villa-Garcia MJ~Henry SA, 2011
YDR057W	0.000	0.000	-2.000
YDR069C	-3.000	-3.000	NaN
YDR071C	0.000	0.000	-3.000
YDR074W	0.000	0.000	-3.000
YDR080W	0.000	-1.000	-2.000
YDR123C	-3.000	-3.000	-3.000
YDR138W	NaN	NaN	NaN
YDR162C	0.000	0.000	-3.000
YDR173C	-3.000	-3.000	NaN
YDR174W	0.000	0.000	-2.000
YDR176W	-1.000	-2.000	-2.000
YDR200C	0.000	0.000	-3.000
YDR226W	-3.000	-3.000	-3.000
YDR260C	0.000	0.000	-3.000
YDR266C	0.000	0.000	-2.000
YDR276C	0.000	0.000	-2.000
YDR277C	0.000	0.000	-2.000
YDR283C	0.000	0.000	-3.000
YDR289C	0.000	0.000	-3.000
YDR294C	0.000	0.000	-2.000
YDR297W	0.000	0.000	-2.000
YDR300C	0.000	0.000	-2.000
YDR335W	0.000	0.000	-3.000
YDR346C	0.000	0.000	-3.000
YDR348C	0.000	0.000	-3.000
YDR351W	0.000	0.000	-2.000
YDR354W	0.000	0.000	-2.000
YDR358W	0.000	0.000	-1.000
YDR363W	-1.000	-1.000	-3.000
YDR368W	0.000	0.000	-2.000
YDR379W	0.000	0.000	-2.000
YDR384C	0.000	0.000	-2.000
YDR385W	0.000	0.000	-3.000
YDR389W	-2.000	-2.000	-3.000
YDR392W	-1.000	-2.000	-3.000
YDR395W	0.000	0.000	-3.000
YDR399W	0.000	0.000	-2.000
YDR400W	0.000	0.000	-1.000
YDR403W	0.000	0.000	-3.000
YDR411C	0.000	0.000	-2.000
YDR422C	0.000	0.000	-2.000
YDR432W	-3.000	-3.000	NaN
YDR439W	0.000	-1.000	-2.000
YDR448W	-3.000	-2.000	-2.000
YDR469W	-1.000	-1.000	-2.000
YDR477W	-2.000	-2.000	-3.000
YDR482C	0.000	0.000	-3.000
YDR486C	0.000	0.000	-3.000
YDR540C	0.000	-2.000	-3.000
YEL004W	0.000	0.000	-2.000
YEL013W	0.000	0.000	-3.000
YEL027W	-3.000	-3.000	-3.000
YEL029C	-1.000	-2.000	-3.000
YEL031W	-2.000	-2.000	-3.000
YEL037C	0.000	0.000	-2.000
YEL040W	0.000	0.000	-2.000
YEL041W	0.000	0.000	-3.000
YEL044W	-3.000	-3.000	NaN
YEL048C	0.000	0.000	-3.000
YEL051W	-3.000	-3.000	-3.000
YER007C-A	-1.000	-1.000	-2.000
YER027C	0.000	0.000	-3.000
YER059W	0.000	0.000	-2.000
YER081W	0.000	0.000	-3.000
YER083C	-2.000	-2.000	NaN
YER092W	0.000	0.000	-3.000
YER095W	0.000	0.000	-2.000
YER101C	0.000	0.000	-2.000
YER116C	-2.000	-2.000	-3.000
YER118C	0.000	0.000	-2.000
YER120W	-2.000	-2.000	-3.000
YER122C	-2.000	-1.000	-2.000
YER129W	0.000	0.000	-3.000
YER130C	0.000	-1.000	-3.000
YER148W	NaN	NaN	NaN
YER149C	0.000	0.000	-3.000
YER150W	0.000	0.000	-2.000
YER152C	0.000	-1.000	-3.000
YER167W	0.000	0.000	-2.000
YER169W	0.000	-2.000	-3.000
YER174C	0.000	-2.000	-3.000
YER177W	0.000	-1.000	-3.000
YFL013C	0.000	0.000	-3.000
YFL031W	-3.000	-3.000	-3.000
YFR010W	-2.000	-2.000	-3.000
YFR019W	-3.000	-3.000	NaN
YFR040W	0.000	0.000	-3.000
YFR048W	0.000	0.000	-3.000
YGL012W	0.000	-2.000	-3.000
YGL020C	0.000	-2.000	-3.000
YGL025C	-3.000	-3.000	-3.000
YGL031C	0.000	0.000	-1.000
YGL049C	0.000	0.000	-3.000
YGL054C	-2.000	-2.000	-3.000
YGL058W	-1.000	-2.000	-3.000
YGL060W	0.000	0.000	-2.000
YGL062W	-2.000	-2.000	-3.000
YGL066W	-2.000	-2.000	-3.000
YGL070C	NaN	NaN	NaN
YGL115W	-2.000	-2.000	-3.000
YGL126W	-1.000	-3.000	-3.000
YGL127C	-1.000	-2.000	-3.000
YGL150C	NaN	NaN	NaN
YGL167C	-2.000	-2.000	-3.000
YGL168W	-2.000	-2.000	-3.000
YGL175C	0.000	-1.000	-3.000
YGL179C	0.000	0.000	-3.000
YGL180W	0.000	0.000	-2.000
YGL181W	0.000	0.000	-2.000
YGL194C	-2.000	-2.000	-3.000
YGL203C	0.000	0.000	-3.000
YGL211W	0.000	-1.000	-3.000
YGL219C	-2.000	-3.000	-3.000
YGL244W	-1.000	-2.000	-3.000
YGR014W	0.000	-1.000	-2.000
YGR020C	-1.000	-2.000	-3.000
YGR056W	-1.000	-1.000	-3.000
YGR057C	0.000	-1.000	-3.000
YGR063C	-2.000	-2.000	-3.000
YGR092W	-2.000	-3.000	-3.000
YGR104C	-1.000	-1.000	NaN
YGR105W	-1.000	-2.000	-3.000
YGR108W	0.000	0.000	-2.000
YGR135W	0.000	0.000	-3.000
YGR162W	-2.000	-2.000	-2.000
YGR166W	0.000	0.000	-3.000
YGR223C	0.000	0.000	-1.000
YGR227W	0.000	0.000	-3.000
YGR229C	0.000	0.000	-3.000
YGR241C	0.000	0.000	-2.000
YGR250C	0.000	0.000	-2.000
YGR252W	-1.000	-1.000	-1.000
YHL025W	-3.000	-3.000	-3.000
YHR010W	-2.000	-3.000	-3.000
YHR013C	-2.000	-3.000	-3.000
YHR026W	-3.000	-3.000	-3.000
YHR030C	-1.000	-3.000	-3.000
YHR038W	0.000	-2.000	-3.000
YHR041C	-3.000	-3.000	-3.000
YHR060W	-2.000	-2.000	-3.000
YHR079C	-3.000	-3.000	-3.000
YHR099W	NaN	NaN	NaN
YHR104W	-1.000	-2.000	-3.000
YHR111W	-3.000	-3.000	-3.000
YHR142W	0.000	-1.000	-3.000
YHR143W-A	NaN	NaN	NaN
YHR162W	0.000	-1.000	-2.000
YHR178W	-3.000	-3.000	-3.000
YHR179W	-1.000	-2.000	-3.000
YHR199C	-2.000	-1.000	-3.000
YHR206W	0.000	0.000	-3.000
YIL017C	0.000	0.000	-3.000
YIL027C	0.000	-1.000	-2.000
YIL029C	0.000	0.000	-3.000
YIL036W	-1.000	-1.000	-3.000
YIL044C	0.000	0.000	-3.000
YIL072W	0.000	-1.000	-3.000
YIL077C	0.000	0.000	-2.000
YIL105C	0.000	0.000	-3.000
YIL119C	0.000	0.000	-2.000
YIL153W	0.000	0.000	-2.000
YJL087C	NaN	NaN	NaN
YJL095W	-3.000	-3.000	-3.000
YJL115W	0.000	0.000	-2.000
YJL117W	0.000	0.000	-2.000
YJL121C	-1.000	-2.000	-3.000
YJL128C	-2.000	-2.000	-3.000
YJL134W	-1.000	-2.000	-3.000
YJL140W	-3.000	-3.000	NaN
YJL151C	0.000	0.000	-3.000
YJL153C	-3.000	-3.000	-3.000
YJL155C	-1.000	-1.000	-3.000
YJL158C	0.000	0.000	-2.000
YJL176C	-2.000	-3.000	-3.000
YJL192C	0.000	0.000	-3.000
YJL193W	0.000	0.000	-3.000
YJL204C	0.000	-1.000	-3.000
YJL208C	0.000	0.000	-3.000
YJL212C	0.000	0.000	-2.000
YJL214W	0.000	0.000	-2.000
YJR066W	0.000	0.000	-3.000
YJR075W	0.000	0.000	-2.000
YJR083C	0.000	0.000	-3.000
YKL006W	-1.000	-2.000	-3.000
YKL027W	0.000	0.000	-3.000
YKL032C	0.000	0.000	-3.000
YKL048C	0.000	0.000	-3.000
YKL053C-A	-2.000	-2.000	NaN
YKL056C	0.000	0.000	-3.000
YKL064W	0.000	0.000	-2.000
YKL065C	-2.000	-3.000	-3.000
YKL077W	-1.000	-2.000	-3.000
YKL079W	0.000	0.000	-3.000
YKL119C	-2.000	-3.000	-3.000
YKL121W	0.000	0.000	-3.000
YKL160W	-1.000	-2.000	-3.000
YKL176C	0.000	0.000	-2.000
YKL184W	0.000	-1.000	-3.000
YKL190W	-1.000	-1.000	-2.000
YKL212W	-3.000	-3.000	-3.000
YKL213C	-2.000	-2.000	-3.000
YKR007W	0.000	0.000	-3.000
YKR026C	-2.000	-2.000	-3.000
YKR029C	0.000	-2.000	-3.000
YKR036C	0.000	-1.000	-2.000
YKR070W	0.000	0.000	-2.000
YLL015W	0.000	0.000	-3.000
YLL019C	0.000	0.000	-2.000
YLL021W	0.000	0.000	-3.000
YLL039C	0.000	0.000	-3.000
YLL043W	0.000	-1.000	NaN
YLR015W	0.000	0.000	-1.000
YLR016C	0.000	0.000	-1.000
YLR021W	0.000	0.000	-3.000
YLR039C	-1.000	-2.000	NaN
YLR048W	-2.000	-2.000	-2.000
YLR055C	0.000	0.000	-3.000
YLR056W	-2.000	-2.000	-3.000
YLR061W	-2.000	-2.000	-1.000
YLR074C	0.000	0.000	-3.000
YLR079W	0.000	-2.000	-3.000
YLR087C	-2.000	-2.000	-2.000
YLR089C	-1.000	-1.000	-2.000
YLR113W	-2.000	-2.000	-2.000
YLR134W	-1.000	-2.000	-3.000
YLR150W	0.000	0.000	-3.000
YLR192C	0.000	0.000	-3.000
YLR199C	0.000	0.000	-3.000
YLR208W	NaN	NaN	NaN
YLR226W	0.000	0.000	0.000
YLR237W	0.000	0.000	-2.000
YLR242C	-2.000	-2.000	-3.000
YLR262C	0.000	0.000	-1.000
YOL109W	0.000	0.000	-3.000
YLR268W	-2.000	-2.000	-3.000
YLR292C	0.000	0.000	-3.000
YLR315W	-2.000	-3.000	NaN
YLR320W	-2.000	-2.000	-3.000
YLR324W	0.000	0.000	-2.000
YLR332W	0.000	-1.000	-2.000
YLR342W	-1.000	-1.000	-3.000
YLR354C	0.000	0.000	-2.000
YLR357W	-1.000	-2.000	-3.000
YLR371W	-1.000	-2.000	-3.000
YLR373C	-1.000	-1.000	-1.000
YLR418C	-3.000	-3.000	-3.000
YLR426W	0.000	-2.000	-3.000
YLR436C	0.000	0.000	-2.000
YML008C	-2.000	-2.000	-3.000
YML013W	-1.000	-1.000	-3.000
YML014W	-1.000	-1.000	-3.000
YML022W	0.000	0.000	-3.000
YML028W	0.000	0.000	-3.000
YML034W	-2.000	-2.000	-3.000
YML055W	0.000	0.000	-2.000
YML059C	0.000	-2.000	-3.000
YML071C	-2.000	-2.000	-2.000
YML103C	-2.000	-2.000	-3.000
YML115C	-2.000	-2.000	-2.000
YML117W	0.000	0.000	-3.000
YMR010W	0.000	-2.000	-3.000
YMR014W	0.000	0.000	-2.000
YMR015C	0.000	0.000	-3.000
YMR016C	0.000	0.000	-3.000
YMR029C	0.000	0.000	-3.000
YMR039C	-2.000	-2.000	-3.000
YMR052W	0.000	0.000	-2.000
YMR067C	0.000	0.000	-3.000
YMR068W	0.000	0.000	-3.000
YMR079W	NaN	NaN	NaN
YMR092C	0.000	0.000	-2.000
YMR099C	0.000	0.000	-2.000
YMR104C	-2.000	-2.000	-2.000
YMR123W	0.000	-1.000	-2.000
YMR190C	0.000	-1.000	-2.000
YMR202W	-2.000	-2.000	-3.000
YMR214W	0.000	0.000	-3.000
YMR242C	0.000	-1.000	-2.000
YMR272C	-1.000	-2.000	-1.000
YMR276W	0.000	-1.000	-3.000
YMR304W	0.000	0.000	-2.000
YMR307W	0.000	-1.000	-3.000
YMR312W	0.000	-1.000	-1.000
YNL041C	-2.000	-2.000	-2.000
YNL051W	-1.000	-1.000	-1.000
YNL059C	NaN	NaN	NaN
YNL079C	-2.000	-2.000	-3.000
YNL080C	-2.000	-3.000	-3.000
YNL119W	-1.000	-1.000	-1.000
YNL127W	0.000	0.000	-2.000
YNL133C	-1.000	-2.000	NaN
YNL148C	-2.000	-2.000	-3.000
YNL215W	-2.000	-2.000	NaN
YNL219C	0.000	0.000	-2.000
YNL229C	-2.000	-2.000	-3.000
YNL236W	-3.000	-3.000	NaN
YNL267W	NaN	NaN	NaN
YNL307C	0.000	-1.000	-2.000
YNL322C	0.000	0.000	-3.000
YNL323W	0.000	-1.000	-2.000
YOL018C	-1.000	-1.000	-1.000
YOL052C	-2.000	-1.000	-1.000
YOL059W	-2.000	-2.000	-2.000
YOL067C	-2.000	-2.000	-3.000
YOL068C	-1.000	-1.000	-1.000
YOL087C	0.000	0.000	-3.000
YOL090W	-2.000	-1.000	-3.000
YOL093W	0.000	0.000	-3.000
YOL098C	0.000	0.000	-2.000
YOL107W	0.000	0.000	-3.000
YOL108C	-3.000	-3.000	-3.000
YOL110W	0.000	0.000	-3.000
YOL111C	0.000	0.000	-3.000
YOL116W	0.000	0.000	-2.000
YOL121C	0.000	0.000	-3.000
YOL122C	0.000	0.000	-2.000
YOL124C	0.000	0.000	-2.000
YOL145C	NaN	NaN	NaN
YOL148C	NaN	NaN	NaN
YOR002W	0.000	-2.000	-3.000
YOR008C	-1.000	-2.000	-3.000
YOR012W	0.000	0.000	-2.000
YOR067C	0.000	-2.000	-3.000
YOR070C	-3.000	-3.000	-3.000
YOR078W	0.000	-1.000	-1.000
YOR096W	-1.000	-1.000	-2.000
YOR106W	0.000	0.000	-3.000
YOR123C	-2.000	-2.000	-3.000
YOR141C	-2.000	-3.000	NaN
YOR151C	NaN	NaN	NaN
YOR189W	-1.000	-2.000	-3.000
YOR210W	NaN	NaN	NaN
YOR216C	-1.000	-2.000	-2.000
YOR224C	NaN	NaN	NaN
YOR246C	0.000	0.000	-2.000
YOR270C	0.000	0.000	-2.000
YOR290C	0.000	-1.000	-1.000
YOR320C	0.000	-2.000	-3.000
YOR322C	0.000	-1.000	NaN
YOR359W	-1.000	-1.000	-3.000
YOR371C	0.000	0.000	-2.000
YPL016W	NaN	NaN	NaN
YPL055C	0.000	-2.000	-3.000
YPL065W	0.000	0.000	-3.000
YPL089C	0.000	-1.000	-3.000
YPL138C	0.000	0.000	-3.000
YPL140C	0.000	0.000	-2.000
YPL144W	-1.000	-1.000	-3.000
YPL157W	0.000	0.000	-2.000
YPL159C	-1.000	-1.000	-2.000
YPL174C	-1.000	-2.000	-2.000
YPL177C	0.000	-1.000	-2.000
YPL226W	-2.000	-3.000	-3.000
YPL241C	-1.000	-2.000	-2.000
YPL254W	NaN	NaN	NaN
YPL264C	-2.000	-1.000	-2.000
YPR036W	-3.000	-3.000	-3.000
YPR043W	-1.000	-1.000	-1.000
YPR056W	NaN	NaN	NaN
YPR086W	NaN	NaN	NaN
YPR113W	NaN	NaN	NaN
YPR139C	0.000	-2.000	-3.000
YPR161C	NaN	NaN	NaN
YPR167C	0.000	0.000	-3.000
YPR179C	0.000	0.000	-3.000
YPR187W	NaN	NaN	NaN
YPR201W	0.000	-1.000	-3.000
