orf	hap a | growth (spot assay) | quinine [1.5-1.7 g/L] | Dos Santos SC~Sa Correia I, 2011
YML112W	-1.0
YMR032W	-2.0
YMR035W	-1.0
YMR058W	-2.0
YMR062C	-1.0
YMR070W	-1.0
YMR078C	-1.0
YMR097C	-1.0
YMR100W	1.0
YMR123W	-2.0
YMR135C	-2.0
YMR139W	-1.0
YMR145C	-2.0
YMR179W	-1.0
YMR184W	-1.0
YMR194C-B	1.0
YMR198W	-2.0
YMR207C	-1.0
YMR214W	-1.0
YMR216C	-1.0
YMR224C	-1.0
YMR228W	0.0
YMR304W	-1.0
YMR307W	-1.0
YMR310C	-1.0
YMR312W	-1.0
YMR313C	1.0
YNL005C	1.0
YNL015W	1.0
YNL084C	-1.0
YNL117W	-1.0
YNL119W	-2.0
YNL133C	-1.0
YNL136W	-1.0
YNL139C	1.0
YNL183C	-2.0
YNL192W	-1.0
YNL201C	-1.0
YNL206C	-1.0
YNL214W	-1.0
YNL225C	-1.0
YNL229C	-2.0
YNL238W	-2.0
YNL257C	1.0
YNL280C	-1.0
YNL307C	-1.0
YNL319W	1.0
YNL322C	-1.0
YNL323W	-1.0
YNR010W	-1.0
YNR051C	-1.0
YOL006C	-2.0
YOL012C	-1.0
YOL049W	-2.0
YOL072W	1.0
YOL076W	-1.0
YOL096C	-1.0
YOR035C	-2.0
YOR068C	1.0
YOR069W	1.0
YOR096W	1.0
YOR153W	-2.0
YOR187W	-1.0
YOR198C	-2.0
YOR226C	-2.0
YOR297C	1.0
YOR298C-A	-2.0
YOR299W	-1.0
YOR312C	1.0
YOR359W	1.0
YOR360C	-2.0
YOR379C	1.0
YPL013C	-2.0
YPL086C	-1.0
YPL097W	-1.0
YPL101W	-2.0
YPL161C	-2.0
YPL234C	-2.0
YPL259C	-1.0
YPR036W	-2.0
YPR040W	1.0
YPR047W	1.0
YPR049C	-2.0
YPR100W	-1.0
YPR135W	-1.0
YPR139C	-1.0
YPR141C	-1.0
YPR159W	-1.0
