ORF	hom | growth (relative abundance in pooled culture) | decatransin [1.8 uM] | Junne T~Hoepfner D, 2015	het | growth (relative abundance in pooled culture) | decatransin [1.8 uM] | Junne T~Hoepfner D, 2015	hom | growth (relative abundance in pooled culture) | heptadepsipeptide [6.8 uM] | Junne T~Hoepfner D, 2015	het | growth (relative abundance in pooled culture) | heptadepsipeptide [6.8 uM] | Junne T~Hoepfner D, 2015	hom | growth (relative abundance in pooled culture) | HUN-7293 [200 uM] | Junne T~Hoepfner D, 2015	het | growth (relative abundance in pooled culture) | HUN-7293 [200 uM] | Junne T~Hoepfner D, 2015
YOR160W	NaN	-0.558	NaN	1.383	NaN	-0.915
YOR161C	0.160	-0.403	0.319	0.054	-0.086	0.690
YOR162C	-0.145	-0.618	-0.947	-0.132	0.030	0.147
YOR163W	0.019	0.028	0.184	-0.574	0.064	0.674
YOR164C	-0.189	-0.055	-0.855	0.016	0.038	0.380
YOR165W	-2.488	-0.649	-0.547	0.159	-0.218	0.403
YOR166C	0.155	0.058	0.249	-0.164	0.452	0.523
YOR167C	-0.123	-0.014	0.096	0.086	0.386	0.092
YOR168W	NaN	1.330	NaN	1.609	NaN	0.039
YOR169C	NaN	0.545	NaN	-1.382	NaN	1.798
YOR170W	0.251	0.464	0.048	-1.517	0.030	0.102
YOR171C	-0.295	0.918	-0.006	-0.028	0.099	0.178
YOR172W	-0.142	-0.022	0.287	-0.157	-0.002	-0.276
YOR173W	-0.072	0.021	0.352	0.318	-0.216	-0.005
YOR174W	NaN	0.240	NaN	-0.006	NaN	0.344
YOR175C	0.905	0.058	-0.189	-0.092	0.027	0.144
YOR176W	NaN	-0.219	NaN	-0.031	NaN	-0.058
YOR177C	0.416	0.514	0.556	-0.100	0.075	0.224
YOR178C	0.074	0.018	0.668	-0.248	0.081	2.275
YOR179C	NaN	-0.686	NaN	0.007	NaN	0.125
YOR180C	0.804	-0.012	-0.061	0.078	0.020	0.164
YOR181W	NaN	0.164	NaN	-0.078	NaN	-0.554
YOR182C	0.612	NaN	0.994	-0.062	1.513	NaN
YOR183W	-0.224	0.443	0.735	0.830	0.016	0.115
YOR184W	NaN	0.542	NaN	2.801	NaN	0.249
YOR185C	0.848	1.246	1.073	-0.421	-0.049	0.192
YOR186W	0.063	NaN	-0.034	NaN	0.234	NaN
YOR187W	NaN	-1.364	NaN	-1.240	NaN	-0.010
YOR188W	-0.083	0.025	-0.267	0.022	-0.053	0.173
YOR189W	-0.538	0.055	-0.313	0.071	0.769	0.075
YOR190W	0.036	0.401	0.007	1.530	-0.066	0.090
YOR191W	-0.223	-0.761	-0.187	0.243	0.073	-0.098
YOR192C	-0.199	-0.106	0.154	-0.054	-1.504	0.081
YOR193W	0.110	0.076	-0.041	-1.165	0.313	0.793
