ORF	hom | growth (relative abundance in pooled culture) | decatransin [1.8 uM] | Junne T~Hoepfner D, 2015	het | growth (relative abundance in pooled culture) | decatransin [1.8 uM] | Junne T~Hoepfner D, 2015	hom | growth (relative abundance in pooled culture) | heptadepsipeptide [6.8 uM] | Junne T~Hoepfner D, 2015	het | growth (relative abundance in pooled culture) | heptadepsipeptide [6.8 uM] | Junne T~Hoepfner D, 2015	hom | growth (relative abundance in pooled culture) | HUN-7293 [200 uM] | Junne T~Hoepfner D, 2015	het | growth (relative abundance in pooled culture) | HUN-7293 [200 uM] | Junne T~Hoepfner D, 2015
YER074W	0.159	-0.048	0.104	0.209	0.020	0.684
YER075C	-0.035	-0.020	2.227	0.122	-0.059	-0.079
YER077C	-0.025	-0.060	1.381	-0.423	1.792	0.573
YER078C	0.952	-0.012	-0.048	-0.089	0.182	0.073
YER079W	0.222	-0.068	-0.158	0.227	-0.034	0.028
YER080W	0.094	0.302	0.010	0.013	0.007	-0.108
YER081W	0.622	0.222	-0.051	0.196	0.774	0.742
YER082C	NaN	0.363	NaN	0.133	NaN	0.063
YER083C	-1.667	0.081	-0.123	-0.027	0.050	-1.349
YER084W	-0.005	0.003	-0.451	-0.098	-0.428	-0.420
YER085C	-0.610	-0.053	1.150	0.003	-0.582	-0.019
YER086W	NaN	0.026	NaN	0.657	NaN	-0.005
YER087C-A	-28.065	-4.569	-9.676	-0.578	-3.826	-0.073
YER087W	-0.266	-0.547	-0.467	-0.450	0.354	0.794
YER088C	0.116	-0.685	-0.009	-0.024	-0.480	-1.089
YER089C	-0.099	-0.025	-0.147	1.492	0.035	-0.008
YER090W	0.637	0.367	-0.036	-0.012	-0.003	0.432
YER091C	NaN	-0.919	NaN	0.119	NaN	0.029
YER091C-A	0.026	-0.508	0.257	0.302	-0.081	-0.073
YER092W	0.074	-0.424	-1.460	-0.691	0.850	-0.087
YER093C	NaN	-0.156	NaN	0.128	NaN	0.266
YER093C-A	0.031	-0.098	0.385	-0.070	0.052	0.026
YER094C	NaN	0.206	NaN	1.021	NaN	0.439
YER095W	0.184	-0.174	-0.041	-1.563	0.252	-0.047
YER096W	-0.033	-0.042	0.085	-0.403	-0.057	0.007
YER097W	0.540	0.718	-0.010	-0.534	-0.145	-0.006
YER098W	0.745	-0.036	-0.020	0.940	0.264	-0.862
YER101C	0.106	-0.421	-0.028	0.042	-0.009	-0.157
YER103W	0.210	0.141	0.003	-0.016	1.078	0.093
YER104W	NaN	-0.148	NaN	-0.520	NaN	-0.568
YER106W	1.062	0.019	0.507	0.809	-2.290	0.028
YER107C	NaN	0.171	NaN	-1.260	NaN	-1.739
YER108C	-0.623	0.749	-0.073	-0.609	0.402	-0.038
YER109C	0.655	0.041	2.048	-0.167	-0.772	0.030
YER110C	-0.859	-0.468	-0.451	-0.759	0.429	-0.005
YER111C	0.277	-0.265	0.070	0.347	0.761	0.038
YER112W	NaN	0.115	NaN	0.019	NaN	1.424
YER113C	-0.321	-0.189	0.043	0.171	-0.090	-0.179
YER114C	-0.085	-0.042	1.132	0.060	1.971	0.065
YER115C	0.619	-0.229	-1.282	0.056	0.914	-0.027
YER116C	-0.063	-0.986	0.012	-0.156	-0.134	-0.293
YER117W	-0.314	0.078	0.191	-1.019	0.093	-0.017
YER118C	-0.048	-0.673	0.327	-0.189	0.066	0.031
YER119C	-0.184	0.049	1.452	-1.725	0.002	-0.194
YER119C-A	-3.087	-0.161	-5.709	-0.253	-1.145	0.124
YER120W	-4.169	0.702	-7.414	0.047	-1.579	0.067
YER121W	0.046	-0.034	0.272	0.209	-1.560	-0.253
YER122C	0.098	0.185	0.465	-0.011	0.325	-0.671
YER123W	-2.733	-0.057	-0.025	-2.002	-2.053	-0.343
YER124C	0.239	0.801	1.640	-0.002	0.182	1.113
YER125W	NaN	-0.006	NaN	0.170	NaN	-0.502
YER126C	NaN	0.183	NaN	-0.068	NaN	1.132
YER127W	NaN	0.063	NaN	0.005	NaN	0.019
YER128W	-0.241	0.730	0.017	0.059	2.375	-0.008
YER129W	-0.583	-0.004	-0.068	0.285	-0.107	-0.142
YER130C	0.043	0.093	-1.536	-0.860	-0.059	-0.424
YER131W	0.275	0.414	0.823	-0.055	0.256	-0.029
YER132C	0.288	0.043	-0.049	2.501	-0.008	-0.033
YER133W	NaN	0.165	NaN	-0.108	NaN	-0.012
YER134C	0.108	0.137	-0.033	-0.028	-0.232	0.013
YER135C	0.547	0.145	0.060	-1.943	-0.204	-0.372
YER136W	NaN	1.192	NaN	0.208	NaN	0.179
YER137C	0.649	0.222	0.081	0.080	0.473	-0.371
YER139C	-0.195	-1.077	-0.122	1.206	0.000	-1.119
YER140W	0.125	-0.036	-0.028	0.403	-0.003	-0.084
YER141W	0.776	0.686	-0.786	0.066	0.054	-0.110
YER142C	-0.029	0.196	-0.039	-0.933	0.755	-0.033
YER143W	-0.218	-0.594	-0.046	0.078	0.983	-0.092
YER144C	0.708	-0.007	2.125	-0.007	-0.588	-0.250
YER145C	-0.036	-0.140	0.921	-0.042	-0.841	-0.463
YER146W	NaN	-0.235	NaN	-0.001	NaN	-0.043
YER147C	NaN	-0.879	NaN	-1.270	NaN	0.035
YER148W	NaN	-0.039	NaN	-0.318	NaN	0.000
YER149C	0.407	-0.479	1.081	-0.195	0.474	0.141
YER150W	0.305	-0.468	-0.294	0.258	2.069	-0.192
YER151C	-0.104	-0.167	-0.002	2.039	-0.002	0.104
YER152C	0.003	-0.111	-0.001	0.160	0.590	-0.584
YER153C	0.588	0.033	0.049	-0.194	0.034	-0.118
YER154W	0.061	0.009	0.266	-0.105	0.853	-0.020
YER155C	NaN	-1.566	NaN	-0.042	NaN	-0.022
YER156C	0.044	-0.050	0.061	0.112	0.014	-0.100
YER157W	NaN	-0.624	NaN	0.116	NaN	-0.604
YER158C	0.139	0.193	2.248	-0.406	-0.004	-1.220
YER159C	NaN	-0.579	NaN	-0.814	NaN	-0.145
YER161C	0.075	-0.292	0.197	0.195	-1.088	-0.166
YER162C	0.017	NaN	0.233	NaN	0.008	-0.469
YER163C	-0.005	0.769	-0.005	0.615	-0.793	-0.346
YER164W	0.327	-0.056	0.015	-0.602	-0.031	-0.292
YER165W	NaN	0.060	NaN	0.084	NaN	0.050
YER166W	-0.275	-1.423	-0.065	0.044	-0.115	-0.079
YER167W	0.008	0.016	0.012	-0.013	1.051	-0.118
YER168C	NaN	-0.777	NaN	0.366	NaN	-1.747
YER169W	0.520	-0.628	0.039	0.035	0.452	-0.066
YER170W	0.432	-1.077	-1.260	-0.084	0.782	-0.207
YER171W	NaN	0.321	NaN	0.578	NaN	-0.212
YER172C	NaN	0.004	NaN	-1.068	NaN	-0.127
YER173W	0.111	0.072	-0.055	-0.085	0.027	-0.005
YER174C	-0.155	-0.071	0.705	-1.997	-0.335	-0.017
YER175C	0.309	0.089	-0.034	0.002	-0.065	-0.003
YER176W	0.028	-0.299	1.474	0.769	0.001	-0.612
YER177W	0.471	-0.063	-0.665	0.048	-0.634	-0.004
YER178W	NaN	0.623	NaN	-1.460	NaN	-0.063
YER179W	-0.019	-0.164	-0.130	-0.007	-0.271	-0.391
YER180C	-1.356	-0.000	-0.009	-0.183	-0.442	-0.071
YER181C	-0.824	-0.466	1.301	-0.081	-0.642	0.032
YER182W	-0.108	0.007	0.091	0.181	-0.448	-0.299
YER183C	-0.863	0.068	0.038	0.057	-0.270	0.486
YER184C	-0.054	-0.535	0.108	1.523	-0.144	-0.018
YER185W	0.778	-0.201	0.146	0.059	0.095	-0.174
YER186C	-0.503	NaN	0.682	NaN	-1.803	NaN
YER187W	-0.009	-0.687	0.050	1.131	-0.005	-0.073
YER188W	0.149	-0.383	0.009	-0.115	-0.679	-0.081
YFL001W	0.020	0.213	0.212	-0.217	0.563	-0.132
YFL002C	NaN	0.125	NaN	1.211	NaN	-0.107
YFL003C	-0.156	0.017	0.119	0.032	0.025	-0.736
YFL004W	-0.162	-0.004	-1.038	1.414	0.059	-0.314
YFL005W	NaN	1.202	NaN	0.288	NaN	0.008
YFL006W	0.287	0.960	1.343	1.500	-0.075	-0.057
YFL007W	0.033	0.043	0.038	-0.192	-0.353	-0.430
YFL008W	NaN	0.192	NaN	-0.936	NaN	-0.068
YFL009W	NaN	-0.416	NaN	-0.115	NaN	-0.402
YFL010C	0.630	1.328	-0.009	0.245	-0.481	-0.230
YFL010W-A	0.603	NaN	-0.040	NaN	1.714	NaN
YFL011W	-0.012	1.386	0.777	-0.518	-0.030	-0.135
YFL012W	-0.139	-0.459	-0.071	-0.254	-0.843	-0.298
YFL013C	0.439	-0.151	0.115	0.024	-1.338	-0.424
YFL013W-A	0.049	0.621	0.118	0.033	-0.831	0.002
YFL014W	-0.137	-0.723	-0.015	-0.173	-2.288	-0.151
YFL015C	-0.034	-0.216	0.487	-1.808	0.396	-1.612
YFL016C	0.294	-0.047	0.007	0.206	-0.003	-0.404
YFL017C	NaN	-0.203	NaN	0.038	NaN	-0.278
YFL018C	0.094	0.725	0.110	0.116	1.335	-0.563
YFL019C	-0.162	-0.516	0.330	1.719	-1.604	-0.095
YFL020C	-0.010	-0.095	0.610	-0.646	0.048	-0.184
YFL021W	0.520	-0.162	-0.043	0.228	0.371	-0.069
YFL022C	NaN	0.392	NaN	0.028	NaN	-2.337
YFL023W	-0.659	-1.837	-0.142	-0.003	0.906	-0.118
YFL024C	NaN	-0.458	NaN	0.415	NaN	-0.077
YFL025C	-3.123	0.006	-1.562	-0.316	0.246	-1.442
YFL026W	NaN	0.086	NaN	0.092	NaN	-0.516
YFL027C	-0.154	0.016	0.007	-0.071	-0.074	-3.817
YFL028C	0.008	0.054	0.753	1.199	-1.039	-0.537
YFL029C	NaN	-0.687	NaN	-0.034	NaN	-0.110
YFL030W	-0.084	0.002	0.934	2.537	-1.190	-2.247
YFL031W	-1.997	-0.098	-10.777	-0.256	-2.509	-0.629
YFL032W	-3.169	0.078	-9.612	-0.355	-3.128	-0.051
YFL033C	0.693	-0.024	-0.847	0.010	-0.011	-0.089
YFL034C-A	-0.005	0.006	-0.015	-0.144	-1.372	-0.534
YFL034W	0.547	-0.289	1.314	0.225	0.024	-0.066
YFL035C	0.300	0.240	NaN	0.250	NaN	-0.500
YFL036W	0.033	0.093	1.127	0.044	0.165	-0.284
YFL037W	NaN	0.388	NaN	0.019	NaN	-0.144
YFL038C	NaN	0.089	NaN	0.188	NaN	-0.619
YFL039C	NaN	0.106	NaN	0.017	NaN	-2.167
YFL040W	-1.426	0.299	-0.885	-0.000	-0.634	-0.126
YFL041W	-0.146	-0.694	1.857	0.072	-0.007	-0.554
YFL042C	-0.007	0.051	0.422	0.685	-2.872	-0.484
YFL044C	0.504	-0.103	-0.050	0.807	1.708	-0.613
YFL045C	NaN	-0.322	NaN	0.117	NaN	-2.234
YFL046W	0.191	-0.771	0.306	0.019	0.228	-0.189
YFL047W	-0.160	-0.006	0.136	0.015	-1.960	-1.357
YFL048C	-2.290	0.061	1.256	-1.643	0.600	0.003
YFL049W	0.653	0.170	0.059	0.581	0.743	-0.285
YFL050C	0.745	0.176	0.360	1.261	0.166	-0.276
YFL051C	-0.664	0.073	-0.057	0.253	-0.003	-0.200
YFL052W	-0.145	1.129	0.053	0.029	-0.083	-0.410
YFL053W	0.389	-0.072	-0.020	0.240	0.523	-0.356
YFL054C	0.695	-0.042	0.025	-0.383	-1.126	-0.345
YFL055W	-0.065	0.014	0.044	-0.005	0.138	-0.098
YFL056C	0.011	0.088	-0.096	-0.016	0.081	-0.225
YFL060C	NaN	-0.600	NaN	0.222	NaN	-0.480
YFL063W	0.825	-0.026	-0.585	-0.061	0.103	-0.111
YFR001W	0.008	0.582	1.289	0.443	0.256	-0.470
YFR002W	NaN	0.093	NaN	0.332	NaN	0.089
YFR003C	NaN	0.375	NaN	1.880	NaN	-0.376
YFR004W	NaN	0.113	NaN	-0.118	NaN	-0.327
YFR005C	NaN	-0.244	NaN	0.075	NaN	-0.245
YFR006W	-0.006	0.773	-0.271	-0.122	-0.051	-0.395
YFR007W	0.850	0.347	0.833	0.227	0.043	-0.088
YFR008W	0.025	0.965	-1.712	-0.793	-0.245	-0.422
YFR009W	0.020	0.202	1.178	-0.139	-0.456	-1.716
YFR010W	-0.074	-0.530	-0.168	-0.520	0.053	-0.553
YFR011C	-0.014	-0.015	-0.158	0.009	-0.215	-0.345
YFR012W	0.939	0.122	0.508	0.641	-0.070	-2.142
YFR013W	0.333	0.164	-0.023	0.812	1.315	-0.350
YFR014C	0.197	0.188	0.021	0.394	-0.296	-0.341
YFR015C	0.015	0.041	1.375	1.184	0.637	-1.338
YFR016C	-0.115	-0.966	0.004	0.273	1.109	-0.491
YFR017C	-0.855	-0.734	0.031	0.734	0.013	-0.815
YFR018C	0.357	0.684	-0.039	0.008	2.266	-0.191
YFR019W	0.123	-0.741	-0.017	1.497	0.928	-0.215
YFR020W	0.443	0.213	-0.010	0.989	-0.278	-1.334
YFR021W	-0.236	0.108	0.058	-1.548	0.008	-0.133
YFR022W	-0.365	0.135	0.318	0.003	0.006	-0.288
YFR023W	0.065	-0.020	0.232	0.189	-1.506	0.017
YFR024C-A	-1.210	0.902	0.048	2.314	0.312	-0.136
YFR025C	0.419	-0.661	0.291	0.796	-0.005	-0.221
YFR026C	0.008	0.120	-0.045	0.352	-0.072	-0.057
YFR027W	NaN	0.051	NaN	0.095	NaN	-0.272
YFR028C	NaN	-0.198	NaN	-0.106	NaN	-2.569
YFR029W	NaN	-0.665	NaN	0.333	NaN	-0.226
YFR030W	-0.010	-0.107	1.035	0.176	-1.560	-0.413
YFR031C	NaN	0.121	NaN	0.442	NaN	-0.489
YFR031C-A	0.594	0.632	0.984	-0.143	0.234	-0.539
YFR032C	0.192	0.056	0.031	-0.103	-1.113	-0.307
YFR032C-A	0.000	0.178	1.612	0.048	0.541	-0.047
YFR033C	-0.174	-0.089	0.816	0.253	-1.331	-0.837
YFR034C	0.418	-0.020	0.183	0.044	0.103	-0.078
YFR035C	0.010	-0.047	1.617	0.042	-0.062	-1.754
YFR036W	0.014	-0.076	0.199	0.238	-0.010	-1.324
YFR037C	NaN	-1.591	NaN	-0.503	NaN	-0.931
YFR038W	0.538	NaN	0.222	NaN	0.127	NaN
YFR039C	-0.237	-1.131	-0.250	0.017	-1.135	-1.468
YFR040W	1.044	-0.037	0.079	-0.153	-0.046	-0.595
YFR041C	-0.000	0.033	0.440	-0.013	-0.089	-0.240
YFR042W	NaN	-0.299	NaN	-0.010	NaN	-1.667
YFR043C	0.089	-0.066	-0.107	0.172	-0.014	-0.605
YFR044C	0.070	-0.009	0.275	0.090	0.021	-1.868
YFR045W	-0.032	-0.000	0.349	0.069	0.011	-1.297
YFR046C	0.132	-0.202	0.289	0.033	-1.255	-0.008
YFR047C	1.242	-0.134	0.265	0.005	0.654	-1.988
YFR048W	-0.226	0.007	3.071	0.263	-0.001	-0.253
YFR049W	0.015	0.418	1.409	0.020	-0.865	-0.286
YFR050C	NaN	-0.603	NaN	0.007	NaN	-0.917
YFR051C	NaN	-0.369	NaN	-0.042	NaN	-0.655
YFR052W	NaN	-0.101	NaN	-0.003	NaN	-0.128
YFR053C	0.583	-0.029	-0.046	-0.121	-1.125	-0.305
YFR054C	0.150	0.040	-0.024	-0.020	-0.088	-0.180
YFR055W	-0.265	-0.449	0.048	0.063	-0.787	-0.142
YFR056C	-0.215	-0.041	0.121	-0.009	-0.276	-0.077
YFR057W	-0.000	-0.832	0.319	0.063	-0.785	-0.186
YGL001C	NaN	-0.979	NaN	-0.321	NaN	0.025
YGL002W	0.336	-0.301	1.041	0.314	-2.328	1.191
YGL003C	-0.156	-0.086	0.480	0.952	0.326	0.089
YGL004C	0.051	-1.539	0.482	0.001	-1.980	0.010
YGL005C	-3.077	-0.651	-2.153	0.017	-2.043	0.242
YGL006W	-0.168	NaN	0.483	NaN	-1.203	NaN
YGL007W	-0.004	-0.228	0.025	0.056	-1.182	0.187
YGL008C	NaN	-0.540	NaN	0.722	NaN	0.097
YGL009C	NaN	-0.090	NaN	-0.041	NaN	-0.013
YGL010W	-1.299	-0.149	0.019	-0.680	-0.817	0.510
YGL011C	NaN	0.058	NaN	-0.065	NaN	0.107
YGL012W	-1.109	0.205	-0.428	-0.642	-0.004	0.381
YGL013C	-0.399	0.054	-1.088	-0.011	-0.585	-0.008
YGL014W	-0.144	-0.009	2.469	-0.192	0.094	0.183
YGL015C	0.528	-0.295	0.029	0.040	-1.298	1.122
YGL016W	-0.092	-0.110	0.499	1.929	0.071	0.910
YGL017W	-0.150	-0.154	-0.351	-0.054	-0.564	-0.021
YGL018C	NaN	0.242	NaN	-0.032	NaN	0.106
YGL019W	0.806	-0.033	0.308	0.304	-1.294	-0.266
YGL020C	-2.086	0.037	-1.290	0.084	-0.400	0.678
YGL021W	-0.043	-0.559	0.010	-0.191	-1.519	0.185
YGL022W	NaN	0.012	NaN	-0.027	NaN	0.004
YGL023C	1.074	0.359	0.072	-0.672	1.401	0.025
YGL024W	NaN	0.539	NaN	-0.040	NaN	0.026
YGL025C	1.193	0.179	0.295	-0.095	-0.003	0.585
YGL026C	NaN	-0.031	NaN	-0.048	NaN	-0.054
YGL027C	-2.441	0.062	-3.092	-0.548	-2.617	0.262
YGL028C	0.016	0.083	1.873	0.088	-1.428	0.730
YGL029W	NaN	0.896	NaN	-0.052	NaN	1.267
YGL031C	0.159	0.546	0.716	-0.038	0.004	0.318
YGL032C	-0.744	NaN	0.095	NaN	0.655	NaN
YGL033W	-0.670	0.148	0.148	-2.061	0.119	0.316
YGL034C	1.044	-0.053	0.632	-0.075	0.517	-0.114
YGL035C	-0.176	-0.080	-0.163	-0.054	-0.205	0.517
YGL036W	NaN	-0.207	NaN	-0.093	NaN	0.073
YGL037C	0.025	-0.073	-0.019	-0.170	-0.304	0.016
YGL038C	-2.175	0.059	NaN	0.351	NaN	-0.013
YGL039W	-0.704	0.040	-0.125	-2.011	-0.031	0.028
YGL040C	NaN	-0.821	NaN	-0.130	NaN	0.147
YGL041C	0.098	-0.112	-0.030	0.100	-0.187	0.016
YGL042C	0.009	-0.178	-1.114	-0.311	-1.081	-0.143
YGL043W	-0.831	-0.796	-0.677	-2.492	-0.283	0.032
YGL045W	-0.120	0.246	0.018	-0.273	-0.003	-0.022
YGL047W	0.515	-0.075	NaN	-0.211	NaN	-0.037
YGL048C	NaN	-0.004	NaN	-0.282	NaN	-0.099
YGL049C	-0.314	0.640	0.005	-0.010	0.050	0.917
YGL050W	0.359	-0.020	0.040	-0.228	-0.009	0.117
YGL051W	-0.021	-0.239	-0.327	0.023	-0.087	0.162
YGL053W	-0.033	0.040	-0.096	-0.029	-0.312	0.626
YGL054C	-2.443	0.144	-0.113	-0.001	0.006	0.186
YGL055W	NaN	-0.442	NaN	-0.313	NaN	0.006
YGL056C	1.120	0.039	-0.006	0.307	-0.338	0.031
YGL057C	0.161	0.054	0.080	-0.009	-0.459	0.812
YGL058W	-0.026	1.340	NaN	0.744	0.047	0.054
YGL059W	-0.030	0.490	-0.102	-0.117	-0.261	0.171
YGL060W	0.332	0.008	0.747	0.028	-0.329	0.130
YGL061C	NaN	-0.017	NaN	0.076	NaN	0.408
YGL062W	-0.041	-0.066	-0.158	-0.960	-0.201	0.281
YGL063W	-0.193	-0.008	-0.210	-0.561	-0.056	-0.002
YGL064C	-0.347	-0.021	0.036	-0.348	0.563	-0.142
YGL065C	NaN	-0.285	NaN	0.526	NaN	-0.055
YGL066W	0.270	0.315	0.199	-1.197	0.085	0.002
YGL067W	0.576	-0.002	-0.232	-0.327	-0.141	0.616
YGL068W	NaN	-0.181	NaN	1.167	NaN	-0.001
YGL069C	NaN	-0.635	NaN	-0.296	NaN	-0.032
YGL070C	1.233	0.095	NaN	-0.130	-0.046	-0.161
YGL071W	0.066	-0.078	-0.674	-0.189	-0.161	-0.186
YGL072C	-3.507	0.145	-7.228	-0.576	-2.906	-0.089
YGL073W	NaN	-1.554	NaN	0.043	NaN	-1.895
YGL074C	NaN	-0.192	NaN	-0.456	NaN	0.026
YGL075C	NaN	-0.287	NaN	0.790	NaN	2.038
YGL076C	0.204	1.188	0.083	0.014	0.607	0.298
YGL077C	-0.009	0.009	-0.189	-0.006	0.246	-0.033
YGL078C	0.742	0.022	0.775	-3.071	-0.077	-0.062
YGL079W	0.029	-0.066	-0.027	-1.515	-0.129	0.289
YGL080W	1.412	-0.385	0.601	0.084	-0.003	1.080
YGL081W	0.252	0.094	-0.235	-0.037	-0.099	0.012
YGL082W	0.018	-0.297	-0.005	0.007	-1.782	0.388
YGL083W	-0.010	0.039	-1.317	-0.022	-0.062	0.017
YGL084C	-2.771	0.021	-2.958	0.025	-1.372	-0.001
YGL085W	0.129	0.076	-0.084	-0.410	-1.005	-0.199
YGL086W	0.560	-0.090	0.182	1.063	-0.009	0.386
YGL087C	-0.185	0.204	-0.415	-1.257	-0.037	0.004
YGL088W	0.478	0.404	1.267	0.208	-0.017	0.185
YGL089C	0.751	-0.188	0.015	1.576	0.030	-0.001
YGL090W	0.117	0.912	0.371	1.410	-1.049	1.062
YGL091C	NaN	0.086	NaN	-0.009	NaN	0.115
YGL092W	NaN	-0.646	NaN	0.511	NaN	-0.068
YGL093W	NaN	0.638	NaN	-0.079	NaN	1.282
YGL094C	-0.026	-0.106	-0.074	0.213	-1.387	0.165
YGL095C	-3.237	0.042	-2.916	-0.085	-1.932	0.097
YGL096W	-0.045	-0.231	-0.087	-0.008	0.250	0.184
YGL097W	NaN	-1.285	NaN	-0.089	NaN	-0.022
YGL098W	NaN	-0.724	NaN	0.224	NaN	-0.036
YGL099W	NaN	1.259	NaN	-1.403	NaN	-0.019
YGL101W	-0.106	NaN	0.178	NaN	0.164	NaN
YGL102C	NaN	0.105	NaN	0.121	NaN	-0.027
YGL103W	NaN	-0.104	NaN	0.069	NaN	-0.254
YGL104C	0.376	NaN	0.118	NaN	0.035	NaN
YGL105W	-0.019	0.022	-0.003	-0.703	-0.048	0.036
YGL107C	0.319	-0.356	0.189	0.128	0.076	-0.009
YGL108C	0.072	-0.174	-0.136	-0.946	1.381	-1.765
YGL109W	-0.135	-0.132	-0.051	0.038	-0.008	0.051
YGL110C	-0.109	0.261	-1.496	0.370	-1.391	-0.350
YGL111W	NaN	-0.529	NaN	-0.013	NaN	0.038
YGL112C	NaN	-0.299	NaN	0.020	NaN	-0.205
YGL113W	NaN	0.095	NaN	-1.833	NaN	0.190
YGL114W	0.013	0.026	1.427	2.087	0.027	-0.376
YGL115W	-0.163	-0.370	0.029	-0.380	-0.115	-0.098
YGL116W	NaN	0.225	NaN	0.077	NaN	-0.133
YGL117W	-0.025	0.108	-1.064	0.044	1.451	0.297
YGL118C	0.375	-1.304	-0.147	-1.091	-0.492	-0.914
YGL120C	NaN	-0.054	NaN	-1.315	NaN	0.058
YGL121C	-0.033	-0.281	-0.148	-0.415	0.027	-0.098
YGL122C	NaN	0.010	NaN	0.672	NaN	-0.043
YGL123W	NaN	0.060	NaN	1.313	NaN	0.130
YGL124C	-0.043	0.258	1.052	0.042	1.451	0.213
YGL125W	0.759	0.230	0.227	-0.033	-0.005	0.061
YGL126W	-1.368	-0.133	0.016	0.318	-1.592	-0.028
YGL127C	-0.027	-1.136	0.145	1.099	0.019	0.112
YGL128C	NaN	-1.155	NaN	-2.282	NaN	-0.011
YGL129C	0.068	NaN	0.012	NaN	0.050	NaN
YGL130W	NaN	-0.633	NaN	-0.422	NaN	-0.025
YGL131C	0.001	-0.033	-0.034	0.035	-0.341	-0.003
YGL132W	0.000	-0.396	-0.112	-0.114	0.475	0.002
YGL133W	0.150	0.422	-0.173	0.790	0.036	0.146
YGL135W	0.094	0.343	0.105	0.662	0.228	-0.013
YGL136C	0.236	0.236	-0.386	-0.066	0.885	0.007
YGL137W	NaN	-0.065	NaN	-0.319	NaN	0.117
YGL138C	-0.030	-0.928	-0.006	-0.058	-0.513	-0.042
YGL139W	-0.150	-1.147	-0.125	1.080	0.055	-0.288
YGL140C	0.152	-0.441	0.014	0.008	0.340	0.026
YGL141W	0.016	0.530	1.129	0.033	0.079	0.121
YGL142C	NaN	0.761	NaN	1.888	NaN	-0.039
YGL143C	0.115	0.334	-0.234	0.157	-0.041	-0.379
YGL144C	0.052	0.077	-0.631	-0.019	-1.611	-0.055
YGL145W	NaN	0.415	NaN	0.061	NaN	-0.339
YGL146C	0.295	-0.414	0.007	-0.625	-0.286	-0.242
YGL147C	0.025	0.832	0.123	0.074	0.053	1.774
YGL148W	0.666	-0.904	0.065	-0.006	-0.260	-1.671
YGL149W	-0.463	-0.054	-0.196	-0.093	-0.234	0.932
YGL150C	NaN	-0.091	NaN	1.818	NaN	-0.069
YGL151W	0.130	-0.888	0.887	-0.691	-1.257	-0.011
YGL152C	0.056	-1.413	1.540	-0.108	-0.526	-0.932
YGL153W	0.121	0.143	0.093	1.822	0.016	0.069
YGL154C	0.057	-0.041	-0.124	-1.685	-0.041	0.067
YGL155W	NaN	-0.527	NaN	-0.052	NaN	-0.021
YGL156W	0.299	0.124	0.081	-0.001	0.032	-0.349
YGL157W	0.004	-0.112	1.123	-0.462	-0.186	-0.109
YGL158W	0.527	-0.684	0.165	0.118	-1.062	0.078
YGL159W	-0.104	-0.081	0.008	0.040	-0.080	-1.117
YGL160W	0.837	-0.079	-0.176	-1.070	-0.016	0.041
YGL161C	0.139	-0.000	0.059	-0.531	0.105	0.022
YGL162W	0.064	-0.132	-0.095	0.255	-0.067	0.682
YGL163C	0.588	-0.715	-0.020	0.260	-0.141	-0.001
YGL164C	0.279	-0.139	0.183	-0.074	1.044	0.131
YGL165C	0.036	NaN	0.014	NaN	-1.278	NaN
YGL166W	-0.142	0.209	0.051	-0.031	-0.553	0.099
YGL167C	-0.996	0.011	-3.965	0.093	-2.650	-0.866
YGL168W	-0.826	-0.051	-4.084	0.087	-3.115	-0.011
YGL169W	NaN	0.006	NaN	-0.018	NaN	0.376
YGL170C	-0.032	-0.266	-0.222	-0.252	-1.360	-0.209
YGL171W	NaN	-1.326	NaN	-0.103	NaN	-0.013
YGL172W	NaN	-0.003	NaN	0.096	NaN	0.038
YGL173C	NaN	-0.103	NaN	-0.274	NaN	0.208
YGL174W	NaN	-0.285	NaN	-0.008	NaN	0.005
YGL175C	0.120	-0.873	-0.920	0.361	-0.018	0.272
YGL176C	0.012	-0.491	0.206	-2.722	-0.316	-0.114
YGL177W	0.255	0.079	0.939	1.021	-1.986	-0.185
YGL179C	0.150	0.671	-0.394	-0.014	-1.315	-0.339
YGL180W	0.067	-0.167	-0.217	0.272	-1.143	-0.326
YGL181W	0.427	-0.409	0.059	0.158	-0.921	-0.246
YGL194C	0.330	-0.838	0.018	-0.020	0.069	-0.026
YGL195W	0.259	NaN	0.022	NaN	0.011	NaN
YGL196W	0.679	0.139	-0.505	-0.350	-0.156	0.076
YGL197W	-0.342	-0.135	0.173	0.058	-0.025	-0.141
YGL198W	-0.429	-0.337	-0.320	-0.028	-0.001	0.684
YGL199C	0.146	0.048	-0.187	0.083	0.879	0.448
YGL200C	0.283	0.899	-1.001	-0.189	0.151	-0.444
YGL201C	NaN	-0.490	NaN	-0.239	NaN	-0.359
YGL202W	-0.838	NaN	0.046	NaN	-0.859	NaN
YGL203C	0.137	0.098	0.166	-0.020	0.009	-0.110
YGL205W	-0.315	-0.809	0.025	0.080	-2.004	-0.616
YGL206C	NaN	0.107	NaN	-0.113	NaN	-0.161
YGL207W	NaN	0.065	NaN	0.169	NaN	0.039
YGL208W	0.252	0.192	-0.257	-0.506	0.122	-0.163
YGL209W	-1.065	-0.368	-0.066	-0.072	-0.277	-0.003
YGL210W	0.367	-0.173	-0.038	-0.011	0.004	0.375
YGL211W	-0.516	0.028	-0.146	-0.277	0.679	-0.212
