orf	hom | growth (colony size) | 6-azauracil [200 ug/ml] | Riles L~Reines D, 2004
YBR074W	0.030921560553576206
YBR076W	0.030921560553576206
YBR077C	0.030921560553576206
YBR078W	0.030921560553576206
YBR083W	0.030921560553576206
YBR084C-A	0.030921560553576206
YBR084W	0.030921560553576206
YBR090C	0.030921560553576206
YBR089C-A	0.030921560553576206
YBR092C	0.030921560553576206
YBR093C	0.030921560553576206
YBR094W	0.030921560553576206
YBR098W	0.030921560553576206
YBR099C	0.030921560553576206
YBR101C	0.030921560553576206
YBR103W	0.030921560553576206
YBR104W	0.030921560553576206
YBR105C	0.030921560553576206
YBR106W	0.030921560553576206
YBR107C	0.030921560553576206
YBR108W	0.030921560553576206
YBR113W	0.030921560553576206
YBR114W	0.030921560553576206
YBR116C	0.030921560553576206
YBR119W	0.030921560553576206
YBR120C	0.030921560553576206
YBR125C	0.030921560553576206
YBR126C	0.030921560553576206
YBR127C	0.030921560553576206
YBR128C	0.030921560553576206
YBR129C	0.030921560553576206
YBR130C	0.030921560553576206
YBR131W	0.030921560553576206
YBR133C	0.030921560553576206
YBR134W	0.030921560553576206
YBR137W	0.030921560553576206
YBR138C	0.030921560553576206
YBR139W	0.030921560553576206
YBR141C	0.030921560553576206
YBR144C	0.030921560553576206
YBR145W	0.030921560553576206
YBR146W	0.030921560553576206
YBR147W	0.030921560553576206
YBR148W	0.030921560553576206
YBR149W	0.030921560553576206
YBR150C	0.030921560553576206
YBR151W	0.030921560553576206
YBR156C	0.030921560553576206
YBR157C	0.030921560553576206
YBR158W	0.030921560553576206
YBR159W	0.030921560553576206
YBR161W	0.030921560553576206
YBR162C	0.030921560553576206
YBR162W-A	0.030921560553576206
YBR164C	0.030921560553576206
YBR168W	0.030921560553576206
YBR169C	0.030921560553576206
YBR170C	0.030921560553576206
YBR171W	0.030921560553576206
YBR172C	0.030921560553576206
YBR176W	0.030921560553576206
YBR177C	0.030921560553576206
YBR178W	0.030921560553576206
YBR181C	0.030921560553576206
YBR185C	0.030921560553576206
YBR186W	0.030921560553576206
YBR187W	0.030921560553576206
YBR188C	0.030921560553576206
YBR189W	0.030921560553576206
