orf	hap alpha | growth (colony size) | polygodial [2 ug/ml] | SD + his + leu + lys + ura | Kipanga PN~Luyten W, 2021	hap alpha | growth (colony size) | polygodial [6 ug/ml] | SD + his + leu + lys + ura | Kipanga PN~Luyten W, 2021
YMR263W	3.5	3.5
YMR264W	3.5	3.5
YMR265C	3.5	3.5
YMR269W	3.5	3.5
YMR272C	3.5	3.5
YMR273C	3.5	3.5
YMR274C	3.5	3.5
YMR275C	3.5	3.5
YMR276W	3.5	3.5
YMR278W	3.5	3.5
YMR280C	3.5	3.5
YMR283C	3.5	3.5
YMR284W	3.5	3.5
YMR285C	3.5	3.5
YMR289W	3.5	3.5
YMR291W	3.5	3.5
YMR292W	3.5	3.5
YMR294W	3.5	3.5
YMR294W-A	3.5	3.5
YMR295C	3.5	3.5
YMR297W	3.5	3.5
YMR299C	3.5	3.5
YMR300C	3.5	3.5
YMR302C	0.0	3.5
YMR303C	3.5	3.5
YMR304W	0.0	3.5
YMR304C-A	3.5	3.5
YMR305C	3.5	3.5
YMR306C-A	3.5	3.5
YMR307W	3.5	3.5
YMR310C	3.5	3.5
YNL339C	3.5	3.5
YNL338W	3.5	3.5
YNL336W	3.5	3.5
YNL335W	0.0	3.5
YNL334C	3.5	3.5
YNL333W	3.5	3.5
YNL332W	3.5	3.5
YNL329C	3.5	3.5
YNL328C	3.5	3.5
YNL327W	3.5	3.5
YNL326C	3.5	3.5
YNL324W	3.5	3.5
YNL325C	3.5	3.5
YNL323W	3.5	3.5
YNL322C	3.5	3.5
YNL321W	3.5	3.5
YNL320W	3.5	3.5
YNL319W	3.5	3.5
YNL318C	3.5	3.5
YNL314W	3.5	3.5
YNL311C	3.5	3.5
YNL307C	3.5	3.5
YNL305C	3.5	3.5
YNL304W	3.5	3.5
YNL303W	3.5	3.5
YNL302C	3.5	3.5
YNL301C	3.5	3.5
YNL299W	3.5	3.5
YNL298W	1.0	3.5
YNL296W	1.0	3.5
YNL297C	3.5	3.5
YNL295W	3.5	3.5
YNL294C	3.5	3.5
YNL293W	3.5	3.5
YNL292W	3.5	3.5
YNL291C	3.5	3.5
YNL289W	3.5	3.5
YNL288W	3.5	5.0
YNL286W	3.5	3.5
YNL285W	3.5	3.5
YNL283C	3.5	3.5
YNL281W	3.5	3.5
YNL280C	3.5	3.5
YNL278W	3.5	3.5
YNL275W	3.5	5.0
YNL273W	3.5	3.5
YNL271C	3.5	3.5
YNL270C	3.5	3.5
YNL269W	3.5	5.0
YNL266W	3.5	3.5
YNL265C	3.5	3.5
YNL264C	3.5	3.5
YNL259C	3.5	3.5
YNL257C	0.0	3.5
YNL255C	3.5	3.5
YNL254C	3.5	3.5
YNL253W	3.5	3.5
YNL249C	3.5	3.5
YNL248C	3.5	3.5
YNL246W	3.5	3.5
YOR001W	3.5	3.5
YOR002W	3.5	3.5
YOR003W	3.5	3.5
YOR005C	3.5	3.5
YOR006C	3.5	3.5
YOR007C	1.0	3.5
YOR008C	3.5	3.5
YOR009W	3.5	3.5
YOR010C	3.5	3.5
YOR011W	3.5	3.5
YOR012W	3.5	3.5
YOR013W	3.5	3.5
YOR014W	3.5	3.5
YOR015W	3.5	3.5
YOR016C	3.5	3.5
YOR017W	3.5	3.5
YOR018W	3.5	3.5
YOR019W	3.5	3.5
YOR021C	3.5	3.5
YOR022C	3.5	3.5
YOR023C	3.5	3.5
YOR024W	3.5	3.5
YOR025W	3.5	3.5
YOR026W	3.5	3.5
YOR027W	3.5	3.5
YOR028C	3.5	3.5
YOR029W	3.5	3.5
YOR030W	3.5	3.5
YOR032C	3.5	3.5
YOR033C	3.5	3.5
YOR034C	3.5	3.5
YOR035C	3.5	3.5
YOR036W	3.5	3.5
YOR037W	3.5	3.5
YOR038C	3.5	3.5
YOR039W	3.5	3.5
YOR040W	3.5	3.5
YOR041C	3.5	3.5
YOR042W	3.5	3.5
YOR043W	3.5	3.5
YOR044W	3.5	3.5
YOR045W	3.5	3.5
YOR047C	3.5	3.5
YOR049C	3.5	3.5
YOR050C	3.5	3.5
YOR051C	3.5	3.5
YOR052C	3.5	3.5
YOR053W	3.5	3.5
YOR054C	3.5	3.5
YOR055W	3.5	3.5
YOR058C	3.5	3.5
YOR059C	3.5	3.5
YOR061W	3.5	6.0
YOR062C	3.5	3.5
YOR064C	3.5	3.5
YOR066W	3.5	3.5
YOR067C	3.5	3.5
YOR068C	3.5	3.5
YOR069W	3.5	3.5
YOR070C	0.0	3.5
YOR071C	3.5	3.5
YOR072W	3.5	3.5
YOR073W	3.5	3.5
YOR076C	3.5	3.5
YOR078W	3.5	5.0
YOR079C	3.5	3.5
YOR080W	3.5	3.5
YOR081C	3.5	3.5
YOR082C	3.5	3.5
YOR083W	3.5	3.5
YOR084W	3.5	3.5
YOR085W	3.5	3.5
YOR086C	3.5	3.5
YOR087W	3.5	3.5
YOR089C	3.5	5.0
YOR090C	3.5	3.5
YOR091W	3.5	3.5
YOR092W	3.5	3.5
YOR093C	3.5	3.5
YOR094W	3.5	3.5
YOR289W	3.5	3.5
YER070W	3.5	3.5
YOR291W	3.5	3.5
YOR292C	3.5	3.5
YOR293W	3.5	3.5
YOR295W	3.5	3.5
YOR296W	3.5	3.5
YOR297C	3.5	3.5
YOR298W	3.5	3.5
YOR299W	3.5	3.5
YOR301W	3.5	3.5
YOR302W	3.5	3.5
YOR303W	0.5	3.5
YOR304C-A	3.5	3.5
YOR304W	3.5	3.5
YOR307C	3.5	3.5
YOR308C	3.5	3.5
YOR311C	3.5	3.5
YOR312C	3.5	3.5
YOR313C	3.5	3.5
YOR314W	3.5	3.5
YOR315W	3.5	3.5
YOR316C	3.5	3.5
YOR320C	3.5	3.5
YOR321W	3.5	3.5
YOR322C	3.5	3.5
YOR323C	0.0	3.5
YOR324C	3.5	3.5
YOR327C	3.5	3.5
YOR328W	3.5	3.5
YOR332W	0.0	3.5
YOR334W	3.5	5.0
YOR337W	3.5	5.0
YOR338W	3.5	3.5
YOR339C	3.5	3.5
YOR342C	3.5	3.5
YOR343C	3.5	3.5
YOR344C	3.5	5.0
YOR346W	3.5	3.5
YOR347C	3.5	3.5
YOR348C	3.5	3.5
YOR349W	3.5	5.0
YOR350C	3.5	3.5
YOR351C	3.5	3.5
YOR352W	3.5	3.5
YOR354C	3.5	3.5
YOR355W	3.5	5.0
YOR356W	3.5	3.5
YOR357C	3.5	3.5
YOR358W	3.5	6.0
YOR359W	3.5	3.5
YOR360C	3.5	3.5
YOR363C	3.5	3.5
YOR365C	3.5	3.5
YOR367W	3.5	3.5
YOR368W	3.5	3.5
YOR371C	3.5	3.5
YOR374W	3.5	3.5
YOR376W	3.5	3.5
YOR377W	3.5	3.5
YOR378W	3.5	5.0
YOR380W	3.5	3.5
YOR381W	3.5	3.5
YOR382W	3.5	3.5
YOR383C	3.5	5.0
YOR384W	3.5	3.5
YOR385W	3.5	3.5
YOR386W	3.5	3.5
YOL001W	3.5	3.5
YOL002C	3.5	3.5
YOL003C	3.5	3.5
YOL004W	3.5	3.5
YOL006C	3.5	3.5
YOL007C	3.5	3.5
YOL008W	3.5	3.5
YOL011W	3.5	3.5
YOL012C	3.5	3.5
YOL013C	3.5	3.5
YOL014W	3.5	3.5
YOL015W	3.5	3.5
YOL017W	3.5	3.5
YOL018C	3.5	3.5
YOL019W	3.5	3.5
YOL020W	3.5	3.5
YOL023W	3.5	3.5
YOL024W	3.5	3.5
YOL025W	3.5	5.0
YOL027C	3.5	3.5
YOL028C	3.5	5.0
YOL029C	3.5	3.5
YOL030W	3.5	3.5
YOL031C	3.5	3.5
YOL032W	3.5	3.5
YOL035C	3.5	3.5
YOL036W	3.5	3.5
YOL037C	3.5	3.5
YOL039W	3.5	5.0
YOL041C	3.5	5.0
YOL042W	3.5	3.5
YOL043C	3.5	3.5
YOL044W	3.5	3.5
YOL045W	3.5	3.5
YOL046C	3.5	3.5
YOL047C	3.5	3.5
YOL048C	3.5	3.5
YOL049W	3.5	3.5
YOL050C	3.5	3.5
YOL051W	1.0	3.5
YOL052C	3.5	3.5
YOL052C-A	3.5	3.5
YOL053W	3.5	3.5
YOL054W	3.5	3.5
YOL055C	3.5	3.5
YOL056W	3.5	3.5
YOL057W	3.5	3.5
YOL058W	3.5	3.5
YOL059W	3.5	5.0
YOL060C	3.5	3.5
YOL061W	3.5	3.5
YOL062C	3.5	3.5
YOL063C	3.5	3.5
YOL064C	3.5	3.5
YOL065C	3.5	3.5
YOL067C	3.5	3.5
YOL068C	3.5	3.5
YOL070C	3.5	3.5
YOL071W	3.5	5.0
YOL072W	3.5	3.5
YOL075C	3.5	3.5
YOL076W	3.5	3.5
YOL079W	3.5	5.0
YOL080C	3.5	3.5
YOL081W	0.0	3.5
YOL082W	3.5	3.5
YOL084W	3.5	3.5
YOL085C	3.5	3.5
YPL274W	3.5	3.5
YPL273W	3.5	3.5
YPL272C	3.5	3.5
YPL270W	3.5	3.5
YPL269W	3.5	3.5
YPL267W	3.5	5.0
YPL265W	3.5	3.5
YPL264C	3.5	3.5
YPL263C	3.5	3.5
YPL262W	3.5	6.0
YPL260W	3.5	3.5
YPL261C	3.5	3.5
YPL259C	3.5	3.5
YPL258C	3.5	3.5
YPL257W	3.5	3.5
YPL256C	3.5	3.5
YPL254W	3.5	3.5
YPL253C	3.5	3.5
YPL250C	3.5	3.5
YPL249C	3.5	3.5
YPL248C	3.5	3.5
YPL247C	3.5	3.5
YPL246C	3.5	3.5
YPL245W	3.5	3.5
YPL244C	3.5	3.5
YPL241C	3.5	3.5
YPL240C	3.5	3.5
YPL239W	3.5	3.5
YPL236C	3.5	5.0
YPL234C	3.5	3.5
YPL232W	3.5	3.5
YPL230W	3.5	3.5
YPL229W	3.5	3.5
YPL227C	3.5	3.5
YPL226W	3.5	3.5
YPL225W	3.5	3.5
YPL223C	3.5	3.5
YPL222W	3.5	3.5
YPL221W	3.5	3.5
YPL220W	3.5	3.5
YPL219W	3.5	3.5
YPL216W	3.5	3.5
YPL214C	3.5	3.5
YPL213W	3.5	3.5
YPL212C	3.5	3.5
YPL208W	3.5	3.5
YPL207W	3.5	3.5
YPL206C	3.5	3.5
YPL205C	3.5	3.5
YPL203W	3.5	3.5
YPL202C	3.5	3.5
YPL201C	3.5	3.5
YPL200W	3.5	3.5
YPL199C	3.5	3.5
YPL198W	3.5	3.5
YPL197C	3.5	3.5
YPL196W	3.5	3.5
YPL195W	3.5	3.5
YPL194W	3.5	3.5
YPL193W	3.5	3.5
YPL192C	3.5	3.5
YPL191C	3.5	3.5
YPL189W	3.5	3.5
YPL188W	1.0	3.5
YPL187W	3.5	3.5
YPL185W	3.5	3.5
YPL186C	3.5	3.5
YPL184C	3.5	3.5
YPL181W	3.5	3.5
YPL182C	3.5	3.5
YPL180W	3.5	3.5
YPL179W	3.5	3.5
YPL178W	3.5	3.5
YPL177C	3.5	3.5
YPL176C	3.5	3.5
YPL174C	3.5	3.5
YPL171C	3.5	3.5
YPL170W	3.5	3.5
YPL168W	3.5	3.5
YPL167C	3.5	3.5
YPL166W	3.5	3.5
YPL165C	3.5	3.5
YPL164C	3.5	3.5
YPL163C	3.5	3.5
YPL162C	3.5	3.5
YPL161C	3.5	3.5
YPL159C	3.5	3.5
YPL157W	3.5	3.5
YPL156C	3.5	3.5
YPL155C	3.5	3.5
YPL154C	3.5	3.5
YPL152W	3.5	3.5
YPL150W	3.5	3.5
YPL149W	3.5	3.5
YPL147W	3.5	3.5
YPL145C	3.5	3.5
YPL144W	3.5	3.5
YPL141C	3.5	3.5
YPL140C	3.5	3.5
YPL139C	3.5	3.5
YPL138C	3.5	3.5
YPL136W	3.5	3.5
YPL135W	3.5	3.5
YPL133C	3.5	3.5
YPL130W	3.5	3.5
YPL129W	0.0	3.5
YPL127C	3.5	3.5
YPL125W	3.5	3.5
YPL123C	3.5	3.5
YPL121C	3.5	3.5
YPL120W	3.5	3.5
YPL119C	3.5	3.5
YPL118W	3.5	3.5
YPL116W	3.5	3.5
YPL115C	3.5	3.5
YPL114W	3.5	3.5
YPL113C	3.5	3.5
YPL112C	3.5	3.5
YPL111W	3.5	3.5
YPL110C	3.5	3.5
YPL109C	3.5	3.5
YPL108W	3.5	3.5
YPL107W	3.5	3.5
YPL106C	3.5	3.5
YPL105C	3.5	3.5
YPL103C	3.5	3.5
YPL101W	3.5	3.5
YPL102C	3.5	3.5
YPL100W	3.5	3.5
YPL099C	3.5	3.5
YPL098C	3.5	3.5
YPL097W	3.5	3.5
YPL096W	3.5	3.5
YPL095C	3.5	3.5
YPL092W	3.5	3.5
YBR173C	3.5	3.5
YBR174C	3.5	3.5
YBR175W	3.5	3.5
YBR176W	3.5	3.5
YBR177C	3.5	3.5
YBR178W	3.5	3.5
YBR180W	3.5	3.5
YBR181C	3.5	3.5
YBR182C	3.5	3.5
YBR183W	3.5	3.5
YBR184W	3.5	3.5
YBR185C	3.5	3.5
YBR186W	3.5	3.5
YBR187W	3.5	3.5
YBR188C	3.5	3.5
YBR194W	3.5	3.5
YBR195C	3.5	3.5
YBR197C	3.5	3.5
YBR199W	3.5	3.5
YBR200W	3.5	3.5
YBR201W	3.5	3.5
YBR203W	3.5	3.5
YBR204C	3.5	3.5
YBR205W	3.5	3.5
YBR206W	3.5	3.5
YBR207W	3.5	3.5
YBR208C	3.5	3.5
YBR209W	3.5	3.5
YBR210W	3.5	3.5
YBR212W	3.5	3.5
YBR213W	3.5	3.5
YBR214W	3.5	3.5
YBR215W	3.5	3.5
YBR216C	3.5	3.5
YBR217W	1.0	3.5
YBR218C	3.5	3.5
YBR219C	3.5	3.5
YBR220C	3.5	3.5
YBR221C	3.5	3.5
YBR222C	3.5	3.5
YBR223C	3.5	3.5
YBR224W	3.5	3.5
YBR225W	3.5	3.5
YBR226C	3.5	3.5
YBR227C	3.5	3.5
YBR228W	3.5	3.5
YBR229C	3.5	3.5
YBR230C	3.5	3.5
YBR231C	3.5	3.5
YBR233W	3.5	3.5
YBR235W	3.5	3.5
YBR238C	3.5	3.5
YBR239C	3.5	3.5
YBR240C	3.5	3.5
YBR241C	3.5	3.5
YBR242W	3.5	3.5
YBR244W	3.5	3.5
YBR245C	3.5	3.5
YBR246W	3.5	3.5
YBR248C	3.5	3.5
YBR249C	3.5	3.5
YBR250W	3.5	3.5
YBR255W	3.5	3.5
YBR258C	3.5	3.5
YBR259W	3.5	3.5
YBR260C	3.5	3.5
YBR261C	3.5	3.5
YBR262C	3.5	3.5
YBR263W	3.5	3.5
YBR264C	3.5	3.5
YBR266C	3.5	3.5
YBR267W	3.5	3.5
YDR049W	3.5	3.5
YDR051C	3.5	3.5
YDR055W	3.5	3.5
YDR056C	3.5	3.5
YDR057W	3.5	3.5
YDR059C	3.5	3.5
YDR061W	3.5	3.5
YDR063W	3.5	3.5
YDR065W	3.5	3.5
YDR066C	3.5	3.5
YDR067C	3.5	3.5
YDR068W	3.5	3.5
YDR069C	3.5	3.5
YDR070C	3.5	3.5
YDR072C	3.5	3.5
YDR073W	3.5	3.5
YDR075W	3.5	3.5
YDR076W	3.5	3.5
YDR078C	3.5	3.5
YDR079W	3.5	3.5
YDR080W	3.5	3.5
YDR083W	3.5	3.5
YDR084C	3.5	3.5
YDR085C	3.5	3.5
YDR089W	3.5	3.5
YDR090C	3.5	3.5
YDR092W	3.5	5.5
YDR093W	3.5	3.5
YDR094W	3.5	3.5
YDR095C	3.5	3.5
YDR096W	3.5	3.5
YDR097C	3.5	3.5
YDR098C	3.5	3.5
YDR099W	3.5	3.5
YDR100W	3.5	3.5
YDR101C	3.5	3.5
YDR102C	3.5	3.5
YDR104C	3.5	3.5
YDR105C	3.5	3.5
YDR107C	3.5	3.5
YDR108W	3.5	3.5
YDR109C	3.5	3.5
YDR110W	3.5	3.5
YDR111C	3.5	3.5
YDR112W	3.5	3.5
YDR116C	3.5	3.5
YDR117C	3.5	3.5
YDR119W	3.5	3.5
YDR120C	3.5	3.5
YDR121W	3.5	3.5
YDR122W	3.5	3.5
YDR123C	3.5	3.5
YDR124W	3.5	3.5
YDR125C	3.5	3.5
YDR126W	3.5	3.5
YDR128W	3.5	3.5
YDR129C	3.5	3.5
YDR130C	3.5	3.5
YDR131C	3.5	3.5
YDR132C	3.5	3.5
YDR133C	3.5	3.5
YDR135C	3.5	3.5
YDR136C	1.0	3.5
YDR137W	1.0	3.5
YER055C	3.5	3.5
YDR139C	3.5	3.5
YDR140W	3.5	3.5
YDR142C	3.5	3.5
YDR143C	3.5	3.5
YDR144C	3.5	3.5
YDR146C	3.5	3.5
YDR338C	3.5	3.5
YDR340W	3.5	3.5
YDR344C	3.5	3.5
YDR345C	3.5	3.5
YDR346C	3.5	3.5
YDR348C	3.5	3.5
YDR349C	3.5	3.5
YDR351W	3.5	3.5
YDR352W	3.5	3.5
YDR354W	3.5	3.5
YDR357C	3.5	3.5
YDR358W	3.5	3.5
YDR359C	1.0	3.5
YDR360W	3.5	3.5
YDR363W	3.5	3.5
YDR364C	3.5	3.5
YDR368W	3.5	3.5
YDR369C	3.5	3.5
YDR370C	3.5	3.5
YDR371W	3.5	3.5
YDR372C	3.5	3.5
YDR374C	3.5	3.5
YDR378C	3.5	3.5
YDR379W	3.5	3.5
YDR380W	3.5	3.5
YDR382W	3.5	3.5
YDR383C	3.5	3.5
YDR384C	3.5	3.5
YDR385W	3.5	3.5
YDR386W	3.5	3.5
YDR387C	3.5	3.5
YDR388W	3.5	6.0
YDR389W	3.5	3.5
YDR391C	3.5	3.5
YDR392W	3.5	3.5
YDR393W	3.5	3.5
YDR395W	3.5	3.5
YDR399W	3.5	3.5
YDR400W	3.5	3.5
YDR401W	3.5	3.5
YDR402C	3.5	3.5
YDR403W	3.5	3.5
YDR405W	3.5	3.5
