ORF	hom | growth (relative abundance in pooled culture) | YPGal, time [15 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | glucitol [1.5 M], time [15 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | SD + His + Leu + Ura, time [15 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | sodium chloride [1 M], time [15 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | pH [8], time [15 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | YPGal, time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | glucitol [1.5 M], time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | pH [8], time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | sodium chloride [1 M], time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | SD + His + Leu + Ura, time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | nystatin [10 uM], time [15 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | nystatin [10 uM], time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | SC, time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | SC -Lys, time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | SC -Trp, time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | SC -Thr, time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | standard | YPD | Giaever G~Johnston M, 2002	hom | cell size | standard | YPAD | Giaever G~Johnston M, 2002	hom | elongated cell shape | standard | YPAD | Giaever G~Johnston M, 2002	hom | round cell shape | standard | YPAD | Giaever G~Johnston M, 2002	hom | clumped cell shape | standard | YPAD | Giaever G~Johnston M, 2002	hom | football cell shape | standard | YPAD | Giaever G~Johnston M, 2002
YDR001C	-2.098	-35.149	1.523	-10.241	0.373	0.185	0.698	0.508	-0.341	-0.950	0.980	1.470	-1.814	-1.621	-1.091	-4.950	0.000	0.000	0.000	0.000	0.000	0.000
YDR003W	1.121	-2.419	1.940	-10.786	1.402	-0.446	-1.391	0.310	0.359	-2.580	1.095	1.143	-0.133	-0.527	-0.678	-0.774	0.000	0.000	0.000	0.000	0.000	0.000
YDR004W	-0.991	-0.064	0.018	-1.190	0.101	-4.060	-1.162	-6.375	1.081	-3.198	1.584	-5.464	-12.614	-10.340	-9.466	-5.524	-3.500	3.000	0.000	0.000	0.000	0.000
YDR005C	-3.686	0.861	-13.014	-10.682	-163.306	-2.563	1.310	-11.249	0.546	-4.565	0.750	1.480	-4.481	-3.432	-5.700	-7.243	0.000	0.000	0.000	0.000	0.000	0.000
YDR006C	0.305	-11.353	-2.089	-69.119	-14.270	0.243	-27.775	-1.948	-3.582	-3.179	2.131	-1.195	2.965	-0.758	-0.221	0.064	0.000	0.000	0.000	0.000	0.000	0.000
YDR007W	-1.147	-7.379	-112.258	-5.281	-36.240	-2.625	-43.883	-47.307	-18.910	-210.728	-1.288	-0.561	-9.050	-12.399	-190.126	-14.019	0.000	0.000	0.000	0.000	0.000	0.000
YDR008C	-2.486	-8.790	-81.743	-8.135	-45.995	0.592	-24.833	-59.465	-19.912	-155.340	-0.630	-0.985	-8.321	-11.216	-138.357	-13.602	0.000	0.000	0.000	0.000	0.000	0.000
YDR009W	-351.543	2.270	2.377	-27.501	-3.741	-51.067	1.104	1.256	-0.631	1.452	-2.171	0.242	-5.269	-5.124	-5.946	-6.882	0.000	0.000	0.000	0.000	0.000	0.000
YDR010C	-1.497	3.506	1.714	-21.888	-8.844	0.678	-2.878	1.524	-0.218	-0.646	1.560	0.463	-7.756	-10.608	-10.837	-10.620	0.000	0.000	0.000	0.000	0.000	0.000
YDR011W	-0.485	-0.182	2.440	-4.206	-34.451	2.380	-0.293	-2.451	0.033	1.227	1.588	2.292	-3.779	-4.528	-6.327	-1.945	0.000	0.000	0.000	0.000	0.000	0.000
YDR014W	-1.397	-43.806	-9.276	-22.935	-7.147	-0.346	-1.465	-0.601	-1.782	-4.164	0.618	0.740	-4.126	-3.469	-6.622	-1.194	0.000	0.000	0.000	0.000	0.000	0.000
YDR015C	-1.266	2.084	-0.162	-13.456	0.018	2.328	0.193	1.446	0.755	0.254	0.698	-1.399	-9.960	-11.738	-11.259	-10.881	0.000	0.000	0.000	0.000	0.000	0.000
YDR017C	2.280	2.103	2.490	11.826	0.235	0.317	-2.554	1.809	0.804	2.433	-0.459	-1.619	0.277	0.598	-0.480	-0.967	-13.100	0.000	0.000	2.000	0.000	0.000
YDR018C	0.651	1.761	-0.396	-8.764	-4.047	0.523	0.451	0.339	1.039	1.881	-1.491	1.532	-3.675	-1.963	-3.629	-2.138	0.000	0.000	0.000	0.000	0.000	0.000
YDR019C	1.558	-3.054	2.609	-34.964	-2.557	0.986	0.072	0.355	-0.350	-0.517	-1.884	0.537	-8.868	-7.302	-7.243	-7.901	0.000	0.000	0.000	0.000	0.000	0.000
YDR020C	-8.595	-62.205	2.626	-50.210	1.789	0.744	0.206	0.782	0.060	-4.590	-5.658	1.696	-0.141	0.134	-0.649	-4.709	0.000	0.000	0.000	0.000	0.000	0.000
YDR022C	-0.383	-6.392	-3.526	-82.856	-7.858	1.640	-6.333	-0.858	-0.330	-2.186	-1.669	2.855	1.741	1.938	1.784	1.839	0.000	0.000	0.000	0.000	0.000	0.000
YDR024W	-0.522	3.188	-3.121	31.015	3.703	0.094	-0.861	-0.451	0.816	-0.477	1.752	-1.307	-1.956	-1.834	1.829	1.781	-6.600	0.000	0.000	2.000	0.000	0.000
YDR025W	0.262	0.436	-2.225	32.774	11.817	0.205	0.197	10.809	-0.550	2.575	0.587	0.960	4.243	2.959	2.365	2.426	-4.200	0.000	0.000	0.000	0.000	0.000
YDR026C	1.104	1.868	-0.102	-7.199	0.636	1.058	1.111	0.645	-1.213	0.779	1.063	0.686	-1.961	-1.146	-1.288	-0.974	0.000	0.000	0.000	0.000	0.000	0.000
YDR027C	0.740	-3.093	-3.498	43.566	7.313	-1.205	-2.424	4.904	1.793	2.709	2.544	0.123	5.916	6.046	4.170	0.693	-4.200	0.000	0.000	2.000	0.000	0.000
YDR028C	0.043	12.818	0.413	17.626	-0.779	-0.543	0.666	-5.564	1.364	0.794	0.986	1.213	0.855	0.064	1.324	0.490	-6.300	-2.000	0.000	0.000	0.000	0.000
YDR029W	1.452	-2.554	-0.275	-6.518	-0.575	1.716	0.884	1.653	-1.240	-2.112	0.092	-1.071	-4.552	-1.337	-3.458	-3.987	0.000	0.000	0.000	0.000	0.000	0.000
YDR030C	-1.909	2.809	-0.290	-13.015	0.494	1.839	1.982	1.204	0.406	0.784	-1.939	-0.675	-6.146	-4.530	-5.767	-4.970	0.000	0.000	0.000	0.000	0.000	0.000
YDR031W	0.695	0.966	2.498	-6.525	0.300	1.007	-0.375	-0.806	1.119	-1.465	2.186	1.879	-2.545	-3.119	-2.151	-1.965	0.000	0.000	0.000	0.000	0.000	0.000
YDR032C	-1.297	1.133	2.202	-16.905	-2.301	1.947	1.390	0.986	-0.072	-0.281	1.742	0.334	-1.254	-2.262	-2.055	-1.960	0.000	0.000	0.000	0.000	0.000	0.000
YDR033W	-0.812	-2.086	-2.743	-2.572	-0.106	2.206	1.699	1.687	0.735	0.927	-1.124	2.022	1.492	1.676	1.170	2.057	0.000	0.000	0.000	0.000	0.000	0.000
YDR034C	1.564	-20.943	-539.617	-40.717	-5.061	1.098	-24.123	-4.385	-6.610	-78.956	2.669	-1.452	-10.758	-35.542	-0.594	2.104	0.000	0.000	0.000	0.000	0.000	0.000
YDR035W	-0.066	0.297	2.384	-47.404	-40.397	1.756	-2.097	-15.550	-9.713	0.180	1.566	-4.386	-13.233	-12.945	-66.699	-20.952	0.000	0.000	0.000	0.000	0.000	0.000
YDR036C	2.229	-4.638	-0.160	-15.667	-0.438	2.985	-6.238	-2.072	-4.209	-0.013	-3.905	0.024	-6.239	-4.134	-4.608	-5.673	0.000	0.000	0.000	0.000	0.000	0.000
YDR042C	0.402	-2.082	-0.746	-39.853	-3.388	2.763	0.302	0.997	-1.703	-2.079	1.564	0.829	-4.138	-2.221	-3.885	-2.942	0.000	0.000	0.000	0.000	0.000	0.000
YDR043C	-0.504	1.009	0.599	26.723	-31.706	1.553	-1.277	-1.655	-1.128	-0.184	8.340	-0.465	-0.886	-2.050	-2.625	-2.709	0.000	0.000	0.000	0.000	0.000	0.000
YDR046C	0.488	0.173	2.504	-2.359	-0.099	1.563	1.345	1.889	1.588	1.469	2.092	1.431	0.596	0.281	-0.788	1.294	0.000	0.000	0.000	0.000	0.000	0.000
YDR048C	-5.519	-3.532	1.187	-9.065	-17.035	0.564	-2.491	-1.251	1.253	-0.458	0.186	0.634	-0.149	-0.726	0.252	-0.045	0.000	0.000	0.000	0.000	0.000	0.000
YDR049W	0.712	1.977	2.221	-2.621	-0.479	0.343	-0.439	0.356	0.833	0.744	-84.247	-25.210	-0.585	-2.061	-0.594	-4.071	-3.200	0.000	0.000	0.000	0.000	3.000
YDR051C	-0.903	-2.468	0.237	-26.687	-2.463	0.072	0.645	-1.568	-1.270	-2.183	-4.343	-3.108	-4.287	-6.440	-10.051	-10.779	0.000	0.000	0.000	0.000	0.000	0.000
YDR055W	-1.301	-0.099	-9.199	-29.946	-8.422	-2.243	-0.691	-1.155	-2.593	-1.962	-1.620	-1.042	-2.157	-2.837	-3.293	-3.759	0.000	0.000	0.000	0.000	0.000	0.000
YDR056C	-2.631	1.280	2.455	-8.025	-1.387	0.617	-0.740	0.340	0.860	3.051	-0.660	-1.185	0.557	0.389	1.099	1.340	0.000	0.000	0.000	0.000	0.000	0.000
YDR057W	-0.154	-6.906	-2.999	14.770	-29.278	-2.202	1.039	-2.361	-2.843	2.018	-31.462	-6.574	-2.260	-0.106	-1.719	-0.823	0.000	0.000	0.000	0.000	0.000	0.000
YDR058C	-1.753	1.113	0.416	-58.397	-6.004	-1.628	2.416	1.450	0.347	1.395	0.350	-2.389	-1.946	0.008	2.265	2.427	0.000	0.000	0.000	0.000	0.000	0.000
YDR059C	-1.124	-0.107	-2.448	-5.397	-3.409	0.797	0.567	-2.661	-1.326	-2.445	-0.192	1.761	-0.757	0.423	-0.126	-0.792	0.000	0.000	0.000	0.000	0.000	0.000
YDR061W	-1.599	0.323	-2.969	-6.737	0.848	0.462	2.810	-1.681	0.195	-1.562	-2.585	-0.972	-6.246	-4.519	-4.102	-5.754	0.000	0.000	0.000	0.000	0.000	0.000
YDR063W	-3.693	-0.945	2.537	-2.619	0.754	-0.303	-3.276	-0.085	1.206	2.363	1.255	2.203	-1.273	0.327	-0.922	-1.499	0.000	0.000	0.000	0.000	0.000	0.000
YDR065W	-0.503	0.853	0.282	21.302	3.389	-0.991	9.817	1.582	0.819	0.009	-0.530	0.063	1.330	1.112	1.589	1.657	-4.400	0.000	0.000	0.000	0.000	0.000
YDR066C	-3.203	-1.742	-3.187	-10.472	-1.283	2.635	-1.439	3.033	1.267	2.099	0.235	-3.117	-10.239	-11.719	-13.362	-12.406	0.000	0.000	0.000	0.000	0.000	0.000
YDR067C	-10.221	-2.428	-1.928	-30.127	2.836	1.557	0.290	-0.765	-0.902	-1.416	-2.793	-4.816	-15.514	-31.757	-58.656	-16.795	0.000	0.000	0.000	0.000	0.000	0.000
YDR068W	-3.072	-0.266	0.113	-8.332	-2.599	1.698	-0.089	0.218	-0.986	-2.687	-1.965	0.394	-1.055	0.034	-0.663	-1.037	0.000	0.000	0.000	0.000	0.000	0.000
YDR069C	2.087	12.093	2.248	10.456	2.146	1.719	20.131	1.493	6.598	1.633	-2.804	-0.263	-0.734	-1.217	-1.566	0.955	-9.100	0.000	0.000	0.000	0.000	0.000
YDR070C	-7.013	-4.195	-0.393	-27.423	-6.710	1.597	-2.968	1.540	0.773	1.109	-1.716	1.939	1.389	1.431	0.895	0.801	0.000	0.000	0.000	0.000	0.000	0.000
YDR071C	2.277	-1.670	-0.890	-7.203	-2.613	-2.845	1.590	1.803	-0.993	0.921	2.741	0.327	-1.439	0.101	0.715	-3.244	0.000	0.000	0.000	0.000	0.000	0.000
YDR072C	-9.333	8.584	1.145	-77.609	-14.431	1.116	-0.820	1.723	-4.684	2.581	7.697	0.885	-1.285	-4.973	-3.145	-11.033	0.000	0.000	0.000	0.000	0.000	0.000
YDR073W	-1.528	0.513	-2.403	2.489	-2.382	0.895	1.260	0.226	0.618	0.338	18.549	-0.465	0.364	1.173	1.636	-0.172	0.000	0.000	0.000	0.000	0.000	0.000
YDR074W	-0.814	2.411	-0.473	-2.582	1.532	2.283	-0.081	-2.029	-0.790	4.469	2.667	1.944	2.001	1.928	1.538	1.973	-18.000	0.000	0.000	0.000	0.000	0.000
YDR075W	-2.822	-0.311	0.502	-17.615	-27.343	0.686	1.744	0.643	-1.439	0.863	1.412	2.185	0.568	-0.536	-2.674	-0.298	0.000	2.000	0.000	0.000	0.000	0.000
YDR076W	-4.175	7.351	-0.180	9.991	-5.317	0.465	2.455	-1.089	0.574	0.037	1.630	0.400	0.944	0.216	-1.526	0.756	-3.000	3.000	2.000	0.000	0.000	0.000
YDR077W	-4.380	4.885	-0.616	-13.641	-353.626	1.085	4.146	-19.080	-5.703	10.100	-3.012	0.345	-5.139	-4.526	-5.177	-6.093	0.000	0.000	0.000	0.000	0.000	0.000
YDR078C	-8.117	-0.625	-0.497	-5.483	-1.249	0.585	-0.168	0.774	-1.481	0.650	0.483	2.012	1.955	1.244	1.270	1.442	0.000	0.000	0.000	0.000	0.000	0.000
YDR079W	0.550	4.034	0.620	62.084	8.404	0.769	2.601	-1.445	-0.558	0.115	1.372	0.041	-0.284	1.489	1.717	-1.475	-4.700	0.000	0.000	0.000	0.000	0.000
YDR080W	-2.001	-0.116	-6.943	-1.416	-41.077	-0.361	-0.883	-8.659	0.992	-0.150	-21.117	-8.706	-1.754	0.807	-1.160	0.148	0.000	0.000	0.000	0.000	0.000	0.000
YDR083W	11.420	-2.794	-1.970	-6.694	-1.942	-0.449	-1.936	-5.243	-8.096	-0.984	0.236	0.205	1.103	1.322	0.709	-2.798	0.000	0.000	0.000	0.000	0.000	3.000
YDR084C	-9.929	0.446	-3.413	-64.141	-3.493	2.121	0.434	-0.029	-2.205	-1.000	3.475	-0.085	1.589	-0.367	0.939	-2.305	0.000	0.000	0.000	0.000	0.000	0.000
YDR085C	-3.394	-2.398	-1.115	-13.316	0.549	-0.252	-1.326	-0.049	0.660	-0.741	0.887	0.457	0.263	0.032	-0.031	0.187	0.000	0.000	0.000	0.000	0.000	0.000
YDR089W	-1.978	-2.385	0.033	31.763	5.276	-0.443	-2.802	3.516	1.590	2.105	-0.695	-0.687	5.132	2.285	2.295	-4.182	0.000	0.000	0.000	0.000	0.000	0.000
YDR090C	0.950	1.438	2.571	-4.868	-1.914	0.275	-0.077	0.019	-0.784	0.950	-0.064	1.410	-1.334	-1.035	-1.063	-2.040	0.000	0.000	0.000	0.000	0.000	0.000
YDR092W	0.382	-3.214	-3.541	41.313	109.206	-0.032	-1.606	7.638	-1.128	4.642	1.260	1.090	7.243	4.385	6.252	3.552	0.000	0.000	0.000	0.000	0.000	0.000
YDR093W	-0.812	-1.253	-2.925	-8.090	-6.854	-0.286	-2.191	1.562	-2.841	1.151	-0.652	1.971	0.065	-0.115	-0.256	-0.767	0.000	0.000	0.000	0.000	0.000	0.000
YDR094W	-2.740	1.204	-0.125	-8.531	-2.496	1.677	-0.551	2.058	-0.059	3.301	0.812	2.291	-0.348	-0.442	-0.298	-1.979	0.000	0.000	0.000	0.000	0.000	0.000
YDR095C	-1.998	0.384	-1.144	-1.047	-0.648	1.054	2.008	-2.293	-0.868	-2.813	2.253	1.674	-0.472	-0.201	-1.394	-0.404	0.000	0.000	0.000	0.000	0.000	0.000
YDR096W	-2.687	1.936	-1.131	-27.863	-0.681	1.342	-1.497	1.953	0.035	0.301	1.145	2.088	1.232	0.679	0.906	1.228	0.000	0.000	0.000	0.000	0.000	0.000
YDR097C	-0.665	2.144	-1.197	-9.859	-4.759	1.956	-5.849	0.786	-1.097	4.000	0.916	-20.091	-41.406	-42.924	-40.945	-54.707	0.000	0.000	0.000	0.000	0.000	0.000
YDR098C	-2.100	-0.003	-0.640	-9.499	-10.317	2.626	-6.076	1.314	-8.167	2.065	1.275	-27.673	-39.173	-40.801	-35.313	-47.592	0.000	0.000	0.000	0.000	0.000	0.000
YDR099W	-4.965	4.330	-0.622	-20.407	-2.671	2.498	0.445	-0.672	-3.041	-0.527	-0.686	1.011	-2.393	-3.621	-3.597	-9.208	0.000	0.000	0.000	0.000	0.000	0.000
YDR100W	-2.382	16.272	-0.459	-4.181	-2.844	-0.234	7.465	1.775	-0.805	5.850	-5.221	-2.277	-2.705	-2.405	-2.280	-4.516	0.000	0.000	0.000	0.000	0.000	0.000
YDR101C	24.239	0.228	4.219	22.168	-1.066	1.880	-1.430	-14.012	-3.799	0.727	-0.103	-2.420	-5.072	0.214	-0.506	-4.475	0.000	0.000	0.000	0.000	0.000	0.000
YDR102C	0.758	7.555	-0.167	-20.761	-7.531	1.057	0.431	-2.407	-1.276	2.377	-316.141	-1.933	-6.946	-7.171	-7.168	-6.793	0.000	0.000	0.000	0.000	0.000	0.000
YDR104C	-1.389	6.462	0.094	-98.471	-4.807	-0.229	-0.137	-1.095	-2.665	-1.247	-927.757	-0.746	2.064	1.419	0.939	0.681	0.000	0.000	0.000	0.000	0.000	0.000
YDR105C	0.584	6.108	2.758	-6.656	11.119	-1.828	13.676	18.333	4.440	0.774	-50.425	4.721	23.472	37.070	28.257	35.821	0.000	0.000	0.000	0.000	0.000	0.000
YDR107C	-1.396	6.180	-2.451	-29.656	-13.140	0.170	4.753	-3.852	-9.376	6.819	-0.524	0.315	-8.199	-10.933	-8.984	-10.249	0.000	0.000	0.000	0.000	0.000	0.000
YDR108W	-8.073	2.173	-0.854	-26.349	-295.455	0.440	-10.152	-22.306	-5.113	-0.164	-3.450	-27.584	-50.392	-48.339	-45.751	-47.314	0.000	0.000	0.000	0.000	0.000	0.000
YDR109C	0.879	0.271	-0.584	-12.429	-8.100	0.712	-0.156	0.570	-3.705	1.821	-5.033	-1.712	-10.567	-11.357	-8.224	-10.598	0.000	0.000	0.000	0.000	0.000	0.000
YDR110W	-0.437	7.010	-4.643	-37.733	-38.614	0.074	2.202	-9.963	-8.624	-1.262	1.968	-0.126	-10.125	-13.166	-15.163	-4.825	0.000	0.000	0.000	0.000	0.000	0.000
YDR111C	-2.350	3.691	3.065	-49.047	-12.000	0.749	-13.418	-1.853	-4.880	-0.954	-0.782	-1.271	-3.496	-2.913	-2.571	-4.476	0.000	0.000	0.000	0.000	0.000	0.000
YDR112W	-1.044	10.627	-6.274	-12.239	-19.298	-2.511	-0.482	-4.639	-9.407	4.674	-8.335	-5.763	1.415	0.397	1.174	-4.414	0.000	0.000	0.000	0.000	0.000	0.000
YDR114C	1.224	1.572	1.754	2.409	-0.202	-0.316	1.556	-1.152	1.038	0.211	1.200	-1.504	1.296	1.420	0.047	-0.838	-6.000	0.000	0.000	0.000	0.000	0.000
YDR115W	-0.225	2.103	2.434	11.554	-0.206	-1.095	1.485	-0.938	1.304	-0.354	-1.108	1.427	0.250	0.790	0.638	1.045	-7.200	-2.000	0.000	0.000	0.000	0.000
YDR116C	1.714	0.936	1.155	2.250	0.826	0.939	-0.218	0.910	0.779	-2.344	-0.236	-0.216	-0.673	0.544	1.367	0.704	-4.700	0.000	0.000	0.000	0.000	0.000
YDR117C	-4.080	6.434	-0.609	-21.151	-14.284	2.833	-3.722	-2.533	-8.012	0.557	-0.965	-16.558	-24.789	-35.211	-31.541	-32.230	0.000	0.000	0.000	0.000	0.000	0.000
YDR119W	0.076	2.860	-3.230	-62.443	-15.373	-2.122	-1.476	-1.414	-8.485	-0.629	0.603	0.473	0.925	0.909	1.214	0.906	0.000	0.000	0.000	0.000	0.000	0.000
YDR120C	1.719	16.244	0.157	-7.956	-2.122	1.004	1.307	0.789	-6.190	0.185	-22.558	-10.617	-5.127	-10.575	-10.912	0.941	-3.800	0.000	0.000	0.000	0.000	0.000
YDR121W	-0.700	4.422	51.042	33.247	61.957	1.152	16.247	15.854	5.172	20.266	-5.849	-2.751	1.017	-2.657	0.623	-2.181	0.000	0.000	0.000	0.000	0.000	0.000
YDR122W	-1.644	-0.267	-3.098	-10.941	-3.322	1.197	-12.943	-2.332	-10.640	-3.289	0.590	-32.571	-28.400	-31.464	-30.474	-34.827	0.000	0.000	0.000	0.000	0.000	0.000
YDR123C	-1.253	-0.349	-607.701	-34.056	-6.248	1.823	1.049	-0.703	-3.166	-31.028	2.618	-3.784	-17.992	-17.717	-20.461	-4.893	0.000	0.000	3.000	0.000	0.000	4.000
YDR124W	-1.977	2.150	-2.280	-8.166	-3.987	0.541	-0.550	-0.513	-3.610	-0.864	-1.346	-5.727	-8.500	-8.364	-8.706	-6.722	0.000	0.000	0.000	0.000	0.000	0.000
YDR125C	3.807	-4.063	1.827	-33.990	-0.382	-1.131	1.804	-0.075	-1.640	-0.260	-2.836	1.960	1.314	1.569	1.330	1.582	0.000	0.000	0.000	0.000	0.000	0.000
YDR126W	1.061	-1.332	15.031	-1.926	1.352	-2.557	-1.113	-0.082	-13.116	3.641	0.028	-0.051	-2.752	-0.693	-1.052	-2.131	0.000	3.000	0.000	3.000	0.000	0.000
YDR127W	0.128	0.832	0.936	6.666	1.387	1.263	0.815	-0.043	0.320	0.995	1.966	0.013	0.900	1.075	1.004	-1.001	-10.500	0.000	0.000	0.000	0.000	0.000
YDR128W	-1.799	-4.252	-9.761	-127.777	-26.002	-1.350	-0.832	-4.899	-9.356	-0.707	-3.791	-1.845	-2.690	-1.610	-1.342	-7.693	0.000	0.000	0.000	0.000	0.000	0.000
YDR129C	0.020	-2.714	-3.487	46.857	1.633	-0.790	1.277	-1.707	0.193	-1.232	1.681	-2.020	-0.694	-1.204	-0.395	-0.858	-12.000	0.000	0.000	0.000	0.000	0.000
YDR130C	-4.239	4.202	-2.416	-29.603	-11.125	2.529	0.296	-0.557	-4.054	0.757	-3.808	-5.310	-15.291	-12.870	-11.090	-15.001	0.000	0.000	0.000	0.000	0.000	0.000
YDR131C	-1.841	3.032	0.284	-14.110	-2.161	1.467	0.694	2.062	-0.904	1.890	-0.165	-0.190	-0.348	-1.538	-1.121	-1.750	0.000	0.000	0.000	0.000	0.000	0.000
YDR132C	-0.852	1.878	-1.028	-18.603	-6.117	0.419	-0.269	0.930	-3.081	2.307	-0.705	0.987	0.518	1.498	1.238	-0.623	0.000	0.000	0.000	0.000	0.000	0.000
YDR133C	-1.593	2.235	-0.462	-40.291	-6.172	2.343	1.131	-1.304	-2.067	1.792	-0.243	-1.016	-0.164	0.207	0.461	-2.190	0.000	0.000	0.000	0.000	0.000	0.000
YDR134C	-0.227	20.443	-3.849	-69.115	-14.753	-0.243	12.537	-2.042	-10.659	13.268	0.192	-3.513	-8.640	-8.723	-6.636	-14.450	0.000	0.000	0.000	0.000	0.000	0.000
YDR135C	-1.084	2.340	-0.091	-69.733	-24.705	0.415	-0.121	-3.256	-10.568	1.384	-1.586	-1.381	-9.386	-8.707	-7.100	-10.332	0.000	0.000	0.000	0.000	0.000	0.000
YDR136C	2.297	96.474	23.007	96.939	-0.950	-0.609	47.758	0.153	29.382	39.431	-1.900	1.231	0.945	0.069	-0.359	-0.234	-4.100	0.000	0.000	0.000	0.000	0.000
YDR137W	-1.182	74.705	19.895	59.674	-1.095	0.897	37.925	0.439	23.363	36.130	-1.593	0.094	0.150	-0.611	-1.249	-0.588	-3.700	0.000	0.000	0.000	0.000	0.000
YDR138W	-3.063	1.220	0.193	45.065	3.594	-0.028	1.124	2.683	1.356	4.044	0.679	1.758	3.993	2.558	2.713	0.657	-6.700	3.000	0.000	0.000	0.000	0.000
YDR139C	-1.885	0.828	0.408	-43.186	1.267	1.644	0.069	-0.458	-0.047	0.371	-11.704	1.449	1.651	1.838	1.850	0.824	0.000	0.000	0.000	0.000	0.000	0.000
YDR140W	0.610	1.343	2.771	17.259	2.468	-1.029	0.410	-0.051	0.336	1.154	0.276	-0.028	0.658	0.055	0.746	1.418	-6.300	0.000	0.000	0.000	0.000	0.000
YDR142C	-2.756	-24.651	-2.840	-62.645	-12.619	2.022	-7.738	-0.517	-5.645	-7.066	-0.237	1.208	-0.312	-1.068	0.081	-0.134	0.000	0.000	0.000	0.000	0.000	0.000
YDR143C	0.919	1.040	2.821	-3.835	0.526	-1.940	0.968	2.259	0.408	2.115	-2.222	1.450	-0.350	0.994	1.257	-2.071	0.000	0.000	0.000	0.000	0.000	0.000
YDR144C	-0.841	3.247	-1.822	-6.280	-78.057	1.898	-0.159	-10.381	-3.840	-1.094	-15.900	-13.632	-17.948	-17.600	-16.430	-23.157	0.000	0.000	0.000	0.000	0.000	0.000
YDR146C	-13.403	2.753	-6.369	-67.280	-27.557	0.122	1.568	-1.424	-10.113	2.506	-1.485	-9.242	-11.375	-17.603	-15.087	-18.437	0.000	-2.000	0.000	0.000	2.000	0.000
YDR147W	-0.224	-9.469	2.369	-0.437	-3.293	0.772	8.776	3.452	1.575	-0.607	1.523	1.319	-6.957	40.962	-44.206	55.235	0.000	0.000	0.000	0.000	0.000	0.000
YDR148C	-10.446	-14.997	-1.212	-20.036	-6.820	-0.370	2.353	0.516	0.505	-0.052	1.936	2.037	1.485	1.336	0.975	-0.415	0.000	0.000	0.000	0.000	0.000	0.000
YDR149C	-1.727	-2.752	-6.659	-2.925	-55.912	-0.957	0.368	-16.038	0.521	-2.249	-4.259	-3.682	1.311	0.824	-1.186	-0.190	0.000	3.000	0.000	0.000	0.000	0.000
YDR150W	-1.339	-2.214	0.111	8.003	-16.138	1.035	-0.445	0.229	0.727	0.178	1.318	-1.765	2.173	-2.334	1.882	-1.303	0.000	0.000	3.000	0.000	0.000	0.000
YDR151C	-0.289	-66.818	-4.305	-26.076	-25.585	0.020	-4.796	0.159	-1.489	-12.797	-8.697	-0.340	-1.531	-7.257	-12.218	-2.658	0.000	0.000	0.000	0.000	0.000	0.000
YDR152W	-2.411	-43.608	2.871	-16.568	-2.560	1.496	-4.614	2.385	0.184	-7.136	-2.549	-6.484	-8.069	-13.024	-11.067	-27.560	0.000	0.000	0.000	0.000	0.000	0.000
YDR153C	-1.030	-1.654	-2.418	-9.180	-43.370	2.272	-1.073	0.351	-0.290	0.060	0.885	-1.707	-0.566	-0.296	-1.110	-1.013	0.000	0.000	0.000	0.000	0.000	0.000
YDR154C	4.114	-0.500	-0.877	-31.633	-0.990	-0.138	0.118	0.374	0.269	-0.006	3.429	-2.423	5.393	7.270	5.231	-0.150	0.000	0.000	0.000	0.000	0.000	0.000
YDR155C	-0.220	-15.234	-1.537	-47.651	-0.689	1.442	-12.934	-0.240	1.170	-3.744	-2.537	-1.599	0.082	-0.116	0.937	-0.863	0.000	0.000	0.000	0.000	0.000	0.000
YDR156W	0.495	-65.510	-1.413	1.216	-1.387	-1.555	-1.865	2.171	0.151	-0.644	-1.609	-0.973	-0.693	-7.417	-23.687	-1.104	0.000	-3.000	0.000	0.000	0.000	0.000
YDR157W	1.018	-5.159	-390.954	-27.325	-2.987	1.252	1.630	0.365	-0.660	-69.901	1.753	0.175	-1.954	-1.405	-4.576	-4.155	0.000	0.000	0.000	0.000	0.000	0.000
