orf	hom | growth (relative abundance in pooled culture) | YPGal, time [15 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | glucitol [1.5 M], time [15 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | SD + His + Leu + Ura, time [15 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | sodium chloride [1 M], time [15 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | pH [8], time [15 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | YPGal, time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | glucitol [1.5 M], time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | pH [8], time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | sodium chloride [1 M], time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | SD + His + Leu + Ura, time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | nystatin [10 uM], time [15 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | nystatin [10 uM], time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | SC, time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | SC -Lys, time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | SC -Trp, time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | SC -Thr, time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | standard | YPD | Giaever G~Johnston M, 2002	hom | cell size | standard | YPAD | Giaever G~Johnston M, 2002	hom | elongated cell shape | standard | YPAD | Giaever G~Johnston M, 2002	hom | round cell shape | standard | YPAD | Giaever G~Johnston M, 2002	hom | football cell shape | standard | YPAD | Giaever G~Johnston M, 2002	hom | clumped cell shape | standard | YPAD | Giaever G~Johnston M, 2002
YKL136W	1.2480385	-2.5038175	-3.4380815	-28.3896195	-132.6833435	1.4925935	-0.1644629999999998	-6.2417644999999995	-1.8575154999999999	-1.4058469999999998	-5.380123	0.967382	-0.33078799999999997	0.07842400000000005	0.4641415	-2.712181	0.0	0.0	0.0	0.0	0.0	0.0
YKL137W	1.2659565000000002	1.6305360000000002	2.4752125	-16.489601	-3.985732	2.3297775	-2.4847255	-0.2701609999999999	-1.6339965000000003	0.57858	0.2398675	2.6815545	0.619554	1.01299	1.120017	0.076041	0.0	0.0	0.0	0.0	0.0	0.0
YKL138C	1.591501	11.461835999999998	-1.5863554999999998	10.489749	33.017582	1.2131405	10.06659	-1.0249935000000001	-1.1772995	-0.4753010000000001	-1.973423	-2.0007815	0.9507775	-1.0573105	2.3048425000000003	2.14259	-3.6	0.0	0.0	0.0	0.0	0.0
YKL139W	1.0187200000000003	-3.6458	-3.6117229999999996	54.450119	7.9436575000000005	-0.6729734999999999	-0.5738699999999999	4.509125	-1.1826695000000003	1.065268	8.141504999999999	-0.741585	1.1263519999999998	0.6827325000000001	1.6303154999999998	2.141091	-6.5	0.0	0.0	3.0	0.0	0.0
YKL140W	2.194521	-8.309975500000002	2.573912	-44.59084850000001	-8.857325999999999	-2.4248339999999997	-5.5550394999999995	-0.19386550000000002	-3.061381	-8.0289185	-0.9049105	-1.4420644999999999	1.2320475	-0.387668	-0.45653699999999975	1.495931	0.0	0.0	0.0	0.0	0.0	0.0
YKL142W	-3.233484	-9.2902115	3.2284610000000002	-28.3440215	-9.8021585	-2.633067	-2.1164370000000003	-2.300231	-6.170638	-3.3347070000000003	1.5089970000000001	2.4467784999999997	-0.9919454999999998	-1.562029	-0.9261875	0.176379	0.0	0.0	0.0	0.0	0.0	0.0
YKL143W	0.060779499999999986	0.46433250000000004	0.7204045	0.3145745	1.276149	0.18738350000000006	-0.8098755	-1.0400985	0.564399	0.4957304999999999	1.4339629999999999	0.046082500000000026	1.124937	1.1426775	0.9509605000000001	-1.046667	-6.3	0.0	0.0	0.0	0.0	0.0
YKL146W	1.4103565	-2.0106859999999998	2.404398	-12.975316999999999	-5.6158805	1.986871	-1.98883	0.62195	0.3135539999999999	0.713544	-0.5415295	1.291872	-0.5123750000000001	-0.3082114999999999	-0.15398499999999998	-0.462492	0.0	0.0	0.0	0.0	0.0	0.0
YKL147C	-0.42306249999999995	1.1391879999999999	-3.2795075	-11.484630500000002	-7.1844114999999995	1.6249239999999998	0.14846599999999993	-5.7451585	-7.341615	-2.345726	-1.265114	-3.0924495	-6.1902115	-9.297233	-7.113455500000001	-8.435516999999999	0.0	0.0	0.0	0.0	0.0	0.0
YKL148C	-4.313165	1.425635	1.6143865	-2.8716844999999998	-1.6605264999999998	-1.657321	-0.1670100000000001	-0.10807850000000001	0.0542125	-0.216165	0.2567569999999999	-0.8630535000000001	-0.7191185000000002	-0.09962450000000003	0.766823	-0.16880799999999999	0.0	0.0	0.0	0.0	0.0	0.0
YKL149C	0.599052	-5.3843905	-1.6379455	-1.4086785000000002	-0.437192	2.2839655	-6.630096	1.70476	-0.3948220000000001	-0.576561	-1.430931	0.02090249999999999	-4.1945125	-2.221907	-2.2022785000000002	0.514265	0.0	0.0	0.0	0.0	0.0	0.0
YKL150W	0.865912	-35.35691	0.4738455	-0.8439820000000002	13.965392	0.22800750000000003	-6.724307499999999	2.9254094999999998	5.933745500000001	-8.650277	0.35211899999999996	3.4215995	5.9717335	7.128209	5.328879000000001	8.502383	0.0	0.0	0.0	0.0	0.0	0.0
YKL151C	2.1921090000000003	7.2224595	-0.18427550000000004	-26.6887895	-2.8219989999999995	3.0720555000000003	-0.92167	2.7653845	-2.902074	4.364565	1.7060894999999998	0.11676200000000003	-2.9156215000000003	-3.186912	-2.505318	-3.8512459999999997	0.0	0.0	0.0	0.0	2.0	0.0
YKL155C	-24.5426295	-2.0496395	-3.9372945	-6.673999500000001	-1.820729	-1.606328	1.750544	-0.44225749999999997	-3.251393	-3.1812165	-2.5429485	2.2891375	1.3220805	-0.966968	1.3094575	-0.11751800000000001	0.0	0.0	0.0	0.0	0.0	0.0
YKL156W	0.5700374999999999	2.034303	0.6255179999999999	-2.373936	1.493835	-2.89249	2.339175	1.3655535	-0.4702930000000003	1.2917990000000001	0.942581	-1.8538005	-3.0692335	-1.6468539999999998	-1.3520904999999999	-6.308154	0.0	0.0	0.0	0.0	0.0	0.0
YKL157W	-0.4980715	-3.9228115	-8.550989750000001	-50.795492	-14.36336525	-0.11555650000000006	-7.908011999999999	-4.319852833333333	-9.683333750000001	-7.571498833333333	-4.9414039999999995	0.5923227500000001	0.17574575000000003	0.28460525000000014	0.49920849999999994	-2.9851984999999996	0.0	0.0	0.0	0.0	0.0	0.0
YKL159C	-0.1601855000000001	0.5057574999999999	2.6110555	-208.091546	-346.11463000000003	1.552138	1.7735375	-15.414697	-9.368228	-1.3359385000000001	-1.363299	-0.2802815000000001	-1.5332370000000002	-1.537171	-0.7437834999999999	-3.8432239999999998	0.0	0.0	0.0	0.0	0.0	0.0
YKL160W	0.6297759999999999	2.2684365	-9.983369	-17.5707875	-18.213613000000002	2.680189	0.2452835	-0.7431884999999999	-4.4579395	1.3316834999999998	-1.8580714999999999	-1.8238019999999997	1.3039665	0.593005	-0.399962	1.4124649999999999	0.0	0.0	0.0	0.0	3.0	0.0
YKL161C	1.3452945	4.2397765000000005	2.1105405	-9.647398	-4.742769	2.646298	0.31370049999999994	1.133061	-0.41631450000000003	2.5278739999999997	0.9197565	-0.478005	-3.017303	-2.422087	-1.343006	-0.091738	0.0	0.0	0.0	0.0	0.0	0.0
YKL162C	0.6018549999999999	0.19910300000000003	-0.08931149999999977	-26.3029145	-4.9382665	-0.8076065	1.337761	2.8793985	-1.255582	1.475435	-1.8265609999999999	-0.29341949999999994	-6.813551499999999	-7.8548184999999995	-6.329234	-5.921871	0.0	0.0	0.0	0.0	0.0	0.0
YKL162C-A	-0.36229	2.2386904999999997	3.612767	-17.7011005	-1.695484	-0.49643899999999996	0.9196005	1.6339005	1.1851315	2.033881	-4.136967	-2.100035	-0.2832405	-2.8428805	-2.6645005	-9.414007000000002	0.0	0.0	0.0	0.0	0.0	0.0
YKL163W	-0.529817	1.7967745000000002	0.9972854999999998	-11.9137105	-6.140969	2.4387635000000003	-1.7341325	1.3987174999999998	-2.0764375	0.604374	0.8053809999999999	-1.5170735	-6.3458425	-7.4161315	-7.411362499999999	-9.234733	0.0	0.0	0.0	0.0	0.0	0.0
YKL164C	0.13623149999999995	0.49227600000000005	2.3493559999999998	-15.3179275	-8.049312500000001	2.4556625	0.26855549999999995	-1.6382220000000003	-3.4272145	1.7680440000000002	-6.130626	-1.7801459999999998	-4.3985905	-5.1199815	-5.323003	-10.421689	0.0	0.0	0.0	0.0	0.0	0.0
YKL166C	-0.667169	-2.8757824999999997	0.2891140000000001	-12.347327499999999	-9.3232805	2.0351375	1.184009	3.8643289999999997	13.591744	-0.9474985	-0.4529075	1.3347340000000005	-8.911318	0.36260149999999935	2.0046814999999993	-11.694788	0.0	0.0	0.0	0.0	0.0	0.0
YKL167C	-8.078006	2.5451685	1.4822114999999998	-19.430323	-3.527725	0.9407234999999998	0.4788565	-13.079304	-8.233127	-4.934185	-2.1932465	-1.796242	-2.05308	-1.0190124999999999	-0.2710875	-6.04937	0.0	0.0	0.0	0.0	0.0	0.0
YKL168C	0.372258	-0.6087805000000002	0.03720749999999984	-8.9489075	-6.755504999999999	-0.09369749999999999	-0.8575545	-0.305639	-0.6569035000000001	-0.707969	-0.430555	-2.636958	-0.5311869999999999	-0.19520499999999985	-0.003913499999999903	0.596039	0.0	0.0	0.0	0.0	0.0	0.0
YKL169C	-2.129091	-0.39312250000000004	2.3806374999999997	37.967388	9.011464	0.4977935	11.8926585	5.267962499999999	3.0571085	5.7345625	1.182916	-0.32475050000000005	3.9680234999999997	1.4784255000000002	3.0875844999999997	-0.113827	-3.9	0.0	0.0	0.0	0.0	0.0
YKL170W	0.04189850000000006	6.133344499999999	0.0443005000000003	11.034078000000001	-0.801127	-0.461627	17.258033	0.236761	0.6513375000000002	-1.9846845	-2.032473	-1.1659555000000001	0.289829	-0.37637200000000004	2.3930689999999997	-0.67019	-5.4	0.0	0.0	0.0	0.0	0.0
YKL171W	0.37757	-16.016832500000003	-0.07133649999999991	-4.3130125	-1.8993575	0.09956450000000006	-10.770205	0.129316	1.7283684999999998	-8.353863	-0.3176105	-0.8856955000000001	1.430305	1.6369790000000002	1.608339	0.8283299999999999	0.0	0.0	0.0	0.0	0.0	0.0
YKL174C	-2.084739	-8.718321	-1.7743365	-16.4741385	-14.1993085	1.3975745	-0.749571	-3.329719	-7.369245	-1.9035794999999998	0.026227	1.6678894999999998	1.336361	1.901728	1.823219	1.8879599999999999	0.0	0.0	0.0	0.0	0.0	0.0
YKL175W	2.4504405	-0.6063324999999999	1.7131539999999998	-25.787252000000002	-8.407005	2.5018754999999997	-0.42449099999999995	-0.2575525000000001	-1.376048	-1.2820175	-0.7431569999999998	1.034928	-1.358495	-1.2863514999999999	-0.9062619999999999	-3.462583	0.0	0.0	0.0	0.0	0.0	0.0
YKL176C	1.333938	1.736579	-19.919812999999998	-59.693604	-41.690262000000004	0.17888499999999996	-0.06166550000000004	-7.2588289999999995	-5.291926	-0.7094940000000001	-1.5918264999999998	3.393447	-12.959568	-21.349578	-26.579634499999997	-11.513744	0.0	0.0	0.0	0.0	0.0	0.0
YKL179C	-0.18234450000000002	4.341486	-2.6658185000000003	-10.966225999999999	-9.3158275	3.1115275000000002	0.11337249999999999	-0.7606394999999999	-1.1393549999999997	2.5295170000000002	1.3694065	9.649999999999936e-05	-2.1662895	-1.0569075	-1.8382429999999998	0.753154	0.0	0.0	0.0	0.0	0.0	0.0
YKL181W																		0.0	0.0	0.0	0.0	0.0
