ORF	hap a | growth (culture turbidity) | 4-chlorophenol [1 mM] | Yadav V~Yadav J, 2011	hap a | growth (culture turbidity) | 2,4-dichlorophenol [0.3 mM] | Yadav V~Yadav J, 2011	hap a | growth (culture turbidity) | pentachlorophenol [0.156 mM] | Yadav V~Yadav J, 2011
YDR207C	-1.000	NaN	NaN
YDR215C	NaN	NaN	-1.000
YDR223W	NaN	NaN	-1.000
YDR225W	NaN	NaN	-1.000
YDR226W	NaN	NaN	-1.000
YDR227W	NaN	NaN	-1.000
YDR268W	NaN	-1.000	NaN
YDR295C	NaN	-1.000	-1.000
YDR296W	NaN	-1.000	NaN
YDR298C	-1.000	-1.000	-1.000
YDR300C	-1.000	-1.000	NaN
YDR320C	NaN	NaN	-1.000
YDR382W	-1.000	NaN	NaN
YDR405W	NaN	-1.000	NaN
YDR432W	NaN	NaN	-1.000
YDR470C	-1.000	NaN	NaN
YDR507C	NaN	-1.000	NaN
YDR518W	NaN	-1.000	NaN
YDR521W	NaN	-1.000	NaN
YDR523C	NaN	-1.000	NaN
YEL046C	NaN	NaN	-1.000
YEL050C	-1.000	-1.000	-1.000
YER017C	NaN	-1.000	NaN
YER044C	-1.000	-1.000	NaN
YER050C	NaN	-1.000	NaN
YER061C	NaN	-1.000	NaN
YER074W	NaN	NaN	-1.000
YER083C	-1.000	-1.000	-1.000
YER086W	NaN	-1.000	NaN
YER087W	-1.000	NaN	NaN
YER090W	NaN	NaN	-1.000
YER122C	-1.000	-1.000	NaN
YER131W	-1.000	NaN	-1.000
YER152C	NaN	-1.000	NaN
YFL036W	NaN	-1.000	NaN
YFR032C	NaN	NaN	-1.000
YGL012W	-1.000	NaN	NaN
YGL020C	-1.000	NaN	NaN
YGL054C	NaN	NaN	-1.000
YGL070C	-1.000	-1.000	NaN
YGL084C	NaN	NaN	-1.000
YGL107C	NaN	-1.000	NaN
YGL220W	NaN	NaN	-1.000
YGL222C	NaN	NaN	-1.000
YGL240W	-1.000	-1.000	NaN
YGL246C	NaN	NaN	-1.000
YGR017W	NaN	NaN	-1.000
YGR020C	NaN	NaN	-1.000
YGR036C	NaN	NaN	-1.000
YGR064W	NaN	NaN	-1.000
YGR150C	NaN	-1.000	NaN
YGR154C	NaN	NaN	-1.000
YGR155W	-1.000	NaN	NaN
YGR165W	NaN	-1.000	NaN
YGR167W	-1.000	NaN	-1.000
YGR171C	NaN	-1.000	NaN
YGR188C	NaN	NaN	-1.000
YGR215W	NaN	-1.000	NaN
YGR219W	NaN	-1.000	NaN
YGR257C	NaN	-1.000	NaN
YHL019C	NaN	NaN	-1.000
YHL025W	-1.000	NaN	-1.000
YHL038C	NaN	-1.000	NaN
YHL041W	NaN	NaN	-1.000
YHR011W	-1.000	-1.000	NaN
YHR013C	-1.000	NaN	NaN
YHR022C	NaN	NaN	-1.000
YHR025W	NaN	NaN	-1.000
YHR037W	NaN	NaN	-1.000
YHR064C	-1.000	NaN	NaN
YHR067W	NaN	NaN	-1.000
YHR091C	NaN	-1.000	NaN
YHR092C	NaN	NaN	-1.000
YHR120W	-1.000	-1.000	NaN
YHR147C	NaN	-1.000	NaN
YIL134W	-1.000	-1.000	NaN
YIR030C	NaN	-1.000	NaN
YJL006C	-1.000	NaN	NaN
YJL027C	NaN	-1.000	NaN
YJL029C	-1.000	NaN	NaN
YJL056C	-1.000	NaN	NaN
YJL096W	NaN	NaN	-1.000
YJL140W	NaN	NaN	-1.000
YJL162C	NaN	NaN	-1.000
YJL163C	NaN	NaN	-1.000
YJL166W	NaN	NaN	-1.000
YJL177W	-1.000	NaN	-1.000
YJL181W	NaN	NaN	-1.000
YJL184W	NaN	NaN	-1.000
YJL188C	NaN	NaN	-1.000
YJL189W	-1.000	NaN	-1.000
YJL193W	NaN	NaN	-1.000
YJL197W	NaN	NaN	-1.000
YJR019C	NaN	NaN	-1.000
YJR047C	NaN	-1.000	NaN
YJR083C	NaN	NaN	-1.000
YJR113C	-1.000	NaN	-1.000
YKL003C	NaN	-1.000	NaN
YKL006W	NaN	NaN	-1.000
YKL010C	-1.000	NaN	NaN
YKL011C	-1.000	NaN	NaN
YKL015W	-1.000	NaN	NaN
YKL016C	-1.000	-1.000	NaN
YKL017C	-1.000	NaN	NaN
YKL020C	-1.000	NaN	NaN
YKL023W	-1.000	NaN	NaN
YKL026C	-1.000	NaN	NaN
YKL031W	-1.000	NaN	NaN
YKL032C	-1.000	NaN	NaN
YKL034W	-1.000	NaN	NaN
YKL037W	-1.000	NaN	NaN
YKL038W	-1.000	NaN	NaN
YKL039W	-1.000	NaN	NaN
YKL040C	-1.000	NaN	NaN
YKL041W	-1.000	NaN	NaN
YKL048C	-1.000	NaN	NaN
YKL054C	-1.000	NaN	NaN
YKL057C	-1.000	NaN	NaN
YKL118W	NaN	NaN	-1.000
YKL119C	NaN	NaN	-1.000
YKL155C	NaN	-1.000	NaN
YKL169C	-1.000	-1.000	-1.000
YKL170W	NaN	-1.000	NaN
YKL194C	NaN	-1.000	NaN
YKR006C	-1.000	-1.000	NaN
YKR020W	-1.000	NaN	NaN
YKR024C	NaN	NaN	-1.000
YKR082W	-1.000	NaN	NaN
YLL006W	NaN	-1.000	NaN
YLL027W	-1.000	-1.000	-1.000
YLR030W	-1.000	NaN	NaN
YLR039C	-1.000	NaN	NaN
YLR052W	-1.000	NaN	NaN
YLR056W	-1.000	-1.000	NaN
YLR114C	NaN	-1.000	NaN
YLR139C	-1.000	-1.000	-1.000
YLR148W	-1.000	NaN	-1.000
YLR184W	NaN	NaN	-1.000
YLR185W	NaN	NaN	-1.000
YLR189C	-1.000	NaN	NaN
YLR190W	-1.000	NaN	NaN
YLR191W	-1.000	NaN	NaN
YLR192C	-1.000	NaN	NaN
YLR193C	-1.000	NaN	NaN
YLR194C	-1.000	NaN	NaN
YLR199C	-1.000	NaN	NaN
YLR201C	-1.000	NaN	NaN
YLR203C	-1.000	NaN	NaN
YLR204W	NaN	-1.000	NaN
YLR206W	-1.000	NaN	NaN
YLR209C	-1.000	NaN	NaN
YLR210W	-1.000	NaN	NaN
YLR211C	-1.000	NaN	NaN
YLR213C	-1.000	NaN	NaN
YLR214W	-1.000	NaN	NaN
YLR219W	-1.000	NaN	NaN
YLR224W	-1.000	NaN	NaN
YLR225C	-1.000	NaN	NaN
YLR232W	NaN	NaN	-1.000
YLR261C	-1.000	NaN	NaN
YLR262C	-1.000	NaN	NaN
YLR300W	NaN	NaN	-1.000
YLR311C	NaN	NaN	-1.000
YLR312W-A	NaN	NaN	-1.000
YLR320W	-1.000	NaN	-1.000
YLR322W	NaN	NaN	-1.000
YLR357W	NaN	NaN	-1.000
YLR358C	-1.000	-1.000	NaN
YLR363C	NaN	NaN	-1.000
YLR372W	NaN	NaN	-1.000
YLR373C	-1.000	NaN	NaN
YLR382C	NaN	-1.000	NaN
YLR388W	NaN	NaN	-1.000
YLR390W	NaN	NaN	-1.000
YLR396C	-1.000	-1.000	NaN
YLR400W	NaN	NaN	-1.000
YLR418C	NaN	NaN	-1.000
YLR447C	-1.000	NaN	NaN
YML088W	NaN	-1.000	NaN
YML094W	NaN	NaN	-1.000
YML129C	-1.000	NaN	NaN
YMR014W	-1.000	NaN	NaN
YMR064W	NaN	-1.000	NaN
YMR066W	NaN	-1.000	NaN
YMR071C	NaN	-1.000	-1.000
YMR072W	NaN	NaN	-1.000
YMR084W	NaN	-1.000	-1.000
YMR089C	NaN	-1.000	NaN
YMR097C	NaN	-1.000	NaN
YMR098C	NaN	-1.000	NaN
YMR125W	-1.000	NaN	-1.000
YMR142C	-1.000	NaN	-1.000
YMR151W	NaN	NaN	-1.000
YMR159C	NaN	-1.000	NaN
YMR179W	NaN	NaN	-1.000
YMR267W	NaN	-1.000	NaN
YMR286W	NaN	-1.000	NaN
YMR287C	NaN	-1.000	NaN
YMR293C	NaN	-1.000	NaN
YMR313C	-1.000	NaN	NaN
YNL005C	NaN	-1.000	NaN
YNL073W	-1.000	-1.000	NaN
YNL081C	NaN	-1.000	NaN
YNL171C	NaN	NaN	-1.000
YNL177C	NaN	-1.000	NaN
YNL198C	NaN	NaN	-1.000
YNL220W	-1.000	-1.000	NaN
YNL226W	NaN	NaN	-1.000
YNL235C	NaN	NaN	-1.000
YNL238W	NaN	NaN	-1.000
YNL252C	NaN	-1.000	NaN
YNL284C	-1.000	-1.000	NaN
YNL298W	NaN	NaN	-1.000
YNL315C	-1.000	NaN	NaN
YNL336W	NaN	NaN	-1.000
YNR036C	NaN	-1.000	NaN
YNR037C	NaN	-1.000	NaN
YOL023W	NaN	-1.000	NaN
YOL033W	NaN	-1.000	NaN
YOL050C	NaN	NaN	-1.000
YOL072W	-1.000	NaN	NaN
YOL076W	NaN	-1.000	NaN
YOL107W	-1.000	NaN	NaN
YOL143C	NaN	NaN	-1.000
YOL150C	NaN	NaN	-1.000
YOR076C	NaN	NaN	-1.000
YOR080W	NaN	NaN	-1.000
YOR089C	NaN	-1.000	NaN
YOR096W	NaN	NaN	-1.000
YOR187W	NaN	-1.000	NaN
YOR192C	-1.000	NaN	NaN
YOR199W	NaN	-1.000	NaN
YOR200W	NaN	-1.000	NaN
YOR201C	NaN	-1.000	NaN
YOR205C	NaN	-1.000	NaN
YOR221C	NaN	-1.000	NaN
YOR241W	-1.000	-1.000	NaN
YOR290C	-1.000	-1.000	NaN
YOR293W	NaN	NaN	-1.000
YOR295W	NaN	NaN	-1.000
YOR305W	NaN	-1.000	NaN
YOR323C	-1.000	NaN	NaN
YOR330C	NaN	-1.000	NaN
YOR348C	NaN	NaN	-1.000
YOR378W	NaN	NaN	-1.000
YOR380W	NaN	NaN	-1.000
YOR381W	NaN	NaN	-1.000
YOR383C	NaN	NaN	-1.000
YPL062W	NaN	NaN	-1.000
YPL104W	NaN	-1.000	NaN
YPL118W	NaN	-1.000	NaN
YPL129W	-1.000	NaN	-1.000
YPL148C	-1.000	-1.000	NaN
YPL173W	NaN	-1.000	NaN
YPL183W-A	-1.000	-1.000	NaN
YPL193W	NaN	NaN	-1.000
YPL234C	NaN	NaN	-1.000
YPL254W	NaN	NaN	-1.000
YPL271W	NaN	NaN	-1.000
YPR021C	NaN	NaN	-1.000
YPR024W	NaN	-1.000	NaN
YPR060C	-1.000	-1.000	-1.000
YPR072W	-1.000	NaN	NaN
YPR100W	NaN	NaN	-1.000
YPR133W-A	NaN	-1.000	NaN
