ORF	growth (colony size);Camptothecin	growth (colony size);Hydroxyurea	growth (colony size);Benomyl	growth (colony size);Caffeine	growth (colony size);Cycloheximide	growth (colony size);CsA	growth (colony size);FK506	growth (colony size);Fluconazole	growth (colony size);Rapamycin	growth (colony size);Sulfometuron methyl	growth (colony size);Tunicamycin	growth (colony size);Wortmannin
YPL084W	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YPR057W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-2.000
YBR290W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000
YPL069C	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-2.000	-0.000	-0.000	-0.000	-0.000	-0.000
YGR188C	-0.000	-2.000	-1.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-3.000
YOR026W	-0.000	-0.000	-3.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YJL188C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000
YMR014W	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YCR047C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000
YER014C-A	-2.000	-2.000	-0.000	-2.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-3.000
YCR063W	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YGR041W	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YLR226W	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YNL288W	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YGR036C	-0.000	-0.000	-0.000	-0.000	-0.000	-3.000	-3.000	-0.000	-0.000	-0.000	-0.000	-0.000
YKL011C	-2.000	-1.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YGR217W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000
YAL021C	-2.000	-2.000	-0.000	-3.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-3.000
YBR131W	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000
YCR002C	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-3.000	-0.000	-0.000	-0.000	-0.000
YFR036W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000
YDR364C	-0.000	-0.000	-0.000	-3.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-3.000
YCR094W	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-3.000
YLR418C	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YGL003C	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YPL008W	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YLR330W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000
YMR198W	-0.000	-2.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YOR349W	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YPL241C	-0.000	-0.000	-3.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YMR138W	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YEL061C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000
YNL298W	-0.000	-0.000	-0.000	-0.000	-3.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000
YGR167W	-0.000	-0.000	-0.000	-3.000	-0.000	-3.000	-3.000	-0.000	-0.000	-1.000	-0.000	-0.000
