orf	hap a | growth (colony size) | camptothecin [15 ug/ml]	hap a | growth (colony size) | hydroxyurea [100 mM]	hap a | growth (colony size) | benomyl [15 ug/ml]	hap a | growth (colony size) | caffeine [0.15 %]	hap a | growth (colony size) | cycloheximide [0.1 ug/ml]	hap a | growth (colony size) | cyclosporin A [100 ug/ml]	hap a | growth (colony size) | tacrolimus (anhydrous) [2 ug/ml]	hap a | growth (colony size) | fluconazole [15 ug/ml]	hap a | growth (colony size) | sirolimus [0.015 ug/ml]	hap a | growth (colony size) | sulfometuron methyl [3 ug/ml]	hap a | growth (colony size) | tunicamycin [5 ug/ml]	hap a | growth (colony size) | wortmannin [1.3 ug/ml]
YCL029C	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YCL038C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0
YCL061C	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YCR002C	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-3.0	-0.0	-0.0	-0.0	-0.0
YCR009C	-3.0	-2.0	-0.0	-0.0	-3.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YCR028C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0	-0.0
YCR033W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0
YCR034W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-3.0
YCR044C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-1.0	-0.0
YCR047C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0
YCR053W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0
YCR061W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0
YCR063W	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YCR066W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0
YCR077C	-3.0	-2.0	-0.0	-3.0	-3.0	-0.0	-0.0	-1.0	-3.0	-0.0	-0.0	-0.0
YCR079W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0
YCR094W	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-3.0
YDL002C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0
YDL006W	-0.0	-1.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0
YDL020C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-2.0	-0.0	-0.0	-1.0	-0.0
YDL047W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0
YDL059C	-3.0	-3.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YDL074C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0
YDL077C	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-2.0	-2.0
YDL093W	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YDL100C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0
YDL101C	-0.0	-3.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YDL116W	-2.0	-2.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YDL118W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-3.0	-0.0	-0.0	-0.0	-0.0
YDL151C	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YDL172C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0
YDL173W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0
YDL180W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0
YDL183C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0
YDL191W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0
YDL203C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0
YDL225W	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YDR004W	-3.0	-3.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YDR048C	-0.0	-0.0	-0.0	-0.0	-3.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YDR049W	-0.0	-0.0	-0.0	-0.0	-3.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YDR067C	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0
YDR069C	-0.0	-0.0	-0.0	-2.0	-1.0	-0.0	-0.0	-0.0	-1.0	-0.0	-1.0	-0.0
YDR075W	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YDR076W	-3.0	-2.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YDR080W	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-1.0
YDR099W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0
YDR126W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-3.0
YDR127W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-3.0	-0.0
YDR129C	-0.0	-0.0	-1.0	-3.0	-3.0	-0.0	-0.0	-1.0	-2.0	-0.0	-0.0	-0.0
YDR136C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0
YDR137W	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-1.0	-0.0	-1.0	-0.0	-2.0	-0.0
YDR150W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0
YDR156W	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0
YDR158W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0
YDR159W	-1.0	-1.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-3.0
YDR173C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0
YDR174W	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YDR176W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0
YDR195W	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-3.0	-0.0	-3.0
YDR200C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0
YDR207C	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-3.0	-0.0	-0.0
YDR217C	-2.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YDR219C	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YDR226W	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-3.0	-0.0
YDR245W	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-2.0	-2.0	-0.0	-0.0
YDR264C	-2.0	-2.0	-2.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-3.0	-0.0
YDR283C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0
YDR293C	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YDR298C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-3.0	-0.0
YDR310C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-1.0	-0.0	-0.0
YDR334W	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YDR359C	-2.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0
YDR363W-A	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0
YDR364C	-0.0	-0.0	-0.0	-3.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-3.0
YDR369C	-3.0	-3.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YDR378C	-2.0	-2.0	-0.0	-2.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-3.0
YDR386W	-3.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YDR388W	-2.0	-2.0	-0.0	-0.0	-2.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0
YDR389W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-2.0	-0.0
YDR392W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-1.0	-0.0	-0.0
YDR393W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0
YDR418W	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YDR432W	-0.0	-0.0	-0.0	-0.0	-3.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YDR433W	-2.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-3.0	-0.0	-0.0
YDR442W	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-1.0	-0.0
YDR448W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0
YDR457W	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YDR461W	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YDR462W	-0.0	-0.0	-1.0	-0.0	-2.0	-0.0	-0.0	-3.0	-0.0	-0.0	-0.0	-0.0
YDR484W	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-2.0
YDR495C	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0
YDR496C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0
YDR532C	-0.0	-0.0	-3.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0
YEL003W	-0.0	-0.0	-1.0	-0.0	-2.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-3.0
YEL009C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-3.0	-0.0	-0.0
YEL013W	-0.0	-0.0	-0.0	-3.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0
YEL027W	-0.0	-0.0	-0.0	-0.0	-0.0	-3.0	-3.0	-0.0	-0.0	-0.0	-3.0	-2.0
YEL031W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-3.0	-0.0
YEL036C	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YEL044W	-1.0	-3.0	-0.0	-0.0	-3.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-1.0
YEL045C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0
YEL051W	-0.0	-2.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-3.0	-2.0
YEL053C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0
YEL059W	-2.0	-2.0	-0.0	-2.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0
YEL061C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0
YER002W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0
YER007W	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YER014C-A	-1.0	-1.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-1.0	-1.0	-0.0	-1.5
YER016W	-0.0	-1.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YER019W	-0.0	-1.0	-0.0	-0.0	-3.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0
YER044C	-1.0	-1.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YER049W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0
YER052C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0
YER068W	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0
YER083C	-1.0	-3.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-2.0	-0.0
YER092W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0
YER093C-A	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0
YER095W	-3.0	-3.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0
YER116C	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YER141W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0
YER151C	-2.0	-1.0	-0.0	-2.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-2.0
YER153C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0
YER155C	-0.0	-0.0	-1.0	-2.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0
YER162C	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YER166W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0
YER173W	-3.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YER177W	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0
YFL001W	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0
YFL031W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-3.0	-0.0
YFL032W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-3.0	-0.0
YFL033C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0
YFR001W	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YFR009W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0
YFR010W	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YFR019W	-1.0	-2.0	-0.0	-2.0	-3.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YFR025C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0
YFR036W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0
YFR039C	-0.0	-3.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YFR040W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0
YFR041C	-0.0	-3.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YGL003C	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YGL012W	-2.0	-1.0	-0.0	-0.0	-3.0	-0.0	-0.0	-3.0	-1.0	-0.0	-0.0	-3.0
