orf	hap a | growth (spot assay) | yttrium [3.75 mM] | YPD | Grosjean N~Blaudez D, 2018
YMR060C	1.9541765957524266
YMR077C	5.984665824491806
YMR143W	-2.0763126329869532
YMR158C-A	3.9694212101221167
YMR174C	3.9694212101221167
YMR202W	5.984665824491806
YMR216C	1.9541765957524266
YMR231W	1.9541765957524266
YMR272C	1.9541765957524266
YMR275C	1.9541765957524266
YMR307W	3.9694212101221167
YNL025C	1.9541765957524266
YNL032W	3.9694212101221167
YNL037C	1.9541765957524266
YNL080C	5.984665824491806
YNL084C	3.9694212101221167
YNL097C	3.9694212101221167
YNL099C	3.9694212101221167
YNL138W	3.9694212101221167
YNL139C	1.9541765957524266
YNL153C	3.9694212101221167
YNL167C	1.9541765957524266
YNL192W	3.9694212101221167
YNL197C	3.9694212101221167
YNL229C	3.9694212101221167
YNL235C	-2.0763126329869532
YNL236W	-4.0915572473566435
YNL238W	5.984665824491806
YNL273W	3.9694212101221167
YNL280C	3.9694212101221167
YNL296W	5.984665824491806
YNL297C	5.984665824491806
YNL302C	-2.0763126329869532
YNL322C	3.9694212101221167
YNL323W	1.9541765957524266
YNR005C	5.984665824491806
YNR006W	5.984665824491806
YNR031C	5.984665824491806
YNR032C-A	3.9694212101221167
YNR047W	1.9541765957524266
YNR052C	3.9694212101221167
YNR065C	1.9541765957524266
YNR067C	3.9694212101221167
YOL004W	3.9694212101221167
YOL006C	1.9541765957524266
YOL013C	1.9541765957524266
YOL018C	-4.0915572473566435
YOL072W	3.9694212101221167
YOL090W	3.9694212101221167
YOL093W	1.9541765957524266
YOL096C	1.9541765957524266
YOL107W	3.9694212101221167
YOL111C	3.9694212101221167
YOL115W	3.9694212101221167
YOL162W	3.9694212101221167
YOR008C	5.984665824491806
YOR022C	-2.0763126329869532
YOR026W	1.9541765957524266
YOR035C	5.984665824491806
YOR061W	5.984665824491806
YOR068C	1.9541765957524266
YOR069W	1.9541765957524266
YOR085W	3.9694212101221167
YOR101W	3.9694212101221167
YOR105W	1.9541765957524266
YOR109W	5.984665824491806
YOR112W	3.9694212101221167
YOR124C	3.9694212101221167
YOR132W	1.9541765957524266
YOR135C	5.984665824491806
YOR136W	3.9694212101221167
YOR150W	1.9541765957524266
YOR208W	1.9541765957524266
YOR212W	1.9541765957524266
YOR220W	1.9541765957524266
YOR265W	3.9694212101221167
YOR275C	1.9541765957524266
YOR369C	1.9541765957524266
YPL002C	3.9694212101221167
YPL031C	-4.0915572473566435
YPL056C	-6.106801861726333
YPL057C	-6.106801861726333
YPL065W	5.984665824491806
YPL084W	5.984665824491806
YPL120W	1.9541765957524266
YPL136W	5.984665824491806
YPL138C	5.984665824491806
YPL180W	3.9694212101221167
YPL205C	1.9541765957524266
YPR018W	1.9541765957524266
YPR046W	3.9694212101221167
YPR101W	1.9541765957524266
YPR119W	3.9694212101221167
YPR126C	3.9694212101221167
YPR141C	3.9694212101221167
YPR159W	5.984665824491806
YPR160W	5.984665824491806
YPR163C	-6.106801861726333
YPR173C	5.984665824491806
YPR194C	3.9694212101221167
