orf	hap a (post-SGA) | protein stability (tFT-Pex15Δ30) | standard | SC - Leu, + Ade [200 mg/L] | Dederer V~Lemberg MK, 2019	hap a (post-SGA) | protein stability (tFT-Tom5) | standard | SC - Leu, + Ade [200 mg/L] | Dederer V~Lemberg MK, 2019
YBL059W	0.48949756808021727	0.3517699801639546
YBL060W	0.09155471177288793	-0.07412168093514782
YBL061C	0.9602318984876415	0.08120662794635486
YBL062W	0.721324005499932	0.1191715444140343
YBL063W	-0.1096159214373535	-0.13061877771477318
YBL064C	0.2561561110804138	-0.22451204664545063
YBL066C	0.1365682409483015	0.11401492034230551
YBL067C	0.5717445137640355	-0.2071845738297484
YBL068W	-0.049064481665156874	-0.023507380326918688
YBL070C	-0.0017681176739614273	-0.06279560823380292
YBL071C	0.17390979810773866	0.02226190762610269
YBL078C	0.013297552453583076	0.18144874427904675
YBL081W	-0.5806495544161203	0.0218315653113218
YBL082C	0.46436169039725206	-0.18037347174758156
YBL083C	0.389463453817045	-0.05933714694666689
YBL085W	0.0693270725255128	-0.0038679073216914906
YBL086C	-0.3564546640658539	0.07081393905606455
YBL087C		0.05856178168983714
YBL088C	0.20733038312434915	-0.06999167478778395
YBL089W	-0.4336425529579377	1.2006107788731992
YBL091C-A	-0.05931885547849924	-0.04011666551316226
YBL092W	0.3437747182693022	-0.1886828102663153
YBL094C	0.19918855328042132	-0.10310789216654587
YBL095W	0.27445943813480483	0.04907567402290474
YBL096C	-0.04765713214068729	0.038044788554516935
YBL098W	0.5519453944512203	0.08054301505916668
YBL099W	3.3268020139031638	4.95007913294265
YBL100C	3.501730349710594	4.697083987559949
YBL100W-C	-0.5345493937031328	-0.0036535685675216645
YBL101C	-0.17498197723125192	0.19189598952102896
YBL102W	0.12989341318876488	-0.12607296009916075
YBL104C	-0.027993431558450348	-0.13078719567688007
YBL106C	0.5878624927160823	0.061440942718157435
YBL107C	0.1585974717515133	-0.01990987146838431
YBR001C	-0.009796311564164162	-0.0778024824356521
YBR003W	3.768844393356262	4.69797708636541
YBR005W	-0.3706422581232487	-0.0485128306722506
YBR006W	-0.3036639309617854	-0.038899290345613353
YBR007C	-0.09600556385964908	-0.07579637923319074
YBR008C	-0.007226473790852488	-0.06962285585288785
YBR009C	0.44474162543169243	-0.08856514057745814
YBR010W	0.6221533233713081	-0.1322617792376417
YBR012C	0.2090334696409324	0.0028747681319811523
YBR013C	0.17068305787924806	-0.05385187860668959
YBR014C	-0.11818493724540365	-0.07287666240453358
YBR015C	0.13405989504300034	-0.3829355210698998
YBR016W	-0.3351188047884913	-0.13037614900603242
YBR018C	-0.17810486801547795	-0.023846739107746914
YBR019C	0.20894198533508646	-0.009936178410713486
YBR020W	0.1105209097572534	-0.14017432797684032
YBR022W	0.06655568386426687	-0.009766905285406424
YBR023C	1.6317778249489994	0.1123439832883051
YBR024W	-0.19678030645159947	-0.09133862345889764
YBR025C	-0.14794478693233368	-0.10312063969068773
YBR027C	0.1763001614831273	-0.09637410522445795
YBR028C	0.0574344556400501	-0.06433038431670085
YBR030W	0.31471012418340216	-0.12436000448632599
YBR031W	-0.14937185350473928	0.014133867384707604
YBR032W	0.4891887410356206	-0.09396493924975388
YBR033W	-0.2738957252052238	-0.004586760820931573
YBR034C	0.3773537716698396	-0.10389668643912517
YBR036C	8.597357835511806	
YBR037C	4.138562740380679	5.970417715046691
YBR040W	0.5546577787248596	-0.033913094968211654
YBR041W	0.3136266578465199	0.01617610515367837
YBR042C	0.031385164344489354	0.05432267762788935
YBR043C	-0.1837388487617241	-0.041892101958090906
YBR044C	0.7233764632758956	0.3369319054643128
YBR045C	-0.015461875352803123	-0.1168526504871135
YBR046C	-0.4363429687092016	-0.01926427260420358
YBR047W	0.022154312567809347	-0.13038121765302535
YBR048W		0.08693217773352864
YBR050C	0.3613123247973584	-0.11409057938202488
YBR051W	0.16906563736937455	0.12452862850800511
YBR052C	0.11494230715790578	-0.30793416796829937
YBR053C	-0.038156223898658435	-0.16885753831201053
YBR054W	0.2943180074123239	-0.056785552207189505
YBR056W	0.11253974565864386	0.014011898174060917
YBR056W-A	-0.22798282221636748	-0.06330919205188812
YBR057C	0.3419156985325453	0.017730942573509902
YBR058C	0.5181828928824032	0.023777436876130455
YBR059C	-0.11598980708916494	-0.12733192803136156
YBR062C	0.018392428295023106	-0.09108659245077394
YBR063C	0.09446263991400211	-0.11181765350581707
YBR064W	-0.5712574605290904	0.16008268015314187
YBR065C	-0.5251233048598142	0.005098556145167848
YBR066C	0.5295091904240594	-0.0063960792709940725
YBR067C	0.01309823442158542	-0.054697077295303376
YBR068C	-0.03182384511305357	-0.09940478035397063
YBR069C	0.030413000306068923	-0.03364252835439569
YBR071W	-0.05239976388946523	-0.09543366397593502
YBR072C-A	-0.3020457656848565	-0.06823929951137889
YBR072W	0.2226693688759788	0.021654128114964488
YBR073W	-0.40419870898728516	0.015471628761894764
YBR074W	0.22530712221367366	-0.12203707191782641
YBR076W	0.022749544992770373	-0.11199689223576004
YBR077C	1.0495691171452393	-0.26700011994794143
YBR078W	0.1780039239527678	-0.3671222780721444
YBR083W	0.3355209257746388	0.024818858598260735
YBR084C-A	-0.2700741276146665	
YBR084W	-0.42662531603707665	0.34435251915928916
YBR085C-A	0.6495341713552751	-0.036864045670363964
YBR086C	0.5243368585973301	0.09007572077561521
YBR089C-A	0.17267635402845657	-0.030942244892857983
YBR090C	0.16442741426837212	0.03316862039767478
YBR092C	0.2767214553530323	-0.25825466421505205
YBR093C	-0.34950958740749744	-0.1826952054353333
YBR094W	-0.05135092975421986	-0.09534719752298668
YBR095C	2.050511687087234	1.0385998357352435
YBR096W	0.49470406914734505	0.05405534710233743
YBR098W	0.25916938731681166	-0.023880089480158042
YBR099C	0.3765573624826156	-0.07967493642545832
YBR103W	0.49387519014568715	-0.2812432602618491
YBR104W	0.09954845000369993	0.0973260672708306
YBR105C	0.42466712383129673	0.002848695153777764
YBR107C	-0.02927251388800481	-0.16803974991909112
YBR108W	-0.09462373862321889	0.12638648222512752
YBR111C	0.04585343729912332	-0.10255017036361608
YBR111W-A	-0.07572168756208898	0.13028738395901
YBR114W	-0.14820873374590834	-0.0884198026387159
YBR116C	-0.28476004216004397	0.09331329578184785
YBR119W	0.44214069394837713	-0.17017025771265587
YBR120C	4.317833718462282	6.882466036119241
YBR128C	-0.5440297373327585	0.07001660699158996
YBR129C	-0.07522908968393412	0.0503004103120229
YBR130C	-0.2938884882305179	-0.005629643905316259
YBR131W	0.8407744422994207	0.23597844914217275
YBR132C	-0.09381130176717765	-0.06285564204362536
YBR133C	-0.6377416860057832	-0.47760713675546956
YBR134W	-0.19561494563136284	-0.20601028844011265
YBR137W	-0.058085620233111	0.03055530101955774
YBR138C	-0.549178697453751	-0.0527578239176931
YBR139W	0.0940742152243384	-0.003939746291403013
YBR140C	1.2647236621419298	0.7260867888168355
YBR141C	-0.22510535167341789	-0.033864233754178706
YBR144C	-0.05621241360574772	-0.05881432660445071
YBR145W	0.044314273569002	-0.09541833554627872
YBR147W	-0.07086429348350975	-0.0994088779891399
YBR148W	-0.14762089282972032	0.08962197511749445
YBR149W	0.496808980775348	0.0076824469433757125
YBR150C	-0.3356774606837002	-0.10407946390581425
YBR151W	0.05638408954188866	0.06490082080541373
YBR157C	0.1671966398300409	-0.16709163596792978
YBR158W	0.30048915061417386	-0.009573987818801472
YBR161W	0.0699220079355973	-0.07602555230261038
YBR162C	-0.04074175346928253	0.10504803109657262
YBR162W-A	0.010544760408275922	0.1790988188280566
YBR163W		3.8388800207021725
YBR164C	0.42336557090407995	-0.09143817336806859
