orf	hap a | growth (colony size) | calcofluor white [50 ug/ml] | YPD | Zhao F~Han S, 2019	hap a | growth (colony size) | calcofluor white [500 ug/ml] | YPD | Zhao F~Han S, 2019
YGR256W	-3.0833822949500758	0.0
YGR271C-A	-3.0833822949500758	0.0
YGR279C	-3.0833822949500758	0.0
YGR282C	-3.0833822949500758	0.0
YHL007C	-3.0833822949500758	0.0
YHL008C	-3.0833822949500758	0.0
YHL013C	-3.0833822949500758	0.0
YHL027W	0.0	13.433972447512463
YHL030W	-3.0833822949500758	0.0
YHL031C	-3.0833822949500758	0.0
YHR001W	-3.0833822949500758	0.0
YHR004C	-3.0833822949500758	0.0
YHR012W	-3.0833822949500758	0.0
YHR013C	-3.0833822949500758	0.0
YHR021C	-3.0833822949500758	0.0
YHR026W	-3.0833822949500758	0.0
YHR030C	-3.0833822949500758	0.0
YHR035W	-3.0833822949500758	0.0
YHR039C-A	-3.0833822949500758	0.0
YHR050W	-3.0833822949500758	0.0
YHR060W	-3.0833822949500758	0.0
YHR081W	-3.0833822949500758	0.0
YHR087W	-3.0833822949500758	0.0
YHR098C	-3.0833822949500758	0.0
YHR100C	-3.0833822949500758	0.0
YHR111W	-3.0833822949500758	0.0
YHR135C	-3.0833822949500758	0.0
YHR142W	0.0	13.433972447512463
YHR171W	-3.0833822949500758	0.0
YHR187W	-3.0833822949500758	0.0
YHR191C	-3.0833822949500758	0.0
YHR204W	-3.0833822949500758	0.0
YIL005W	-3.0833822949500758	0.0
YIL008W	-3.0833822949500758	0.0
YIL013C	0.0	4.4779908158374875
YIL034C	-3.0833822949500758	0.0
YIL100W	-3.0833822949500758	0.0
YIL117C	-3.0833822949500758	0.0
YIL132C	-3.0833822949500758	0.0
YIL135C	-3.0833822949500758	0.0
YIL138C	-3.0833822949500758	0.0
YIL153W	-3.0833822949500758	0.0
YIL159W	-3.0833822949500758	0.0
YIR014W	-3.0833822949500758	0.0
YIR042C	-3.0833822949500758	0.0
YJL006C	-3.0833822949500758	0.0
YJL016W	-3.0833822949500758	0.0
YJL020C	-3.0833822949500758	0.0
YJL045W	-3.0833822949500758	0.0
YJL062W	-3.0833822949500758	0.0
YJL088W	-3.0833822949500758	0.0
YJL095W	-3.0833822949500758	0.0
YJL099W	0.0	13.433972447512463
YJL115W	-3.0833822949500758	0.0
YJL123C	-3.0833822949500758	0.0
YJL124C	0.0	4.4779908158374875
YJL127C	-3.0833822949500758	0.0
YJL127C-B	-3.0833822949500758	0.0
YJL140W	-3.0833822949500758	0.0
YJL159W	-3.0833822949500758	0.0
YJL168C	-3.0833822949500758	0.0
YJL171C	-3.0833822949500758	0.0
YJL180C	-3.0833822949500758	0.0
YJL183W	-3.0833822949500758	0.0
YJL184W	-3.0833822949500758	0.0
YJL186W	-3.0833822949500758	0.0
YJL187C	-3.0833822949500758	0.0
YJL188C	-3.0833822949500758	0.0
YJL189W	-3.0833822949500758	0.0
YJL204C	-3.0833822949500758	0.0
YJR001W	-3.0833822949500758	0.0
YJR018W	-3.0833822949500758	0.0
YJR043C	-3.0833822949500758	0.0
YJR055W	-3.0833822949500758	0.0
YJR070C	-3.0833822949500758	0.0
YJR073C	-3.0833822949500758	0.0
YJR075W	-3.0833822949500758	0.0
YJR102C	0.0	13.433972447512463
YJR103W	-3.0833822949500758	0.0
YJR118C	-3.0833822949500758	0.0
YJR143C	-3.0833822949500758	0.0
YJR145C	-3.0833822949500758	0.0
YKL002W	-3.0833822949500758	0.0
YKL007W	-3.0833822949500758	0.0
YKL018C-A	-3.0833822949500758	0.0
YKL037W	-3.0833822949500758	0.0
YKL041W	-3.0833822949500758	0.0
YKL048C	-3.0833822949500758	0.0
YKL054C	-3.0833822949500758	0.0
YKL075C	-3.0833822949500758	0.0
YKL079W	-3.0833822949500758	0.0
YKL080W	-3.0833822949500758	0.0
YKL081W	-3.0833822949500758	0.0
YKL096C-B	-3.0833822949500758	0.0
YKL101W	-3.0833822949500758	0.0
YKL110C	-3.0833822949500758	0.0
YKL116C	-3.0833822949500758	0.0
YKL119C	-3.0833822949500758	0.0
YKL135C	-3.0833822949500758	0.0
YKL139W	-3.0833822949500758	0.0
YKL190W	-3.0833822949500758	0.0
YKL194C	-3.0833822949500758	0.0
YKL201C	-3.0833822949500758	0.0
