ORF	hap alpha | abundance of calcium | hypotonic shock (sodium 2-(N-morpholino)ethanesulfonate [10 mM], minimal complete-leu [standard]) | Loukin SH~Saimi Y, 2007
YLR061W	0.104
YML004C	0.104
YOL065C	0.104
YMR284W	0.105
YOL025W	0.106
YKR024C	0.106
YIL092W	0.381
YML014W	0.108
YMR307W	0.108
YHR175W-A	0.108
YJL204C	0.109
YBR100W	0.405
YHR025W	0.110
YGL173C	0.110
YOR003W	0.111
YDR007W	0.111
YOR007C	0.111
YMR253C	0.112
YMR179W	0.113
YPR131C	0.113
YCR009C	0.115
YCL038C	0.132
YIL042C	0.115
YBL098W	0.115
YDL136W	0.116
YHR039C-B	0.116
YNL065W	0.116
YMR183C	0.117
YHR026W	0.117
YDR506C	0.496
YDR439W	0.118
YPR098C	0.118
YMR234W	0.119
YNL080C	0.119
YHR082C	0.120
YMR269W	0.120
YER016W	0.120
YML035C	0.120
YOR080W	0.120
YDR230W	0.121
YGL042C	0.121
YDL100C	0.121
YNL265C	0.121
YAR015W	0.122
YNL066W	0.122
YMR233W	0.122
YKL080W	0.123
YKR041W	0.123
YNL037C	0.123
YGR092W	0.124
YLL023C	0.124
YLL026W	0.125
YPL125W	0.125
YGL212W	0.125
YLL043W	0.126
YMR014W	0.126
YER143W	0.126
YOR309C	0.137
YLL001W	0.127
YJL139C	0.127
YOL046C	0.127
YOR280C	0.128
YCR063W	0.128
YAR018C	0.128
YNL141W	0.129
YDR101C	0.130
YNL129W	0.130
YGL043W	0.130
YLR108C	0.131
YPR096C	0.131
YOR298W	0.131
YOR076C	0.132
YNL057W	0.133
YKL202W	0.133
YGL214W	0.192
YNL322C	0.133
YBL043W	0.134
YAL045C	0.134
YPL263C	0.134
YOL075C	0.134
YNL241C	0.134
YNL081C	0.135
YDR138W	0.136
YNL297C	0.136
YIL146C	0.136
YGL188C-A	0.137
YDR076W	0.137
YHL019C	0.139
YOL057W	0.139
YNL136W	0.140
YNL259C	0.140
YDR174W	0.140
YHR086W-A	0.140
YOR347C	0.141
YAL002W	0.141
YEL053C	0.142
YLL012W	0.143
YLR079W	0.143
YNL041C	0.143
YPR069C	0.144
YDL201W	0.145
YBR215W	0.145
YCR031C	0.145
YBR130C	0.145
YGL246C	0.145
YIL046W-A	0.145
YJL121C	0.146
YKR019C	0.146
YDR131C	0.146
YHR059W	0.147
YDR079W	0.147
YAL011W	0.147
YBR239C	0.148
YOR017W	0.148
YNL203C	0.148
YNR032C-A	0.149
YIR023W	0.149
YDR114C	0.149
YOR089C	0.149
YDR200C	0.149
YMR215W	0.149
YOR304W	0.149
YNL295W	0.149
YGL244W	0.150
YJL187C	0.150
YNL228W	0.150
YOL061W	0.150
YNL318C	0.151
YOR269W	0.151
YGL038C	0.151
YJL053W	0.151
YAR028W	0.151
YER074W	0.151
YBR150C	0.152
YPL180W	0.152
YAL016W	0.152
YBL025W	0.152
YLR081W	0.153
YMR223W	0.154
YDL149W	0.154
YNL148C	0.154
YMR180C	0.156
YLR095C	0.156
YGL124C	0.157
YBR062C	0.157
YAL010C	0.157
YEL010W	0.157
YGR260W	0.157
YJR032W	0.158
YDL006W	0.159
YJL206C	0.159
YML006C	0.160
YBR048W	0.160
YMR002W	0.161
YML003W	0.161
YOR088W	0.162
YNL296W	0.162
YNL068C	0.163
YOL041C	0.163
YOL059W	0.163
YDR300C	0.163
YNR050C	0.164
YGL088W	0.164
YNL104C	0.164
YIL066C	0.165
YLR373C	0.165
YNR023W	0.165
YKR093W	0.165
YDR282C	0.165
YPL193W	0.167
YLR074C	0.167
YDR246W-A	0.167
YNL089C	0.167
YBR050C	0.168
YKL201C	0.168
YNL307C	0.169
YMR125W	0.169
YDR090C	0.170
YML121W	0.171
YOR241W	0.171
YPL215W	0.172
YBL031W	0.172
YML037C	0.173
YLR246W	0.174
YGL078C	0.174
YDL222C	0.174
YDR173C	0.174
YNL051W	0.174
YMR194W	0.175
YLR104W	0.175
YGR237C	0.176
YNL250W	0.176
YMR052C-A	0.176
YMR060C	0.176
YNL117W	0.177
YCL035C	0.177
YOL086C	0.177
YHL040C	0.178
YGR176W	0.178
YKL220C	0.178
YGR123C	0.179
YLR146C	0.179
YMR219W	0.179
YGL104C	0.179
YMR198W	0.707
YDR261C	0.179
YJL124C	0.180
YKL107W	0.181
YBR185C	0.181
YLL019C	0.181
YER045C	0.181
YDR122W	0.182
YLR351C	0.182
YOR141C	0.183
YML086C	0.183
YML019W	0.183
YNL064C	0.183
YOR069W	0.183
YHR051W	0.184
YMR238W	0.184
YJR102C	0.184
YPL014W	0.185
YGR135W	0.185
YKR094C	0.186
YJL122W	0.187
YEL045C	0.188
YDL185W	0.188
YGL031C	0.188
YJR107W	0.188
YCR007C	0.188
YPL208W	0.189
YPR054W	0.189
YCL064C	0.189
YKL197C	0.189
YBR037C	0.190
YKR049C	0.191
YIL087C	0.191
YIL134C-A	0.192
YMR024W	0.192
YNL298W	0.192
YDL216C	0.192
YBR170C	0.193
YOL152W	0.305
YJR097W	0.194
YBR297W	0.194
YMR294W	0.194
YMR259C	0.194
YNL333W	0.194
YPL174C	0.194
YPR173C	0.194
YOR001W	0.195
YKL005C	0.195
YER095W	0.196
YMR241W	0.196
YNL293W	0.196
YKR007W	0.196
YMR205C	0.196
YBR164C	0.197
YAR002C-A	0.197
YBR034C	0.197
YMR264W	0.197
YOR265W	0.198
YAL009W	0.198
YDR431W	0.199
YPL241C	0.201
YIL114C	0.201
YAL007C	0.201
YJL212C	0.201
YOL151W	0.684
YOR266W	0.201
YMR173W	0.201
YER149C	0.201
YBR278W	0.202
YNL119W	0.202
YML068W	0.202
YBL071W-A	0.202
YBR099C	0.202
YLR417W	0.202
YDR532C	0.203
YMR193C-A	0.203
YML050W	0.203
YOL052C	0.204
YBR205W	0.204
YLL049W	0.204
YMR123W	0.205
YDR418W	0.205
YGL121C	0.205
YDR175C	0.205
YPR135W	0.205
YBR195C	0.205
YBL079W	0.206
YOR035C	0.207
YIL162W	0.207
YHL025W	0.208
YKR076W	0.208
YMR210W	0.208
YLL028W	0.208
YDR159W	0.208
YMR091C	0.208
YDL083C	0.209
YOR291W	0.209
YIL077C	0.209
YDL020C	0.210
YDR403W	0.210
YBR285W	0.210
YDR382W	0.210
YBR189W	0.211
YER075C	0.211
YGR124W	0.211
YMR283C	0.211
YDR360W	0.211
YLL014W	0.212
YLL006W	0.212
YOR071C	0.212
YHR157W	0.213
YGR212W	0.213
YGL034C	0.213
YJR050W	0.213
YNL120C	0.214
YHR004C	0.215
YDL202W	0.215
YDR272W	0.215
YNR031C	0.216
YBR226C	0.216
YOR132W	0.218
YNL100W	0.218
YNL010W	0.218
YLR225C	0.219
YDL095W	0.220
YPL205C	0.220
YEL008W	0.220
YDL122W	0.221
YMR016C	0.221
YML124C	0.221
YPR078C	0.223
YMR265C	0.223
YDL206W	0.223
YNL283C	0.225
YLR014C	0.226
YDL146W	0.226
YJR094W-A	0.226
YER048C	0.226
YML116W	0.226
YBR175W	0.226
YLR304C	0.226
YDR276C	0.227
YGL063W	0.227
YNL058C	0.227
YNL334C	0.227
YJR040W	0.227
YBR058C	0.228
YER027C	0.230
YOR302W	0.543
YLR352W	0.231
YDL191W	0.231
YJL095W	0.231
YGL217C	0.654
YOR303W	0.734
YJR088C	0.232
YPL206C	0.232
YNL179C	0.232
YLR399C	0.233
YIL052C	0.235
YGL107C	0.235
YPL051W	0.235
YDL160C	0.235
YLR403W	0.236
YNL168C	0.236
YNL056W	0.236
YDR063W	0.236
YLR362W	0.237
YLR404W	0.237
YPL177C	0.237
YDR140W	0.239
YLR150W	0.239
YER123W	0.239
YMR224C	0.240
YLL046C	0.240
YCR027C	0.240
YIL141W	0.240
YOL062C	0.241
YLR286C	0.241
YLR372W	0.241
YKL030W	0.241
YDR399W	0.241
YDR069C	0.243
YDL075W	0.243
YPR064W	0.243
YOR216C	0.243
YLL020C	0.243
YHR179W	0.244
YKR023W	0.244
YMR030W	0.244
YER004W	0.244
YOR068C	0.244
YKR087C	0.244
YOL018C	0.246
YDL223C	0.246
YBR059C	0.246
YLR017W	0.246
YMR148W	0.247
YBL070C	0.247
YBR020W	0.624
YLR226W	0.247
YCL062W	0.247
YNL286W	0.249
YJR135C	0.249
YIL163C	0.249
YBR283C	0.250
YLR052W	0.250
YML058W	0.250
YKL138C	0.250
YER017C	0.250
YLL024C	0.250
YER183C	0.250
YJL056C	0.251
YLR046C	0.251
YIL165C	0.251
YMR254C	0.251
YGL170C	0.251
YMR172W	0.253
YPR070W	0.253
YJL077W-B	0.253
YDL189W	0.253
YOR182C	0.253
YDL237W	0.253
YER124C	0.253
YCR024C-A	0.255
YLR107W	0.255
YJR126C	0.255
YGR170W	0.255
YER051W	0.255
YPL065W	0.255
YIR029W	0.255
YDL236W	0.255
YJL047C-A	0.255
YBR295W	0.256
YNL302C	0.256
YDL171C	0.256
YER066W	0.256
YJR053W	0.256
YDR334W	0.258
YJR133W	0.259
YNL027W	0.259
YCR075W-A	0.259
YOR267C	0.259
YDR095C	0.259
YDL118W	0.259
YDR055W	0.261
YFL043C	0.261
YIL023C	0.263
YNL183C	0.263
YML048W-A	0.263
YPL017C	0.644
YLL002W	0.264
YOR062C	0.264
YLR235C	0.264
YML103C	0.266
YNL072W	0.266
YJR119C	0.266
YDR004W	0.266
YPL040C	0.266
YOR314W	0.266
YJR148W	0.266
YDL230W	0.266
YNR009W	0.268
YGR035W-A	0.268
YLR073C	0.268
YBR161W	0.268
YJR122W	0.268
YER007W	0.268
YML002W	0.268
YOL058W	0.268
YIL060W	0.269
YNL288W	0.269
YKR003W	0.271
YPL197C	0.271
YFL004W	0.273
YLR233C	0.273
YLL007C	0.273
YFR008W	0.273
YDL088C	0.273
YOR038C	0.273
YER166W	0.273
YBL032W	0.275
YMR261C	0.275
YCR004C	0.275
YPR087W	0.275
YLR234W	0.275
YHR001W-A	1.093
YJL036W	0.276
YGR102C	0.276
YGR208W	0.276
YOR366W	0.276
YOL037C	0.276
YML010W-A	0.276
YMR221C	0.278
YOL119C	0.278
YMR167W	0.278
YGR295C	0.278
YBR084C-A	0.278
YBR290W	0.278
YNL130C	0.278
YDR287W	0.278
YGL026C	0.280
YIL164C	0.280
YHR066W	0.280
YAL013W	0.282
YOR298C-A	0.891
YGL076C	0.282
YDL082W	0.282
YNL301C	0.282
YJR091C	0.282
YER046W	0.282
YDR278C	0.282
YFR010W	0.284
YGR271C-A	0.284
YJL107C	0.284
YDL070W	0.284
YIR044C	0.284
YML088W	0.284
YJR150C	0.284
YPL029W	0.284
YLR118C	0.284
YMR252C	0.286
YDL204W	0.286
YEL054C	0.286
YEL061C	0.286
YDL203C	0.286
YNL008C	0.288
YNL274C	0.288
YOR197W	0.288
YER164W	0.288
YLR402W	0.288
YBL042C	0.288
YIL168W	0.288
YCL013W	0.288
YIR018C-A	0.290
YMR105C	0.290
YPR118W	0.290
YLR137W	0.290
YJR082C	0.290
YBR274W	0.290
YDL229W	0.290
YBR184W	0.292
YNL154C	0.292
YER130C	0.292
YGL086W	0.292
YBR046C	0.294
YPL121C	0.294
YER034W	0.294
YBR232C	0.294
YDR385W	0.294
YLL033W	0.296
YFR011C	0.296
YDL063C	0.296
YOL132W	0.296
YGR173W	0.296
YLR435W	0.296
YOL048C	0.296
YBL007C	0.296
YAR043C-A	0.296
YLR068W	0.298
YIL071C	0.298
YDR254W	0.298
YMR135W-A	0.298
YJL188C	0.298
YJL047C	0.298
YKL135C	0.298
YOL032W	0.298
YBR286W	0.300
YEL001C	0.300
YEL044W	0.300
YNL067W	0.300
YNL314W	0.300
YPR053C	0.300
YJR090C	0.300
YOR010C	0.302
YJL116C	0.302
YIL124W	0.302
YKR095W	0.302
YBR180W	0.302
YGR181W	0.302
YCL029C	0.302
YDR042C	0.302
YDL218W	0.302
YCR044C	0.304
YEL025C	0.304
YOR332W	0.304
YMR081C	0.304
YFL051C	0.304
YCR023C	0.304
YDR351W	0.304
YMR023C	0.304
YJL158C	0.304
YIL009W	0.304
YPL024W	0.304
YDR008C	0.304
YBR224W	0.304
YML115C	0.304
YDL197C	0.304
YDL047W	0.307
YJL161W	0.307
YIL038C	0.307
YPL203W	0.307
YDR097C	0.307
YCR066W	0.307
YMR136W	0.307
YKR034W	0.307
YAL047C	0.307
YMR062C	0.307
YMR243C	0.309
YJR063W	0.309
YLR021W	0.309
YJL136C	0.309
YJL100W	0.309
YLR374C	0.309
YNL071W	0.309
YKL002W	0.309
YPL226W	0.309
YEL006W	0.309
YKL018C-A	0.311
YBR281C	0.311
YMR019W	0.311
YDR017C	0.311
YGL253W	0.311
YDR354W	0.311
YFR032C-B	0.313
YBR280C	0.313
YLL010C	0.313
YIL010W	0.313
YOR211C	0.313
YLR239C	0.313
YHR180W	0.313
YDR065W	0.313
YIR036C	0.316
YOL036W	0.316
YCR061W	0.316
YMR143W	0.316
YOR115C	0.316
YKL020C	0.316
YIL053W	0.316
YMR092C	0.316
YML016C	0.318
YFL011W	0.318
YML001W	0.318
YER007C-A	0.321
YMR142C	0.321
YNL330C	0.321
YIL041W	0.321
YDR136C	0.321
YLR077W	0.323
YML005W	0.323
YGL141W	0.323
YJR014W	0.323
YJR145C	0.323
YPR151C	0.323
YKL217W	0.323
YDL211C	0.323
YML076C	0.323
YLR133W	0.323
YML024W	0.326
YBR271W	0.326
YJL184W	0.481
YNL269W	0.326
YPL057C	0.326
YBR072C-A	0.326
YJL154C	0.326
YDL062W	0.326
YIR037W	0.328
YKL215C	0.328
YPL200W	0.328
YDR025W	0.328
YOR128C	0.328
YBR025C	0.328
YJR031C	0.328
YDR158W	0.328
YAL034C	0.328
YJR047C	0.331
YPR024W	0.331
YOL117W	0.331
YJR024C	0.331
YJR151W-A	0.331
YDL115C	0.331
YMR258C	0.331
YMR095C	0.331
YGL029W	0.331
YML026C	0.331
YNL275W	0.331
YNL231C	0.331
YAR031W	0.331
YJR109C	0.331
YJR124C	0.331
YAL035W	0.331
YHR012W	0.331
YGL148W	0.331
YPR004C	0.331
YNL034W	0.333
YNL086W	0.333
YIL016W	0.333
YDL080C	0.333
YDR093W	0.333
YDL215C	0.333
YER152C	0.333
YHR005C	0.333
YKR030W	0.333
YOL001W	0.333
YIL125W	0.333
YER052C	0.333
YPL095C	0.333
YDR036C	0.336
YIL018W	0.336
YLR025W	0.336
YLR080W	0.336
YCL057C-A	0.336
YER085C	0.336
YIL056W	0.339
YLR015W	0.339
YPR057W	0.339
YJL160C	1.919
YBR196C-A	0.339
YML011C	0.339
YLR114C	0.339
YIL057C	0.339
YER135C	0.339
YIL116W	0.339
YMR274C	0.341
YKL057C	0.341
YER035W	0.341
YGL110C	0.341
YDR402C	0.341
YJR135W-A	0.341
YJR087W	0.341
YOR308C	0.341
YKL007W	0.341
YCL006C	0.648
YKR065C	0.344
YPR091C	0.344
YOR300W	0.441
YLR418C	0.344
YOR363C	0.344
YDR137W	0.347
YDL133C-A	0.347
YMR201C	0.347
YJL082W	0.347
YPL090C	0.347
YER117W	0.347
YMR204C	0.347
YIL133C	0.347
YAR029W	0.347
YPR007C	0.347
YNL093W	0.347
YLR202C	0.347
YKL211C	0.347
YDL159W-A	0.347
YMR216C	0.350
YML034W	0.350
YDR033W	0.350
YIL117C	0.350
YDR142C	0.350
YMR207C	0.350
YHR094C	0.350
YDR509W	0.350
YGR192C	0.350
YPR001W	0.350
YPL254W	0.350
YBR019C	0.353
YJR078W	0.353
YKR013W	0.353
YHR133C	0.353
YNL127W	0.353
YIL050W	0.353
YKL006W	0.353
YDR332W	0.353
YMR153C-A	0.353
YKL207W	0.353
YEL067C	0.353
YPR090W	0.353
YDR421W	0.356
YLL048C	0.356
YOR270C	0.356
YJR147W	0.356
YDR346C	0.356
YHR161C	0.356
YDR194W-A	0.356
YPR084W	0.356
YNL311C	0.356
YPL096W	0.356
YDR400W	0.359
YDR092W	0.359
YOL116W	0.359
YEL056W	0.359
YMR036C	0.359
YGR136W	0.359
YDR380W	0.359
YER062C	0.359
YDR207C	0.359
YNL226W	0.359
YER084W	0.359
YPR065W	0.359
YLR124W	0.359
YKR029C	0.359
YNL212W	0.359
YDR270W	0.359
YML022W	0.359
YKL213C	0.362
YDL227C	0.362
YML063W	0.362
YJR005C-A	0.362
YDR293C	0.362
YOL060C	0.362
YIL069C	0.362
YDR500C	1.931
YHL036W	0.362
YOR364W	0.905
YLR428C	0.362
YDL131W	0.362
YKR026C	0.362
YAR002W	0.365
YOR008C	0.365
YJL137C	0.365
YIR034C	0.365
YJR015W	0.365
YKR021W	0.365
YJR100C	0.365
YNL218W	0.365
YOR304C-A	0.365
YGL045W	0.365
YJL004C	0.365
YEL018W	0.365
YDR046C	0.365
YBR258C	0.368
YMR278W	0.368
YBR216C	0.368
YIL027C	0.368
YPR093C	0.368
YOR293W	0.368
YBR009C	0.368
YBL102W	0.368
YJR095W	0.368
YIR002C	0.368
YKL114C	0.368
YNL211C	0.368
YMR244W	0.368
YDR387C	0.368
YDL199C	0.368
YDR358W	0.368
YLR098C	0.368
YER080W	0.372
YJR137C	0.372
YMR272C	0.372
YGR117C	0.372
YMR034C	0.372
YLR346C	0.372
YKR005C	0.372
YPL244C	0.372
YDR006C	0.372
YDL181W	0.372
YJR020W	0.372
YDL241W	0.372
YDL233W	0.372
YDL234C	0.372
YBR200W	0.375
YFR031C-A	0.375
YLR431C	0.375
YDL053C	0.375
YCR086W	0.375
YDR263C	0.375
YDR393W	0.375
YNL145W	0.375
YNL176C	0.375
YEL042W	0.375
YDL219W	0.375
YDR019C	0.378
YOR064C	0.378
YHR209W	0.378
YER060W	0.378
YJR142W	0.378
YDL119C	0.378
YLR423C	0.378
YHR061C	0.378
YBL091C-A	0.378
YMR242C	0.378
YGR076C	0.378
YNL281W	0.378
YDR024W	0.378
YDR424C	0.378
YBR165W	0.382
YDR070C	0.382
YBR147W	0.382
YMR184W	0.382
YJR038C	0.382
YBR270C	0.382
YHR034W	0.382
YDR515W	0.382
YAL058C-A	0.382
YJR058C	0.385
YIL064W	0.385
YCR016W	0.385
YCL005W	0.385
YOR164C	0.385
YNL326C	0.385
YGR101W	0.385
YBR176W	0.385
YPR075C	0.385
YML071C	0.385
YJR049C	0.385
YCR020W-B	0.389
YJR033C	0.389
YOL137W	0.389
YJR092W	0.389
YNL059C	0.389
YDR061W	0.389
YDR149C	0.389
YDR128W	0.389
YHR064C	0.389
YOR002W	0.389
YGR038W	0.389
YDL151C	0.389
YPL001W	0.389
YDR035W	0.389
YML021C	0.393
YCL033C	0.393
YLR343W	0.393
YDR357C	0.393
YBL101C	0.393
YIL096C	0.393
YJL196C	0.393
YKR050W	0.393
YOL091W	0.393
YHR163W	0.393
YGL254W	0.396
YLR164W	0.396
YDL109C	0.396
YDL054C	0.396
YPR149W	0.396
YPR046W	0.396
YJR125C	0.396
YLR367W	0.396
YBR293W	0.396
YGR134W	0.396
YML106W	0.396
YNL291C	0.396
YLR053C	0.396
YJR116W	0.396
YGR160W	0.396
YGR025W	0.686
YDR248C	0.396
YIL070C	0.396
YFL006W	0.396
YCL055W	0.400
YNR032W	0.400
YBL106C	0.400
YLR042C	0.400
YOL155C	0.400
YGL014W	0.400
YDR378C	0.400
YDR020C	0.400
YAL044C	0.400
YCR077C	0.404
YJR043C	0.404
YDL104C	0.404
YGR089W	0.404
YPL055C	0.404
YHR127W	0.404
YMR126C	0.404
YNL123W	0.404
YJR021C	0.404
YGR138C	0.404
YAR020C	0.404
YER073W	0.404
YPL187W	0.404
YKR051W	0.404
YDR031W	0.404
YDR026C	0.404
YBR056W	0.404
YCR001W	0.404
YGL077C	0.404
YGL007W	0.404
YDR264C	0.404
YJR096W	0.408
YBR287W	0.408
YDL225W	0.408
YER053C	0.408
YGR137W	0.408
YBL028C	0.408
YLR262C	0.408
YHR050W	0.408
YDL179W	0.408
YOR078W	0.408
YJL060W	0.408
YLR370C	0.412
YER087C-A	0.412
YKL096C-B	0.412
YHR162W	0.412
YJL046W	0.412
YEL031W	0.412
YKR106W	0.412
YLR406C	0.412
YJL208C	0.412
YOR118W	0.412
YNL105W	0.412
YGR139W	0.412
YIL088C	0.416
YLR011W	0.416
YPR121W	0.416
YDL113C	0.416
YBR044C	0.416
YKL110C	0.416
YNL279W	0.416
YAR035W	0.416
YLR130C	0.416
YPL269W	0.416
YDL238C	0.416
YGR022C	0.564
YNL111C	0.416
YLR121C	0.416
YIL156W	0.420
YER098W	0.420
YJR140C	0.420
YLR016C	0.420
YDL224C	0.420
YBR207W	0.420
YPL120W	0.420
YDL110C	0.420
YBR263W	0.420
YPR127W	0.420
YPR050C	0.420
YOR271C	0.420
YJR060W	0.420
YJR051W	0.420
YML035C-A	0.420
YMR116C	0.424
YMR022W	0.424
YNL146W	0.424
YJR098C	0.424
YBR275C	0.424
YEL072W	0.424
YOL076W	0.424
YPL188W	0.424
YKR052C	0.424
YIL072W	0.424
YBR051W	0.424
YLL044W	0.424
YOR005C	0.424
YDR135C	0.429
YDL085C-A	0.429
YNL040W	0.429
YJL165C	0.429
YIL132C	0.429
YIR026C	0.429
YHR003C	0.429
YLR388W	0.429
YNL289W	0.429
YDR304C	0.429
YKR009C	0.429
YHR194W	0.429
YIL138C	0.429
YDR057W	0.429
YJR056C	0.429
YDR401W	0.429
YDR286C	0.429
YKR067W	0.429
YJR104C	0.429
YNL070W	0.429
YDR252W	0.429
YDR470C	0.429
YFL026W	0.433
YEL005C	0.433
YJR134C	0.433
YKR061W	0.433
YOR155C	0.433
YOL014W	0.433
YAL014C	0.433
YKR054C	0.433
YOR065W	0.433
YLR120C	0.433
YCL016C	0.438
YMR311C	0.438
YHR132W-A	0.438
YML032C	0.438
YDR150W	0.438
YEL038W	0.438
YHR057C	0.438
YEL020C	0.438
YNL335W	0.438
YIR035C	0.438
YHR130C	0.438
YDR520C	0.438
YDL242W	0.438
YHR028C	0.438
YDR247W	0.438
YGL019W	0.438
YDR368W	0.438
YEL037C	0.438
YLR070C	0.442
YLR093C	0.442
YDR285W	0.442
YNL199C	0.442
YJL176C	0.442
YEL040W	0.442
YBR107C	0.442
YBL078C	0.442
YNR033W	0.668
YDR110W	0.442
YDR001C	0.442
YHR073W	0.442
YNL054W	0.442
YPR097W	0.442
YPR089W	0.442
YNL338W	0.442
YDR271C	0.442
YHR041C	0.442
YDL023C	0.442
YGR290W	0.442
YFL044C	0.442
YOR009W	0.442
YHR104W	0.442
YDL013W	0.447
YER046W-A	0.447
YCR017C	0.447
YLR152C	0.447
YBL072C	0.447
YOR096W	0.447
YDL138W	0.447
YFL018C	0.447
YPL265W	0.447
YNL052W	0.447
YDR009W	0.452
YER040W	0.452
YDR034C	0.452
YOR295W	0.452
YNL236W	0.452
YLR126C	0.452
YAL023C	0.452
YDL167C	0.452
YCR019W	0.452
YCL011C	0.452
YPL268W	0.452
YFR001W	0.452
YDR519W	0.452
YOR015W	0.452
