ORF	hom | cell size | standard [standard] | Zhang J~Schneider BL, 2002	het | cell size | standard [standard] | Zhang J~Schneider BL, 2002
YOR029W	51.180	NaN
YOR030W	41.510	NaN
YOR031W	44.200	NaN
YOR032C	55.860	NaN
YOR033C	57.500	NaN
YOR034C	58.280	NaN
YOR035C	22.490	NaN
YOR036W	63.750	NaN
YOR037W	58.670	NaN
YOR038C	57.520	NaN
YOR039W	54.310	NaN
YOR040W	61.210	NaN
YOR041C	57.360	NaN
YOR042W	59.680	NaN
YOR043W	34.340	NaN
YOR044W	55.440	NaN
YOR045W	58.120	NaN
YOR047C	52.830	NaN
YOR049C	58.580	NaN
YOR050C	58.880	NaN
YOR051C	58.410	NaN
YOR052C	62.110	NaN
YOR053W	54.050	NaN
YOR054C	42.860	NaN
YOR055W	52.010	NaN
YOR058C	57.440	NaN
YOR059C	55.530	NaN
YOR061W	60.790	NaN
YOR062C	58.210	NaN
YOR064C	60.960	NaN
YOR066W	63.110	NaN
YOR067C	66.580	NaN
YOR068C	59.220	NaN
YOR069W	58.010	NaN
YOR070C	46.480	NaN
YOR071C	57.440	NaN
YOR072W	54.290	NaN
YOR076C	66.360	NaN
YOR078W	54.840	NaN
YOR079C	54.110	NaN
YOR080W	47.450	NaN
YOR081C	54.550	NaN
YOR082C	47.450	NaN
YOR083W	33.610	NaN
YOR084W	44.160	NaN
YOR085W	41.500	NaN
YOR086C	43.610	NaN
YOR087W	46.030	NaN
YOR088W	NaN	45.070
YOR089C	47.100	NaN
YOR090C	43.300	NaN
YOR091W	45.400	NaN
YOR092W	48.260	NaN
YOR093C	46.050	NaN
YOR094W	46.320	NaN
YOR289W	45.880	NaN
YOR290C	44.090	NaN
YOR291W	45.730	NaN
YOR292C	44.440	NaN
YOR293W	40.170	NaN
YOR295W	40.570	NaN
YOR296W	48.140	NaN
YOR297C	38.080	NaN
YOR298W	44.700	NaN
YOR301W	47.500	NaN
YOR304C-A	47.700	NaN
YOR304W	44.110	NaN
YOR307C	43.570	NaN
YOR308C	40.990	NaN
YOR311C	42.960	NaN
YOR312C	41.790	NaN
YOR313C	45.200	NaN
YOR314W	48.680	NaN
YOR315W	46.770	NaN
YOR316C	43.000	NaN
YOR318C	44.380	NaN
YOR320C	52.860	NaN
YOR321W	45.370	NaN
YOR322C	49.830	NaN
YOR323C	47.460	NaN
YOR324C	47.070	NaN
YOR327C	42.330	NaN
YOR328W	45.450	NaN
YOR332W	41.370	NaN
YOR334W	45.320	NaN
YOR337W	45.550	NaN
YOR338W	54.258	NaN
YOR339C	54.362	NaN
YOR342C	52.340	NaN
YOR343C	54.396	NaN
YOR344C	51.868	NaN
YOR346W	52.002	NaN
YOR347C	53.430	NaN
YOR348C	53.156	NaN
YOR350C	50.468	NaN
YOR351C	51.767	NaN
YOR352W	50.998	NaN
YOR354C	61.740	NaN
YOR355W	53.568	NaN
YOR356W	51.132	NaN
YOR357C	51.767	NaN
YOR359W	52.577	NaN
YOR360C	70.680	NaN
YOR363C	51.499	NaN
YOR364W	49.255	NaN
YOR365C	48.577	NaN
YOR367W	49.451	NaN
YOR368W	47.080	NaN
YOR369C	53.054	NaN
YOR371C	79.120	NaN
YOR374W	52.917	NaN
YOR375C	69.930	NaN
YOR376W	51.599	NaN
YOR377W	67.530	NaN
YOR378W	49.942	NaN
YOR380W	49.745	NaN
YOR381W	47.713	NaN
YOR382W	48.609	NaN
YOR383C	48.096	NaN
YOR384W	50.766	NaN
YOR385W	54.223	NaN
YOR386W	54.015	NaN
YOL001W	75.870	NaN
YOL002C	54.605	NaN
YOL003C	46.296	NaN
YOL004W	57.221	NaN
YOL006C	49.094	NaN
YOL007C	49.909	NaN
YOL008W	50.369	NaN
YOL011W	50.073	NaN
YOL012C	44.087	NaN
YOL013C	48.932	NaN
YOL014W	53.054	NaN
YOL015W	55.867	NaN
YOL017W	50.865	NaN
YOL018C	42.951	NaN
YOL019W	54.015	NaN
YOL020W	52.747	NaN
YOL024W	50.899	NaN
YOL025W	52.986	NaN
YOL027C	49.354	NaN
YOL028C	51.032	NaN
YOL029C	74.680	NaN
YOL030W	52.171	NaN
YOL031C	60.900	NaN
