orf	hap a | growth (pooled culture, microarray) | cordycepin [20 ug/ml], time [12 gen] | SC | Holbein S~Dichtl B, 2009	hap a | growth (pooled culture, microarray) | cordycepin [20 ug/ml], time [18 gen] | SC | Holbein S~Dichtl B, 2009
YAR027W	0.05698592815534931	-0.16351658895944005
YAR028W	-0.06987655972826834	0.5219658194469815
YAR029W	-0.0959379447505209	-0.3363506206550775
YAR030C	-0.0754305340393157	-0.05847611511081316
YAR031W	0.027172478251883653	-0.15460020105260902
YAR035W	-0.199894367907959	-0.1180265718573671
YAR042W	-0.10263931061793036	-0.09981027487316624
YAR047C	-0.027506976129195046	-0.0005338953621277995
YAR050W	-0.05378597394051675	0.09271723533628157
YBL001C	0.124612249614905	0.2913419888636375
YBL002W	-0.6936705268765405	-1.1795
YBL003C	-0.174381586588253	-0.294405647396959
YBL005W	0.1233774961896093	0.03161911531182955
YBL006C	-2.051485906047385	-3.5107140968634054
YBL007C	-0.24892436018231018	0.088092142962928
YBL008W	-0.92614439245297	-0.7491020534751545
YBL009W	-0.0028179078325230034	0.17655435175347986
YBL010C	-0.22085102777354873	-0.5045660914803015
YBL011W	-0.4317348539537945	-0.338273563729381
YBL012C	-0.693875985217403	-1.058496217225088
YBL013W		-0.380146561126283
YBL015W	0.091375125199702	-0.0843378493543391
YBL016W	0.763803943519411	1.0489133222478
YBL017C	-0.22674366513198702	-0.2956519732016315
YBL019W	-0.0331010191727753	-0.0378447865781259
YBL021C	0.2732540174460235	0.2392249391839325
YBL022C	-0.8328805073407539	-1.660456103071805
YBL027W		0.727499543616725
YBL028C	0.160327568540472	-0.15753045433254775
YBL029W	0.11944731835141839	0.19856780494290582
YBL031W	-0.020082490303739	0.249434620970698
YBL032W	0.2365627480293635	0.3815604240831505
YBL036C	-0.04685801346276265	-0.0032130415922800026
YBL037W	-0.5700861139985395	-0.5343908561317418
YBL038W	-0.2041639058362035	-0.8481078297473039
YBL039C	0.2690241758677515	0.0806226490064957
YBL042C	-0.0588326663598641	0.039522491832978124
YBL043W		0.233400658093208
YBL044W	0.1642056080675899	0.06601671197903194
YBL045C	-0.4247083173724295	-1.05700987830804
YBL046W	0.0690075483464669	0.0380262263615771
YBL047C	0.200412334503218	0.7434572679363416
YBL048W	0.08436884597033706	0.1875661583945485
YBL049W	-0.060748462007843146	-0.012223253248097601
YBL051C		-1.54233322257274
YBL052C	0.04186430464159095	-0.016640653825433296
YBL053W	0.2907803189931045	0.223062601731999
YBL054W	-0.0651308303441747	-0.3103961152601177
YBL055C	-0.029536787037493517	-0.0534991403746038
YBL056W	0.2588577318143795	0.228206109812807
YBL057C	0.0403021562130388	-0.0339446068800895
YBL059W	0.218501029695312	0.0954445438554875
YBL060W	0.05977668342001108	-0.017026522023603496
