ORF	hap a | transport to/from cell surface (CPY) | standard [standard] | Schluter C~Conibear E, 2008	hap alpha | transport to/from cell surface (CPY) | standard [standard] | Schluter C~Conibear E, 2008	hom | transport to/from cell surface (CPY) | standard [standard] | Schluter C~Conibear E, 2008
YFR021W	0.023	0.017	0.012
YGR157W	0.010	0.021	0.012
YDR109C	0.008	0.014	0.012
YNL011C	0.074	0.005	0.058
YDL137W	0.027	0.012	0.048
YHR161C	0.006	0.007	0.043
YOL039W	NaN	0.012	0.019
YLL058W	0.007	0.007	0.052
YIL145C	0.010	0.018	0.014
YEL038W	0.009	0.021	0.017
YFR032C-A	0.009	0.017	0.017
YGR227W	0.009	0.021	0.019
YDR476C	0.025	0.012	0.003
YPL048W	0.015	0.014	0.007
YGL159W	0.023	0.009	0.009
YDR153C	NaN	0.030	0.010
YNR059W	0.020	0.014	0.008
YNL239W	0.014	0.016	0.001
YBR024W	0.023	0.011	0.005
YJR104C	0.012	0.012	0.020
YKL164C	0.017	0.039	0.005
YOL080C	0.007	0.012	0.016
YPR054W	0.040	0.012	0.000
YER081W	0.010	0.019	0.013
YGR295C	NaN	0.012	0.024
YPL015C	0.016	0.032	0.008
YNL214W	NaN	0.009	0.096
YKL032C	0.025	0.013	0.000
YER056C-A	0.010	0.010	0.021
YBL021C	0.003	0.011	0.044
YOR113W	0.058	0.010	0.004
YKR030W	0.010	0.023	0.010
YHR078W	0.024	0.011	0.027
YIL110W	0.023	0.006	0.021
YHR022C	NaN	0.009	0.022
YML131W	0.012	0.011	0.014
YJL048C	0.027	0.021	0.000
YJL200C	0.019	0.035	0.003
YDR330W	0.014	0.012	0.016
YJR124C	0.031	0.012	0.021
YGR134W	0.022	0.013	0.006
YCR005C	0.013	0.012	0.016
YGR138C	0.007	0.013	0.012
YFL007W	0.015	0.031	0.012
YGL144C	0.014	0.012	0.010
YDL047W	0.023	0.003	0.001
YHL029C	0.018	0.012	0.024
YHR045W	0.015	0.006	0.023
YOR349W	0.005	0.065	0.015
YIL165C	0.012	0.032	0.009
YBR040W	0.015	0.012	0.033
YOR269W	0.007	0.019	0.013
YBR125C	NaN	0.012	0.022
YOL013W-B	0.006	0.028	0.024
YPL147W	0.006	0.014	0.014
YIR017C	0.037	0.012	0.015
YIL079C	0.027	0.011	0.010
YNL053W	0.011	0.012	0.020
YHR159W	0.011	0.016	0.018
YIL119C	NaN	0.012	0.011
YPR184W	0.025	0.017	0.005
YLR267W	0.010	0.004	0.027
YHR150W	0.016	0.017	0.005
YNL275W	NaN	0.014	0.008
YER027C	0.007	0.040	0.013
YOL138C	0.018	0.012	0.033
YBR176W	0.024	0.016	0.012
YER180C	0.034	0.009	0.010
YKR091W	0.018	0.015	0.002
YHR028C	0.020	0.005	0.012
YPL008W	0.017	0.005	0.024
YBL094C	0.082	0.012	0.000
YNL144C	0.011	0.014	0.013
YLL045C	NaN	0.005	0.036
YHR163W	0.017	0.003	0.053
YLR431C	0.040	0.012	0.008
YDL243C	0.013	0.176	0.006
YOL011W	0.019	0.014	0.012
YJR098C	0.012	0.012	0.017
YBL036C	0.012	0.011	0.014
YGL050W	0.010	0.045	0.007
YDR500C	0.004	0.014	0.038
YHR103W	0.003	0.048	0.009
YDR156W	0.002	0.032	0.029
YMR164C	0.009	0.163	0.004
YDL187C	0.014	0.012	0.018
YKR098C	0.047	0.021	0.001
YDR261C	0.037	0.008	0.006
YBR019C	0.022	0.006	0.007
YOR045W	0.016	0.012	0.013
YMR037C	0.008	0.014	0.017
YCR020C	0.024	0.012	0.019
YBR008C	0.052	0.004	0.010
YPR201W	0.032	0.012	0.002
YMR271C	0.007	0.035	0.030
YKR049C	0.009	0.012	0.012
YHR209W	0.031	0.013	0.006
YGR007W	0.010	0.012	0.015
YBR038W	NaN	NaN	0.012
YFL011W	0.011	0.020	0.009
YER028C	0.075	0.015	0.005
YNL266W	0.040	0.012	0.017
YBL028C	0.013	0.006	0.009
YDR058C	0.012	0.031	0.025
YPL037C	0.015	0.029	0.009
YJL144W	0.029	0.006	0.031
YBL008W	0.034	0.014	0.003
YBL002W	0.007	0.019	0.007
YCL050C	0.009	0.012	0.017
YDR409W	0.021	0.012	0.012
YPR014C	0.012	0.012	0.007
YBR278W	0.049	0.006	0.009
YNL170W	0.005	NaN	0.086
YML057W	0.008	0.018	0.004
YLR450W	0.012	0.013	0.009
YNL029C	NaN	0.012	NaN
YMR265C	0.031	0.011	0.001
YJL062W	0.013	0.013	0.012
YER075C	0.011	0.001	0.065
YIL154C	0.011	0.017	0.009
YBR041W	0.014	0.010	0.019
YJL047C	0.032	0.013	0.000
YOL030W	0.008	0.016	0.014
YOL132W	0.011	0.019	0.019
YJR135C	0.021	0.017	0.010
YDL113C	0.003	0.016	0.027
YLR205C	0.013	0.008	0.012
YER184C	0.014	0.010	0.010
YDR384C	0.000	0.016	0.018
YKR003W	0.027	0.017	0.010
YLR460C	0.027	0.012	0.023
YNL212W	0.015	0.012	0.033
YGR137W	0.019	0.018	0.012
YPL183C	0.009	0.019	NaN
YOL141W	0.011	0.017	0.004
YPL054W	0.025	0.004	0.008
YBR277C	0.031	0.004	0.022
YML116W-A	0.024	0.005	0.029
YGL054C	0.012	0.013	0.017
YDR123C	0.004	0.020	0.007
YOR251C	0.009	NaN	0.015
YNR068C	0.004	0.051	0.008
YDL177C	0.021	0.011	0.014
YOR162C	0.057	0.005	0.009
YGL243W	0.000	0.015	0.014
YGR250C	0.011	0.042	0.008
YDL172C	0.058	0.005	0.030
YCL002C	0.013	0.012	0.010
YOL003C	NaN	0.017	0.004
YOR096W	0.010	0.019	0.015
YIL107C	0.014	0.012	0.007
YPL023C	0.017	0.008	0.007
YJL098W	0.012	0.018	0.000
YHR194W	0.009	0.012	0.056
YMR193C-A	0.003	0.009	0.044
YMR027W	0.009	0.025	0.004
YHR017W	0.012	0.012	0.019
YGR168C	0.011	0.010	0.014
YOR338W	0.008	0.021	0.007
YLR337C	0.033	0.010	0.007
YGL076C	0.006	0.011	0.046
YPR017C	0.019	0.014	0.009
YDL183C	0.031	0.004	0.008
YKL077W	NaN	0.011	0.015
YIL098C	0.010	0.019	0.014
YLR452C	0.013	0.011	0.012
YKR031C	NaN	0.028	0.007
YOR032C	0.049	0.076	0.007
YKL149C	NaN	0.013	0.009
YJL095W	0.011	0.028	0.000
YMR121C	0.011	0.018	0.008
YCR082W	NaN	0.011	0.025
YOL027C	0.005	0.018	0.034
YGL196W	0.021	0.011	0.012
YDR254W	0.006	0.011	0.020
YLL028W	0.016	0.028	0.000
YEL041W	0.016	0.008	0.010
YCL036W	0.102	0.011	0.004
YOL059W	0.019	0.011	0.026
YPR060C	0.011	0.021	0.001
YML019W	0.016	0.008	0.008
YDR512C	0.001	0.018	0.026
YNR064C	0.026	0.020	0.011
YGR181W	0.006	0.016	0.006
YNR075W	0.005	0.036	0.020
YOL046C	0.000	0.023	0.012
YPR039W	0.033	0.010	0.004
YNL195C	0.013	0.013	0.005
YJR059W	0.043	0.016	0.006
YJR105W	0.011	0.010	0.019
YGR032W	0.016	0.032	0.009
YDR300C	0.015	0.008	0.105
YDL213C	0.012	0.011	0.020
YOR195W	0.013	0.011	0.016
YDL236W	0.004	0.016	0.010
YGR249W	0.014	0.023	0.004
YJR053W	0.030	0.008	0.026
YIL152W	NaN	0.035	0.008
YBL085W	NaN	0.017	0.005
YOR242C	0.086	0.007	0.006
YKR100C	0.019	0.010	0.029
YPR117W	0.014	0.011	0.013
YPR192W	0.020	0.058	0.001
YLL030C	0.013	0.026	0.002
YBR096W	NaN	0.011	NaN
YNL242W	0.030	0.016	0.001
YGL161C	0.010	0.011	0.020
YDR309C	0.025	0.011	0.010
YLR329W	0.011	0.006	0.111
YBL037W	0.041	0.014	0.006
YGR217W	0.009	0.015	0.011
YCR063W	0.001	NaN	0.084
YOR348C	0.002	0.053	0.015
YNL095C	0.014	0.009	0.007
YLR253W	0.016	0.005	0.006
YFR023W	0.019	0.014	0.006
YLR034C	0.020	0.011	0.008
YER106W	0.012	0.011	0.011
YNL320W	0.010	0.016	NaN
YBR178W	NaN	0.016	0.005
YDR274C	0.022	0.011	0.010
YEL029C	0.048	0.000	0.033
YMR292W	0.017	0.033	0.002
YJL099W	0.022	0.015	0.000
YKR027W	0.025	0.013	0.007
YGL224C	NaN	0.006	0.012
YCR043C	0.017	0.011	0.013
YDL167C	0.016	0.010	0.022
YOR044W	NaN	0.014	0.006
YNR033W	0.037	0.050	0.007
YIL132C	0.020	0.041	0.010
YER174C	0.027	0.021	0.006
YDR001C	0.015	0.014	0.007
YJL124C	0.011	NaN	0.023
YBR261C	0.021	0.014	0.007
YBR082C	0.021	0.011	NaN
YMR209C	0.007	0.043	0.031
YOR142W	0.025	0.020	0.005
YNL204C	NaN	0.018	0.006
YDL205C	NaN	NaN	0.011
YNL077W	0.018	0.011	0.003
YBL051C	0.045	0.026	0.008
YFL032W	0.007	0.019	0.007
YMR304C-A	0.011	0.098	0.003
YMR119W	0.021	0.007	0.011
YGR017W	0.023	0.002	0.010
YCR091W	0.011	0.011	0.008
YFL063W	0.011	0.041	0.004
YOR355W	0.006	0.012	0.009
YOL019W	0.057	0.011	0.003
YBR010W	0.020	0.003	0.011
YNR020C	0.007	0.044	0.032
YML081C-A	0.003	0.018	0.047
YGL146C	0.012	0.014	0.006
YNR042W	0.014	NaN	0.006
YLR434C	0.011	0.014	0.006
YBR122C	0.011	NaN	NaN
YHL005C	0.017	0.007	0.020
YGL082W	0.008	0.026	0.017
YNL160W	0.006	0.010	0.014
YMR080C	0.005	0.022	0.132
YEL059W	0.000	0.096	0.011
YNL265C	0.044	0.011	0.048
YFL033C	0.030	0.011	0.026
YPL074W	0.011	0.020	0.002
YPR061C	0.029	0.011	0.001
YDL190C	0.027	0.011	0.018
YOR291W	0.013	0.011	0.007
YIL032C	0.014	0.011	0.007
YOL031C	0.015	0.012	0.006
YDR383C	0.002	0.012	0.027
YDR452W	0.001	0.014	0.015
YOR233W	0.032	0.011	0.030
YBL011W	0.022	0.006	0.013
YPR015C	NaN	0.016	0.005
YHR035W	0.010	0.011	0.011
YLR237W	0.000	0.040	0.017
YHR183W	0.009	0.011	0.009
YOR066W	NaN	0.016	0.004
YGR041W	0.026	0.009	0.013
YEL028W	0.000	0.018	0.014
YGR182C	0.138	0.011	0.005
YLR050C	0.011	0.011	0.010
YER062C	0.011	0.016	0.008
YKR097W	0.005	0.016	0.056
YDR033W	0.029	0.004	0.031
YPR171W	0.040	0.003	0.008
YPR163C	0.024	0.003	0.010
YFL023W	0.017	0.002	0.020
YBR057C	0.039	0.007	0.004
YLR415C	0.015	0.011	0.006
YGR136W	0.008	0.021	0.018
YBR018C	0.020	0.009	0.013
YPR125W	0.012	0.009	0.006
YMR055C	0.029	0.011	0.025
YBR050C	0.011	0.004	0.054
YLR035C	0.025	0.009	0.033
YEL072W	0.084	0.011	0.004
YIL120W	0.007	0.015	0.011
YLR032W	0.017	0.007	0.010
YOR273C	0.007	0.011	0.008
YPL262W	0.043	0.003	0.013
YKR075C	0.008	0.015	0.024
YJR048W	0.023	0.009	0.012
YFR049W	0.009	0.012	0.012
YBR145W	0.013	0.008	0.020
YOR351C	0.005	0.010	0.013
YJL029C	0.940	0.009	0.005
YOR313C	0.004	0.013	0.058
YHR015W	0.011	0.024	0.007
YIL029C	0.018	0.011	0.019
YBR297W	NaN	0.008	0.023
YIR025W	0.007	0.020	0.017
YGL057C	0.009	0.012	0.012
YLR255C	0.009	0.012	0.028
YNL301C	0.014	0.025	0.000
YOR152C	0.023	0.015	0.005
YIL020C	0.008	0.036	0.009
YFR044C	0.007	0.012	0.009
YLR083C	0.000	0.013	0.013
YBR188C	0.036	0.009	0.004
YLR187W	0.025	0.007	0.010
YPR053C	0.030	0.011	0.002
YGL251C	0.027	0.002	0.011
YLR341W	0.022	0.008	0.042
YEL067C	0.012	0.019	0.011
YGL059W	0.006	0.010	0.018
YFR013W	0.009	0.017	0.015
YGL211W	0.016	0.010	0.012
YIL141W	0.010	0.018	0.015
YOR346W	0.005	0.011	0.011
YKR024C	0.000	0.011	0.218
YDR316W	0.005	0.022	0.015
YJL037W	0.023	0.013	0.000
YNL237W	0.007	0.011	0.005
YML101C-A	0.020	0.006	0.007
YGR189C	0.009	0.013	0.010
YMR219W	0.012	0.012	0.000
YIL156W	0.010	0.030	0.012
YBR248C	0.041	0.011	0.010
YOL136C	0.014	0.006	0.027
YGR129W	0.034	0.022	0.010
YBR239C	0.006	0.015	0.007
YPL149W	0.014	0.014	0.005
YFR033C	0.009	0.010	0.022
YDR508C	0.013	0.007	0.016
YLR099C	0.018	0.010	0.008
YBR028C	0.011	0.010	0.010
YER019C-A	0.025	0.012	0.010
YDR417C	0.023	0.007	0.008
YFL046W	0.012	0.014	0.010
YDR011W	0.024	0.010	0.013
YNL279W	0.023	0.010	0.021
YER144C	0.023	0.010	0.028
YPR150W	0.020	0.008	0.008
YNR062C	0.017	0.016	0.010
YPL032C	0.009	0.021	0.007
YDR250C	0.016	0.013	0.009
YJR070C	0.003	0.012	0.072
YOR318C	0.025	0.008	0.006
YOR198C	0.059	0.007	0.031
YCR027C	0.065	0.005	0.025
YEL048C	0.014	0.025	0.009
YPL265W	0.014	0.010	0.032
YOR289W	0.007	0.010	0.010
YLR405W	0.028	0.006	0.007
YGL090W	0.009	0.017	0.003
YDL179W	0.013	0.007	0.019
YKL061W	0.034	0.028	0.000
YKR103W	0.005	0.014	0.012
YML088W	NaN	0.005	0.093
YJL038C	0.033	0.010	0.000
YBR084W	0.009	0.007	0.033
YFL056C	0.025	0.011	0.008
YOR100C	0.039	0.007	0.005
YFR026C	0.012	0.022	0.008
YIR038C	0.006	0.049	0.048
YLL009C	0.016	0.015	0.002
YHR133C	0.013	0.025	0.005
YNR071C	0.015	0.013	0.006
YOR380W	0.000	0.010	0.070
YPR132W	0.017	0.001	0.013
YJL120W	0.019	0.010	0.004
YOR163W	0.031	0.006	0.012
YML048W	0.007	0.004	0.017
YGR142W	0.019	0.010	0.010
YDR007W	0.010	0.012	0.006
YER011W	0.042	0.011	0.005
YJR108W	0.017	0.013	0.003
YDL239C	0.034	0.007	0.020
YDR539W	0.019	0.003	0.021
YGR196C	0.010	0.011	0.010
YHR086W	0.005	0.015	0.005
YGR130C	0.009	0.014	0.011
YIL113W	0.017	0.010	0.009
YDR344C	0.025	0.010	0.028
YGR247W	0.011	0.012	0.008
YDR094W	0.003	0.015	0.018
YBL056W	0.011	0.020	0.005
YNL315C	0.007	0.007	0.013
YMR038C	0.005	0.017	0.033
YMR311C	0.007	0.017	0.008
YIL094C	0.002	0.016	0.015
YDL157C	0.010	NaN	0.021
YPR027C	0.007	0.067	0.008
YGL263W	0.037	0.002	0.010
YFL044C	0.015	0.014	0.010
YNR066C	0.015	0.018	0.006
YNL023C	0.012	0.007	0.014
YPR200C	0.008	0.036	0.003
YNR050C	0.059	0.014	0.006
YPL026C	0.023	0.006	0.007
YDR312W	0.038	0.010	0.027
YJL158C	0.020	0.003	0.008
YNL064C	0.010	0.008	0.011
YLR036C	0.013	0.007	0.033
YDR332W	0.020	0.018	0.010
YLR092W	0.012	0.006	0.014
YDL089W	NaN	0.010	0.013
YIL121W	0.005	0.016	0.012
YLR273C	0.008	0.021	0.006
YGL219C	0.036	0.028	0.007
YBR216C	0.000	0.024	0.036
YNL325C	0.015	0.018	0.003
YPR151C	0.011	0.010	0.011
YML086C	0.007	0.024	0.018
YPL268W	0.003	0.029	0.008
YPL214C	0.000	0.013	0.067
YPR021C	0.055	0.014	0.005
YDR014W	0.016	0.010	0.023
YOL049W	0.008	0.010	0.024
YMR087W	0.023	0.010	0.029
YER181C	0.016	0.006	0.027
YHL025W	0.019	0.016	0.003
YMR253C	0.055	0.015	0.002
YNR018W	0.012	0.030	0.005
YKL053W	0.066	0.011	0.000
YPR133W-A	0.004	0.029	0.010
YBR113W	0.000	0.010	0.068
YHR142W	0.009	0.012	0.012
YLR122C	0.009	0.008	0.011
YBR027C	0.029	0.008	0.013
YDR297W	0.008	0.023	0.009
YJR034W	0.731	0.010	0.001
YDL149W	0.011	0.010	0.039
YHR116W	0.000	0.010	0.033
YNL083W	NaN	0.015	0.006
YGL051W	0.032	0.010	0.001
YOR248W	0.036	0.011	0.006
YGR232W	0.000	0.020	0.056
YGR236C	0.009	0.015	0.034
YHL035C	0.009	0.026	0.033
YBR046C	0.015	0.005	0.010
YGR014W	0.025	0.006	0.008
YDR034C	0.018	0.005	0.018
YDL127W	0.006	0.007	0.022
YGR042W	0.026	0.010	0.009
YOR345C	0.067	0.010	0.001
YCL025C	0.004	0.016	0.006
YGR203W	0.006	0.008	0.012
YBR030W	0.011	0.010	0.010
YDL238C	0.014	0.008	0.012
YIL162W	0.010	0.010	0.022
YOR328W	0.001	0.051	0.014
YPR141C	0.010	0.013	NaN
YER158C	0.018	0.009	0.011
YER109C	0.004	0.014	0.008
YLR406C	0.000	0.035	0.027
YJL137C	0.009	0.022	0.016
YLR184W	0.004	0.067	0.006
YKR104W	0.006	0.016	0.006
YGL210W	0.004	0.014	0.009
YMR172W	0.008	0.011	0.017
YIR044C	0.000	0.019	0.025
YBL054W	0.010	0.038	0.015
YIR024C	0.007	0.024	0.035
YJR111C	0.019	0.013	0.001
YIL060W	0.035	0.010	0.025
YER066C-A	0.014	0.016	0.005
YKL147W	NaN	0.010	NaN
YHR109W	0.002	0.018	0.067
YDL023C	0.000	0.016	0.011
YPL040C	0.015	NaN	0.007
YPR115W	0.015	0.009	0.006
YGR202C	0.098	0.006	0.007
YDL131W	0.037	0.010	0.017
YOR366W	0.047	0.008	NaN
YDR193W	0.011	0.005	0.013
YER071C	0.006	0.007	0.020
YCR101C	NaN	0.010	0.021
YDL009C	0.033	0.010	0.010
YPL159C	NaN	0.010	0.009
YNR025C	0.010	0.029	0.019
YOL163W	0.020	0.002	0.020
YKR060W	0.014	0.012	0.004
YOL150C	0.020	0.010	0.027
YNL040W	0.018	0.006	NaN
YKL043W	0.034	0.010	0.000
YLR448W	0.006	0.019	0.021
YPL009C	0.017	0.004	0.009
YGL165C	NaN	NaN	0.010
YOR136W	0.004	0.006	0.013
YDL073W	0.021	0.010	0.023
YKR045C	0.019	0.017	0.004
YER002W	0.023	0.011	0.010
YCL026C	0.007	0.012	0.005
YNL047C	0.031	0.010	0.033
YGR154C	0.003	0.029	0.014
YGR131W	0.024	0.005	0.015
YFR007W	0.009	0.014	0.010
YDR075W	0.001	0.020	0.011
YBR042C	0.015	0.006	0.013
YHR093W	0.006	0.013	0.009
YDR430C	0.005	0.009	0.015
YBR071W	0.014	0.006	0.011
YBL039C	0.009	0.016	0.010
YLR154C	0.032	0.029	0.006
YMR264W	0.052	0.006	0.008
YPR145W	0.002	0.014	0.011
YEL013W	0.101	0.006	0.006
YHR184W	0.013	0.046	0.010
YMR255W	0.026	0.010	0.026
YGL230C	0.017	0.010	0.004
YOL089C	0.000	0.031	0.012
YFR055W	0.010	0.010	0.018
YDL219W	0.006	0.012	0.022
YML012W	0.047	0.023	0.003
YOR038C	NaN	0.018	0.005
YFR048W	0.005	0.015	0.013
YBL091C-A	0.020	0.010	0.010
YFR032C	0.008	0.016	0.010
YHR146W	0.000	0.032	0.010
YOR026W	0.005	0.028	0.013
YEL071W	0.013	0.013	0.009
YER039C-A	0.005	0.010	0.037
YLL012W	0.011	0.022	0.000
YHR008C	0.010	0.012	NaN
YDL123W	0.025	0.010	0.012
YML095C	0.007	0.018	0.015
YOR158W	0.025	0.003	NaN
YDR158W	0.006	0.011	0.015
YDL222C	0.001	0.021	0.009
YDR265W	0.034	0.006	0.006
YNR010W	0.001	0.009	0.313
YKL025C	0.037	0.011	0.002
YBL089W	0.017	0.019	0.002
YFR056C	0.006	0.013	0.010
YBR213W	0.004	0.016	0.009
YGL181W	0.006	0.009	0.023
YHR154W	0.020	0.010	0.014
YLR246W	0.000	0.044	0.027
YKL218C	0.023	NaN	0.010
YIL036W	0.010	0.036	0.013
YIL131C	0.038	0.013	0.004
YKL162C	NaN	0.010	0.008
YDR249C	0.010	0.010	0.010
YKL208W	0.007	0.016	0.006
YNL246W	0.001	0.009	0.550
YER137C	0.007	0.011	0.026
YPL001W	0.010	0.009	0.009
YBR044C	0.024	0.008	0.009
YFR009W	0.020	0.010	0.009
YJR094W-A	0.046	0.008	0.023
YMR206W	0.013	0.011	0.009
YMR107W	0.017	0.009	0.000
YGR025W	0.029	0.008	0.009
YDR349C	0.006	0.012	0.030
YDR305C	0.006	0.021	0.004
YDR256C	0.005	0.013	0.011
YFR040W	0.003	0.013	0.013
YBR226C	0.000	0.009	0.037
YLR128W	0.018	0.013	0.009
YKR095W	0.001	0.017	0.026
YOR280C	0.020	0.022	0.004
YIR003W	0.008	0.022	0.010
YBR056W	0.014	0.004	0.019
YBR165W	0.032	0.009	NaN
YOR369C	0.007	0.015	0.006
YPL191C	0.006	0.015	0.025
YKL009W	0.006	0.011	0.067
YMR252C	NaN	0.016	0.003
YGR133W	NaN	0.008	0.011
YOL063C	0.009	0.009	0.019
YGR228W	0.004	0.022	0.020
YGL072C	NaN	0.034	0.002
YBR157C	0.006	0.006	0.032
YBL061C	0.017	0.018	0.007
YIL135C	0.008	0.030	0.015
YCL074W	0.006	0.012	0.024
YPL267W	0.025	0.012	0.006
YER119C	0.017	0.009	0.012
YBL009W	0.042	0.009	0.003
YOR247W	0.019	0.010	0.007
YGL197W	0.021	0.009	0.012
YER080W	0.052	0.003	0.008
YGL115W	0.006	0.010	0.113
YDL144C	0.002	0.013	0.015
YOR043W	0.001	0.031	0.014
YBL044W	NaN	0.014	0.008
YBR249C	0.024	0.012	0.008
YDR220C	0.021	0.002	0.015
YLR271W	0.005	0.017	0.020
YPL091W	0.053	0.009	0.003
YKR036C	0.007	0.009	0.012
YBL072C	0.006	0.013	0.012
YLR422W	0.021	0.017	0.005
YJR146W	0.019	0.016	0.005
YMR044W	NaN	0.031	0.007
YIL128W	0.009	0.008	0.022
YBR286W	0.028	0.016	0.006
YDR154C	0.008	0.020	0.012
YGR288W	0.008	0.031	0.013
YBL064C	NaN	0.010	0.006
YGR174C	0.008	0.008	0.012
YHR139C-A	0.008	0.020	0.015
YOR064C	0.015	0.018	0.003
YOR299W	0.004	0.016	0.009
YOR279C	0.079	0.006	0.020
YKR015C	0.019	0.020	0.008
YOL119C	0.009	0.015	0.020
YDL200C	0.005	0.018	0.022
YGR151C	0.009	0.016	0.009
YNL074C	0.007	0.018	0.005
YBR085W	0.025	0.005	NaN
YER047C	0.005	0.009	0.020
YLR114C	0.007	0.003	0.055
YGR204W	0.008	0.008	0.026
YDL013W	0.008	0.007	0.043
YDR229W	0.002	0.021	0.017
YLR335W	0.017	0.009	0.012
YGR026W	NaN	0.008	0.012
YMR067C	0.006	0.010	0.028
YGR152C	0.019	0.013	0.009
YML076C	0.018	0.017	0.007
YGR192C	0.022	0.011	0.009
YBL079W	0.009	NaN	0.013
YPL223C	0.062	0.009	0.007
YPR074C	0.005	0.019	0.004
YEL020C	0.035	0.004	0.019
YGL028C	0.007	0.017	0.014
YCL044C	0.003	0.021	0.007
YGL010W	0.002	0.019	0.009
YMR258C	0.019	0.012	0.004
YLL059C	0.015	0.004	0.019
YPR158W	0.004	0.012	0.006
YLR296W	0.030	0.003	0.013
YKL030W	0.015	0.009	0.018
YMR086W	0.019	0.009	0.021
YNL024C	0.008	0.006	0.013
YDR264C	0.048	0.008	NaN
YKL211C	0.008	0.009	0.006
YDR122W	0.009	0.009	0.015
YIL158W	0.006	0.012	0.010
YJR131W	0.030	0.017	0.009
YLR365W	0.010	0.017	0.003
YGL195W	0.023	0.008	0.014
YLR070C	0.005	NaN	0.010
YDR029W	0.030	0.013	0.009
YGL004C	0.007	0.017	0.004
YPL145C	0.027	0.009	0.011
YOR334W	0.000	0.063	0.011
YDR385W	0.000	0.013	0.015
YOR263C	0.009	0.008	0.010
YPR062W	0.019	0.014	0.002
YDL104C	0.012	0.009	0.009
YJL150W	NaN	0.009	0.005
YCR107W	0.029	0.010	0.009
YHR046C	0.018	0.008	0.010
YLR221C	0.017	0.007	0.012
YIR039C	0.004	0.014	0.022
YPR147C	0.002	0.015	0.015
YEL068C	0.013	0.009	0.009
YMR126C	0.024	0.009	0.000
YKL020C	0.032	0.009	0.009
YPL072C	NaN	0.009	NaN
YHR092C	0.002	0.029	0.009
YLR125W	0.034	NaN	0.009
YDR217C	0.035	0.009	0.021
YOR092W	0.011	0.016	0.001
YGL236C	NaN	0.006	0.009
YJR039W	0.003	0.017	0.007
YCL022C	0.019	0.019	0.009
YPL003W	0.014	0.013	0.008
YFR018C	0.034	0.009	0.008
YOL108C	0.010	0.009	0.014
YHR014W	0.015	0.031	0.009
YOR377W	0.000	0.016	0.015
YMR295C	0.039	0.021	0.002
YPR045C	0.010	0.015	0.004
YPR023C	0.010	0.009	0.039
YKL155C	0.039	NaN	0.000
YJL127C	0.018	NaN	0.000
YMR012W	0.010	0.020	0.004
YLR400W	0.010	0.010	0.006
YOR016C	0.001	0.011	0.016
YDR009W	0.009	0.006	0.012
YBR053C	0.005	0.007	0.021
YBL096C	0.016	0.006	0.011
YIL111W	0.068	0.018	0.003
YGL166W	0.010	0.009	0.010
YPL110C	0.000	0.016	0.024
YJL206C	0.047	0.003	0.005
YHR157W	0.008	0.032	0.018
YFR034C	0.009	0.010	0.024
YML087C	0.012	NaN	0.005
YFR017C	0.020	0.009	0.008
YLR456W	0.028	0.015	0.009
YDL109C	0.015	0.010	0.005
YIL087C	0.018	0.009	0.016
YDR275W	0.031	0.009	0.008
YGL034C	NaN	0.008	0.011
YPL099C	0.000	0.015	0.009
YLR174W	0.026	0.009	0.006
YGL087C	0.016	0.090	0.003
YKR099W	0.009	0.013	0.018
YMR136W	0.003	0.017	0.012
YMR068W	0.011	0.006	0.011
YIL054W	0.008	0.008	0.022
YGR043C	NaN	0.009	0.009
YKR089C	NaN	0.015	0.005
YOR034C	0.004	0.015	0.014
YGR143W	0.033	0.014	0.009
YDR418W	0.000	0.018	0.009
YIL045W	0.013	0.016	0.009
YPR146C	0.004	0.028	0.009
YBR183W	0.000	0.009	0.022
YPL178W	0.004	0.020	0.074
YBL086C	0.007	0.013	0.004
YLR461W	0.026	0.009	0.016
YDR260C	0.033	0.005	0.009
YMR129W	0.014	0.014	0.000
YNL091W	NaN	0.173	0.006
YJL186W	0.023	0.048	0.000
YNL289W	0.032	0.015	0.004
YBL019W	0.021	0.006	0.008
YJR011C	0.029	0.009	0.009
YER089C	0.006	0.013	0.015
YJR010W	0.039	0.009	0.010
YIL055C	0.009	0.005	0.009
YHR044C	0.020	0.006	0.011
YLR364W	0.004	0.010	0.216
YOR003W	0.000	0.009	0.016
YLR377C	0.004	0.016	0.038
YLR451W	0.005	0.015	0.154
YDR214W	0.007	0.010	0.014
YIL043C	0.013	0.031	0.008
YOL055C	0.019	0.010	0.005
YBR238C	0.018	0.009	0.008
YGL024W	0.005	0.014	NaN
YDR368W	0.005	0.014	0.013
YGL015C	0.028	0.009	0.010
YPL230W	0.033	0.012	0.008
YDL107W	0.009	NaN	0.001
YJR062C	0.008	0.009	0.010
YNR032C-A	0.026	0.009	0.009
YCR076C	0.023	0.009	0.008
YGL080W	0.014	0.021	0.009
YGR010W	0.031	0.008	0.011
YPL182C	0.008	0.018	0.001
YGR205W	0.008	0.004	0.012
YBR285W	0.025	0.008	0.025
YFR046C	0.003	0.018	0.007
YPL198W	0.000	0.015	0.009
YGR209C	0.007	0.009	0.008
YIL023C	0.000	0.036	0.014
YLR320W	0.004	0.011	0.010
YMR241W	0.036	0.009	0.001
YGR269W	0.003	0.042	0.011
YPR068C	0.015	0.008	0.002
YPL155C	0.003	0.011	0.017
