ORF	hap a | transport to/from cell surface (CPY) | standard [standard] | Schluter C~Conibear E, 2008	hap alpha | transport to/from cell surface (CPY) | standard [standard] | Schluter C~Conibear E, 2008	hom | transport to/from cell surface (CPY) | standard [standard] | Schluter C~Conibear E, 2008
YPL227C	0.040	0.042	0.042
YGL043W	0.048	0.012	0.069
YNL280C	NaN	0.012	0.340
YCR036W	0.125	0.031	0.069
YLR200W	0.087	0.065	0.003
YNL044W	0.056	0.026	0.046
YCR023C	0.020	0.090	0.025
YNL141W	0.086	0.019	0.025
YGL198W	0.027	0.030	0.122
YBR039W	0.041	0.000	NaN
YDR199W	0.068	0.030	0.114
YCL001W-A	0.040	0.040	0.039
YPL031C	NaN	0.019	0.073
YNL271C	0.050	0.033	0.040
YJR121W	0.041	NaN	0.002
YMR032W	0.053	0.046	0.033
YBR189W	0.039	0.074	0.017
YDR306C	0.128	0.024	0.020
YLR095C	0.034	0.019	0.195
YKL178C	NaN	0.038	NaN
YDR144C	0.194	0.012	0.027
YLR373C	0.015	0.051	0.068
YEL043W	0.067	0.038	0.061
YMR316W	0.117	0.022	0.021
YGR072W	0.085	0.010	0.031
YOL115W	0.013	0.094	0.147
YCR065W	0.046	0.035	0.183
YLR389C	0.031	0.025	0.080
YLR238W	0.043	0.051	0.020
YAR002C-A	0.092	0.031	0.028
YDR389W	0.096	0.033	0.031
YHR003C	0.050	0.017	0.024
YOR109W	0.131	0.047	0.012
YJR118C	0.017	0.065	0.066
YER167W	0.046	0.020	0.033
YER084W	0.021	0.048	0.028
YBR015C	0.045	0.037	0.107
YGL199C	0.138	0.014	0.058
YNL228W	NaN	NaN	0.037
YNR001C	0.047	0.025	0.022
YIL044C	0.015	0.096	0.214
YLR111W	0.048	0.016	0.071
YNL055C	0.040	0.027	0.041
YEL003W	0.057	0.045	0.019
YNL050C	0.043	0.034	NaN
YGR085C	0.051	0.002	0.118
YKR067W	0.035	0.015	0.060
YFR008W	0.080	0.025	0.019
YPR067W	0.042	NaN	0.001
YIL041W	0.065	0.036	0.110
YHR189W	0.050	0.063	0.009
YNL122C	0.737	0.018	0.022
YKR042W	0.026	0.038	0.019
YNL129W	0.050	0.031	0.027
YLR065C	0.052	0.023	0.054
YLR134W	0.017	0.024	0.532
YCR050C	0.090	0.035	0.071
YOL101C	0.043	0.031	0.022
YPL253C	0.010	0.054	0.048
YGL194C	0.092	0.025	0.030
YJL136C	0.015	0.042	0.029
YLR135W	0.007	0.036	0.091
YNR044W	0.039	0.034	NaN
YDR069C	0.983	0.018	0.017
YGR056W	0.472	0.022	0.000
YBL022C	0.105	0.035	0.012
YMR060C	0.005	0.034	0.467
YBR026C	0.014	NaN	0.160
YIR007W	0.055	0.013	0.024
YDL232W	0.021	0.112	0.013
YNL143C	0.854	0.011	0.024
YJR140C	0.053	0.025	0.019
YLR235C	0.106	0.030	0.000
YJL139C	0.041	0.034	0.110
YNL135C	0.773	0.020	0.017
YPL194W	0.043	0.014	0.040
YPR164W	0.075	0.034	0.003
YKL037W	0.062	0.044	0.015
YNR014W	0.052	0.018	0.021
YDR149C	0.076	0.038	0.005
YNL116W	0.078	0.019	0.016
YLL053C	0.037	0.004	0.510
