orf	hap a | transport to vacuoles (CPY) | standard | YPD | Schluter C~Conibear E, 2008	hap alpha | transport to vacuoles (CPY) | standard | YPD | Schluter C~Conibear E, 2008	hom | transport to vacuoles (CPY) | standard | YPD | Schluter C~Conibear E, 2008
YBR170C	-0.024841899083641015	-0.012934558764355156	-0.1370185115042268
YBR171W	-0.020625932353019905	-0.014361244205224725	-0.11054658222866677
YBR172C	0.0	-0.00545155987482553	-0.005717394477700258
YBR173C	-0.0115493503508896	-0.015638057264940015	-0.0004428094556804583
YBR174C	-0.039612794006310494	-0.03744172466419971	-0.004368485591662518
YBR175W	-0.04776758493530578	-0.022642358773541687	-0.0031933374208068022
YBR176W	-0.023566458206315696	-0.01584301145587127	-0.012037375042753972
YBR177C	-0.0039046323138035286	-0.013437245089202847	-0.010979378154720347
YBR178W		-0.0156850259631555	-0.004839721716344472
YBR179C	0.0	-0.006210374278730168	-0.0321073643081684
YBR180W		-0.012065574604859488	-0.0032873435320116707
YBR181C	0.0	-0.011189107999798446	-0.003153204213935199
YBR182C	0.0	-0.011120016911057884	-0.006134724089936152
YBR183W	-4.930091303918094e-05	-0.00927312736289308	-0.021583367845801074
YBR184W	-0.0009564377132352095	-0.005980741121083204	-0.001600926493629956
YBR185C	-0.0049695320357249365	-0.011034001914988729	-5.109339871865375e-05
YBR186W		-0.012304381699113898	-0.0021459227467774196
YBR187W	-0.024378143493150515	-0.009394707357905603	-0.001047414674029383
YBR188C	-0.035783571686551614	-0.009077278433678927	-0.0035169289461140373
YBR189W	-0.039181953809517105	-0.07363828682384663	-0.016930406670073478
YBR191W	-0.11424292034105951	-0.134274774069927	-0.5190979661483787
YBR194W	0.0	-0.0048555960142502306	-0.002469514272114352
YBR195C	-0.00774024334931782	-0.0054674926696066046	-0.0003924193053628332
YBR197C	-0.00022678420004900726	-0.022422351937160148	-0.002103344914511875
YBR199W	0.0	-0.028730526546651095	-0.0013714750315742333
YBR200W	-0.04332564239090221	-0.03596299589984121	-0.0005642375953437224
YBR201W	0.0	-0.004788497187389459	-0.0009027170203053052
YBR203W	0.0	-0.013909335677023443	-0.002801621363874696
YBR204C	-0.0005127294957450316	-0.00580174344249677	-0.005390855886618972
YBR205W	-0.0008479757045146246	-0.006771414092547416	-0.004011190559120147
YBR206W	-0.0008578358871224606	-0.0065691750547323255	-0.0021203760474180927
YBR207W	-0.021593799917179055	-0.008049467208978044	-0.0014306151645380781
YBR208C	-0.04606912552182995	-0.001121899023212892	-0.0015157708290691682
YBR209W	-0.00822432494778534	-0.005305081624464047	
YBR210W	-0.004801908931357335	-0.004379799372581595	-0.003099666189792906
YBR212W	-0.0010648997219557955	-0.016921317628654734	-0.006660579465004242
YBR213W	-0.004437082174764233	-0.016146537801445416	-0.008640644789199627
YBR214W	-0.0018734346960046877	-0.01736734964565761	-0.010717840220008518
YBR215W	-0.006645763079538515	-0.03133194818572854	-0.011267735333546807
YBR216C	0.0	-0.023514780354714146	-0.03575464838692982
YBR217W	-0.0018734346960046877	-0.027606739016340903	-0.05117454515356855
YBR218C	-0.004683586740028912	-0.00551372462383214	-0.010971030028362671
YBR219C		-0.006744748541950441	-0.011969360584819113
YBR220C	-0.03216991055296545	-0.005517133266047846	-0.007093466857429536
YBR221C	-0.17694212765047987	-0.00159927460387035	-0.006029021050464236
YBR222C	-0.016003076376954115	-0.0017061270705595094	-0.007962054635854535
YBR223C	-0.013739053069107771	-0.011410899588494798	-0.0062373127436323
YBR224W	-0.0013607052002596561	-0.00662030638440462	-0.002633955588261575
YBR225W	0.0	-0.009314032765911978	-0.005328960126545872
YBR226C	0.0	-0.009392331174868424	-0.0373716922273177
YBR227C	0.0	-0.007569155112853704	-0.03927340956449109
