ORF	hom | growth (relative abundance in pooled culture) | asperentin [110 uM] | Hoepfner D~Winzeler EA, 2012	het | growth (relative abundance in pooled culture) | asperentin [110 uM] | Hoepfner D~Winzeler EA, 2012
YBR175W	-2.419	-1.083
YBR176W	0.856	0.437
YBR177C	-0.024	-0.029
YBR178W	0.030	-0.558
YBR179C	-0.645	-0.158
YBR180W	0.013	0.005
YBR181C	0.561	-0.463
YBR182C	0.097	-0.491
YBR183W	0.753	0.204
YBR184W	-0.040	0.110
YBR185C	-0.404	-0.345
YBR186W	0.086	0.732
YBR187W	0.499	-2.531
YBR188C	0.350	0.542
YBR189W	1.347	0.042
YBR190W	NaN	-4.627
YBR191W	-0.924	-4.216
YBR192W	NaN	-0.261
YBR193C	NaN	0.221
YBR194W	NaN	0.050
YBR195C	-0.484	0.098
YBR196C	NaN	-0.332
YBR197C	0.403	0.195
YBR198C	NaN	4.034
YBR199W	0.114	0.317
YBR200W	0.054	-0.748
YBR201W	0.413	0.384
YBR202W	NaN	-4.747
YBR203W	0.705	0.112
YBR204C	0.047	-0.142
YBR205W	0.025	-0.334
YBR206W	0.036	-0.414
YBR207W	0.114	-0.314
YBR208C	-0.761	-1.702
YBR209W	NaN	-0.401
YBR210W	0.018	0.128
YBR211C	NaN	0.484
YBR212W	0.277	0.094
YBR213W	0.452	0.212
YBR214W	0.297	0.281
YBR215W	-1.916	-0.487
YBR216C	0.258	0.950
YBR217W	0.612	0.204
YBR218C	0.151	-0.223
YBR219C	0.389	0.563
YBR220C	-0.020	-0.036
YBR221C	-1.652	0.323
YBR222C	-0.279	-0.036
YBR223C	-0.069	-0.067
YBR224W	0.370	0.665
YBR225W	0.405	0.336
YBR226C	0.052	0.736
YBR227C	0.326	-0.371
YBR228W	0.017	0.012
YBR229C	0.090	0.706
YBR230C	0.157	-0.147
YBR231C	-0.773	0.665
YBR232C	-0.089	-0.067
YBR233W	0.020	0.058
YBR234C	NaN	0.044
YBR235W	0.475	-0.561
YBR236C	NaN	0.651
YBR237W	NaN	-0.574
YBR238C	-0.685	0.503
YBR239C	0.045	0.178
YBR240C	-0.356	0.443
YBR241C	0.352	0.468
YBR242W	0.107	0.390
YBR243C	NaN	1.071
YBR244W	0.002	0.170
YBR245C	0.054	0.907
YBR246W	1.078	0.611
YBR247C	NaN	-0.550
YBR248C	0.189	0.707
YBR249C	0.007	0.011
YBR250W	0.111	0.014
YBR251W	-3.349	-0.439
YBR252W	NaN	-0.571
YBR253W	NaN	-0.210
YBR254C	NaN	-0.290
YBR255W	0.153	0.354
YBR256C	NaN	-0.211
YBR257W	NaN	-1.922
YBR258C	0.128	0.410
YBR259W	0.151	-0.646
YBR260C	-0.068	0.033
YBR261C	-0.138	0.278
YBR262C	0.047	0.362
YBR263W	0.026	0.301
YBR264C	0.417	1.241
YBR265W	NaN	-3.444
YBR266C	-5.332	-3.574
YBR267W	-2.892	-1.824
YBR268W	-5.156	0.113
YBR269C	1.049	0.334
YBR270C	0.518	1.940
YBR271W	0.895	3.303
YBR272C	1.114	-1.939
YBR273C	-0.036	-0.148
YBR275C	-0.849	-0.463
YBR276C	-0.281	0.358
YBR277C	-2.223	2.206
YBR278W	-1.772	1.535
YBR279W	-0.864	-0.019
YBR280C	1.137	0.194
YBR281C	2.020	1.881
YBR282W	NaN	1.774
YBR283C	-3.083	2.401
YBR284W	0.390	1.854
YBR285W	0.178	1.216
YBR286W	1.069	2.365
YBR287W	0.062	0.044
YBR288C	0.073	-0.093
YBR289W	-0.750	2.274
YBR290W	1.475	4.370
YBR291C	0.682	1.648
YBR292C	0.370	1.596
YBR293W	-0.144	2.134
YBR294W	-0.203	-0.609
YBR295W	1.463	2.122
YBR296C	0.485	1.594
YBR297W	-0.308	3.677
YBR298C	2.120	2.874
YBR299W	0.916	-1.050
YBR300C	0.456	0.221
YBR301W	-0.058	-0.590
YCL001W	0.332	-1.611
YCL001W-A	1.554	1.855
YCL002C	0.883	-0.005
YCL004W	NaN	0.063
YCL005W	0.179	0.017
YCL006C	-0.250	1.415
YCL007C	-1.125	1.044
YCL008C	1.435	-0.014
YCL009C	-0.110	-0.361
YCL010C	-0.267	-0.640
YCL011C	-0.144	0.933
YCL014W	0.219	-2.153
YCL016C	0.870	0.040
YCL017C	NaN	-0.278
YCL022C	-0.437	-0.843
YCL023C	-0.027	0.667
YCL024W	0.071	-2.103
YCL025C	0.025	-1.128
YCL026C-A	-0.179	0.571
YCL027W	-0.225	-1.338
YCL028W	0.119	-0.765
YCL029C	-1.580	-1.244
YCL030C	0.120	-2.445
YCL032W	0.276	-1.529
YCL033C	-0.049	-1.034
YCL034W	0.016	-3.398
YCL035C	0.708	0.519
YCL036W	0.940	-3.927
YCL037C	1.351	0.656
YCL038C	0.351	-0.015
YCL039W	-0.047	-0.592
YCL040W	-0.024	0.142
YCL041C	NaN	0.032
YCL042W	0.823	-1.005
YCL043C	NaN	-1.942
YCL044C	-0.159	-0.827
YCL045C	-0.035	-1.569
YCL046W	0.478	-0.417
YCL047C	-0.432	-0.027
YCL048W	0.099	-0.025
YCL049C	0.010	-1.112
YCL050C	-0.272	0.250
YCL051W	0.677	-0.236
YCL052C	NaN	-0.422
YCL054W	NaN	-1.404
YCL055W	-0.195	-1.679
YCL056C	0.144	-0.714
YCL057W	1.122	-0.701
YCL058C	0.885	-0.127
YCL059C	NaN	-0.045
YCL061C	-3.310	-0.862
YCL063W	-0.925	-1.861
YCL064C	-0.067	-1.413
YCL069W	-0.340	-1.010
YCL074W	-0.447	-0.645
YCL075W	-0.325	-0.240
YCL076W	-0.178	-0.740
YCR001W	0.198	-1.386
YCR002C	NaN	-2.778
YCR003W	-2.896	-0.308
YCR004C	-0.264	-0.567
YCR005C	0.156	-0.906
YCR006C	0.834	-6.253
YCR007C	0.255	-0.916
YCR008W	0.355	-0.664
YCR009C	3.225	-1.176
YCR010C	-0.205	-0.558
YCR011C	0.409	-1.945
YCR012W	NaN	-0.034
