orf	hap a | growth (CFU) | MANCOZEB [1.2-1.5 mg/L] | MM4 + his + leu + lys + met + trp + ura, DMSO [0.15%] | Dias PJ~Sa Correia I, 2010
YEL009C	-3.413480220174911
YEL013W	-1.7067401100874555
YEL027W	-3.413480220174911
YEL029C	-3.413480220174911
YEL031W	-1.7067401100874555
YEL036C	-3.413480220174911
YEL044W	-3.413480220174911
YEL050C	-1.7067401100874555
YEL051W	-3.413480220174911
YEL061C	-1.7067401100874555
YEL062W	-1.7067401100874555
YER005W	-1.7067401100874555
YER007W	-1.7067401100874555
YER014C-A	-1.7067401100874555
YER016W	-1.7067401100874555
YER019W	-1.7067401100874555
YER020W	-1.7067401100874555
YER040W	-1.7067401100874555
YER050C	-1.7067401100874555
YER087W	-1.7067401100874555
YER133W	-1.7067401100874555
YER151C	-1.7067401100874555
YER155C	-1.7067401100874555
YER165W	-1.7067401100874555
YFL001W	-3.413480220174911
YFL013C	-1.7067401100874555
YFL014W	-1.7067401100874555
YFL018C	-3.413480220174911
YFL023W	-3.413480220174911
YFL025C	-3.413480220174911
YFL033C	-1.7067401100874555
YFR001W	-3.413480220174911
YFR010W	-3.413480220174911
YFR012W-A	-3.413480220174911
YFR029W	-1.7067401100874555
YFR040W	-1.7067401100874555
YGL003C	-1.7067401100874555
YGL007W	-1.7067401100874555
YGL016W	-1.7067401100874555
YGL019W	-1.7067401100874555
YGL020C	-1.7067401100874555
YGL025C	-3.413480220174911
YGL027C	-1.7067401100874555
YGL038C	-3.413480220174911
YGL041C-B	-1.7067401100874555
YGL042C	-1.7067401100874555
YGL043W	-1.7067401100874555
YGL054C	-1.7067401100874555
YGL058W	-3.413480220174911
YGL062W	-3.413480220174911
YGL066W	-1.7067401100874555
YGL070C	-3.413480220174911
YGL071W	-3.413480220174911
YGL080W	-1.7067401100874555
YGL084C	-1.7067401100874555
YGL097W	-3.413480220174911
YGL104C	-1.7067401100874555
YGL105W	-1.7067401100874555
YGL115W	-1.7067401100874555
YGL124C	-3.413480220174911
YGL127C	-1.7067401100874555
YGL135W	-3.413480220174911
YGL136C	-1.7067401100874555
YGL163C	-1.7067401100874555
YGL167C	-1.7067401100874555
YGL168W	-1.7067401100874555
YGL173C	-3.413480220174911
YGL174W	-1.7067401100874555
YGL188C-A	-1.7067401100874555
YGL190C	-1.7067401100874555
YGL192W	-1.7067401100874555
YGL195W	-3.413480220174911
YGL211W	-1.7067401100874555
YGL212W	-1.7067401100874555
YGL218W	-3.413480220174911
YGL220W	-1.7067401100874555
YGL240W	-3.413480220174911
YGL244W	-3.413480220174911
YGL246C	-3.413480220174911
YGL252C	-3.413480220174911
YGR007W	-1.7067401100874555
YGR036C	-3.413480220174911
YGR055W	-1.7067401100874555
YGR056W	-3.413480220174911
YGR062C	-1.7067401100874555
YGR064W	-3.413480220174911
YGR076C	-1.7067401100874555
YGR077C	-1.7067401100874555
YGR078C	-3.413480220174911
YGR087C	-1.7067401100874555
YGR092W	-1.7067401100874555
YGR101W	-1.7067401100874555
YGR102C	-1.7067401100874555
YGR104C	-3.413480220174911
YGR105W	-3.413480220174911
YGR112W	-1.7067401100874555
YGR129W	-1.7067401100874555
YGR132C	-1.7067401100874555
YGR135W	-1.7067401100874555
YGR150C	-1.7067401100874555
YGR155W	-1.7067401100874555
YGR157W	-3.413480220174911
YGR159C	-3.413480220174911
YGR160W	-3.413480220174911
YGR162W	-1.7067401100874555
YGR163W	-3.413480220174911
YGR164W	-1.7067401100874555
YGR165W	-3.413480220174911
YGR166W	-3.413480220174911
YGR167W	-3.413480220174911
YGR170W	-3.413480220174911
YGR174C	-1.7067401100874555
YGR180C	-3.413480220174911
YGR187C	-3.413480220174911
YGR188C	-1.7067401100874555
YGR200C	-3.413480220174911
YGR204C-A	-3.413480220174911
YGR214W	-3.413480220174911
YGR215W	-3.413480220174911
YGR229C	-3.413480220174911
YGR240C	-3.413480220174911
YGR252W	-3.413480220174911
YGR262C	-3.413480220174911
YGR270W	-1.7067401100874555
YGR273C	-1.7067401100874555
YGR285C	-1.7067401100874555
YHL002W	-3.413480220174911
YHL011C	-3.413480220174911
YHL015W	-1.7067401100874555
YHL023C	-3.413480220174911
YHL031C	-3.413480220174911
YHL034C	-3.413480220174911
YHR008C	-3.413480220174911
YHR010W	-3.413480220174911
YHR012W	-1.7067401100874555
YHR013C	-1.7067401100874555
YHR026W	-3.413480220174911
YHR030C	-1.7067401100874555
YHR038W	-3.413480220174911
YHR041C	-1.7067401100874555
YHR050W	-3.413480220174911
YHR060W	-3.413480220174911
YHR064C	-1.7067401100874555
YHR067W	-1.7067401100874555
YHR075C	-1.7067401100874555
YHR090C	-1.7067401100874555
YHR091C	-1.7067401100874555
YHR100C	-3.413480220174911
YHR111W	-1.7067401100874555
YHR141C	-1.7067401100874555
YHR172W	-1.7067401100874555
YHR178W	-1.7067401100874555
YHR187W	-1.7067401100874555
YIL005W	-3.413480220174911
YIL006W	-3.413480220174911
YIL007C	-3.413480220174911
YIL008W	-1.7067401100874555
YIL017C	-1.7067401100874555
YIL021W	-3.413480220174911
YIL026C	-1.7067401100874555
YIL028W	-1.7067401100874555
YIL031W	-1.7067401100874555
YIL036W	-1.7067401100874555
YIL038C	-1.7067401100874555
YIL040W	-3.413480220174911
YIL050W	-1.7067401100874555
YIL073C	-1.7067401100874555
YIL090W	-1.7067401100874555
YIL097W	-3.413480220174911
YIL098C	-1.7067401100874555
YIL110W	-1.7067401100874555
YIL112W	-1.7067401100874555
YIL126W	-1.7067401100874555
YIL128W	-1.7067401100874555
YIL148W	-1.7067401100874555
YIL153W	-1.7067401100874555
YIR011C	-1.7067401100874555
YIR017C	-1.7067401100874555
YIR026C	-3.413480220174911
YIR034C	-1.7067401100874555
YJL006C	-1.7067401100874555
YJL016W	-1.7067401100874555
YJL026W	-1.7067401100874555
YJL046W	-3.413480220174911
YJL047C	-3.413480220174911
YJL056C	-3.413480220174911
YJL062W	-3.413480220174911
YJL075C	-3.413480220174911
YJL080C	-3.413480220174911
YJL086C	-1.7067401100874555
YJL095W	-1.7067401100874555
YJL097W	-1.7067401100874555
YJL101C	-3.413480220174911
YJL110C	-3.413480220174911
YJL111W	-1.7067401100874555
YJL117W	-1.7067401100874555
YJL120W	-3.413480220174911
YJL121C	-3.413480220174911
YJL128C	-3.413480220174911
YJL129C	-3.413480220174911
YJL136C	-1.7067401100874555
YJL140W	-3.413480220174911
YJL175W	-3.413480220174911
YJL176C	-3.413480220174911
YJL180C	-3.413480220174911
YJL184W	-3.413480220174911
YJL204C	-1.7067401100874555
YJR006W	-1.7067401100874555
YJR011C	-1.7067401100874555
YJR014W	-3.413480220174911
YJR018W	-3.413480220174911
YJR025C	-1.7067401100874555
YJR032W	-1.7067401100874555
YJR060W	-3.413480220174911
YJR073C	-3.413480220174911
YJR090C	-1.7067401100874555
YJR102C	-3.413480220174911
YJR104C	-3.413480220174911
YJR105W	-3.413480220174911
YJR109C	-1.7067401100874555
YJR118C	-1.7067401100874555
YKL002W	-1.7067401100874555
YKL006W	-1.7067401100874555
YKL032C	-1.7067401100874555
YKL033W	-1.7067401100874555
YKL040C	-1.7067401100874555
YKL041W	-1.7067401100874555
YKL054C	-3.413480220174911
YKL055C	-3.413480220174911
YKL059C	-1.7067401100874555
YKL096C-B	-3.413480220174911
YKL096W-A	-1.7067401100874555
YKL113C	-1.7067401100874555
YKL118W	-1.7067401100874555
YKL119C	-1.7067401100874555
YKL121W	-1.7067401100874555
YKL126W	-1.7067401100874555
YKL134C	-1.7067401100874555
YKL135C	-1.7067401100874555
YKL139W	-3.413480220174911
YKL152C	-1.7067401100874555
YKL165C	-1.7067401100874555
YKL184W	-1.7067401100874555
YKL212W	-3.413480220174911
YKL213C	-3.413480220174911
YKL215C	-1.7067401100874555
YKL220C	-1.7067401100874555
YKR001C	-3.413480220174911
YKR024C	-3.413480220174911
YKR035C	-3.413480220174911
YKR035W-A	-1.7067401100874555
YKR082W	-3.413480220174911
YLL002W	-3.413480220174911
YLL009C	-1.7067401100874555
YLL018C-A	-1.7067401100874555
YLL019C	-1.7067401100874555
YLL020C	-1.7067401100874555
YLL028W	-3.413480220174911
YLL033W	-1.7067401100874555
YLL038C	-3.413480220174911
YLL039C	-3.413480220174911
YLL043W	-3.413480220174911
YLR015W	-1.7067401100874555
YLR025W	-3.413480220174911
YLR039C	-1.7067401100874555
YLR052W	-1.7067401100874555
YLR138W	-1.7067401100874555
YLR148W	-3.413480220174911
YLR177W	-1.7067401100874555
YLR182W	-3.413480220174911
YLR184W	-1.7067401100874555
YLR192C	-1.7067401100874555
YLR197W	-3.413480220174911
YLR200W	-3.413480220174911
YLR202C	-1.7067401100874555
YLR210W	-1.7067401100874555
YLR220W	-1.7067401100874555
YLR226W	-3.413480220174911
YLR242C	-1.7067401100874555
YLR261C	-1.7067401100874555
YLR262C	-1.7067401100874555
YLR268W	-1.7067401100874555
YLR292C	-1.7067401100874555
YLR295C	-1.7067401100874555
YLR318W	-3.413480220174911
YLR319C	-1.7067401100874555
YLR320W	-1.7067401100874555
YLR322W	-3.413480220174911
YLR337C	-3.413480220174911
YLR338W	-3.413480220174911
YLR342W	-1.7067401100874555
YLR352W	-1.7067401100874555
YLR357W	-1.7067401100874555
YLR358C	-3.413480220174911
YLR369W	-1.7067401100874555
YLR370C	-1.7067401100874555
YLR372W	-1.7067401100874555
YLR373C	-3.413480220174911
YLR374C	-1.7067401100874555
YLR384C	-1.7067401100874555
YLR393W	-1.7067401100874555
YLR396C	-1.7067401100874555
YLR402W	-1.7067401100874555
YLR403W	-3.413480220174911
YLR404W	-1.7067401100874555
YLR407W	-1.7067401100874555
YLR410W	-1.7067401100874555
YLR417W	-3.413480220174911
YLR418C	-3.413480220174911
YML001W	-1.7067401100874555
YML007W	-3.413480220174911
YML008C	-1.7067401100874555
YML009W-B	-3.413480220174911
YML012C-A	-1.7067401100874555
YML022W	-1.7067401100874555
YML024W	-1.7067401100874555
YML028W	-1.7067401100874555
YML030W	-1.7067401100874555
YML032C	-1.7067401100874555
YML035C	-1.7067401100874555
YML036W	-1.7067401100874555
YML094C-A	-1.7067401100874555
YML094W	-1.7067401100874555
YML112W	-1.7067401100874555
YMR016C	-1.7067401100874555
YMR031W-A	-1.7067401100874555
YMR033W	-1.7067401100874555
YMR037C	-1.7067401100874555
YMR038C	-3.413480220174911
YMR043W	-1.7067401100874555
YMR060C	-3.413480220174911
YMR061W	-1.7067401100874555
YMR067C	-3.413480220174911
YMR073C	-1.7067401100874555
YMR077C	-3.413480220174911
YMR078C	-1.7067401100874555
YMR091C	-3.413480220174911
YMR135W-A	-1.7067401100874555
YMR142C	-1.7067401100874555
YMR145C	-3.413480220174911
YMR179W	-1.7067401100874555
YMR190C	-1.7067401100874555
YMR191W	-1.7067401100874555
YMR198W	-1.7067401100874555
YMR199W	-1.7067401100874555
YMR202W	-3.413480220174911
YMR205C	-1.7067401100874555
YMR207C	-3.413480220174911
YMR214W	-1.7067401100874555
YMR224C	-1.7067401100874555
YMR228W	-1.7067401100874555
YMR231W	-3.413480220174911
YMR242W-A	-1.7067401100874555
YMR263W	-1.7067401100874555
YMR269W	-1.7067401100874555
YMR272C	-1.7067401100874555
YMR275C	-1.7067401100874555
YMR294W	-1.7067401100874555
YMR300C	-1.7067401100874555
YMR307W	-3.413480220174911
YMR309C	-1.7067401100874555
YMR312W	-1.7067401100874555
YMR326C	-1.7067401100874555
YNL003C	-3.413480220174911
YNL015W	-3.413480220174911
YNL016W	-1.7067401100874555
YNL021W	-1.7067401100874555
YNL023C	-1.7067401100874555
YNL025C	-1.7067401100874555
YNL039W	-1.7067401100874555
YNL040W	-3.413480220174911
YNL055C	-1.7067401100874555
YNL059C	-3.413480220174911
YNL071W	-1.7067401100874555
YNL148C	-3.413480220174911
YNL153C	-3.413480220174911
YNL171C	-3.413480220174911
YNL183C	-1.7067401100874555
YNL192W	-1.7067401100874555
YNL198C	-1.7067401100874555
YNL199C	-3.413480220174911
YNL215W	-3.413480220174911
YNL229C	-1.7067401100874555
YNL235C	-1.7067401100874555
YNL238W	-1.7067401100874555
YNL241C	-3.413480220174911
YNL245C	-1.7067401100874555
YNL246W	-1.7067401100874555
YNL248C	-1.7067401100874555
YNL250W	-1.7067401100874555
YNL280C	-3.413480220174911
YNL296W	-3.413480220174911
YNL297C	-3.413480220174911
YNL298W	-3.413480220174911
YNL302C	-1.7067401100874555
YNL307C	-1.7067401100874555
YNL315C	-1.7067401100874555
YNL319W	-1.7067401100874555
YNL322C	-1.7067401100874555
YNL323W	-1.7067401100874555
YNR005C	-1.7067401100874555
YNR006W	-3.413480220174911
YNR010W	-1.7067401100874555
YNR017W	-1.7067401100874555
YNR020C	-1.7067401100874555
YNR021W	-1.7067401100874555
YNR032W	-1.7067401100874555
YNR037C	-1.7067401100874555
YNR038W	-1.7067401100874555
YNR043W	-1.7067401100874555
YNR047W	-1.7067401100874555
YNR051C	-3.413480220174911
YNR052C	-3.413480220174911
YOL004W	-3.413480220174911
YOL006C	-3.413480220174911
YOL023W	-1.7067401100874555
YOL032W	-1.7067401100874555
YOL036W	-1.7067401100874555
YOL041C	-1.7067401100874555
YOL042W	-1.7067401100874555
YOL049W	-3.413480220174911
YOL051W	-3.413480220174911
YOL052C	-1.7067401100874555
YOL059W	-1.7067401100874555
YOL064C	-1.7067401100874555
YOL067C	-3.413480220174911
YOL072W	-1.7067401100874555
YOL076W	-1.7067401100874555
YOL108C	-3.413480220174911
YOL110W	-1.7067401100874555
YOL121C	-3.413480220174911
YOL143C	-3.413480220174911
YOR008C	-1.7067401100874555
YOR026W	-1.7067401100874555
YOR035C	-3.413480220174911
YOR036W	-3.413480220174911
YOR039W	-1.7067401100874555
YOR043W	-1.7067401100874555
YOR068C	-1.7067401100874555
YOR069W	-1.7067401100874555
YOR070C	-1.7067401100874555
YOR080W	-1.7067401100874555
YOR089C	-1.7067401100874555
YOR096W	-1.7067401100874555
YOR106W	-1.7067401100874555
YOR109W	-1.7067401100874555
YOR123C	-1.7067401100874555
YOR139C	-1.7067401100874555
YOR140W	-1.7067401100874555
YOR141C	-3.413480220174911
YOR150W	-1.7067401100874555
YOR162C	-1.7067401100874555
YOR187W	-1.7067401100874555
YOR196C	-3.413480220174911
YOR199W	-1.7067401100874555
YOR200W	-1.7067401100874555
YOR201C	-1.7067401100874555
YOR205C	-1.7067401100874555
YOR211C	-3.413480220174911
YOR221C	-3.413480220174911
YOR235W	-3.413480220174911
YOR241W	-3.413480220174911
YOR258W	-1.7067401100874555
YOR267C	-1.7067401100874555
YOR269W	-1.7067401100874555
YOR270C	-1.7067401100874555
YOR293W	-1.7067401100874555
YOR295W	-1.7067401100874555
YOR304C-A	-1.7067401100874555
YOR306C	-1.7067401100874555
YOR312C	-1.7067401100874555
YOR323C	-1.7067401100874555
YOR330C	-1.7067401100874555
YOR331C	-3.413480220174911
YOR332W	-3.413480220174911
YOR333C	-1.7067401100874555
YOR345C	-1.7067401100874555
YOR349W	-1.7067401100874555
YPL002C	-1.7067401100874555
YPL006W	-1.7067401100874555
YPL031C	-3.413480220174911
YPL042C	-1.7067401100874555
YPL055C	-1.7067401100874555
YPL057C	-1.7067401100874555
YPL065W	-1.7067401100874555
YPL079W	-1.7067401100874555
YPL084W	-3.413480220174911
YPL086C	-1.7067401100874555
YPL091W	-3.413480220174911
YPL097W	-3.413480220174911
YPL101W	-1.7067401100874555
YPL102C	-1.7067401100874555
YPL105C	-1.7067401100874555
YPL106C	-3.413480220174911
YPL120W	-1.7067401100874555
YPL123C	-1.7067401100874555
YPL129W	-1.7067401100874555
YPL144W	-1.7067401100874555
YPL161C	-3.413480220174911
YPL165C	-1.7067401100874555
YPL174C	-1.7067401100874555
YPL180W	-3.413480220174911
YPL193W	-1.7067401100874555
YPL205C	-1.7067401100874555
YPL233W	-3.413480220174911
YPL234C	-3.413480220174911
YPL239W	-1.7067401100874555
YPL241C	-3.413480220174911
YPL249C-A	-3.413480220174911
YPL262W	-1.7067401100874555
YPL271W	-3.413480220174911
YPR024W	-3.413480220174911
YPR036W	-3.413480220174911
YPR039W	-1.7067401100874555
YPR040W	-1.7067401100874555
YPR043W	-1.7067401100874555
YPR044C	-1.7067401100874555
YPR045C	-3.413480220174911
YPR047W	-3.413480220174911
YPR049C	-3.413480220174911
YPR052C	-1.7067401100874555
YPR063C	-1.7067401100874555
YPR066W	-3.413480220174911
YPR069C	-1.7067401100874555
YPR070W	-1.7067401100874555
YPR087W	-1.7067401100874555
YPR099C	-3.413480220174911
YPR100W	-1.7067401100874555
YPR101W	-3.413480220174911
YPR124W	-1.7067401100874555
YPR131C	-3.413480220174911
YPR135W	-1.7067401100874555
YPR139C	-1.7067401100874555
YPR141C	-1.7067401100874555
YPR146C	-3.413480220174911
YPR159W	-3.413480220174911
YPR160W	-3.413480220174911
YPR163C	-3.413480220174911
YPR173C	-3.413480220174911
YPR179C	-1.7067401100874555
YPR187W	-1.7067401100874555
YPR194C	-3.413480220174911
YPR197C	-1.7067401100874555
