orf	hap a | growth (CFU) | MANCOZEB [1.2-1.5 mg/L] | MM4 + his + leu + lys + met + trp + ura, DMSO [0.15%] | Dias PJ~Sa Correia I, 2010
YPR087W	-1.0
YPR099C	-2.0
YPR100W	-1.0
YPR101W	-2.0
YPR124W	-1.0
YPR131C	-2.0
YPR135W	-1.0
YPR139C	-1.0
YPR141C	-1.0
YPR146C	-2.0
YPR159W	-2.0
YPR160W	-2.0
YPR163C	-2.0
YPR173C	-2.0
YPR179C	-1.0
YPR187W	-1.0
YPR194C	-2.0
YPR197C	-1.0
