ORF	hap a | protein/peptide metabolism (unfolded protein response (UPR)) | standard [standard] | Jonikas MC~Schuldiner M, 2009
YNL264C	0.151
YJR059W	0.151
YNL068C	0.151
YMR073C	0.151
YGL212W	0.151
YDR186C	0.150
YJL093C	0.150
YJR115W	0.149
YDR080W	0.149
YLR046C	0.149
YLR065C	0.148
YDR225W	0.147
YIL141W	0.147
YLL040C	0.147
YJL115W	0.146
YJL089W	0.146
YJR088C	0.146
YER164W	0.144
YBR071W	0.144
YGL154C	0.144
YBR150C	0.144
YLR220W	0.144
YOR011W	0.143
YOR132W	0.143
YLR401C	0.143
YMR246W	0.143
YBR255W	0.142
YGR004W	0.142
YBL011W	0.142
YDR011W	0.141
YIL116W	0.141
YFL027C	0.141
YBR209W	0.141
YER024W	0.141
YOR007C	0.140
YLR279W	0.140
YLR452C	0.139
YMR304C-A	0.139
YHR021W-A	0.139
YPR023C	0.139
YAL034C	0.139
YFL011W	0.138
YKL081W	0.137
YBR262C	0.137
YLR312C	0.136
YER033C	0.136
YAR042W	0.052
YHL029C	0.136
YDR051C	0.136
YBL049W	0.136
YML048W	0.136
YMR119W-A	0.135
YAL029C	0.135
YDR035W	0.135
YNL044W	0.135
YMR172W	0.134
YIL029C	0.133
YLR428C	0.133
YOR140W	0.132
YOL087C	0.132
YOR238W	0.132
YGR008C	0.132
YML080W	0.132
YLL039C	0.132
YCL011C	0.131
YJL186W	0.131
YBR260C	0.131
YPL212C	0.131
YGL079W	0.131
YLR146C	0.131
YNL289W	0.130
YLR450W	0.130
YKL105C	0.130
YER049W	0.130
YDR001C	0.130
YNL025C	0.129
YJL205C	0.129
YGL229C	0.129
YPR184W	0.129
YDR283C	0.129
YGR273C	0.129
YGL090W	0.129
YDR358W	0.129
YPR096C	0.129
YBL054W	0.128
YDR133C	0.128
YLR094C	0.128
YBL067C	0.127
YDR309C	0.127
YMR007W	0.127
YLR269C	0.127
YJR051W	0.127
YOR028C	0.125
YKR061W	0.125
YER173W	0.125
YDL223C	0.125
YOR311C	0.125
YMR304W	0.125
YFL010W-A	0.125
YDR043C	0.124
YIL035C	0.124
YGR143W	0.124
YDR042C	0.124
YFR043C	0.124
YDR411C	0.123
YMR272C	0.123
YER038W-A	0.123
YOR296W	0.122
YPL041C	0.122
YHR189W	0.122
YKR096W	0.122
YBL062W	0.121
YBR183W	0.121
YHR182W	0.121
YMR052C-A	0.120
YDR029W	0.120
YIL135C	0.120
YIL100W	0.120
YMR259C	0.120
YGR109C	0.120
YLR263W	0.120
YLR084C	0.120
YCR024C-A	0.120
YLR097C	0.119
YBR076W	0.119
YGR146C	0.119
YOL054W	0.119
YBL061C	0.118
YOR301W	0.118
YMR003W	0.118
YPR097W	0.118
YNL325C	0.117
YNL083W	0.117
YBL001C	0.117
YNL049C	0.117
YDL185W	0.117
YEL046C	0.116
YGR279C	0.116
YNL288W	0.116
YLR400W	0.116
YIL071C	0.115
YJL110C	0.115
YLL059C	0.115
YPR032W	0.114
YJR005W	0.114
YLR348C	0.114
YMR289W	0.114
YNL107W	0.114
YMR015C	0.114
YKR023W	0.114
YOR015W	0.113
YGL108C	0.112
YGR097W	0.112
YOL045W	0.112
YLR178C	0.111
YOR106W	0.111
YLR149C	0.111
YNL319W	0.111
YOR008C-A	0.110
YGL087C	0.110
YGR067C	0.110
YOR013W	0.110
YMR194C-A	0.110
YOR230W	0.110
YOR313C	0.109
YDL052C	0.109
YNL160W	0.109
YGR164W	0.109
YOR279C	0.109
YPL103C	0.109
YDR242W	0.108
YOR298W	0.108
YGL059W	0.108
YGR130C	0.108
YLR114C	0.108
YKR087C	0.107
YPR121W	0.107
YJR134C	0.107
YFL040W	0.107
YLR219W	0.106
YGR018C	0.106
YLR342W	0.106
YAR031W	0.106
YKL096W	0.106
YNL280C	0.106
YKR047W	0.106
YEL057C	0.106
YOL065C	0.106
YDL206W	0.105
YER059W	0.105
YGR271W	0.105
YKL066W	0.105
YLR194C	0.105
YKL020C	0.105
YGL094C	0.105
YGR086C	0.105
YER113C	0.105
YLR238W	0.105
YPR111W	0.104
YKR035W-A	0.104
YJL020C	0.037
YMR172C-A	0.103
YER035W	0.102
YNL271C	0.102
YMR160W	0.102
YOL046C	0.102
YKL086W	0.101
YNR032W	0.101
YLR280C	0.101
YMR303C	0.101
YDR163W	0.101
YKL177W	0.101
YOR032C	0.101
YJR035W	0.101
YDR089W	0.101
YLL021W	0.101
YCR020C	0.100
YOL070C	0.100
YLR297W	0.100
YPL177C	0.100
YNR049C	0.100
YCR004C	0.100
YIR018W	0.100
YJL100W	0.100
YPL136W	0.099
YER053C	0.099
YDR132C	0.099
YOL083W	0.098
YDR077W	0.098
YJR062C	0.098
YGL063W	0.098
YGR055W	0.098
YOR368W	0.098
YKL102C	0.098
YLR351C	0.098
YMR016C	0.098
YDR248C	0.097
YGL197W	0.097
YDL066W	0.097
YHR030C	0.097
YJL152W	0.097
YNL129W	0.097
YGL230C	0.097
YOR049C	0.097
YGL056C	0.097
YBR072W	0.097
YKL198C	0.050
YDR539W	0.096
YJR040W	0.096
YIL060W	0.096
YDR213W	0.096
YNL266W	0.096
YPL057C	0.096
YER051W	0.096
YML118W	0.096
YKL047W	0.096
YHR025W	0.096
YDR502C	0.095
YCR089W	0.095
YJR119C	0.095
YKL120W	0.095
YLR030W	0.095
YNL134C	0.095
YNL304W	0.095
YNL159C	0.095
YGR213C	0.095
YDL182W	0.094
YNL130C	0.094
YLR131C	0.094
YMR278W	0.094
YBR258C	0.094
YOL063C	0.094
YOR086C	0.094
YLR438W	0.093
YKR003W	0.093
YER045C	0.093
YDL040C	0.093
YDR173C	0.093
YNL333W	0.093
YOR338W	0.093
YLR429W	0.093
YPL221W	0.093
YGR205W	0.092
YDR055W	0.092
YDR541C	0.092
YLR073C	0.092
YGR149W	0.092
YBR218C	0.091
YDR179C	0.091
YNL127W	0.091
YPL081W	0.091
YDR032C	0.091
YKR043C	0.091
YDR105C	0.091
YJL036W	0.091
YJR100C	0.090
YJL119C	0.090
YGR254W	0.090
YEL030W	0.090
YPR040W	0.090
YOR115C	0.090
YLR031W	0.090
YOR012W	0.090
YNR021W	0.090
YNL327W	0.090
YBR213W	0.089
YCL063W	0.059
YOL047C	0.089
YHR087W	0.089
YOR125C	0.089
YIL140W	0.089
YDL176W	0.089
YJR103W	0.089
YGL220W	0.089
YGR194C	0.089
YDR399W	0.089
YGL060W	0.088
YOR010C	0.088
YGR107W	0.088
YLR327C	0.088
YOR090C	0.088
YML009C	0.032
YNL338W	0.088
YEL016C	0.088
YLR017W	0.088
YIL162W	0.088
YLR137W	0.088
YLR041W	0.088
YDR178W	0.088
YNL116W	0.087
YGL067W	0.087
YNL277W	0.087
YLL047W	0.087
YCL076W	0.087
YMR130W	0.087
YIL151C	0.086
YNL330C	0.086
YKL178C	0.086
YNL284C	0.086
YDL237W	0.086
YJL108C	0.086
YER079W	0.086
YPR015C	0.086
YJR149W	0.086
YDR217C	0.086
YBR249C	0.086
YDL199C	0.086
YLR247C	0.085
YNL087W	0.085
YLR128W	0.085
YDL133W	0.085
YBR264C	0.085
YOL053W	0.085
YLR130C	0.085
YOR327C	0.085
YDR203W	0.085
YDR229W	0.085
YLR227C	0.084
YLR083C	0.084
YNR039C	0.084
YGL089C	0.084
YNR071C	0.084
YPL206C	0.084
YBL012C	0.084
YHR097C	0.084
YKL072W	0.072
YLL048C	0.084
YPR166C	0.084
YFL030W	0.084
YGL196W	0.083
YJL099W	0.083
YBR285W	0.083
YDR481C	0.083
YCR091W	0.083
YOR274W	0.083
YGL062W	0.083
YAL024C	0.083
YHL002W	0.083
YCL039W	0.083
YLR255C	0.082
YLR273C	0.082
YJR026W	0.082
YKR090W	0.082
YIR032C	0.082
YOL059W	0.082
YPL055C	0.082
YJR030C	0.082
YHR016C	0.082
YJR058C	0.082
YDR441C	0.082
YJL144W	0.082
YLR262C-A	0.081
YGR122C-A	0.081
YLR313C	0.081
YLR289W	0.081
YPR145W	0.081
YPR185W	0.081
YJL112W	0.081
YDR379W	0.081
YLR331C	0.081
YNL066W	0.080
YDR090C	0.080
YLR408C	0.080
YDR274C	0.080
YLR040C	0.080
YDR061W	0.080
YBR225W	0.080
YJL007C	0.080
YKL146W	0.079
YPR122W	0.079
YGL096W	0.079
YMR252C	0.079
YPR003C	0.079
YGL144C	0.079
YGR126W	0.079
YER129W	0.079
YHL046C	0.079
YOR059C	0.079
YEL020C	0.079
YIR038C	0.079
YKL147C	0.079
YGR181W	0.079
YHL017W	0.079
YMR251W	0.079
YGL198W	0.079
YKL191W	0.079
YGL035C	0.079
YBR018C	0.079
YKL079W	0.078
YLR345W	0.078
YCL036W	0.078
YPL159C	0.078
YLL007C	0.078
YBL104C	0.078
YLR354C	0.078
YHR150W	0.078
YBR299W	0.077
YML034W	0.034
YOR245C	0.077
YPR013C	0.077
YDL024C	0.077
YOL042W	0.077
YGL131C	0.077
YGR042W	0.077
YOR120W	0.077
YPR092W	0.077
YLL042C	0.077
YJL003W	0.077
YFL012W	0.077
YLL051C	0.077
YMR182C	0.077
YPR127W	0.077
YFL010C	0.077
YBR006W	0.076
YER071C	0.076
YKL034W	0.076
YFR032C	0.076
YNL078W	0.076
YKL190W	0.076
YPL134C	0.076
YLR352W	0.076
YFL019C	0.076
YER166W	0.075
YOL048C	0.075
YBR269C	0.075
YCL024W	0.075
YFL034C-A	0.066
YNL063W	0.075
YEL063C	0.075
YNL235C	0.074
YNL079C	0.074
YHR017W	0.074
YLR112W	0.074
YJL060W	0.074
YHR159W	0.074
YOR034C	0.074
YDR536W	0.074
YBR030W	0.074
YIR020C	0.074
YMR103C	0.073
YER188W	0.073
YBR042C	0.073
YOL088C	0.073
YNR067C	0.073
YLR144C	0.073
YKR031C	0.073
YBR132C	0.073
YBR241C	0.073
YGR108W	0.073
YCR079W	0.073
YLR328W	0.072
YKR097W	0.072
YJR009C	0.072
YNL008C	0.072
YOR016C	0.072
YDR338C	0.072
YPR089W	0.048
YNL208W	0.072
YLR187W	0.072
YJL084C	0.072
YMR002W	0.072
YOR051C	0.072
YKL098W	0.072
YOL003C	0.072
YEL015W	0.072
YDR094W	0.072
YKL162C-A	0.072
YCL029C	0.072
YGL179C	0.071
YIL107C	0.071
YKL161C	0.071
YKL164C	0.071
YER057C	0.071
YMR109W	0.071
YPR038W	0.071
YKL051W	0.070
YGR292W	0.070
YBR214W	0.070
YNR012W	0.070
YJL116C	0.070
YHR135C	0.070
YHR176W	0.070
YML054C	0.070
YAL049C	0.070
YOR328W	0.069
YHR133C	0.069
YDR223W	0.069
YBL019W	0.069
YGL034C	0.069
YLR054C	0.069
YLR118C	0.069
YLR404W	0.069
YMR132C	0.068
YMR193W	0.068
YCL026C-A	0.068
YMR265C	0.068
YNL122C	0.068
YMR063W	0.068
YEL010W	0.068
YNL300W	0.068
YPR022C	0.068
YLR250W	0.067
YLR179C	0.067
YOL093W	0.067
YPR017C	0.067
YOR300W	0.067
YOL056W	0.067
YGR196C	0.067
YAL009W	0.067
YLR349W	0.067
YOR239W	0.051
YLR168C	0.067
YDR050C	0.067
YFR054C	0.067
YKL100C	0.067
YER056C	0.066
YGL032C	0.066
YLR266C	0.066
YBR001C	0.066
YJL180C	0.066
YLR108C	0.066
YCR049C	0.066
YFR047C	0.066
YHR033W	0.066
YGR206W	0.065
YPL054W	0.065
YPR042C	0.065
YER046W-A	0.065
YOR003W	0.065
YKL123W	0.065
YGR038W	0.065
YJR146W	0.065
YNL028W	0.065
YPL259C	0.065
YDR340W	0.065
YIR019C	0.064
YIL119C	0.064
YGR151C	0.064
YOR226C	0.064
YLR188W	0.064
YMR317W	0.048
YLR426W	0.064
YMR244W	0.063
YPR155C	0.063
YMR262W	0.063
YPR071W	0.063
YPL273W	0.063
YGR057C	0.063
YCR076C	0.063
YLR356W	0.063
YLR171W	0.063
YPR193C	0.063
YKL065C	0.062
YER062C	0.062
YER088C	0.062
YOR025W	0.062
YER041W	0.062
YBR058C	0.062
YER087C-B	0.062
YOL057W	-0.024
YPR005C	0.062
YBR157C	0.062
YFR012W	0.062
YLR343W	0.062
YGR295C	0.062
YKL137W	0.062
YCR053W	0.062
YOL036W	0.062
YOR197W	0.062
YML047C	0.061
YGL024W	0.061
YLR252W	0.061
YGR286C	0.061
YDR239C	0.061
YKR013W	0.061
YPL171C	0.061
YDR523C	0.061
YGR208W	0.061
YGL157W	0.061
YDL184C	0.060
YFR024C-A	0.016
YEL025C	0.060
YOL017W	0.060
YMR120C	0.060
YOR005C	0.060
YBR092C	0.060
YNL117W	0.060
YDR494W	0.060
YHR180W	0.059
YGR051C	0.059
YBR158W	0.059
YGR100W	0.059
YFR049W	0.059
YNL043C	0.059
YHR163W	0.059
YKR102W	0.059
YMR055C	0.059
YDR535C	0.059
YKL046C	0.059
YDL216C	0.058
YHR140W	0.058
YML027W	0.058
YMR171C	0.058
YJR061W	0.058
YBR248C	0.058
YGR053C	0.058
YMR107W	0.058
YIL074C	0.058
YPL073C	0.058
YLR381W	0.058
YMR110C	0.058
YLR361C	0.058
YDR068W	0.058
YBR200W	0.057
YDR422C	0.057
YDR287W	0.057
YDL203C	0.057
YML076C	0.057
YOR351C	0.057
YLR284C	0.057
YBR139W	0.057
YPL274W	0.057
YER161C	0.057
YNL105W	0.057
YER143W	0.057
YPL003W	0.057
YEL048C	0.057
YGR237C	0.057
YHR032W	0.057
YFL015C	0.057
YDR304C	0.057
YJL098W	0.057
YGL045W	0.048
YIL145C	0.056
YLR001C	0.056
YLR296W	0.056
YIL053W	0.056
YML047W-A	0.056
YOR052C	0.056
YKL005C	0.056
YLR211C	0.056
YPL078C	0.056
YOR317W	0.056
YCR032W	0.056
YLR358C	0.056
YNR065C	0.056
YGR131W	0.056
YOR344C	0.056
YDR066C	0.056
YDR436W	0.056
YGL162W	0.056
YKL038W	0.055
YPL019C	0.055
YGL165C	0.055
YJL042W	0.055
YDR130C	0.055
YOL153C	0.055
YEL017W	0.055
YIL057C	0.055
YDR421W	0.055
YJL066C	0.055
YDR100W	0.055
YOL122C	0.055
YJR116W	0.055
YPR138C	0.055
YFL054C	0.055
YGR121C	0.055
YOR363C	0.055
YKL043W	0.054
YPL123C	0.054
YNL146W	0.054
YHR130C	0.054
YLR271W	0.054
YOR314W	0.054
YNL054W	0.054
YDR344C	0.054
YDR122W	0.054
YOR270C	0.054
YKL090W	0.054
YDR063W	0.054
YLR090W	0.054
YGR154C	0.054
YPR012W	0.054
YBR019C	0.054
YOR142W	0.054
YBR235W	0.053
YGL013C	0.053
YDR193W	0.053
YDL079C	0.053
YBL046W	0.053
YDL110C	0.053
YBR007C	0.053
YCL022C	0.053
YLR326W	0.053
YIL099W	0.053
YKL151C	0.053
YGL151W	0.053
YMR253C	0.053
YDR525W-A	0.053
YOR225W	0.053
YBL059W	0.053
YCL042W	0.053
YHR202W	0.053
YGR238C	0.053
YPL074W	0.052
YPR098C	0.052
YDR143C	0.052
YJR031C	0.052
YER011W	0.052
YMR234W	0.052
YNL279W	0.052
YLR258W	0.052
YGR176W	0.052
YER170W	0.052
YDR357C	0.052
YOR316C	0.052
YPL140C	0.052
YFR035C	0.052
YMR189W	0.052
YLR237W	0.052
YFR010W	0.052
YGL082W	0.052
YDR459C	0.052
YLR437C	0.051
YOR133W	0.051
YLR431C	0.051
YOL009C	0.051
YJL078C	0.051
YCR107W	0.051
YIL052C	0.051
YKL176C	0.051
YHR079C-A	0.051
YBR244W	0.051
YBR024W	0.051
YGL208W	0.051
YFR021W	0.051
YIL016W	0.051
YFL033C	0.051
YBR073W	0.051
YOR241W	0.051
YGL257C	0.050
YNL234W	0.050
YER044C-A	0.050
YJR008W	0.050
YOL138C	0.050
YLR102C	0.050
YDR218C	0.050
YHR035W	0.050
YDR107C	0.050
YHR139C-A	0.050
YMR305C	0.050
YOR346W	0.050
YER063W	0.049
YEL049W	0.049
YJL077C	0.049
YNL255C	0.049
YER054C	0.049
YCL051W	0.049
YHR103W	0.049
YBR228W	0.049
YIR031C	0.049
YGR106C	0.049
YMR222C	0.049
YBR199W	0.049
YBR220C	0.049
YGR189C	0.049
YLR288C	0.049
YDL197C	0.049
YOR237W	0.049
YKL107W	0.048
YAR040C	0.048
YPL026C	0.048
YNL101W	0.048
YML037C	0.048
YDL187C	0.048
YDR291W	0.048
YLR091W	0.048
YGR247W	0.047
YMR255W	0.047
YMR126C	0.047
YPR039W	0.047
YDR415C	0.047
YGL204W	0.047
YER134C	0.047
YBR274W	0.047
YMR271C	0.047
YMR019W	0.047
YFR030W	0.047
YDR019C	0.047
YJL142C	0.046
YBR051W	0.046
YFL004W	0.046
YBR023C	0.046
YLR415C	0.046
YGL118C	0.046
YFL052W	0.046
YCR090C	0.046
YCL038C	0.046
YKL116C	0.046
YPR075C	0.046
YMR135W-A	0.046
YMR158W-B	0.045
YJR025C	0.045
YLR072W	0.045
YKR046C	0.045
YDR374C	0.045
YAR035W	0.045
YDR015C	0.045
YIL044C	0.045
YGR010W	0.045
YHL022C	0.045
YCL002C	0.045
YML120C	0.045
YMR306W	0.045
YMR250W	0.045
YER052C	0.045
YDR409W	0.044
YOL158C	0.044
YML089C	0.044
YMR065W	0.044
YGR144W	0.044
YGL159W	0.044
YJL216C	0.044
YBR040W	0.044
YMR052W	0.044
YLL001W	0.044
YPR146C	0.044
YJL064W	0.044
YPL039W	0.044
YBR069C	0.044
YDL181W	0.044
YKR033C	0.043
