orf	hap a | protein/peptide metabolism (unfolded protein response (UPR)) | standard [standard] | Jonikas MC~Schuldiner M, 2009
YCL009C	-0.08587286
YCL010C	-0.7817558
YCL011C	0.1312936
YCL014W	0.01923967
YCL016C	-0.1114041
YCL022C	0.05312244
YCL023C	-0.02231766
YCL024W	0.07523843
YCL025C	-0.06543875
YCL026C-A	0.06842614
YCL027W	-0.06030895
YCL028W	0.0135305
YCL029C	0.07150725
YCL030C	-0.1303765
YCL032W	-0.1771854
YCL033C	-0.003947809
YCL034W	-0.002855922
YCL035C	-0.02385873
YCL036W	0.07826597
YCL037C	-0.2813758
YCL038C	0.04590322
YCL039W	0.08250385
YCL040W	0.002930071
YCL042W	0.05258557
YCL044C	-0.0768773
YCL045C	0.3491198
YCL046W	0.2161378
YCL047C	0.03988178
YCL048W	-0.01467296
YCL049C	-0.02080374
YCL050C	-0.09086331
YCL051W	0.04907239
YCL055W	0.003517518
YCL056C	0.01906346
YCL057W	0.04304469
YCL058C	-1.217646
YCL061C	-0.4511821
YCL063W	0.05862212
YCL064C	-0.1223422
YCL069W	-0.2510826
YCL076W	0.08681147
YCR001W	-0.01202989
YCR003W	-0.1446972
YCR004C	0.09975036
YCR005C	-0.07191974
YCR006C	-0.0389645
YCR007C	0.03014004
YCR008W	-0.05308515
YCR009C	0.343857
YCR010C	-0.05472866
YCR011C	0.03462669
YCR014C	-0.05329151
YCR015C	0.02210051
YCR016W	-0.3262432
YCR017C	0.444175
YCR019W	0.005508935
YCR020C	0.1004269
YCR020C-A	-0.04713717
YCR021C	0.01889571
YCR022C	0.001707211
YCR023C	-0.01854267
YCR024C-A	0.1197701
YCR025C	-0.08395162
YCR026C	0.004784338
YCR027C	-0.06957963
YCR028C-A	-0.2956857
YCR030C	-0.04765059
YCR031C	-0.496031
YCR032W	0.05583442
YCR033W	0.7619284
YCR034W	0.3109668
YCR036W	-0.04373961
YCR037C	-0.2747803
YCR043C	0.01443531
YCR044C	2.236042
YCR045C	-0.1035049
YCR048W	0.01447161
YCR049C	0.06599274
YCR050C	-0.02190596
YCR051W	-0.5630055
YCR053W	0.06156352
YCR059C	-0.112663
YCR060W	-0.08078436
YCR061W	-0.06029575
YCR063W	-0.1344128
YCR065W	-0.1874043
YCR066W	-0.3725733
YCR067C	0.4708305
YCR068W	-0.0186648
YCR069W	-0.05636143
YCR071C	-0.4432318
YCR073C	-0.00291401
YCR073W-A	-0.04207753
YCR075C	0.04087304
YCR076C	0.06262796
YCR077C	0.2609433
YCR079W	0.07250206
YCR081W	1.239513
YCR082W	0.2801073
YCR083W	-0.01642436
YCR085W	0.02059633
YCR086W	-0.2774264
YCR087C-A	-0.07302748
YCR087W	-0.1438106
YCR088W	0.6355914
YCR089W	0.09528114
YCR090C	0.04597606
YCR091W	0.08301659
YCR092C	0.0239256
YCR094W	1.30622
YCR095C	-0.0497575
YCR098C	-0.02752178
YCR099C	0.008498332
YCR100C	-0.008951352
YCR101C	-0.01702958
YCR102C	0.03177064
YCR102W-A	-0.02593643
YCR105W	-0.002466307
YCR106W	0.01850395
YCR107W	0.05122017
YDL001W	0.005020078
YDL002C	0.2649875
YDL006W	0.1580036
YDL009C	-0.01034733
YDL010W	0.1527165
YDL011C	0.1549115
YDL012C	0.009449858
YDL013W	-0.4947898
YDL018C	-0.07159651
YDL019C	0.02491574
YDL020C	1.833525
YDL021W	-0.5106628
YDL022W	-0.07071699
YDL023C	-0.01758313
YDL024C	0.07706871
YDL025C	-0.005453262
YDL026W	-0.03020553
YDL027C	-0.02555809
YDL032W	-0.1385003
YDL033C	-0.164741
YDL034W	-0.005737159
YDL035C	-0.02249539
YDL036C	0.008265584
YDL037C	-0.08080774
YDL039C	0.003672724999999998
YDL040C	0.09297569
YDL044C	-0.2804562
YDL045W-A	-0.4746153
YDL046W	0.01977922
YDL047W	-0.08497294
YDL048C	-0.02407318
YDL050C	0.01414511
YDL051W	-0.001929164
YDL052C	0.1091921
YDL053C	-0.1220494
YDL054C	0.0278592
YDL056W	-0.05592898
YDL057W	0.02996579
YDL059C	-0.05127127
YDL061C	-0.9050033
YDL062W	-0.2085353
YDL063C	-1.017249
YDL065C	-0.05236464
YDL066W	0.09728377
YDL067C	-0.1472443
YDL070W	-0.02395368
YDL071C	-0.09594666
YDL074C	-0.2577766
YDL076C	-0.0453429
YDL077C	0.1601706
YDL078C	0.02826597
YDL079C	0.05331171
YDL080C	-0.004606098
YDL081C	-0.638056
YDL082W	-1.183989
YDL083C	-0.8541664
YDL085W	0.0132617
YDL086W	-0.02209934
YDL088C	-0.3360239
YDL089W	0.01260577
YDL091C	0.02544859
YDL093W	-0.01253486
YDL094C	-0.02027961
YDL095W	2.101221
YDL096C	2.044277
YDL099W	0.2187281
YDL100C	1.001577
YDL104C	0.04262306
YDL106C	-0.06597393
YDL107W	-0.2305347
YDL109C	0.1757122
YDL110C	0.05326956
YDL112W	-0.05311394
YDL113C	0.0137142
YDL114W	0.02553404
YDL117W	0.9323742
YDL118W	-0.08205241
YDL119C	-0.01477694
YDL121C	-0.04412034
YDL122W	0.2019021
YDL123W	0.006630736
YDL124W	0.01246141
YDL125C	0.1579348
YDL127W	-0.02924813
YDL128W	-0.001574519
YDL129W	-0.0224592
YDL130W	-1.086763
YDL130W-A	0.01066152
YDL131W	-0.0133793
YDL133C-A	-0.053386355
YDL133W	0.08505435
YDL134C	-0.09995193
YDL135C	-0.1525952
YDL136W	-0.4961069
YDL137W	0.00406377
YDL138W	0.03707841
YDL142C	-0.2399273
YDL144C	0.01270979
YDL146W	-0.02230571
YDL149W	-0.03644251
YDL151C	-0.5887966
YDL154W	-0.07489836
YDL155W	0.2561164
YDL156W	-0.08037482
YDL157C	-0.1899644
YDL160C	0.03123557
YDL161W	-0.1160113
YDL162C	-0.05629794
YDL167C	-0.05768644
