ORF	hom | growth (relative abundance in pooled culture) | Pn-AMP1 [3.2uM] | Kwon Y~Koo JC, 2016	het | growth (relative abundance in pooled culture) | Pn-AMP1 [3.2uM] | Kwon Y~Koo JC, 2016
YBR157C	0.340	NaN
YBR158W	-1.240	NaN
YBR159W	-0.560	NaN
YBR160W	NaN	1.840
YBR161W	-1.650	NaN
YBR162C	1.050	NaN
YBR162W-A	1.720	NaN
YBR163W	2.550	NaN
YBR164C	1.160	NaN
YBR165W	0.110	NaN
YBR167C	NaN	-0.370
YBR169C	-0.450	NaN
YBR170C	-0.560	NaN
YBR171W	1.050	NaN
YBR172C	-0.190	NaN
YBR173C	2.360	NaN
YBR174C	1.570	NaN
YBR175W	-0.370	NaN
YBR176W	1.270	NaN
YBR177C	-0.900	NaN
YBR178W	-0.000	NaN
YBR180W	0.040	NaN
YBR181C	0.410	NaN
YBR182C	-0.520	NaN
YBR183W	-0.450	NaN
YBR184W	0.340	NaN
YBR185C	-0.300	NaN
YBR186W	0.370	NaN
YBR187W	0.370	NaN
YBR188C	0.560	NaN
YBR190W	NaN	-6.010
YBR191W	0.940	NaN
YBR192W	NaN	0.180
YBR193C	NaN	1.590
YBR194W	0.670	NaN
YBR195C	-0.110	NaN
YBR196C	NaN	0.550
YBR197C	-0.670	NaN
YBR198C	NaN	-0.060
YBR199W	-0.340	NaN
YBR200W	-8.170	NaN
YBR201W	-0.750	NaN
YBR202W	NaN	-2.640
YBR203W	0.970	NaN
YBR204C	-0.970	NaN
YBR205W	-0.370	NaN
YBR206W	-0.070	NaN
YBR207W	0.070	NaN
YBR208C	-0.940	NaN
YBR210W	-0.520	NaN
YBR211C	NaN	0.180
YBR212W	-0.560	NaN
YBR213W	0.190	NaN
YBR214W	-0.300	NaN
YBR216C	-0.150	NaN
YBR217W	0.450	NaN
YBR218C	0.450	NaN
YBR219C	-0.040	NaN
YBR220C	-0.860	NaN
YBR221C	0.490	NaN
YBR222C	-0.260	NaN
YBR223C	-0.490	NaN
YBR224W	0.670	NaN
YBR225W	2.250	NaN
YBR226C	1.200	NaN
YBR227C	-0.220	NaN
YBR228W	1.010	NaN
YBR229C	-1.870	NaN
YBR230C	0.820	NaN
YBR231C	0.600	NaN
YBR232C	-0.600	NaN
YBR233W	0.260	NaN
YBR233W-A	NaN	0.740
YBR234C	NaN	0.180
YBR235W	1.120	NaN
YBR236C	NaN	-0.120
YBR237W	NaN	-1.100
YBR238C	0.820	NaN
YBR239C	0.040	NaN
YBR240C	-0.600	NaN
YBR241C	-0.370	NaN
YBR242W	-0.520	NaN
YBR243C	NaN	0.490
YBR244W	-6.110	NaN
YBR245C	-1.570	NaN
YBR246W	-0.070	NaN
YBR247C	NaN	-0.250
YBR248C	1.200	NaN
YBR249C	-1.950	NaN
YBR250W	-0.790	NaN
YBR251W	2.770	NaN
YBR252W	NaN	-1.230
YBR253W	NaN	-2.020
YBR254C	NaN	-0.120
YBR255W	-2.020	NaN
YBR256C	NaN	-0.120
YBR257W	NaN	-1.530
YBR258C	0.820	NaN
YBR259W	4.950	NaN
YBR260C	-0.370	NaN
YBR261C	-1.870	NaN
YBR262C	0.710	NaN
YBR263W	2.740	NaN
YBR264C	0.860	NaN
YBR265W	NaN	-0.550
YBR266C	1.720	NaN
YBR267W	0.410	NaN
YBR268W	2.290	NaN
YBR269C	1.950	NaN
YBR270C	-0.340	NaN
YBR271W	-0.410	NaN
YBR272C	-1.050	NaN
YBR273C	2.590	NaN
YBR275C	2.360	NaN
YBR276C	-2.700	NaN
YBR277C	0.040	NaN
YBR278W	1.460	NaN
YBR279W	-3.710	NaN
YBR281C	0.860	NaN
YBR282W	-0.300	NaN
YBR283C	1.350	NaN
YBR284W	-0.370	NaN
YBR285W	1.120	NaN
YBR286W	1.460	NaN
YBR287W	-0.150	NaN
YBR288C	2.170	NaN
YBR289W	-0.560	NaN
YBR290W	-1.990	NaN
YBR291C	-2.740	NaN
YBR292C	-0.600	NaN
YBR293W	-0.600	NaN
YBR294W	0.900	NaN
YBR295W	2.590	NaN
YBR296C	0.750	NaN
YBR297W	-1.690	NaN
YBR298C	-3.820	NaN
YBR299W	-0.070	NaN
YBR300C	0.110	NaN
YBR301W	0.820	NaN
YCL001W	-2.290	NaN
YCL001W-A	-2.620	NaN
YCL002C	-0.860	NaN
YCL004W	NaN	-0.495
YCL005W	-1.200	NaN
YCL006C	0.260	NaN
YCL008C	-6.150	NaN
YCL009C	0.190	NaN
YCL010C	-0.670	NaN
YCL011C	-1.650	NaN
YCL013W	0.340	NaN
YCL014W	-0.390	NaN
YCL016C	1.500	NaN
YCL017C	NaN	-1.100
YCL022C	2.620	NaN
YCL023C	-0.790	NaN
YCL024W	0.220	NaN
YCL025C	-0.300	NaN
YCL026C	-1.610	NaN
YCL026C-A	1.310	NaN
YCL027W	2.510	NaN
YCL028W	1.090	NaN
YCL029C	2.660	NaN
YCL030C	-0.370	NaN
YCL031C	NaN	-0.060
YCL032W	-2.960	NaN
YCL033C	-0.490	NaN
YCL034W	-1.500	NaN
YCL035C	0.340	NaN
YCL036W	0.520	NaN
YCL037C	-0.340	NaN
YCL038C	-0.520	NaN
YCL039W	1.800	NaN
YCL040W	0.670	NaN
YCL041C	NaN	0.310
YCL042W	0.640	NaN
YCL043C	NaN	-2.210
YCL044C	-0.970	NaN
YCL045C	-0.640	NaN
YCL046W	1.240	NaN
YCL047C	1.690	NaN
YCL048W	1.090	NaN
YCL049C	-0.190	NaN
YCL050C	0.190	NaN
YCL051W	-1.010	NaN
YCL052C	NaN	2.210
YCL053C	NaN	-2.940
YCL054W	NaN	-1.780
YCL055W	-0.370	NaN
YCL056C	-1.240	NaN
YCL057W	0.640	NaN
YCL058C	-0.000	NaN
YCL059C	NaN	-0.800
YCL061C	-0.190	NaN
YCL063W	-0.600	NaN
YCL064C	0.490	NaN
YCL069W	-0.190	NaN
YCL074W	0.070	NaN
YCL075W	-0.340	NaN
YCL076W	-1.310	NaN
YCR001W	-0.110	NaN
YCR002C	-2.170	NaN
YCR003W	-5.100	NaN
YCR004C	0.670	NaN
YCR005C	0.190	NaN
YCR006C	-1.460	NaN
YCR007C	2.100	NaN
YCR008W	-0.190	NaN
YCR009C	5.100	NaN
YCR010C	-0.370	NaN
YCR011C	-0.260	NaN
YCR012W	NaN	0.980
YCR013C	NaN	-0.980
YCR014C	-0.790	NaN
YCR015C	0.300	NaN
YCR016W	-0.150	NaN
YCR017C	-2.250	NaN
YCR019W	0.490	NaN
YCR020C	-1.990	NaN
YCR020C-A	-0.300	NaN
YCR020W-B	-3.330	NaN
YCR021C	-0.490	NaN
YCR022C	0.190	NaN
YCR023C	1.160	NaN
YCR024C	1.270	NaN
YCR024C-A	0.410	NaN
YCR025C	0.670	NaN
YCR026C	-2.320	NaN
YCR027C	-1.120	NaN
YCR028C	3.220	NaN
YCR028C-A	1.200	NaN
YCR030C	0.520	NaN
YCR031C	0.040	NaN
YCR032W	-1.910	NaN
YCR033W	0.790	NaN
YCR034W	-1.650	NaN
YCR035C	NaN	0.370
YCR037C	1.420	NaN
YCR043C	0.190	NaN
YCR044C	-6.220	NaN
YCR045C	-1.270	NaN
YCR046C	3.600	NaN
YCR047C	2.740	NaN
YCR048W	-0.110	NaN
YCR049C	0.220	NaN
YCR050C	0.900	NaN
YCR051W	0.220	NaN
YCR052W	NaN	7.660
YCR053W	1.120	NaN
YCR054C	NaN	-1.040
YCR057C	NaN	-0.180
YCR059C	0.790	NaN
YCR060W	-0.600	NaN
YCR061W	-1.145	NaN
YCR063W	0.340	NaN
YCR065W	0.150	NaN
YCR066W	0.150	NaN
YCR067C	0.370	NaN
YCR068W	-1.720	NaN
YCR069W	0.670	NaN
YCR072C	NaN	0.370
YCR073C	-0.070	NaN
YCR073W-A	1.460	NaN
YCR075C	-0.410	NaN
YCR076C	-0.000	NaN
YCR077C	0.940	NaN
YCR079W	-0.340	NaN
YCR081W	-0.900	NaN
YCR082W	-0.750	NaN
YCR083W	-1.720	NaN
YCR085W	-1.270	NaN
YCR086W	-0.450	NaN
YCR087C-A	-1.050	NaN
YCR087W	-0.820	NaN
YCR088W	0.300	NaN
YCR089W	-0.820	NaN
YCR090C	-0.110	NaN
YCR091W	0.710	NaN
YCR092C	-0.410	NaN
YCR093W	NaN	1.230
YCR094W	-1.390	NaN
YCR095C	-0.150	NaN
YCR095W-A	-0.070	NaN
YCR098C	-1.270	NaN
YCR099C	-0.300	NaN
YCR100C	-0.110	NaN
YCR101C	0.450	NaN
YCR102C	-0.000	NaN
YCR102W-A	-0.150	NaN
YCR105W	-0.560	NaN
YCR106W	-0.490	NaN
YCR107W	0.520	NaN
YDL001W	0.750	NaN
YDL002C	0.190	NaN
YDL003W	NaN	0.670
YDL004W	NaN	2.080
YDL006W	-3.560	NaN
YDL007W	NaN	-2.210
YDL008W	NaN	0.180
YDL009C	-1.270	NaN
YDL010W	-1.090	NaN
YDL011C	-1.540	NaN
YDL012C	-0.370	NaN
YDL013W	-2.320	NaN
YDL014W	NaN	-0.430
YDL015C	NaN	0.120
YDL016C	NaN	0.490
YDL017W	NaN	-0.060
YDL018C	-0.260	NaN
YDL019C	0.970	NaN
YDL020C	0.450	NaN
YDL021W	-3.450	NaN
YDL022W	0.370	NaN
YDL023C	-0.640	NaN
YDL024C	-1.200	NaN
YDL025C	0.300	NaN
YDL027C	-0.860	NaN
YDL028C	NaN	-0.550
YDL029W	NaN	-0.310
YDL030W	NaN	0.980
YDL031W	NaN	-0.180
YDL032W	1.120	NaN
YDL033C	0.110	NaN
YDL034W	-0.190	NaN
YDL035C	-0.260	NaN
YDL037C	-0.070	NaN
YDL039C	0.580	NaN
YDL040C	0.150	NaN
YDL041W	1.350	NaN
YDL043C	NaN	1.350
YDL044C	3.150	NaN
YDL045C	NaN	-0.430
YDL045W-A	0.190	NaN
YDL046W	0.070	NaN
YDL047W	-0.150	NaN
YDL048C	0.070	NaN
YDL049C	-0.370	NaN
YDL050C	-0.750	NaN
YDL051W	-1.950	NaN
YDL052C	0.490	NaN
YDL053C	0.940	NaN
YDL054C	0.670	NaN
YDL055C	NaN	0.370
YDL056W	2.020	NaN
YDL057W	0.820	NaN
YDL058W	NaN	-0.180
YDL059C	-1.800	NaN
YDL060W	NaN	-0.120
YDL061C	-0.750	NaN
YDL062W	0.370	NaN
YDL063C	1.050	NaN
YDL064W	NaN	-0.180
YDL065C	1.460	NaN
YDL066W	-4.460	NaN
YDL067C	0.790	NaN
YDL068W	0.560	NaN
YDL070W	1.870	NaN
YDL071C	0.710	NaN
YDL072C	-0.820	NaN
YDL073W	-1.800	NaN
YDL074C	-0.970	NaN
YDL075W	-0.970	NaN
YDL076C	0.490	NaN
YDL077C	1.910	NaN
YDL078C	0.110	NaN
YDL079C	0.150	NaN
YDL080C	0.260	NaN
YDL081C	1.010	NaN
YDL082W	1.650	NaN
YDL083C	0.370	NaN
YDL084W	NaN	0.180
YDL085W	0.860	NaN
YDL086W	0.790	NaN
YDL087C	NaN	1.590
YDL088C	1.120	NaN
YDL089W	-0.790	NaN
YDL090C	1.010	NaN
YDL091C	0.860	NaN
YDL092W	NaN	2.080
YDL093W	1.420	NaN
YDL094C	-0.860	NaN
YDL095W	-4.230	NaN
YDL096C	-1.420	NaN
YDL097C	NaN	0.980
YDL098C	NaN	0.800
YDL099W	-0.490	NaN
YDL100C	1.990	NaN
YDL101C	1.050	NaN
YDL102W	NaN	-0.060
YDL103C	NaN	-0.550
YDL104C	-1.420	NaN
YDL105W	NaN	-0.370
YDL107W	0.820	NaN
YDL108W	NaN	2.450
YDL109C	0.940	NaN
YDL110C	-1.540	NaN
YDL111C	NaN	-0.490
YDL112W	-0.940	NaN
YDL113C	-0.150	NaN
YDL114W	0.670	NaN
YDL115C	-1.910	NaN
YDL117W	0.340	NaN
YDL118W	0.940	NaN
YDL119C	-0.000	NaN
YDL120W	NaN	-0.740
