orf	hom | growth (relative abundance in pooled culture) | Pn-AMP1 [3.2uM] | Kwon Y~Koo JC, 2016	het | growth (relative abundance in pooled culture) | Pn-AMP1 [3.2uM] | Kwon Y~Koo JC, 2016
YCL054W		-1.78
YCL055W	-0.37	
YCL056C	-1.24	
YCL057W	0.64	
YCL058C	0.0	
YCL059C		-0.8
YCL061C	-0.19000000000000003	
YCL063W	-0.6	
YCL064C	0.49	
YCL069W	-0.19	
YCL076W	-1.31	
YCR001W	-0.11	
YCR002C	-2.17	
YCR003W	-5.1	
YCR004C	0.67	
YCR005C	0.19	
YCR006C	-1.46	
YCR007C	2.1	
YCR008W	-0.19	
YCR009C	5.1	
YCR010C	-0.37	
YCR011C	-0.26	
YCR012W		0.98
YCR013C		-0.98
YCR014C	-0.79	
YCR015C	0.3	
YCR016W	-0.15	
YCR017C	-2.25	
YCR019W	0.49	
YCR020C	-1.99	
YCR020C-A	-0.3	
YCR020W-B	-3.33	
YCR021C	-0.49	
YCR022C	0.19	
YCR023C	1.16	
YCR024C	1.27	
YCR024C-A	0.41	
YCR025C	0.67	
YCR026C	-2.32	
YCR027C	-1.12	
YCR028C	3.22	
YCR028C-A	1.2	
YCR030C	0.52	
YCR031C	0.04	
YCR032W	-1.91	
YCR033W	0.79	
YCR034W	-1.65	
YCR035C		0.37
YCR037C	1.42	
YCR043C	0.19	
YCR044C	-6.22	
YCR045C	-1.27	
YCR046C	3.6	
YCR047C	2.74	
YCR048W	-0.11	
YCR049C	0.22	
YCR050C	0.9	
YCR051W	0.22	
YCR052W		7.66
YCR053W	1.12	
YCR054C		-1.04
YCR057C		-0.18
YCR059C	0.79	
YCR060W	-0.6	
YCR061W	-1.145	
YCR063W	0.34	
YCR065W	0.15	
YCR066W	0.15	
YCR067C	0.37	
YCR068W	-1.72	
YCR069W	0.67	
YCR072C		0.37
YCR073C	-0.07	
YCR073W-A	1.46	
YCR075C	-0.41	
YCR076C	0.0	
YCR077C	0.94	
YCR079W	-0.34	
YCR081W	-0.9	
YCR082W	-0.75	
YCR083W	-1.72	
YCR085W	-1.27	
YCR086W	-0.45	
YCR087C-A	-1.05	
YCR087W	-0.82	
YCR088W	0.3	
YCR089W	-0.82	
YCR090C	-0.11	
YCR091W	0.71	
YCR092C	-0.41	
YCR093W		1.23
YCR094W	-1.39	
YCR095C	-0.15	
YCR095W-A	-0.07	
YCR098C	-1.27	
YCR099C	-0.3	
YCR100C	-0.11	
YCR101C	0.45	
YCR102C	0.0	
YCR102W-A	-0.15	
YCR105W	-0.56	
YCR106W	-0.49	
YCR107W	0.52	
YDL001W	0.75	
YDL002C	0.19	
YDL003W		0.67
YDL004W		2.08
YDL006W	-3.56	
YDL007W		-2.21
YDL008W		0.18
YDL009C	-1.27	
YDL010W	-1.09	
YDL011C	-1.54	
YDL012C	-0.37	
YDL013W	-2.32	
YDL014W		-0.43
YDL015C		0.12
YDL016C		0.49
YDL017W		-0.06
YDL018C	-0.26	
YDL019C	0.97	
YDL020C	0.45	
YDL021W	-3.45	
YDL022W	0.37	
YDL023C	-0.64	
YDL024C	-1.2	
YDL025C	0.3	
YDL027C	-0.86	
YDL028C		-0.55
YDL029W		-0.31
YDL030W		0.98
YDL031W		-0.18
YDL032W	1.12	
YDL033C	0.11	
YDL034W	-0.19	
YDL035C	-0.26	
YDL037C	-0.07	
YDL039C	0.5800000000000001	
YDL040C	0.15	
YDL041W	1.35	
YDL043C		1.35
YDL044C	3.15	
YDL045C		-0.43
YDL045W-A	0.19	
YDL046W	0.07	
YDL047W	-0.15	
YDL048C	0.07	
YDL049C	-0.37	
YDL050C	-0.75	
YDL051W	-1.95	
YDL052C	0.49	
YDL053C	0.94	
YDL054C	0.67	
YDL055C		0.37
YDL056W	2.02	
YDL057W	0.82	
YDL058W		-0.18
YDL059C	-1.8	
YDL060W		-0.12
YDL061C	-0.75	
YDL062W	0.37	
YDL063C	1.05	
