orf	hap a | growth (relative abundance in pooled culture) | ethidium bromide [25 ug/ml] | Dunn CD~Jensen RE, 2006
YBR025C	-3.7593984962406015
YBR027C	5.434782608695652
YBR028C	-5.154639175257731
YBR031W	-0.49504950495049505
YBR032W	1.5151515151515151
YBR033W	2.2831050228310503
YBR035C	-8.333333333333334
YBR036C	-5.025125628140703
YBR037C	-7.2992700729927
YBR040W	4.3478260869565215
YBR041W	2.2988505747126435
YBR042C	-4.672897196261682
YBR043C	-3.745318352059925
YBR044C	-0.7751937984496123
YBR045C	6.410256410256411
YBR046C	4.385964912280701
YBR047W	143.47202295552367
YBR048W	-0.4854368932038835
YBR050C	3.846153846153846
YBR051W	4.366812227074235
YBR052C	-4.901960784313726
YBR053C	59.1715976331361
YBR054W	42.5531914893617
YBR056W	4.926108374384236
YBR057C	4.032258064516129
YBR058C	0.4385964912280702
YBR059C	1.779359430604982
YBR061C	2.5510204081632653
YBR062C	-15.337423312883438
YBR063C	19.72386587771203
YBR064W	4.3478260869565215
YBR066C	-13.297872340425531
YBR067C	10.0
YBR068C	0.8264462809917356
YBR071W	6.097560975609756
YBR072W	-104.82180293501048
YBR073W	4.716981132075472
YBR074W	3.4602076124567476
YBR076W	2.9585798816568047
YBR077C	1.6949152542372883
YBR078W	1.7361111111111112
YBR080C	1.0090817356205852
YBR082C	72.46376811594203
YBR083W	1.6666666666666667
YBR084C-A	-0.4273504273504274
YBR084W	-3.0303030303030303
YBR087W	2.865329512893983
YBR089C-A	1.953125
YBR092C	2.1186440677966103
YBR095C	-8.474576271186441
YBR096W	-14.513788098693759
YBR098W	0.4181515799477311
YBR099C	0.4065040650406504
YBR103W	-5.0761421319796955
YBR104W	4.032258064516129
YBR105C	3.436426116838488
YBR107C	2.717391304347826
YBR108W	-6.756756756756757
YBR111C	1.1682242990654206
YBR113W	11.037527593818984
YBR114W	8.403361344537815
YBR115C	9.433962264150944
YBR116C	-6.849315068493151
YBR117C	0.9433962264150942
YBR119W	0.8771929824561404
YBR120C	1.1778563015312131
YBR125C	4.201680672268908
YBR126C	-2.0
YBR128C	21.27659574468085
YBR129C	4.424778761061947
YBR130C	1.5384615384615383
YBR131W	-0.7575757575757576
YBR134W	4.11522633744856
YBR138C	2.6737967914438503
YBR140C	1.8281535648994514
YBR141C	3.4965034965034967
YBR144C	4.048582995951417
YBR145W	-9.174311926605505
YBR148W	1.547987616099071
YBR149W	6.0606060606060606
YBR150C	-0.9523809523809523
YBR151W	3.8910505836575875
YBR156C	2.4937655860349124
YBR157C	50.5050505050505
YBR158W	4.184100418410042
YBR161W	2.05761316872428
YBR162C	-5.405405405405405
YBR162W-A	-17.006802721088437
YBR164C	-1.2468827930174562
YBR165W	-3.4482758620689657
YBR166C	-1.019367991845056
YBR169C	-52.631578947368425
YBR170C	-2.1186440677966103
YBR171W	-1.8214936247723132
YBR173C	-0.38910505836575876
YBR174C	-0.5681818181818182
YBR175W	-0.8130081300813008
YBR177C	3.4843205574912894
YBR178W	1.1273957158962795
YBR179C	-0.25380710659898476
YBR180W	-1353.1799729364006
YBR181C	-0.26666666666666666
YBR183W	19.342359767891683
YBR184W	5.2356020942408374
YBR185C	-2.0161290322580645
YBR186W	8.333333333333334
YBR187W	3.215434083601286
YBR188C	-8.620689655172413
YBR191W	-0.8474576271186441
YBR195C	-1.2903225806451613
YBR199W	3.048780487804878
YBR201W	-70.92198581560284
YBR203W	3.4482758620689657
YBR204C	2.873563218390805
YBR205W	2.2222222222222223
YBR206W	2.262443438914027
YBR207W	1.8761726078799248
YBR208C	3.1545741324921135
YBR209W	6.849315068493151
YBR210W	119.18951132300357
YBR212W	1.2953367875647668
YBR213W	2.109704641350211
YBR214W	2.2123893805309733
YBR215W	-6.4935064935064934
YBR217W	1.1494252873563218
YBR218C	1.6666666666666667
YBR219C	2.0202020202020203
