orf	hom | growth (culture turbidity) | hot-compressed water-treated lignocellulose hydrolysate | CSM | Jayakody LN~Kitagaki H, 2015
YCR001W	-0.7025267
YCR002C	-1.6037856
YCR003W	-1.3475473
YCR004C	-2.1199665
YCR005C	-1.3179853
YCR006C	-1.2117819
YCR007C	-1.4612224
YCR008W	-1.5223997
YCR009C	-3.2251534
YCR010C	-1.2178025
YCR011C	-1.7325646
YCR014C	-1.7658398
YCR015C	-0.5300311
YCR016W	-0.8617597
YCR017C	-1.4314567
YCR019W	-1.2641228
YCR020C	-1.0577102
YCR020C-A	-1.8373271
YCR020W-B	-2.1407154
YCR021C	-1.21372
YCR022C	-1.8829895
YCR023C	-1.246427
YCR024C	-1.2744865
YCR028C-A	0.01069176
YCR030C	0.3128345
YCR032W	-0.68343085
YCR033W	-0.61716884
YCR044C	0.6284431
YCR046C	1.0832304
YCR047C	-2.7844114
YCR048W	0.49634415
YCR053W	-1.7971189
YCR060W	-0.037019677
YCR061W	-0.015813675
YCR063W	-1.6527874
YCR067C	0.35842463
YCR069W	-0.032360964
YCR071C	-1.9012417
YCR073C	0.13474582
YCR075C	0.2824695
YCR075W-A	-1.3684976
YCR083W	-0.0089318575
YCR084C	-0.47623858
YCR088W	-0.1270165
YCR089W	0.28978652
YCR090C	0.1723006
YCR091W	0.14365414
YCR092C	0.104689404
YCR094W	-0.813615
YCR095C	-1.8642545
YCR095W-A	-0.10096791
YCR098C	-0.14490694
YCR099C	0.068843
YCR100C	0.020959768
YCR101C	-0.025162285
YCR102C	-0.037949257
YCR102W-A	-0.36929202
YCR105W	-5.033793
YCR106W	0.032500304
YCR107W	0.07859881
YDL001W	-0.39036855
YDL002C	-0.75741774
YDL006W	-3.3424463
YDL009C	-0.49278426
YDL010W	0.17651202
YDL011C	-0.061618872
YDL012C	-0.32368726
YDL013W	-3.0974119
YDL018C	0.3842334
YDL019C	-0.014832558
YDL020C	0.09205641
YDL021W	0.2942728
YDL022W	-0.0671709
YDL023C	-1.3633442
YDL024C	0.04083471
YDL025C	-0.57438594
YDL026W	0.05600703
YDL027C	-0.033893082
YDL032W	0.2604758
YDL033C	-0.4092296
YDL034W	0.06019873
YDL035C	-0.084817015
YDL036C	-0.11246645
YDL037C	-0.7896839
YDL039C	-0.059077002
YDL040C	-1.7715309
YDL041W	-2.24963
YDL044C	0.23357144
YDL045W-A	-0.13062538
YDL046W	0.060654297
YDL047W	-2.7649033
YDL048C	0.20749293
YDL049C	-0.06386997
YDL050C	-0.16689555
YDL051W	0.28457937
YDL052C	0.91834736
YDL053C	0.28213802
YDL054C	0.056258358
YDL056W	0.3180016
YDL057W	0.042919107
YDL059C	-0.5307157
YDL061C	-0.081397735
YDL062W	-0.24787018
YDL063C	0.8612421
YDL065C	0.38296467
YDL066W	0.7963293
YDL067C	-0.69092983
YDL068W	-0.54080653
YDL069C	0.04510976
YDL070W	-0.4204622
YDL071C	-0.05402062
YDL072C	-0.18262969
YDL073W	-0.2948337
YDL074C	-0.3007891
YDL075W	-0.98655885
YDL076C	-0.25921282
YDL077C	-2.3415668
YDL078C	0.15793888
YDL079C	0.5263853
YDL080C	-0.21178389
YDL081C	-0.27787983
YDL082W	-0.55511004
YDL083C	-1.2247782
YDL085C-A	-0.10721219
YDL085W	-0.07214838
YDL086W	-0.08848761
YDL088C	-0.048382696
YDL089W	-0.032096278
YDL090C	-0.45114976
YDL091C	0.11959641
YDL093W	0.17635995
YDL094C	-0.20922038
YDL095W	-0.59810615
YDL106C	-0.95088327
YDL107W	-0.14245605
YDL121C	0.47633877
YDL130W-A	0.22532484
YDL133C-A	-0.09599424
YDL159W-A	0.02611159
YDL160C	-2.2480452
YDL160C-A	-0.31493482
YDL191W	-2.6483374
YDL192W	-2.580281
YDL194W	-0.030433722
YDL197C	-1.0255014
YDL198C	-1.0906616
YDL199C	-0.71494657
YDL200C	-0.830154
YDL201W	-1.9123172
YDL202W	-0.4033941
YDL203C	-1.443324
YDL204W	-0.70464194
YDL205C	-0.7433888
YDL206W	-1.4143757
YDL210W	-1.6311319
YDL211C	-1.4017376
YDL213C	-0.5747645
YDL214C	-1.1752751
YDL215C	-0.9862824
YDL216C	-0.9098084
YDL218W	-0.83102125
YDL219W	-1.0843527
YDL222C	-1.4362557
YDL223C	-1.4500295
YDL224C	-1.6355721
YDL225W	-1.3753774
YDL226C	-0.97551495
YDL227C	-1.0434223
YDL229W	-0.6825633
YDL230W	-1.1491972
YDL231C	-1.1284572
YDL232W	-1.3171626
YDL233W	-1.1675146
YDL234C	-1.1213887
YDL236W	-1.0896806
YDL237W	-1.9931145
YDL238C	-2.2650113
YDL239C	-1.9410104
YDL240W	-1.7468712
YDL241W	-1.7725018
YDL242W	-0.6857376
YDL243C	-1.2196261
YDR001C	-1.4284023
YDR003W	-1.0931256
YDR003W-A	-0.08365519
YDR004W	-1.497944
YDR005C	-1.5618572
YDR006C	-1.0727893
YDR007W	-0.24852361
YDR008C	-2.495213
YDR009W	-1.7261482
YDR010C	-1.4450829
YDR011W	-1.7690555
YDR014W	-1.6848958
YDR015C	0.12393763
YDR017C	-0.7099185
YDR018C	-0.15728162
YDR019C	-0.84993035
YDR020C	-0.8075976
YDR022C	-1.165246
YDR024W	-1.5527911
YDR025W	-3.2008624
YDR026C	-1.5267428
YDR027C	-1.294665
YDR028C	-2.4937336
YDR029W	-1.1670154
YDR030C	0.1942644
YDR031W	-0.37845135
YDR032C	-2.4761152
YDR033W	-0.20272636
YDR034C	3.67837
YDR034W-B	0.053654134
YDR035W	-0.6233718
YDR036C	-0.67221135
YDR042C	-1.5862734
YDR043C	-0.5101326
YDR046C	-0.647706
YDR048C	-2.5679204
YDR049W	-3.0307174
YDR051C	-0.15863177
YDR055W	-0.16025296
YDR056C	-1.1658596
YDR057W	-3.0644624
YDR058C	-0.00852783
YDR059C	-0.54090893
YDR061W	3.2286043
YDR063W	-1.8038092
YDR065W	-0.8690119
YDR066C	-2.403335
YDR067C	-1.2093307
YDR068W	-1.2044836
YDR069C	-2.3396804
YDR070C	-2.1853232
YDR071C	0.08792198
YDR072C	0.52534246
YDR073W	-0.38911924
YDR074W	-0.9149586
YDR075W	-2.9591298
YDR076W	-0.6344364
YDR077W	-1.2131903
YDR078C	-1.2176578
YDR079C-A	-2.549074
YDR079W	-0.22432399
YDR080W	-1.567015
YDR083W	1.4226664
YDR084C	-1.3484613
YDR085C	-0.5972411
YDR089W	-0.59166557
YDR090C	-0.4200044
YDR092W	-1.1949613
YDR093W	-0.83281773
YDR094W	1.8677081
YDR095C	-2.7076743
YDR096W	-1.158135
YDR097C	-1.4950728
YDR098C	-1.9282842
YDR099W	0.5927736
YDR100W	-1.5271525
YDR101C	-0.5421366
YDR102C	1.1670974
YDR104C	-0.24859233
YDR105C	-1.1807427
YDR107C	2.9719796
YDR108W	-0.078424476
YDR109C	-2.1670692
YDR110W	-0.054487
YDR111C	-1.2831674
YDR112W	-1.3670113
YDR114C	1.6469986
YDR115W	1.5756304
YDR116C	-0.7868417
YDR117C	-0.25073558
YDR119W	-1.7918175
YDR120C	-2.557867
YDR121W	-0.47367093
YDR122W	5.5653605
YDR123C	1.6145881
YDR124W	-0.82043576
YDR125C	-2.3196318
YDR126W	-0.9432806
YDR127W	-1.2731533
YDR128W	-1.2193544
YDR129C	-0.69541585
YDR130C	0.09690092
YDR131C	-0.5270066
YDR132C	-2.7248547
YDR133C	-0.4807764
YDR135C	-1.668519
YDR136C	-0.5243321
YDR137W	-1.1266572
YDR138W	-0.928938
YDR139C	-1.1304958
YDR140W	-0.97448355
YDR142C	-1.2857949
YDR143C	-0.90295935
YDR144C	0.35661256
YDR146C	-2.65094
YDR147W	-0.11693556
YDR148C	2.0321286
YDR149C	-1.619599
YDR150W	-0.63700944
YDR151C	-1.0503458
YDR152W	-1.1576767
YDR153C	-3.0288727
YDR154C	-0.69169116
YDR155C	-1.2799795
YDR156W	0.35752624
YDR157W	0.21400063
YDR158W	-0.080657125
YDR159W	-0.4896793
YDR161W	0.68663573
YDR162C	-1.8944336
YDR163W	-0.002113665
YDR165W	0.3926702
YDR169C	0.10085402
YDR169C-A	0.16729957
YDR171W	0.34878018
YDR173C	-0.26180816
YDR174W	-3.101391
YDR175C	-0.78320485
YDR176W	0.13954134
YDR178W	0.39651707
YDR179C	0.28444955
YDR179W-A	-0.040582113
YDR181C	0.52256584
YDR182W-A	0.00054400467
YDR183W	0.48858938
YDR184C	0.41540834
YDR185C	0.3308522
YDR186C	-0.15123267
YDR191W	0.4997456
YDR192C	0.17802696
YDR193W	0.18675713
YDR194C	-1.2143196
YDR194W-A	-0.093171775
YDR195W	-1.418525
YDR197W	-0.43832272
YDR198C	0.79575545
YDR199W	0.30806255
YDR200C	0.30417243
YDR202C	-0.70039684
YDR203W	1.7362256
YDR204W	0.6651402
YDR205W	0.01334434
YDR206W	0.61130667
YDR207C	-1.854366
YDR209C	0.82278895
YDR210W	0.7893794
YDR213W	0.8021219
YDR214W	0.19403534
YDR215C	0.31766438
YDR216W	0.47439945
YDR217C	0.41098568
YDR218C	0.37643787
YDR219C	0.34855494
YDR220C	0.040176813
YDR221W	0.40558827
YDR222W	0.16310215
YDR223W	0.40464532
YDR225W	0.7041902
YDR226W	-1.255435
YDR229W	0.70614225
YDR230W	0.6122051
YDR231C	-0.23033032
YDR233C	0.62058085
YDR234W	-1.4838886
YDR237W	0.42860442
YDR239C	0.19114289
YDR241W	-0.6302721
YDR242W	0.113111615
YDR244W	0.3384161
YDR245W	-0.07964292
YDR246W-A	-0.4558206
YDR247W	0.4627635
YDR248C	0.26086712
YDR249C	0.08604055
YDR250C	0.14015087
YDR251W	0.22002858
YDR252W	0.1730183
YDR253C	0.34362453
YDR254W	0.26493475
YDR255C	0.031796597
YDR256C	-0.049295098
YDR257C	0.2685309
YDR258C	0.32430634
YDR259C	0.6496326
YDR260C	0.023040349
YDR261C	0.5814952
YDR262W	0.5084204
YDR263C	0.48616713
YDR264C	-2.0597456
YDR265W	0.37471744
YDR266C	-0.43658507
YDR268W	0.00055672997
YDR269C	-0.33273745
YDR270W	0.34184873
YDR271C	-0.30036917
YDR272W	0.08497226
YDR273W	0.48298073
YDR274C	1.302136
YDR275W	0.73212725
YDR276C	0.52564025
YDR277C	0.5726461
YDR278C	0.17658074
YDR279W	0.24168378
YDR281C	0.21166682
YDR282C	0.6755418
YDR283C	1.0633987
YDR284C	0.26057124
YDR285W	1.5060092
YDR286C	1.1149392
YDR287W	0.25374797
YDR289C	3.9207125
YDR290W	0.24518642
YDR291W	-0.0030464262
YDR293C	-0.70246977
YDR294C	0.1724024
YDR295C	-0.22028309
YDR296W	0.1443184
YDR297W	-0.20561309
YDR298C	-0.10840773
YDR300C	-1.7330106
YDR304C	-0.2632652
YDR305C	-0.043168522
YDR306C	0.1782083
YDR307W	0.369411
YDR309C	0.3292978
YDR310C	-0.6493466
YDR312W	0.28460225
YDR313C	0.3216213
YDR314C	0.31248266
YDR315C	-1.0872691
YDR316W	-0.36057523
YDR317W	-0.74592936
YDR318W	-0.47546136
YDR319C	-0.32754108
YDR320C	-1.8470674
YDR320C-A	-0.15158579
YDR321W	-0.02089996
YDR322C-A	-0.15396541
YDR322W	-0.17082511
YDR323C	-0.3920782
YDR326C	0.13648728
YDR329C	0.14993724
YDR330W	0.32115936
YDR332W	0.22482027
YDR333C	-0.6028415
YDR334W	-1.2414645
YDR335W	-0.24775755
YDR336W	-0.5229358
YDR337W	0.23274557
YDR338C	0.31149834
YDR340W	0.45039645
YDR344C	0.20774871
YDR345C	0.22651337
YDR346C	0.035299223
YDR347W	-0.71523255
YDR348C	-0.07470616
YDR349C	-0.44655818
YDR350C	-0.36852628
YDR351W	-0.12503263
YDR352W	-0.5748329
YDR354W	0.066739514
YDR357C	-0.28634307
YDR358W	-0.2645272
YDR359C	-2.4267168
YDR360W	-1.6854662
YDR363W	-1.6343136
YDR363W-A	-0.46757647
YDR368W	-0.21817166
YDR369C	-1.7548121
YDR370C	-0.09423625
YDR371W	-0.25185826
YDR372C	0.040669918
YDR374C	-0.6706833
YDR375C	0.16666459
YDR377W	-0.63961905
YDR378C	-2.7326322
YDR379C-A	-0.15084518
YDR379W	0.16814071
YDR380W	0.19381073
YDR382W	0.10031828
YDR383C	0.025913712
YDR384C	-0.21530274
YDR385W	-1.3424716
YDR386W	-1.1754373
YDR387C	-0.40049338
YDR388W	-1.0817972
YDR389W	-0.60202074
YDR391C	0.62337846
YDR392W	-0.86757135
YDR393W	0.3023489
YDR395W	0.50399584
YDR399W	0.47092927
YDR400W	0.27630156
YDR401W	-0.16406673
YDR402C	-0.07393692
YDR403W	-0.13165359
YDR405W	0.24912679
YDR406W	-0.3994356
YDR408C	0.84796333
YDR409W	-0.471967
YDR411C	0.3918889
YDR414C	0.61540353
YDR415C	0.1645821
YDR417C	-0.6472377
YDR418W	0.49419358
YDR419W	1.0758109
YDR420W	0.31663427
YDR421W	-0.5709657
YDR422C	0.34041142
YDR423C	0.006033044
YDR424C	0.7608106
YDR425W	0.709963
YDR426C	0.5270292
YDR428C	0.27232048
YDR430C	0.61263454
YDR431W	0.9896489
YDR432W	-1.3800168
YDR433W	-2.2592535
YDR435C	0.10512334
YDR436W	1.0608524
YDR438W	-0.10141647
YDR439W	-0.2223713
YDR440W	-0.12944321
YDR441C	-0.33308485
YDR442W	-0.46159974
YDR443C	-0.52712303
YDR444W	-0.18982805
YDR445C	-0.33512184
YDR446W	0.19004151
YDR447C	-0.63639355
YDR448W	-2.078189
YDR450W	-2.5699227
YDR451C	-0.36766574
YDR452W	0.129636
YDR453C	-0.037682027
YDR455C	-1.0960349
YDR456W	-1.5418441
YDR457W	-0.47649816
YDR458C	0.11278649
YDR459C	-0.22189347
YDR461W	0.085042246
YDR462W	0.11967912
YDR463W	-0.41879612
YDR465C	-0.005009297
YDR466W	-0.026101409
YDR467C	0.2545872
YDR469W	0.9890915
YDR470C	-0.16699798
YDR471W	0.43177113
YDR475C	-0.19445273
YDR476C	-0.22056304
YDR477W	-2.5456777
YDR479C	-0.13146526
YDR480W	0.24138348
YDR481C	-0.092345275
YDR482C	-0.2827011
YDR483W	0.028720902
YDR484W	-3.099237
YDR485C	-0.7173049
YDR486C	-0.2964517
YDR488C	-0.2556151
YDR490C	-0.19789618
YDR491C	-0.076158114
YDR492W	0.1372279
YDR493W	0.09316796
YDR494W	-0.061529793
YDR495C	-3.1565354
YDR496C	-0.46890977
YDR497C	-0.6568367
YDR500C	-0.15638131
YDR501W	-0.005157546
YDR502C	0.8639151
YDR503C	0.05147875
YDR504C	-0.07664867
YDR505C	0.010109579
YDR506C	-0.19304277
YDR507C	-0.033371348
YDR508C	-0.044931605
YDR509W	0.046379104
YDR511W	0.66996884
YDR512C	0.1770363
YDR513W	0.39405665
YDR514C	-0.10757868
YDR515W	0.08703375
YDR516C	-0.19499165
YDR517W	-0.28977063
YDR518W	-0.097064435
YDR519W	-0.8357086
YDR520C	-0.31407267
YDR521W	-0.5134415
YDR522C	-0.55964243
YDR523C	-1.8887283
YDR524C	-0.9704217
YDR524C-B	-0.69544226
YDR524W-C	-0.20262234
YDR525W	-1.3688784
YDR525W-A	-0.105553456
YDR528W	-0.33941853
YDR529C	-0.83720607
YDR530C	1.8438514
YDR532C	-2.475653
YDR533C	-0.45921567
YDR534C	-0.31620035
YDR535C	0.104522705
YDR536W	-0.049719483
YDR537C	-0.7522608
YDR538W	-0.009036204
YDR539W	0.18005791
YDR540C	0.28229135
YDR541C	-0.068321265
YEL001C	0.5419139
YEL003W	-0.2074064
YEL004W	0.2476882
YEL005C	0.09815499
YEL006W	0.506483
YEL007W	0.79718447
YEL008W	0.7251131
YEL009C	0.19231234
YEL010W	0.57189333
YEL011W	0.5219531
YEL012W	-0.05839811
YEL013W	0.8004116
YEL014C	0.6638098
YEL015W	0.6754668
YEL016C	0.24603455
YEL017C-A	0.25002265
YEL017W	0.24368738
YEL018W	-0.05258521
YEL020C	0.8247232
YEL022W	-0.17652412
YEL023C	0.82112324
YEL024W	0.45892555
YEL025C	-0.30379704
YEL027W	1.3571988
YEL028W	1.1712288
YEL029C	-1.5632347
YEL030W	0.5896871
YEL031W	-0.9742236
YEL033W	-2.8264673
YEL036C	-1.4440926
YEL037C	0.102292605
YEL038W	0.65155154
YEL039C	0.7464177
YEL040W	0.61908114
YEL041W	0.19387946
YEL042W	0.761793
YEL043W	0.39826232
YEL044W	-1.7878406
YEL045C	2.3833437
YEL046C	0.7420224
YEL047C	0.4582842
YEL048C	0.35615256
YEL049W	0.7527562
YEL050C	-0.0018018963
YEL051W	0.14859727
YEL052W	0.2011564
YEL053C	0.51087195
YEL054C	-0.9536542
YEL056W	0.8230409
YEL057C	0.93300176
YEL059C-A	0.03573952
YEL059W	0.67201185
YEL060C	0.7952738
YEL061C	-0.888255
YEL062W	-0.122007206
YEL063C	1.3210012
YEL064C	0.442321
YEL065W	0.19824994
YEL066W	0.4781865
YEL067C	0.22002858
YEL068C	0.5182061
YEL071W	0.2241363
YEL072W	-0.28697997
YER001W	0.57951516
YER002W	0.9340338
YER004W	0.05797245
YER005W	0.2721805
YER007C-A	0.106224075
YER007W	-0.114695914
YER010C	0.049741752
YER011W	0.42877305
YER014C-A	-0.12116734
