COMPOUND	COMPOUND_CONCENTRATION	CONCENTRATION	EXPERIMENT	EXPERIMENT_NUMBER_HIPHOP	EXPERIMENT_TYPE	GENE_NAME	SCORE	SCORE_TYPE	SYSTEMATIC_NAME	VIABILITY	Z_SCORE
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	RTC4	1.62886703206213	Adj.	YNL254C	viable	1.449633606579
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	GIS2	-0.100506286250883	Adj.	YNL255C	viable	-0.138612117403894
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	FOL1	-0.0794860239485124	Adj.	YNL256W	inviable	-0.106151889823876
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	SIP3	-0.019531364950953	Adj.	YNL257C	viable	-0.0159265626124315
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	DSL1	-0.687145337052467	Adj.	YNL258C	inviable	-0.603804717967255
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	ATX1	1.58933141554975	Adj.	YNL259C	viable	1.05138325963498
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	YNL260C	0.00462875673435775	Adj.	YNL260C	inviable	0.00560791608871774
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	ORC5	0.427166638094582	Adj.	YNL261W	inviable	0.355396977125475
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	POL2	0.0085471131791485	Adj.	YNL262W	inviable	0.0081689236816659
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	YIF1	0.0828264725007701	Adj.	YNL263C	inviable	0.0572125486233433
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	PDR17	-0.0064140282349457	Adj.	YNL264C	viable	-0.00493485345686904
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	IST1	-0.157905249339695	Adj.	YNL265C	viable	-0.144669756589505
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	YNL266W	-0.08411932394466	Adj.	YNL266W	viable	-0.079920348652346
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	PIK1	0.0189200187935414	Adj.	YNL267W	inviable	0.00921548561286885
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	LYP1	-0.0191583554179993	Adj.	YNL268W	viable	-0.0235830101866389
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	BSC4	0.011454914904048	Adj.	YNL269W	viable	0.0116497622853556
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	ALP1	0.117330830564702	Adj.	YNL270C	viable	0.0933462489273231
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	BNI1	-0.23523546171229	Adj.	YNL271C	viable	-0.276423517026135
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	BOR1	-0.279261938645973	Adj.	YNL275W	viable	-0.211472337238552
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	SEC2	-2.89986400643435	Adj.	YNL272C	inviable	-2.40791202511548
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	TOF1	-0.043284110708905	Adj.	YNL273W	viable	-0.0354561562001907
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	GOR1	-0.0775910546372942	Adj.	YNL274C	viable	-0.119798548857226
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	YNL276C	-0.0211181625297061	Adj.	YNL276C	viable	-0.0213634236367762
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	MET2	-0.0265888996195255	Adj.	YNL277W	viable	-0.020574064267092
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	CAF120	-0.800969666208121	Adj.	YNL278W	viable	-0.878162443457812
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	PRM1	-0.614910026966275	Adj.	YNL279W	viable	-0.79051317440973
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	ERG24	-0.0218790214497134	Adj.	YNL280C	viable	-0.0202877043449548
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	HCH1	-0.507342244698573	Adj.	YNL281W	viable	-0.548225797687104
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	POP3	-2.04043661810356	Adj.	YNL282W	inviable	-1.4058325200281
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	WSC2	-0.0446038413393351	Adj.	YNL283C	viable	-0.0447499445278921
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	MRPL10	-0.289385899505785	Adj.	YNL284C		-0.339046415018984
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	YNL285W	-0.763669145800929	Adj.	YNL285W	viable	-0.817644840949132
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	CUS2	-0.0476747643958473	Adj.	YNL286W	viable	-0.0618086868474789
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	SEC21	0.130522343204274	Adj.	YNL287W	inviable	0.0588863280657812
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	CAF40	-0.0359124182516029	Adj.	YNL288W	viable	-0.0333920950009338
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	PCL1	-0.0611681999473979	Adj.	YNL289W	viable	-0.0715019158839478
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	RFC3	0.0607366753318814	Adj.	YNL290W	inviable	0.06248854730529
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	MID1	-0.210681011548974	Adj.	YNL291C	viable	-0.275392857035401
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	PUS4	-0.0492601761068341	Adj.	YNL292W	viable	-0.0462541498276362
