orf	hap a (post-SGA) | growth (colony size) | expression of human TDP-43 [GAL] | SC - Leu, Gal [2%] | Armakola M~Gitler AD, 2012	hap a (post-SGA) | growth (colony size) | expression of human TDP-43 [GAL] | SC - Ura, Gal [2%] | Armakola M~Gitler AD, 2012
YBR089C-A	0.3877298873087983	-0.2866196704070294
YBR090C	0.5281691008905304	-0.3231627381446157
YBR092C	0.10087865580068868	-0.1498564748013198
YBR093C	0.9802059744701126	0.39834069944954303
YBR094W	0.10032674630453413	0.13764367207553435
YBR095C	0.6173845251202698	-0.5404048783306068
YBR097W		
YBR098W	0.6100947205252285	0.3295564409687682
YBR099C	0.09246576510254907	0.3841878604417502
YBR101C		
YBR103W	1.8282031064372224	1.856102833327272
YBR104W	-1.1924628255854266	-0.44941823651438856
YBR105C	0.12917396179385535	-0.2743532001179088
YBR106W	-0.8014523501116092	0.17204583584303143
YBR107C	0.5595931370679786	0.039449680680711245
YBR108W	0.7364198431743326	-0.27486090875046754
YBR111C	0.6546496034653536	-0.7002947870785808
YBR111W-A	-1.7905742318927245	
YBR112C	-0.20126941863462341	
YBR113W	0.5320268736862863	-0.0018329564146737708
YBR114W	0.13401808635807672	0.5946126825499465
YBR115C		-1.4868297553926817
YBR116C	0.08325670766502435	0.0018826580121012555
YBR119W	0.8886561222363681	0.004544976229449875
YBR120C	3.11240389755313	-1.1995733228044816
YBR121C		-0.7781347174954087
YBR122C	3.7028103241038646	-0.4851736672589482
YBR125C	0.45465139979634894	0.2177980115090586
YBR126C	-0.07885987011364279	-0.17005401158773323
YBR127C		-0.7303030577701408
YBR128C	0.15327773891082128	-0.2511845662525743
YBR129C	0.7541580154944348	-0.8692974818253512
YBR130C		0.05800060179989115
YBR131W	0.03195336379106349	-0.8042150006256772
YBR132C	0.26083483109215627	0.13369517866191188
YBR133C	-0.4251364649729066	
YBR134W	0.10953331766324735	0.49101736765617554
YBR137W	0.023549795888467027	0.09032620096632757
YBR138C	0.6251255530195997	0.0621255302878656
YBR139W	0.24633166882552743	-0.04021505292410544
YBR141C		-0.5756181755353018
YBR144C	0.058801771915933075	-0.1878613267649559
YBR145W	0.8986973945560447	-0.014441040848196184
YBR146W	0.8664852713953488	0.7987733868031309
YBR147W	0.025332314396317522	0.1417801908116722
YBR148W		0.33431579428497243
YBR149W	0.6129829225844966	0.33934055710036526
YBR150C	-0.2980860288305454	-0.2562641071473864
YBR151W	0.5593756051719717	0.4113095495402001
YBR156C	0.7097659707164633	0.4771842775438205
YBR157C	0.6236646709579878	0.022409392919368734
YBR158W	0.1268606654597481	0.13869243941048026
YBR159W	0.6011895862224105	0.32133978869538904
YBR161W	0.9143764721005164	-0.17517756288511377
YBR162C	-0.9879635762281886	-0.3992971947711223
YBR162W-A	-0.26673471045833375	-0.2866694003106753
YBR163W	-0.5307015865065217	-1.4868297553926817
YBR164C	-0.17084851525761824	0.3456628869903682
YBR165W	0.8702336567233985	0.3569257226721595
YBR166C	-0.21752899558158192	0.8285276703907868
YBR168W	0.7955543353045404	1.3230310832625551
YBR169C	0.6135547207111433	-0.07851148701383522
YBR170C	0.7149214766518259	0.7979353962209069
YBR171W	0.08037285624367625	-0.5776595107276917
YBR172C	-0.38540395340740213	0.5275548826905312
YBR173C	0.6435281299020771	0.41241692522917595
YBR174C	2.5641159967072435	-0.7665691916071307
YBR175W	2.549226249185425	-0.6698398425051462
YBR176W	0.5316682568177264	-0.24994265793031126
YBR177C	0.4870903776485948	-0.052769560923143784
YBR178W		0.0421161213974688
YBR179C	3.5054324475021876	-1.1010399555283528
