orf	hap a (post-SGA) | growth (colony size) | expression of human TDP-43 [GAL] | SC - Leu, Gal [2%] | Armakola M~Gitler AD, 2012	hap a (post-SGA) | growth (colony size) | expression of human TDP-43 [GAL] | SC - Ura, Gal [2%] | Armakola M~Gitler AD, 2012
YBR213W	1.142315	0.05002699223367221
YBR214W	-1.050924	-0.12845865040241985
YBR215W	1.262067	-0.03699380791596463
YBR216C		0.0658613986281544
YBR217W	-0.009771	-0.3445797370777025
YBR218C	0.871807	0.05876561495649579
YBR219C	0.087736	-0.008458342479141678
YBR220C	-2.052284	0.030197863234998013
YBR221C	0.167725	0.7769479029368063
YBR221W-A		
YBR222C		-0.1872060512962125
YBR223C	0.529482	-0.18507436289199267
YBR224W		0.18693211634921775
YBR225W	-1.755955	-0.181952136690198
YBR226C		0.40730195258580554
YBR227C	-0.170168	0.13043538383248948
YBR228W		-0.06277767385400576
YBR229C		-0.13757195330914287
YBR230C	-0.713513	0.13545680344404665
YBR230W-A		
YBR231C	1.175238	-0.22819792001258773
YBR232C	0.831181	-0.15136040860107738
YBR233W		0.07318003287756808
YBR235W	-0.631882	-0.03075494693752706
YBR238C	-0.614475	0.008542712329761643
YBR239C	-3.465821	-0.1856248019507998
YBR240C	-0.342332	-0.19270347765920975
YBR241C	0.08658	-0.07461046975077165
YBR242W		0.023014318871766137
YBR244W		-0.008214035138803838
YBR245C	-0.370896	0.23250263309164104
YBR246W	3.011224	0.5943439347463282
YBR248C	-0.287258	-1.0
YBR249C	0.453635	0.007798591672296268
YBR250W		0.14890157881737084
YBR251W	3.471507	-0.599589381715419
YBR255W	1.084786	-0.4646284282690308
YBR258C	1.196488	-0.3126840920528675
YBR259W	1.464199	-0.21292120187943653
YBR260C	-0.176075	-0.2556754442480398
YBR261C	-0.231847	0.32109645025741274
YBR262C		0.009052762821117694
YBR263W	-0.807432	0.08553842834470499
YBR264C	0.165009	0.024952005475566724
YBR266C		1.888685222024893
YBR267W		1.2126146253411165
YBR268W		-0.6251763804963167
YBR269C	1.320261	0.6471145672593432
YBR270C		0.07184086704881731
YBR271W	0.936237	0.2764334838015239
YBR272C	-2.471595	0.1768710302055608
YBR273C	0.44963	0.23596417954796584
YBR274W	0.325181	0.08138191495557723
YBR275C		0.12546500200513316
YBR276C	-0.785376	0.0016964018475763565
YBR277C	-0.9229	-0.05754241321990497
YBR278W	-0.412023	0.24965510990335155
YBR279W		
YBR280C	-0.264593	0.05850467497977141
YBR281C	0.996417	-0.13852266149434875
YBR282W	-0.286434	-0.06100371533840471
YBR283C	0.37687	-0.13219438856710888
YBR284W	-1.275268	0.05325365169710031
YBR285W	0.679584	0.16125916635101814
YBR286W	1.312235	0.030494656459968877
YBR287W	-0.096519	0.05255528609341184
YBR288C	0.261758	0.32498263022016755
YBR289W	0.59329	2.321896899075656
YBR290W	-0.935397	-0.2227432102344942
YBR291C	0.237641	0.13595033795964373
YBR292C	0.656831	0.07819844260685216
YBR293W	0.210684	0.11392944629846774
YBR294W		-0.3087373133802173
YBR295W		-0.11390512193743976
YBR296C		-0.14796580770452392
YBR296C-A	-0.457717	
YBR297W	0.891413	0.04607216592179031
YBR298C	0.846818	-0.4274131788293035
YBR299W	-0.216764	-0.11302254194156541
YBR300C	-1.14986	-0.27720407383681245
YBR301W	0.098483	-0.2113969739734966
YCL001W	-0.681589	0.09743882084899991
YCL001W-A		-0.09506915580182207
YCL001W-B		
YCL002C	-0.30143949999999997	0.15502549965091889
YCL005W		-0.1905016396395485
YCL005W-A	7.918922	
YCL007C		
YCL008C		-1.0
YCL009C	1.174857	0.039532772588324105
YCL010C	1.194859	-0.3804076882064189
YCL011C	-2.40342	-0.09712407768120457
YCL012C	0.837786	
YCL014W	-0.7669050000000001	-0.05125636997146961
YCL016C	-2.443605	-0.132134887248579
YCL021W-A	-0.455605	
YCL022C	-0.734965	0.0678212025084644
YCL023C	-0.8160449999999999	-0.03948332536440513
YCL024W		-0.058743682475034226
YCL025C		0.013513161958977393
YCL026C-A	0.147141	-0.030090483126871098
YCL026C-B	0.58165	
YCL027W		0.002185567477124145
YCL028W	-1.423454	0.05568962044135378
YCL029C	0.981937	0.04966923174332222
YCL030C		-1.0
YCL032W	-1.351627	-0.6443884115538012
YCL033C	-0.401459	-0.4941893407452926
YCL034W	0.471639	0.14627932930765358
YCL035C	0.416269	-0.06294782320450037
YCL036W	-0.379219	-0.4749501862959449
YCL037C	0.331318	0.38147867726237256
YCL038C	0.7055175	-0.19514830925741805
YCL039W	0.232744	0.02692219154762776
YCL040W		0.1742516468910953
YCL042W	-1.174097	0.15211125539272669
YCL044C	-0.674181	-0.4764222215306322
YCL045C		0.020171905462973955
YCL046W	0.927939	0.23068964306664674
YCL047C	1.561713	0.08308304326939978
YCL048W		0.0659200474141525
YCL049C	0.256524	0.029349265523817225
YCL050C		-0.49744080054423007
YCL051W	0.644735	0.29931123966091217
YCL055W		-0.04573754798956833
YCL056C	-0.200568	-0.6611911948428113
YCL057C-A	-0.529415	
YCL057W	-0.460666	-0.012855311979044548
YCL058C		6.69879679446851
YCL061C	-0.342354	-0.12347876216205697
YCL063W	-4.065725	0.0005283112311253724
YCL064C		0.208258817630406
YCL069W	0.361918	0.4116410585308908
YCL076W	-0.292613	-0.11941244306648968
YCR001W	0.32083	0.16098717102935017
YCR002C		-0.6256543210708705
YCR003W	-0.920036	-0.8336292165247348
YCR004C	-1.459047	-0.11100202238415521
YCR005C	-0.337692	0.054392094541312
YCR006C	-0.128934	-0.113856151176081
YCR007C	-0.321564	0.00955565153974755
YCR008W		-0.45821649715689117
YCR009C		-0.7348988772458509
YCR010C		-0.11586159848700267
YCR011C		0.12919272534226534
YCR014C	0.312453	-0.04042470990576949
YCR015C	0.829081	0.14558084603819638
YCR016W		0.2195175264919797
YCR017C	0.641322	0.2546416210821705
YCR019W	0.438205	-0.5163396262786526
YCR020C	-1.088775	-0.3068275789008901
YCR020C-A		0.37999961883437094
YCR020W-B		
YCR021C	0.309987	0.0257374377191818
YCR022C		-0.1051545998609423
YCR023C	-1.85425	-0.02318125745400995
YCR024C		-0.7267476051542658
YCR024C-A	0.768539	-0.057427902860819446
YCR025C	0.775446	-0.10348807286326067
YCR026C	0.331151	-0.2142862345407954
YCR027C	-0.957409	-0.22497686971647526
YCR028C		6.533301502788185
YCR028C-A	1.510754	-0.8492306522769248
YCR030C	-0.013525	-0.18666325753464308
YCR031C	2.077065	-0.15485299596436672
YCR032W	-3.071761	-0.2999389835081319
YCR033W		0.9556968746670063
YCR034W	0.658033	0.6621646888914559
YCR036W	-0.611989	-0.39708749904042306
YCR037C	0.813788	-0.034616263789976565
YCR043C	0.433677	-0.05427641608160347
YCR044C	0.766901	
YCR045C	0.953534	-0.10715298193577494
YCR046C	1.39103	0.2098416337015377
YCR047C	3.159421	2.4439001278376606
YCR048W		-0.3335131109306574
YCR049C	0.40626	-0.14963046359433738
YCR050C		-0.01685599572358218
YCR051W	-0.476707	0.09090704775693975
YCR053W	-0.000899	-0.22776657936215597
YCR059C	-0.08182	0.09432510562774121
YCR060W		-0.1738662686322527
YCR061W	-0.10750933333333336	-0.14070497050407688
YCR063W		0.033240039737504
YCR065W	-1.280655	-0.32965334040932553
YCR066W	-0.257946	-0.09712539150010979
YCR067C	-0.461432	-0.2053621554268266
YCR068W	-0.524151	-0.16242952791638943
YCR069W	0.636774	-0.09991000989259263
YCR071C	-1.007481	-0.9032714004940519
YCR073C		0.0453757477205472
YCR073W-A	-0.040966	-0.16204917602962535
YCR075C	-0.705438	0.12615966396868256
YCR075W-A	1.161559	
YCR076C	-0.418085	-0.25906934621647437
YCR077C	1.355411	-0.8494254690223897
YCR079W	2.068902	0.037911415813182775
YCR081W		-0.34230912076523856
YCR082W		0.1443613394609455
YCR083W	0.77161	0.3521108220039097
YCR084C		-1.0
YCR085W		0.028101805416515385
YCR086W	1.802081	0.35938668414997543
YCR087C-A	-0.930324	-0.2256484220577466
YCR087W		-0.005351861523982787
YCR088W	0.090338	0.17994347577553133
YCR089W	-0.424059	-0.10513167894482758
YCR090C	-0.659179	
YCR091W	0.823952	0.08715320878545516
YCR092C	-0.115359	0.06207471866393985
YCR094W	0.581216	-0.014118229686502781
YCR095C	2.752974	1.3616186764279627
YCR095W-A	0.116894	
YCR098C		0.017592917909294292
YCR099C	-0.359302	-0.13848112811477487
YCR100C	-0.637105	-0.07635204948053809
YCR101C	0.594125	-0.0800325094880856
YCR102C		-0.04970254725275933
YCR102W-A		0.06299495968570934
YCR105W	0.004063	-0.08118790571303466
YCR106W	1.010076	-0.06806434326865915
YCR107W	-0.575493	-0.13114839993860103
YDL001W	0.52554	-0.15233215985566698
YDL002C	-0.127216	-0.37197659226421725
YDL006W	0.190427	-0.36971322466868317
YDL009C	-0.884516	-0.2877286876988083
YDL010W	-0.793487	0.030824127932341655
YDL011C	0.340832	-0.005619114390957136
YDL012C	1.575422	0.5405822358961913
YDL013W	1.343088	0.5109781207614108
YDL018C	-0.661132	0.034256188829043466
YDL019C	0.434231	0.33311601008810254
YDL020C	0.617248	0.9280191029070404
YDL021W		-1.0
YDL022W	-0.720425	0.28226124114308665
YDL023C	-0.757955	-0.02043145482153652
YDL024C	0.270878	-0.2630367679991835
YDL025C	0.730925	0.21357647551241044
YDL026W		0.08310858699401633
YDL027C	-0.292486	0.1957954118182776
YDL032W		-0.7628658090693907
YDL033C	-0.056421	-0.7562197600016368
YDL034W	-0.766162	0.22718030555253665
YDL035C	-0.577567	-0.6996050228866963
YDL036C		0.02523016518961585
YDL037C	-0.236345	0.24989931864302226
YDL039C	-0.2725135	0.014717303689065861
YDL040C	-1.090607	0.38609547739501826
YDL041W		
YDL042C		
YDL044C	0.863079	-1.0
YDL045W-A	-0.327905	-0.9463717101482009
YDL046W	0.6808	-0.029976509718256578
YDL047W	3.340412	-0.6899712437095614
YDL048C	0.148903	0.06582846880772389
YDL049C	0.202615	0.01172762183728479
YDL050C	-0.482973	0.5740427712212784
YDL051W	0.120344	0.6332470400065868
YDL052C	-0.766186	-0.02108297252192662
YDL053C	1.174613	0.22714140980882214
YDL054C		-0.0855171103623337
YDL056W	-0.523804	-0.21875423121156284
YDL057W		-0.3844462490229049
YDL059C	-0.251658	-0.13839820587496013
YDL061C	6.065166	1.5077569528080195
YDL062W		0.7424051431888952
YDL063C	0.716819	0.8666557243775024
