orf	hap a (post-SGA) | growth (colony size) | expression of amyloid-beta 42 | SGA final selection medium | Chen X~Petranovic D, 2020
YBL017C	0.4350837875060103
YBL019W	-0.4815369887300997
YBL021C	1.4841140997762272
YBL024W	0.4118796653823861
YBL025W	-0.048911083442190105
YBL027W	0.25763368275441906
YBL028C	0.17446046579181818
YBL029W	-0.19434830842082937
YBL031W	-1.3891403788462398
YBL032W	0.8940200610359911
YBL036C	1.1174379721523644
YBL037W	-0.8583200067095071
YBL039C	-0.9366484069649778
YBL042C	0.2301642674532256
YBL043W	1.037857801073042
YBL046W	0.9740638509389623
YBL047C	-0.8808287005976579
YBL048W	0.7963587558343643
YBL049W	0.9787464010578157
YBL051C	-2.0192215411261873
YBL052C	0.12916490672132708
YBL053W	1.547861688027942
YBL054W	-0.9803908429762451
YBL055C	0.11242826718760429
YBL056W	0.7562789085299225
YBL057C	1.027472739423308
YBL059W	0.6298732362620678
YBL060W	0.7219247536975439
YBL061C	0.04538898528798281
YBL062W	-0.2710308618523465
YBL063W	0.3900895806708909
YBL064C	-0.1638653707659186
YBL065W	-0.5220572739170078
YBL066C	1.146599596159876
YBL067C	2.844487633067819
YBL068W	1.9677380756655085
YBL069W	2.000191393320927
YBL070C	1.731918361016529
YBL071C	-0.881245957538942
YBL072C	-2.0580959794891425
YBL075C	-0.17703214535754538
YBL078C	-0.017524089081164033
YBL079W	0.23619131216066044
YBL081W	0.39556028278994715
YBL082C	-1.258098518341897
YBL083C	-1.7267939681096858
YBL085W	-0.40473853059267023
YBL086C	0.6733838628615111
YBL087C	-0.5620443974567197
YBL088C	0.5943832153117498
YBL089W	-0.30526911197881296
YBL091C	-0.5663328715754713
YBL091C-A	-0.13623368887644802
YBL094C	-0.103432657103293
YBL095W	2.6072538810067103
YBL096C	-0.427131319774909
YBL098W	1.2653787387787072
YBL100C	-0.2517211378473726
YBL101C	-0.40684799624027246
YBL102W	0.6935976435726002
YBL103C	0.20821191615345336
YBL104C	-0.5722208306358116
YBL106C	0.2524179709883696
YBL107C	0.1690129446139444
YBR001C	0.5450541724755137
YBR005W	0.891493338447105
YBR006W	-0.5276438807419762
YBR007C	-0.44236119813177316
YBR008C	-0.12953439687472237
YBR009C	-0.6180495513534988
YBR010W	1.0190812387152641
YBR012C	0.8016671913651435
YBR013C	0.6402814788529841
YBR014C	-0.1414725815836798
YBR015C	-2.4876620005409698
YBR016W	0.44544566821456166
YBR018C	-1.4520070913330219
YBR019C	0.183477851911788
YBR020W	0.23666652145490052
YBR022W	-0.9730656655625936
YBR023C	-0.027422350966066638
YBR024W	0.8170361553691022
YBR025C	-0.3135447079809446
YBR026C	0.6124875303752367
YBR027C	-0.09188854839443703
YBR028C	0.3219376135945123
YBR030W	-0.6428995203010764
YBR031W	-0.6774391226629145
YBR032W	0.607781799315201
YBR033W	-1.1239272307779242
YBR034C	-0.20677329289461813
YBR036C	-3.2331842499094776
YBR040W	-0.25930130561403103
YBR041W	-1.306708952001477
YBR042C	0.80600202736626
YBR043C	-0.23966704843250286
YBR044C	1.7593414144353576
YBR045C	-0.5418769786279954
YBR046C	0.263985260638408
YBR047W	-0.283177675031946
YBR048W	2.337636354113731
YBR050C	-0.3423122559883548
YBR051W	0.00296786292411443
YBR052C	1.2604875601892123
YBR053C	0.7123973868715604
YBR054W	0.9802995241170392
YBR056W	-0.44416931154400363
YBR057C	-0.6633682913651725
YBR058C	1.7871817247954702
YBR059C	-0.9270051354330819
YBR061C	0.41318938855919407
YBR062C	-1.203994201622078
YBR063C	0.8689382826765893
YBR064W	0.0019247205709044426
YBR065C	1.2677895566616812
YBR066C	1.784979535383138
YBR067C	-0.9777018537990819
YBR068C	0.38498977361075376
YBR069C	0.7342106525242381
YBR071W	0.3771546154910885
YBR072W	-0.1325015573460749
YBR073W	0.07798138859049582
YBR074W	0.07366200655016747
YBR076W	-0.3901808995300969
YBR077C	1.4138526670522462
YBR078W	1.0416131135445974
YBR082C	-1.99493950523758
