orf	hom | growth (relative abundance in pooled culture) | time [5 generations], Chitosan oligosaccharide [91.1 ug/ml] | Jaime MD~Nislow C, 2012	het | growth (relative abundance in pooled culture) | time [20 generations], Chitosan oligosaccharide [91.1 ug/ml] | Jaime MD~Nislow C, 2012
YBL052C	-1.4858013261974308	
YBL053W	-0.5726974792777869	
YBL055C	-0.0426976916835021	
YBL056W	-0.30123417343681175	
YBL057C	0.17470798615450828	
YBL059W	-0.41875075605195256	
YBL060W	0.3897633323402159	
YBL061C	0.40504048808018417	
YBL062W	0.3404063676418568	
YBL063W	0.5871911911336524	
YBL064C	-0.47045805240261446	
YBL066C	0.23111594580977587	
YBL067C	0.586016025307501	
YBL068W	0.05249074023476191	
YBL069W	-0.00979304855126269	
YBL070C	0.4379451312124236	
YBL071C	-1.227264844444121	
YBL072C	-1.072142955392135	
YBL075C	0.08422021754084992	
YBL078C	-0.5691719817993327	
YBL079W	0.7082332712272473	
YBL081W	0.6459494824412227	
YBL083C	-3.4013216228242253	
YBL085W	0.649474979919677	
YBL086C	-0.5562451577116673	
YBL087C	-0.3858461129197131	
YBL088C	0.45439745277854326	
YBL089W	-0.31298583169832583	
YBL091C	0.0654175643224274	
YBL091C-A	-0.1660901034293999	
YBL094C	-0.22014773143236466	
YBL095W	-0.09558015386031546	
YBL096C	-0.23307455552003015	
YBL098W	0.5178564073907194	
YBL099W	-0.9769545234738711	
YBL101C	-0.31181066587217443	
YBL102W	0.9326899440221662	
YBL103C	0.03838875032094501	
YBL104C	-1.766665958647617	
YBL106C	-0.3235623241336885	
YBL107C	-0.46810772075031165	
YBR001C	-0.3576421330920794	
YBR003W	-0.06855133985883308	
YBR005W	-0.14023645525406894	
YBR006W	0.03838875032094501	
YBR007C	-0.26480403282611814	
YBR008C	-0.27890602273993503	
YBR009C	0.6048186785259234	
YBR010W	0.06894306180088161	
YBR012C	-0.18724308830012526	
YBR013C	-0.5726974792777869	
YBR014C	-0.6890388960667763	
YBR015C	-0.16021427429864285	
YBR016W	0.04073908197324783	
YBR018C	0.19938646850368788	
YBR019C	-0.8359346243357022	
YBR020W	0.7152842661841557	
YBR021W	0.5930670202644094	
YBR022W	0.23581660911438151	
YBR023C	-0.023895038465079586	
YBR024W	0.2534440965066526	
YBR025C	0.6001180152213178	
YBR026C	0.4896524275630855	
YBR027C	-2.302541575372659	
YBR028C	-1.66912719507705	
YBR030W	0.2569695939851068	
YBR031W	-0.3235623241336885	
YBR032W	0.35803385503412793	
YBR033W	0.34628219677261385	
YBR034C	-0.8100809761603712	
YBR035C	1.2993416817814054	
YBR036C	-3.69746341101438	
YBR037C	0.36155935251258214	
YBR039W	0.2029119659821421	
YBR040W	0.7940203765363001	
YBR041W	-1.233140673574878	
YBR043C	0.19586097102523364	
YBR044C	0.5495858846968074	
YBR045C	-0.6208792781499946	
YBR046C	0.46027328190930034	
YBR047W	-0.3458904748305653	
YBR048W	-2.467064791033856	
YBR050C	0.34628219677261385	
YBR051W	0.16765699119759983	
YBR052C	0.16413149371914562	
YBR053C	0.20643746346059633	
YBR054W	-0.22132289725851606	
YBR056W	0.3791868399048532	
YBR058C	1.4121576010919403	
YBR059C	0.5354838947829904	
YBR061C	-1.2131628545303041	
YBR062C	-0.35646696726592797	
YBR063C	0.36626001581718776	
YBR064W	0.03956391614709642	
YBR065C	0.36861034746949056	
YBR066C	-0.04857352081425914	
YBR067C	-0.03917219420504789	
YBR068C	-0.2683295303045724	
YBR069C	-0.14023645525406894	
YBR071W	-0.526866012057882	
