ORF	het | growth (relative abundance in pooled culture) | time [20 generations], Chitosan oligosaccharide [91.1 ug/ml] | Jaime MD~Nislow C, 2012	hom | growth (relative abundance in pooled culture) | time [5 generations], Chitosan oligosaccharide [91.1 ug/ml] | Jaime MD~Nislow C, 2012
YDL185W	1.874	NaN
YDL186W	-0.021	NaN
YDL187C	-0.191	NaN
YDL188C	-0.455	NaN
YDL189W	0.193	NaN
YDL190C	0.397	NaN
YDL191W	-3.314	NaN
YDL192W	0.671	NaN
YDL193W	NaN	-1.218
YDL194W	-2.730	NaN
YDL195W	NaN	3.093
YDL196W	4.701	NaN
YDL197C	0.285	NaN
YDL198C	1.003	NaN
YDL199C	0.032	NaN
YDL200C	0.237	NaN
YDL201W	-0.167	NaN
YDL202W	0.117	NaN
YDL203C	0.520	NaN
YDL204W	0.239	NaN
YDL205C	NaN	0.018
YDL207W	NaN	-0.043
YDL208W	NaN	-0.123
YDL209C	NaN	-2.436
YDL210W	-0.261	NaN
YDL211C	0.554	NaN
YDL212W	NaN	-2.126
YDL213C	-5.101	NaN
YDL214C	-0.132	NaN
YDL215C	-0.140	NaN
YDL216C	0.261	NaN
YDL217C	NaN	-0.235
YDL218W	0.099	NaN
YDL219W	0.251	NaN
YDL220C	NaN	-0.571
YDL221W	-1.586	NaN
YDL222C	0.230	NaN
YDL223C	0.360	NaN
YDL224C	0.483	NaN
YDL225W	0.568	NaN
YDL226C	0.074	NaN
YDL227C	-0.066	NaN
YDL229W	0.246	NaN
YDL230W	0.088	NaN
YDL231C	0.129	NaN
YDL233W	0.138	NaN
YDL234C	0.284	NaN
YDL235C	NaN	0.511
YDL236W	1.282	NaN
YDL237W	0.283	NaN
YDL238C	-0.664	NaN
YDL239C	-0.069	NaN
YDL240W	1.106	NaN
YDL241W	-0.318	NaN
YDL242W	0.374	NaN
YDL243C	0.193	NaN
YDR001C	1.288	NaN
YDR002W	NaN	-0.068
YDR003W	0.024	NaN
YDR004W	0.608	NaN
YDR005C	-0.715	NaN
YDR006C	-0.411	NaN
YDR007W	-1.546	NaN
YDR009W	0.285	NaN
YDR010C	-0.032	NaN
YDR011W	0.007	NaN
YDR013W	NaN	-0.894
YDR014W	-0.653	NaN
YDR015C	-0.303	NaN
YDR016C	NaN	-2.466
YDR017C	0.155	NaN
YDR018C	0.221	NaN
YDR019C	0.065	NaN
YDR020C	0.224	NaN
YDR021W	NaN	-0.651
YDR022C	-0.398	NaN
