ORF	growth;control barcode hybridization (microarray)
	growth;0.4 mM H202 barcode hybridization (microarray)
	growth;2.5 mM DDT barcode hybridization (microarray)
	growth;0.7 M NaClbarcode hybridization (microarray)
	growth;Heat Shock barcode hybridization (microarray)
	growth;20 uM tunicamycin barcode hybridization (microarray)
	growth;2.5 mM DDT, H2O2 barcode hybridization (microarray)
	growth;0.7 M NaCl, H2O2 barcode hybridization (microarray)
	growth;Heat Shock, H2O2 barcode hybridization (microarray)
	growth;20 uM tunicamycin, H2O2 barcode hybridization (microarray)
	growth;control barcode sequencing
	growth;0.4 mM H202 barcode sequencing
	growth;2.5 mM DDT barcode sequencing
	growth;0.7 M NaCl barcode sequencing
	growth;Heat Shock barcode sequencing
	growth;20 uM tunicamycin barcode sequencing
	growth;2.5 mM DDT, H2O2 barcode sequencing
	growth;0.7 M NaCl, H2O2 barcode sequencing
	growth;Heat Shock, H2O2 barcode sequencing
	growth;20 uM tunicamycin, H2O2 barcode sequencing
YBR007C	-0.009
YBR008C	0.009
YBR009C	-0.012
YBR010W	-0.044
YBR011C	-0.014
YBR012C	0.060
YBR013C	0.012
YBR014C	-0.012
YBR015C	0.004
YBR016W	0.136
YBR017C	NaN
YBR018C	0.161
YBR019C	0.033
YBR020W	0.134
YBR021W	-0.186
YBR022W	0.128
YBR023C	-0.109
YBR024W	0.021
YBR025C	0.024
YBR026C	-0.128
YBR027C	0.029
YBR028C	0.062
YBR029C	-0.114
YBR030W	0.049
YBR031W	-0.011
YBR032W	0.027
YBR033W	0.004
YBR034C	0.171
YBR035C	-0.169
YBR036C	-0.007
YBR037C	-0.125
YBR038W	-0.026
YBR039W	-3.989
YBR040W	-0.006
YBR041W	0.042
YBR042C	0.156
YBR043C	0.005
YBR044C	0.163
YBR045C	0.050
YBR046C	0.072
YBR047W	0.022
YBR048W	-0.226
YBR049C	-0.227
YBR050C	-0.008
YBR051W	-0.079
YBR052C	-0.015
YBR053C	0.015
YBR054W	0.049
YBR055C	-0.100
YBR056W	0.274
YBR056W-A	NaN
YBR057C	-0.294
YBR058C	-0.118
YBR058C-A	NaN
YBR059C	0.134
YBR060C	0.030
YBR061C	-0.049
YBR062C	0.074
YBR063C	0.102
YBR064W	0.046
YBR065C	-0.022
YBR066C	0.108
YBR067C	0.017
YBR068C	0.021
YBR069C	0.398
YBR070C	0.047
YBR071W	0.049
YBR072C-A	NaN
YBR072W	-0.033
YBR073W	0.122
YBR074W	0.034
YBR075W	-0.184
YBR076W	0.166
YBR077C	0.141
YBR078W	0.009
YBR079C	0.013
YBR080C	0.054
YBR081C	NaN
YBR082C	0.018
YBR083W	0.013
YBR084C-A	0.020
YBR084W	-0.220
YBR085C-A	NaN
YBR085W	-0.116
YBR086C	NaN
YBR087W	-0.300
YBR088C	-0.019
YBR089W	0.083
YBR090C	-0.149
YBR090C-A	-0.014
YBR091C	-0.139
YBR092C	-0.031
YBR093C	-0.071
YBR094W	-0.006
YBR095C	-1.111
YBR096W	0.022
YBR097W	NaN
YBR098W	-0.102
YBR099C	-0.044
YBR100W	-0.067
YBR101C	0.061
YBR102C	0.747
YBR103W	-0.429
YBR104W	-0.090
YBR105C	0.083
YBR106W	-1.377
YBR107C	0.031
YBR108W	0.038
YBR109C	-0.110
YBR110W	0.399
YBR111C	-0.240
YBR111W-A	NaN
YBR112C	-0.366
YBR113W	0.115
YBR114W	-0.062
YBR115C	0.067
YBR116C	-0.021
YBR117C	0.010
YBR118W	-0.417
YBR119W	-0.076
YBR120C	-0.020
YBR121C	-0.019
YBR122C	0.384
YBR123C	-0.027
YBR124W	0.050
YBR125C	0.031
YBR126C	-0.133
YBR127C	NaN
YBR128C	-0.154
YBR129C	-0.145
YBR130C	0.022
YBR131W	-0.170
YBR132C	NaN
YBR133C	NaN
YBR134W	0.025
YBR135W	-0.084
YBR136W	-0.038
YBR137W	0.081
YBR138C	0.002
YBR139W	0.090
YBR140C	0.038
YBR141C	0.124
YBR142W	-0.034
YBR143C	0.048
YBR144C	-0.085
YBR145W	-0.009
YBR146W	-0.029
YBR147W	0.084
YBR148W	-0.043
YBR149W	-0.084
YBR150C	0.125
YBR151W	0.054
YBR152W	0.154
YBR153W	0.012
YBR154C	-0.276
YBR155W	0.042
YBR156C	-0.021
YBR157C	-0.012
YBR158W	0.045
YBR159W	0.294
YBR160W	0.225
YBR161W	0.042
YBR162C	-0.085
YBR162W-A	-0.099
YBR163W	0.064
YBR164C	0.059
YBR165W	0.103
YBR166C	NaN
YBR167C	-0.173
YBR168W	-0.283
YBR169C	-0.054
YBR170C	-0.036
YBR171W	-0.573
YBR172C	-0.041
YBR173C	-0.067
YBR174C	0.202
YBR175W	0.089
YBR176W	0.043
YBR177C	0.121
YBR178W	-0.079
YBR179C	0.005
YBR180W	-0.105
YBR181C	-0.421
YBR182C	0.001
YBR182C-A	NaN
YBR183W	0.055
YBR184W	-0.004
YBR185C	-0.014
YBR186W	-0.097
YBR187W	-0.201
YBR188C	0.279
YBR189W	-0.326
YBR190W	-0.343
YBR191W	-0.256
YBR192W	-0.103
YBR193C	0.125
YBR194W	-1.124
YBR195C	0.300
YBR196C	-0.090
YBR196C-A	NaN
YBR196C-B	NaN
YBR197C	-0.199
YBR198C	-0.075
YBR199W	-0.066
YBR200W	NaN
YBR200W-A	NaN
YBR201W	-0.051
YBR202W	0.547
YBR203W	-0.081
YBR204C	-0.003
YBR205W	-0.036
YBR206W	0.003
YBR207W	-0.142
YBR208C	-0.221
YBR209W	0.195
YBR210W	-0.026
YBR211C	0.104
YBR212W	-0.062
YBR213W	0.014
YBR214W	-0.022
YBR215W	0.111
YBR216C	-0.007
YBR217W	0.006
YBR218C	-0.011
YBR219C	-0.041
YBR220C	-0.028
YBR221C	-0.534
YBR221W-A	NaN
YBR222C	0.104
YBR223C	-0.004
YBR224W	0.014
YBR225W	-0.008
YBR226C	0.104
YBR227C	-0.083
YBR228W	0.032
YBR229C	-0.039
YBR230C	0.010
YBR230W-A	NaN
YBR231C	-0.573
YBR232C	-0.022
YBR233W	0.085
YBR233W-A	-0.137
YBR234C	-0.012
YBR235W	0.000
YBR236C	-0.121
YBR237W	0.121
YBR238C	-0.434
YBR239C	-0.048
YBR240C	-0.076
YBR241C	0.024
YBR242W	0.019
YBR243C	-0.092
YBR244W	-0.078
YBR245C	-0.020
YBR246W	0.002
YBR247C	0.005
YBR248C	0.009
YBR249C	0.110
YBR250W	0.018
YBR251W	-0.789
YBR252W	0.232
YBR253W	0.068
YBR254C	0.033
YBR255W	0.046
YBR256C	-0.030
YBR257W	0.057
YBR258C	0.002
YBR259W	0.043
YBR260C	-0.016
YBR261C	0.082
YBR262C	-0.024
YBR263W	0.095
YBR264C	-0.038
YBR265W	-0.053
YBR266C	-1.845
YBR267W	-0.013
YBR268W	-1.287
YBR269C	-0.194
YBR270C	-0.016
YBR271W	0.122
YBR272C	0.006
YBR273C	0.106
YBR274W	NaN
YBR275C	0.036
YBR276C	0.008
YBR277C	-0.322
YBR278W	-0.302
YBR279W	-0.524
YBR280C	0.133
YBR281C	-0.189
YBR282W	-2.065
YBR283C	-0.348
YBR284W	-0.175
YBR285W	0.132
YBR286W	-0.128
YBR287W	-0.050
YBR288C	-0.079
YBR289W	-1.670
YBR290W	-0.140
YBR291C	-0.326
YBR292C	-0.179
YBR293W	0.111
YBR294W	-0.054
YBR295W	-0.238
YBR296C	-0.023
YBR296C-A	NaN
YBR297W	-0.068
YBR298C	-0.326
YBR299W	0.102
YBR300C	-0.272
YBR301W	-0.035
YCL001W	0.051
YCL001W-A	-0.143
YCL001W-B	NaN
YCL002C	-0.031
YCL003W	0.200
YCL004W	-0.052
YCL005W	0.198
YCL005W-A	NaN
YCL006C	-0.014
YCL007C	NaN
YCL008C	0.048
YCL009C	0.089
YCL010C	-0.114
YCL011C	-0.125
YCL012C	NaN
YCL012W	-0.011
YCL013W	-0.104
YCL014W	0.017
YCL016C	-1.230
YCL017C	0.434
YCL021W-A	NaN
YCL022C	0.036
YCL023C	0.023
YCL024W	0.099
YCL025C	0.038
YCL026C	-0.013
YCL026C-A	-0.049
YCL026C-B	NaN
YCL027W	-0.023
YCL028W	-0.080
YCL029C	-0.694
YCL030C	0.124
YCL031C	-0.128
YCL032W	0.105
YCL033C	0.012
YCL034W	-0.013
YCL035C	0.050
YCL036W	0.110
YCL037C	0.025
YCL038C	-0.046
YCL039W	0.035
YCL040W	-0.010
YCL041C	-0.014
YCL042W	-0.269
YCL043C	-0.018
YCL044C	-0.311
YCL045C	0.140
YCL046W	0.125
YCL047C	-0.085
YCL048W	-0.030
YCL049C	0.033
YCL050C	-0.012
YCL051W	-0.044
YCL052C	0.098
YCL053C	-0.045
YCL054W	-0.016
YCL055W	0.071
